C01001B_001E,C01001B_001M,C01001B_002E,C01001B_002M,C01001B_003E,C01001B_003M,C01001B_004E,C01001B_004M,C01001B_005E,C01001B_005M,C01001B_006E,C01001B_006M,C01001B_007E,C01001B_007M,C01001B_008E,C01001B_008M,C01001B_009E,C01001B_009M,C01001B_001M,C01001B_001EA,C01001B_001MA,C01001B_002M,C01001B_002EA,C01001B_002MA,C01001B_003M,C01001B_003EA,C01001B_003MA,C01001B_004M,C01001B_004EA,C01001B_004MA,C01001B_005M,C01001B_005EA,C01001B_005MA,C01001B_006M,C01001B_006EA,C01001B_006MA,C01001B_007M,C01001B_007EA,C01001B_007MA,C01001B_008M,C01001B_008EA,C01001B_008MA,C01001B_009M,C01001B_009EA,C01001B_009MA,state
3310428,22138,1587049,12683,434548,6781,1002780,8484,149721,2575,1723379,13455,420186,7900,1095984,7699,207209,2449,22138,null,null,12683,null,null,6781,null,null,8484,null,null,2575,null,null,13455,null,null,7900,null,null,7699,null,null,2449,null,null,12
3254495,14771,1517738,8066,430983,6108,964647,4666,122108,1910,1736757,10574,428061,6438,1118353,5964,190343,2123,14771,null,null,8066,null,null,6108,null,null,4666,null,null,1910,null,null,10574,null,null,6438,null,null,5964,null,null,2123,null,null,13
25898,2036,16943,1483,2591,897,13602,1057,750,277,8955,1254,1748,548,7068,1082,139,143,2036,null,null,1483,null,null,897,null,null,1057,null,null,277,null,null,1254,null,null,548,null,null,1082,null,null,143,null,null,15
11437,2001,6969,1362,2055,796,4833,1042,81,136,4468,1450,2294,1067,2128,705,46,63,2001,null,null,1362,null,null,796,null,null,1042,null,null,136,null,null,1450,null,null,1067,null,null,705,null,null,63,null,null,16
1813477,9631,854415,6587,226255,4006,543776,4129,84384,955,959062,5821,220465,3638,606301,3723,132296,1159,9631,null,null,6587,null,null,4006,null,null,4129,null,null,955,null,null,5821,null,null,3638,null,null,3723,null,null,1159,null,null,17
617745,7312,298466,4411,92432,3687,180734,3055,25300,1144,319279,5513,84779,3774,198282,3090,36218,1059,7312,null,null,4411,null,null,3687,null,null,3055,null,null,1144,null,null,5513,null,null,3774,null,null,3090,null,null,1059,null,null,18
111867,3477,60028,2454,19122,1492,38220,1697,2686,447,51839,2418,16516,1422,32119,1891,3204,547,3477,null,null,2454,null,null,1492,null,null,1697,null,null,447,null,null,2418,null,null,1422,null,null,1891,null,null,547,null,null,19
166551,4607,86644,3132,21947,2146,56824,2133,7873,771,79907,3175,21331,2119,49161,1950,9415,733,4607,null,null,3132,null,null,2146,null,null,2133,null,null,771,null,null,3175,null,null,2119,null,null,1950,null,null,733,null,null,20
366157,6162,180582,4023,49302,2202,115723,3196,15557,1099,185575,4383,47057,2390,117647,3104,20871,1097,6162,null,null,4023,null,null,2202,null,null,3196,null,null,1099,null,null,4383,null,null,2390,null,null,3104,null,null,1097,null,null,21
1514755,7221,721926,4533,209914,3588,445554,3075,66458,1626,792829,5764,202760,4469,492666,3021,97403,1305,7221,null,null,4533,null,null,3588,null,null,3075,null,null,1626,null,null,5764,null,null,4469,null,null,3021,null,null,1305,null,null,22
19963,1930,10822,1462,3548,816,7049,1169,225,246,9141,1209,4472,933,4632,780,37,60,1930,null,null,1462,null,null,816,null,null,1169,null,null,246,null,null,1209,null,null,933,null,null,780,null,null,60,null,null,23
1793593,9302,840240,4650,216394,3044,539926,3611,83920,1181,953353,6385,207933,3405,619144,4010,126276,1513,9302,null,null,4650,null,null,3044,null,null,3611,null,null,1181,null,null,6385,null,null,3405,null,null,4010,null,null,1513,null,null,24
506677,8067,247288,5786,66213,3144,161156,4013,19919,755,259389,5549,62073,3147,168336,3505,28980,1020,8067,null,null,5786,null,null,3144,null,null,4013,null,null,755,null,null,5549,null,null,3147,null,null,3505,null,null,1020,null,null,25
1363336,9361,645034,4971,176371,3464,402906,3530,65757,875,718302,5925,170346,3885,450231,3358,97725,930,9361,null,null,4971,null,null,3464,null,null,3530,null,null,875,null,null,5925,null,null,3885,null,null,3358,null,null,930,null,null,26
331308,5844,167669,3881,56765,2953,103884,2422,7020,664,163639,3664,57435,2485,96455,2424,9749,866,5844,null,null,3881,null,null,2953,null,null,2422,null,null,664,null,null,3664,null,null,2485,null,null,2424,null,null,866,null,null,27
1134958,6466,529098,5120,155093,3954,325051,3171,48954,1494,605860,5225,156614,3787,379185,2950,70061,1189,6466,null,null,5120,null,null,3954,null,null,3171,null,null,1494,null,null,5225,null,null,3787,null,null,2950,null,null,1189,null,null,28
702946,7236,336447,4768,94229,3174,212270,3200,29948,1114,366499,5061,89431,3324,231157,2892,45911,1055,7236,null,null,4768,null,null,3174,null,null,3200,null,null,1114,null,null,5061,null,null,3324,null,null,2892,null,null,1055,null,null,29
3949,1039,2887,933,258,181,2547,917,82,128,1062,449,340,227,474,273,248,280,1039,null,null,933,null,null,181,null,null,917,null,null,128,null,null,449,null,null,227,null,null,273,null,null,280,null,null,30
89879,3076,46013,1895,14464,1231,28692,1425,2857,379,43866,1860,13345,1123,26654,1146,3867,275,3076,null,null,1895,null,null,1231,null,null,1425,null,null,379,null,null,1860,null,null,1123,null,null,1146,null,null,275,null,null,31
260993,5352,131385,3075,35759,2112,83246,1983,12380,459,129608,3317,32688,1924,81952,2035,14968,646,5352,null,null,3075,null,null,2112,null,null,1983,null,null,459,null,null,3317,null,null,1924,null,null,2035,null,null,646,null,null,32
16671,1681,9260,1207,2014,623,6611,998,635,360,7411,1173,2065,700,4806,731,540,290,1681,null,null,1207,null,null,623,null,null,998,null,null,360,null,null,1173,null,null,700,null,null,731,null,null,290,null,null,33
1194585,11078,563318,5829,140912,3197,369146,4298,53260,1336,631267,6827,137472,3202,407524,5023,86271,1112,11078,null,null,5829,null,null,3197,null,null,4298,null,null,1336,null,null,6827,null,null,3202,null,null,5023,null,null,1112,null,null,34
41043,2715,23512,1805,5595,1240,15438,1533,2479,637,17531,1913,4036,1168,11676,1198,1819,439,2715,null,null,1805,null,null,1240,null,null,1533,null,null,637,null,null,1913,null,null,1168,null,null,1198,null,null,439,null,null,35
