B19013H_001E,B19013H_001M,B19013H_001M,B19013H_001EA,B19013H_001MA,state
55877,444,444,null,null,12
62023,674,674,null,null,13
75265,3980,3980,null,null,15
53751,1342,1342,null,null,16
68083,709,709,null,null,17
55786,522,522,null,null,18
58389,922,922,null,null,19
58411,924,924,null,null,20
48770,725,725,null,null,21
55820,912,912,null,null,22
53754,1512,1512,null,null,23
88633,1146,1146,null,null,24
82029,795,795,null,null,25
56840,441,441,null,null,26
68687,681,681,null,null,27
51974,920,920,null,null,28
55092,567,567,null,null,29
51472,1165,1165,null,null,30
60045,925,925,null,null,31
61165,1026,1026,null,null,32
71718,1410,1410,null,null,33
86361,992,992,null,null,34
57069,1874,1874,null,null,35
72721,696,696,null,null,36
56669,575,575,null,null,37
64084,1891,1891,null,null,38
56766,339,339,null,null,39
53436,685,685,null,null,40
59521,904,904,null,null,41
61229,344,344,null,null,42
65485,1740,1740,null,null,44
57397,777,777,null,null,45
57272,1273,1273,null,null,46
51794,519,519,null,null,47
70131,509,509,null,null,48
69776,1101,1101,null,null,49
58864,1783,1783,null,null,50
74020,825,825,null,null,51
70479,661,661,null,null,53
43849,1183,1183,null,null,54
60087,569,569,null,null,55
60917,2054,2054,null,null,56
31751,5997,5997,null,null,72
52312,630,630,null,null,01
83106,2124,2124,null,null,02
59495,789,789,null,null,04
48523,864,864,null,null,05
79353,587,587,null,null,06
71406,623,623,null,null,08
84030,1309,1309,null,null,09
68591,1908,1908,null,null,10
127369,7679,7679,null,null,11
