B22005H_001E,B22005H_001M,B22005H_002E,B22005H_002M,B22005H_003E,B22005H_003M,B22005H_001M,B22005H_001EA,B22005H_001MA,B22005H_002M,B22005H_002EA,B22005H_002MA,B22005H_003M,B22005H_003EA,B22005H_003MA,state
4763170,17300,378587,9987,4384583,17162,17300,null,null,9987,null,null,17162,null,null,12
2130851,9436,185089,7472,1945762,11328,9436,null,null,7472,null,null,11328,null,null,13
138775,2966,10120,1814,128655,3327,2966,null,null,1814,null,null,3327,null,null,15
531906,4499,50418,3513,481488,5852,4499,null,null,3513,null,null,5852,null,null,16
3292113,12076,270566,8554,3021547,13203,12076,null,null,8554,null,null,13203,null,null,17
2110046,10370,182436,6284,1927610,13565,10370,null,null,6284,null,null,13565,null,null,18
1124791,6706,105401,4301,1019390,6754,6706,null,null,4301,null,null,6754,null,null,19
905108,6176,58891,3413,846217,6426,6176,null,null,3413,null,null,6426,null,null,20
1497930,8903,204885,7054,1293045,10292,8903,null,null,7054,null,null,10292,null,null,21
1078346,7726,103282,4739,975064,8541,7726,null,null,4739,null,null,8541,null,null,22
505876,5656,67198,3464,438678,5654,5656,null,null,3464,null,null,5654,null,null,23
1241201,7664,81854,4569,1159347,8522,7664,null,null,4569,null,null,8522,null,null,24
2003614,8785,157322,6318,1846292,10908,8785,null,null,6318,null,null,10908,null,null,25
3051672,10575,318824,6774,2732848,10777,10575,null,null,6774,null,null,10777,null,null,26
1857091,7100,104078,4139,1753013,7722,7100,null,null,4139,null,null,7722,null,null,27
658102,6433,58346,3769,599756,7105,6433,null,null,3769,null,null,7105,null,null,28
1957222,9610,182015,7344,1775207,11530,9610,null,null,7344,null,null,11530,null,null,29
378055,4220,35535,2961,342520,4581,4220,null,null,2961,null,null,4581,null,null,30
637971,4787,42221,3192,595750,5547,4787,null,null,3192,null,null,5547,null,null,31
627505,6937,55539,3791,571966,7201,6937,null,null,3791,null,null,7201,null,null,32
485023,5490,32902,3001,452121,5510,5490,null,null,3001,null,null,5510,null,null,33
1972327,9910,91023,4925,1881304,10004,9910,null,null,4925,null,null,10004,null,null,34
359898,5318,34092,2981,325806,5371,5318,null,null,2981,null,null,5371,null,null,35
4484860,17524,383826,10031,4101034,19516,17524,null,null,10031,null,null,19516,null,null,36
2666177,10661,236324,7194,2429853,12228,10661,null,null,7194,null,null,12228,null,null,37
278248,3452,13907,1463,264341,3355,3452,null,null,1463,null,null,3355,null,null,38
3780991,12512,402894,8186,3378097,13695,12512,null,null,8186,null,null,13695,null,null,39
1058931,6191,109122,3946,949809,7160,6191,null,null,3946,null,null,7160,null,null,40
1303070,6631,193313,6261,1109757,8783,6631,null,null,6261,null,null,8783,null,null,41
4011754,13038,387702,8700,3624052,15292,13038,null,null,8700,null,null,15292,null,null,42
323440,4077,36829,2946,286611,4492,4077,null,null,2946,null,null,4492,null,null,44
1272884,8314,102071,4690,1170813,9105,8314,null,null,4690,null,null,9105,null,null,45
295934,2882,18216,1783,277718,3026,2882,null,null,1783,null,null,3026,null,null,46
1975390,10997,235223,6309,1740167,12249,10997,null,null,6309,null,null,12249,null,null,47
4797367,15457,290283,8409,4507084,17062,15457,null,null,8409,null,null,17062,null,null,48
785999,5051,46682,3262,739317,5540,5051,null,null,3262,null,null,5540,null,null,49
241391,2762,28838,2408,212553,3308,2762,null,null,2408,null,null,3308,null,null,50
2106106,11393,124059,6007,1982047,11931,11393,null,null,6007,null,null,11931,null,null,51
2116805,9540,219778,7174,1897027,10161,9540,null,null,7174,null,null,10161,null,null,53
677840,5643,118320,5118,559520,5952,5643,null,null,5118,null,null,5952,null,null,54
2009010,6998,175639,5356,1833371,8449,6998,null,null,5356,null,null,8449,null,null,55
197523,3730,9905,1438,187618,3993,3730,null,null,1438,null,null,3993,null,null,56
12440,1755,3084,940,9356,1345,1755,null,null,940,null,null,1345,null,null,72
1267581,8929,117248,6043,1150333,10209,8929,null,null,6043,null,null,10209,null,null,01
175255,3232,11984,1947,163271,3609,3232,null,null,1947,null,null,3609,null,null,02
1654637,9626,126438,4933,1528199,10473,9626,null,null,4933,null,null,10473,null,null,04
872914,6150,82255,4435,790659,5969,6150,null,null,4435,null,null,5969,null,null,05
6248997,19236,329751,9006,5919246,20680,19236,null,null,9006,null,null,20680,null,null,06
1594371,7484,87447,4386,1506924,8614,7484,null,null,4386,null,null,8614,null,null,08
984713,6044,72544,4862,912169,7187,6044,null,null,4862,null,null,7187,null,null,09
239268,3464,17341,1672,221927,3949,3464,null,null,1672,null,null,3949,null,null,10
113641,2491,816,497,112825,2507,2491,null,null,497,null,null,2507,null,null,11
