C15002B_001E,C15002B_001M,C15002B_002E,C15002B_002M,C15002B_003E,C15002B_003M,C15002B_004E,C15002B_004M,C15002B_005E,C15002B_005M,C15002B_006E,C15002B_006M,C15002B_007E,C15002B_007M,C15002B_008E,C15002B_008M,C15002B_009E,C15002B_009M,C15002B_010E,C15002B_010M,C15002B_011E,C15002B_011M,C15002B_001M,C15002B_001EA,C15002B_001MA,C15002B_002M,C15002B_002EA,C15002B_002MA,C15002B_003M,C15002B_003EA,C15002B_003MA,C15002B_004M,C15002B_004EA,C15002B_004MA,C15002B_005M,C15002B_005EA,C15002B_005MA,C15002B_006M,C15002B_006EA,C15002B_006MA,C15002B_007M,C15002B_007EA,C15002B_007MA,C15002B_008M,C15002B_008EA,C15002B_008MA,C15002B_009M,C15002B_009EA,C15002B_009MA,C15002B_010M,C15002B_010EA,C15002B_010MA,C15002B_011M,C15002B_011EA,C15002B_011MA,state
2082501,12386,965468,7457,200610,7398,343944,10255,271338,8165,149576,6286,1117033,7772,188332,7996,339900,9665,358238,9362,230563,8484,12386,null,null,7457,null,null,7398,null,null,10255,null,null,8165,null,null,6286,null,null,7772,null,null,7996,null,null,9665,null,null,9362,null,null,8484,null,null,12
2034955,8053,905012,5084,145055,6525,313377,8917,269688,8831,176892,7672,1129943,5983,137400,6237,306743,9031,386140,9994,299660,7979,8053,null,null,5084,null,null,6525,null,null,8917,null,null,8831,null,null,7672,null,null,5983,null,null,6237,null,null,9031,null,null,9994,null,null,7979,null,null,13
16842,1189,11306,1012,331,336,3373,1064,5219,1158,2383,807,5536,803,462,330,1012,606,2294,687,1768,604,1189,null,null,1012,null,null,336,null,null,1064,null,null,1158,null,null,807,null,null,803,null,null,330,null,null,606,null,null,687,null,null,604,null,null,15
5078,1240,3994,1099,92,145,1268,728,1660,721,974,526,1084,626,0,198,359,334,173,200,552,575,1240,null,null,1099,null,null,145,null,null,728,null,null,721,null,null,526,null,null,626,null,null,198,null,null,334,null,null,200,null,null,575,null,null,16
1154328,5744,520577,3805,84376,4300,163599,5512,176288,5397,96314,5709,633751,3426,74728,3848,158653,5055,246886,6693,153484,5274,5744,null,null,3805,null,null,4300,null,null,5512,null,null,5397,null,null,5709,null,null,3426,null,null,3848,null,null,5055,null,null,6693,null,null,5274,null,null,17
370196,4483,168816,3187,26497,2769,63446,3323,54498,3382,24375,2379,201380,3024,27030,3083,60069,4067,80356,4267,33925,2975,4483,null,null,3187,null,null,2769,null,null,3323,null,null,3382,null,null,2379,null,null,3024,null,null,3083,null,null,4067,null,null,4267,null,null,2975,null,null,18
59550,2506,31162,1622,5252,1137,9108,1379,10313,1706,6489,1149,28388,1746,5271,1365,8257,1862,9518,1369,5342,1280,2506,null,null,1622,null,null,1137,null,null,1379,null,null,1706,null,null,1149,null,null,1746,null,null,1365,null,null,1862,null,null,1369,null,null,1280,null,null,19
102119,2408,52272,2044,7167,1364,16427,1901,18320,2034,10358,1537,49847,1710,4975,1141,13736,1778,20641,1606,10495,1704,2408,null,null,2044,null,null,1364,null,null,1901,null,null,2034,null,null,1537,null,null,1710,null,null,1141,null,null,1778,null,null,1606,null,null,1704,null,null,20
223064,3625,105926,2648,17304,2345,37879,2857,36874,2903,13869,1967,117138,2906,15331,2138,34020,2944,49214,3277,18573,1934,3625,null,null,2648,null,null,2345,null,null,2857,null,null,2903,null,null,1967,null,null,2906,null,null,2138,null,null,2944,null,null,3277,null,null,1934,null,null,21
930771,5376,428340,3633,112836,5308,169847,6123,99724,5041,45933,3181,502431,3594,88822,4280,167494,5787,154631,6643,91484,5401,5376,null,null,3633,null,null,5308,null,null,6123,null,null,5041,null,null,3181,null,null,3594,null,null,4280,null,null,5787,null,null,6643,null,null,5401,null,null,22
8256,1256,5323,1037,682,327,1909,789,2071,748,661,444,2933,646,1009,527,668,444,317,268,939,497,1256,null,null,1037,null,null,327,null,null,789,null,null,748,null,null,444,null,null,646,null,null,527,null,null,444,null,null,268,null,null,497,null,null,23
1191325,5824,534365,3457,58705,3599,181540,5553,146289,5273,147831,5811,656960,3930,56296,3868,183717,6535,212932,6651,204015,6084,5824,null,null,3457,null,null,3599,null,null,5553,null,null,5273,null,null,5811,null,null,3930,null,null,3868,null,null,6535,null,null,6651,null,null,6084,null,null,24
316115,5316,148721,3241,22057,2451,48617,3700,41426,3609,36621,3402,167394,3644,25232,2863,48325,3724,51490,3416,42347,2934,5316,null,null,3241,null,null,2451,null,null,3700,null,null,3609,null,null,3402,null,null,3644,null,null,2863,null,null,3724,null,null,3416,null,null,2934,null,null,25
861144,4811,390847,3562,66425,3841,141461,4266,130362,5279,52599,3047,470297,2926,60765,3406,128683,5214,186953,6316,93896,4336,4811,null,null,3562,null,null,3841,null,null,4266,null,null,5279,null,null,3047,null,null,2926,null,null,3406,null,null,5214,null,null,6316,null,null,4336,null,null,26
180040,3083,92206,2264,13056,1901,23747,2312,34325,3161,21078,2145,87834,2000,19784,2342,20876,2118,30912,2892,16262,1793,3083,null,null,2264,null,null,1901,null,null,2312,null,null,3161,null,null,2145,null,null,2000,null,null,2342,null,null,2118,null,null,2892,null,null,1793,null,null,27
686306,5248,307047,3783,72568,3734,117902,5620,85449,4732,31128,3272,379259,3015,70268,3919,108381,5420,127316,5495,73294,3885,5248,null,null,3783,null,null,3734,null,null,5620,null,null,4732,null,null,3272,null,null,3015,null,null,3919,null,null,5420,null,null,5495,null,null,3885,null,null,28
437911,4738,199618,3659,31115,2858,70999,3345,66742,4380,30762,2911,238293,2650,27836,2373,68400,3920,92868,4401,49189,3344,4738,null,null,3659,null,null,2858,null,null,3345,null,null,4380,null,null,2911,null,null,2650,null,null,2373,null,null,3920,null,null,4401,null,null,3344,null,null,29
2967,961,2401,898,726,614,831,545,302,255,542,424,566,324,0,168,113,125,215,179,238,280,961,null,null,898,null,null,614,null,null,545,null,null,255,null,null,424,null,null,324,null,null,168,null,null,125,null,null,179,null,null,280,null,null,30
50875,1467,25655,1320,3259,746,8531,1292,8537,1186,5328,1293,25220,980,3656,794,5804,1446,9248,1429,6512,1282,1467,null,null,1320,null,null,746,null,null,1292,null,null,1186,null,null,1293,null,null,980,null,null,794,null,null,1446,null,null,1429,null,null,1282,null,null,31
166410,2662,82336,1950,7788,1306,30994,2554,29635,2478,13919,2213,84074,1702,7797,1388,23488,2056,35929,2906,16860,1718,2662,null,null,1950,null,null,1306,null,null,2554,null,null,2478,null,null,2213,null,null,1702,null,null,1388,null,null,2056,null,null,2906,null,null,1718,null,null,32
10823,1237,6187,1032,518,287,2098,908,1807,673,1764,686,4636,721,702,508,1443,594,1072,622,1419,668,1237,null,null,1032,null,null,287,null,null,908,null,null,673,null,null,686,null,null,721,null,null,508,null,null,594,null,null,622,null,null,668,null,null,33
786869,6568,355830,3760,45471,3706,135126,5740,100760,5414,74473,4652,431039,4465,47333,3496,136180,5561,137455,5793,110071,5319,6568,null,null,3760,null,null,3706,null,null,5740,null,null,5414,null,null,4652,null,null,4465,null,null,3496,null,null,5561,null,null,5793,null,null,5319,null,null,34
25485,2030,14547,1461,1117,530,3943,973,5342,1184,4145,1065,10938,1279,877,481,2560,968,4353,1037,3148,815,2030,null,null,1461,null,null,530,null,null,973,null,null,1184,null,null,1065,null,null,1279,null,null,481,null,null,968,null,null,1037,null,null,815,null,null,35
2045692,11136,905706,6837,159571,6912,301824,7941,262789,6973,181522,7351,1139986,6814,178020,6437,322800,9826,339171,8550,299995,8509,11136,null,null,6837,null,null,6912,null,null,7941,null,null,6973,null,null,7351,null,null,6814,null,null,6437,null,null,9826,null,null,8550,null,null,8509,null,null,36
1407993,7353,627065,4371,107103,4908,219713,7743,194652,7240,105597,5309,780928,4962,108911,5569,207081,7176,284524,7521,180412,7071,7353,null,null,4371,null,null,4908,null,null,7743,null,null,7240,null,null,5309,null,null,4962,null,null,5569,null,null,7176,null,null,7521,null,null,7071,null,null,37
10632,1640,6475,1323,492,600,2760,1229,2757,815,466,469,4157,942,508,602,1761,958,1330,777,558,450,1640,null,null,1323,null,null,600,null,null,1229,null,null,815,null,null,469,null,null,942,null,null,602,null,null,958,null,null,777,null,null,450,null,null,38
900291,4738,415586,3600,67145,4534,148429,5039,138270,5682,61742,4347,484705,3302,63399,3842,149973,5950,187085,5526,84248,5167,4738,null,null,3600,null,null,4534,null,null,5039,null,null,5682,null,null,4347,null,null,3302,null,null,3842,null,null,5950,null,null,5526,null,null,5167,null,null,39
173789,2770,82968,2253,10248,1505,29732,2083,28259,2230,14729,1446,90821,2090,10162,1351,28030,2297,33916,2666,18713,1918,2770,null,null,2253,null,null,1505,null,null,2083,null,null,2230,null,null,1446,null,null,2090,null,null,1351,null,null,2297,null,null,2666,null,null,1918,null,null,40
49212,2155,26557,1397,3668,1106,7845,1355,8944,1580,6100,1267,22655,1545,2875,1011,5012,1114,10250,1724,4518,980,2155,null,null,1397,null,null,1106,null,null,1355,null,null,1580,null,null,1267,null,null,1545,null,null,1011,null,null,1114,null,null,1724,null,null,980,null,null,41
886334,5400,412691,4301,62228,4016,161947,5834,117249,5660,71267,4902,473643,3370,65634,4583,153402,5657,153007,6130,101600,5690,5400,null,null,4301,null,null,4016,null,null,5834,null,null,5660,null,null,4902,null,null,3370,null,null,4583,null,null,5657,null,null,6130,null,null,5690,null,null,42
41620,2101,20654,1126,3052,934,5613,1241,7574,1552,4415,1053,20966,1467,3164,810,6486,1262,7044,1358,4272,1092,2101,null,null,1126,null,null,934,null,null,1241,null,null,1552,null,null,1053,null,null,1467,null,null,810,null,null,1262,null,null,1358,null,null,1092,null,null,44
860249,4124,384509,2923,83707,4959,153260,6672,99592,5950,47950,3568,475740,3172,77147,4141,154312,5448,157242,5778,87039,4786,4124,null,null,2923,null,null,4959,null,null,6672,null,null,5950,null,null,3568,null,null,3172,null,null,4141,null,null,5448,null,null,5778,null,null,4786,null,null,45
7354,697,4769,724,902,667,1831,627,1147,416,889,495,2585,573,1202,384,151,133,883,411,349,201,697,null,null,724,null,null,667,null,null,627,null,null,416,null,null,495,null,null,573,null,null,384,null,null,133,null,null,411,null,null,201,null,null,46
696665,4988,317509,3211,55195,3553,120338,4854,92094,4761,49882,4267,379156,3455,50338,3574,114016,5935,129270,5469,85532,5165,4988,null,null,3211,null,null,3553,null,null,4854,null,null,4761,null,null,4267,null,null,3455,null,null,3574,null,null,5935,null,null,5469,null,null,5165,null,null,47
2097614,8493,972123,5840,117438,5169,324182,8956,329091,8501,201412,7852,1125491,6666,111552,6062,300093,9870,430131,10890,283715,9184,8493,null,null,5840,null,null,5169,null,null,8956,null,null,8501,null,null,7852,null,null,6666,null,null,6062,null,null,9870,null,null,10890,null,null,9184,null,null,48
17317,1277,10397,972,1343,575,2236,710,4511,940,2307,761,6920,869,1409,570,1660,801,2286,782,1565,554,1277,null,null,972,null,null,575,null,null,710,null,null,940,null,null,761,null,null,869,null,null,570,null,null,801,null,null,782,null,null,554,null,null,49
4087,552,2875,565,280,210,238,147,1433,512,924,478,1212,486,109,183,413,369,503,306,187,183,552,null,null,565,null,null,210,null,null,147,null,null,512,null,null,478,null,null,486,null,null,183,null,null,369,null,null,306,null,null,183,null,null,50
1050527,6283,487517,4622,73478,4217,162397,6898,149671,6174,101971,4425,563010,4235,74342,4004,155382,6355,190539,6962,142747,5618,6283,null,null,4622,null,null,4217,null,null,6898,null,null,6174,null,null,4425,null,null,4235,null,null,4004,null,null,6355,null,null,6962,null,null,5618,null,null,51
