B23003_001E,B23003_001M,B23003_002E,B23003_002M,B23003_003E,B23003_003M,B23003_004E,B23003_004M,B23003_005E,B23003_005M,B23003_006E,B23003_006M,B23003_007E,B23003_007M,B23003_008E,B23003_008M,B23003_009E,B23003_009M,B23003_010E,B23003_010M,B23003_011E,B23003_011M,B23003_012E,B23003_012M,B23003_013E,B23003_013M,B23003_014E,B23003_014M,B23003_015E,B23003_015M,B23003_016E,B23003_016M,B23003_017E,B23003_017M,B23003_018E,B23003_018M,B23003_019E,B23003_019M,B23003_020E,B23003_020M,B23003_021E,B23003_021M,B23003_022E,B23003_022M,B23003_023E,B23003_023M,B23003_024E,B23003_024M,B23003_025E,B23003_025M,B23003_026E,B23003_026M,B23003_027E,B23003_027M,B23003_028E,B23003_028M,B23003_029E,B23003_029M,B23003_030E,B23003_030M,B23003_001M,B23003_001EA,B23003_001MA,B23003_002M,B23003_002EA,B23003_002MA,B23003_003M,B23003_003EA,B23003_003MA,B23003_004M,B23003_004EA,B23003_004MA,B23003_005M,B23003_005EA,B23003_005MA,B23003_006M,B23003_006EA,B23003_006MA,B23003_007M,B23003_007EA,B23003_007MA,B23003_008M,B23003_008EA,B23003_008MA,B23003_009M,B23003_009EA,B23003_009MA,B23003_010M,B23003_010EA,B23003_010MA,B23003_011M,B23003_011EA,B23003_011MA,B23003_012M,B23003_012EA,B23003_012MA,B23003_013M,B23003_013EA,B23003_013MA,B23003_014M,B23003_014EA,B23003_014MA,B23003_015M,B23003_015EA,B23003_015MA,B23003_016M,B23003_016EA,B23003_016MA,B23003_017M,B23003_017EA,B23003_017MA,B23003_018M,B23003_018EA,B23003_018MA,B23003_019M,B23003_019EA,B23003_019MA,B23003_020M,B23003_020EA,B23003_020MA,B23003_021M,B23003_021EA,B23003_021MA,B23003_022M,B23003_022EA,B23003_022MA,B23003_023M,B23003_023EA,B23003_023MA,B23003_024M,B23003_024EA,B23003_024MA,B23003_025M,B23003_025EA,B23003_025MA,B23003_026M,B23003_026EA,B23003_026MA,B23003_027M,B23003_027EA,B23003_027MA,B23003_028M,B23003_028EA,B23003_028MA,B23003_029M,B23003_029EA,B23003_029MA,B23003_030M,B23003_030EA,B23003_030MA,state
5964400,7041,1872127,18617,418613,10907,294288,9121,823,643,293465,9137,274608,8691,18857,2861,124325,6457,363511,10357,250484,9761,450,593,250034,9600,233663,9800,16371,2213,113027,7650,1090003,15915,844569,14419,786,424,843783,14372,799777,14445,44006,4241,245434,9589,4092273,19829,2878945,23491,4519,1338,2874426,23568,2706459,23126,167967,6984,1213328,18839,7041,null,null,18617,null,null,10907,null,null,9121,null,null,643,null,null,9137,null,null,8691,null,null,2861,null,null,6457,null,null,10357,null,null,9761,null,null,593,null,null,9600,null,null,9800,null,null,2213,null,null,7650,null,null,15915,null,null,14419,null,null,424,null,null,14372,null,null,14445,null,null,4241,null,null,9589,null,null,19829,null,null,23491,null,null,1338,null,null,23568,null,null,23126,null,null,6984,null,null,18839,null,null,12
3114182,6794,1151466,13350,248411,9554,175333,7891,381,335,174952,7922,162103,7481,12849,2281,73078,5355,235070,7744,155585,6975,278,202,155307,6975,142511,6466,12796,2113,79485,5969,667985,12774,522823,11067,755,401,522068,11119,493657,11262,28411,3189,145162,7074,1962716,13352,1371404,15419,3281,1088,1368123,15371,1293354,15691,74769,5271,591312,12827,6794,null,null,13350,null,null,9554,null,null,7891,null,null,335,null,null,7922,null,null,7481,null,null,2281,null,null,5355,null,null,7744,null,null,6975,null,null,202,null,null,6975,null,null,6466,null,null,2113,null,null,5969,null,null,12774,null,null,11067,null,null,401,null,null,11119,null,null,11262,null,null,3189,null,null,7074,null,null,13352,null,null,15419,null,null,1088,null,null,15371,null,null,15691,null,null,5271,null,null,12827,null,null,13
403152,2207,133097,4524,32537,2541,21914,2108,750,371,21164,2078,20440,2127,724,467,10623,1691,28458,2616,18565,2037,108,131,18457,2046,16858,2003,1599,643,9893,1581,72102,3358,58895,3251,630,388,58265,3296,56592,3189,1673,771,13207,1585,270055,5026,210101,5095,2219,785,207882,5112,199585,5101,8297,1326,59954,3889,2207,null,null,4524,null,null,2541,null,null,2108,null,null,371,null,null,2078,null,null,2127,null,null,467,null,null,1691,null,null,2616,null,null,2037,null,null,131,null,null,2046,null,null,2003,null,null,643,null,null,1581,null,null,3358,null,null,3251,null,null,388,null,null,3296,null,null,3189,null,null,771,null,null,1585,null,null,5026,null,null,5095,null,null,785,null,null,5112,null,null,5101,null,null,1326,null,null,3889,null,null,15
465954,2775,175243,5172,36440,3254,22521,2837,0,198,22521,2837,21898,2794,623,411,13919,1859,46195,3672,25499,2851,155,218,25344,2836,23830,2636,1514,769,20696,2370,92608,3967,69122,4202,0,198,69122,4202,66218,4121,2904,898,23486,2283,290711,5339,207674,6041,381,300,207293,6006,199976,6096,7317,1514,83037,4651,2775,null,null,5172,null,null,3254,null,null,2837,null,null,198,null,null,2837,null,null,2794,null,null,411,null,null,1859,null,null,3672,null,null,2851,null,null,218,null,null,2836,null,null,2636,null,null,769,null,null,2370,null,null,3967,null,null,4202,null,null,198,null,null,4202,null,null,4121,null,null,898,null,null,2283,null,null,5339,null,null,6041,null,null,300,null,null,6006,null,null,6096,null,null,1514,null,null,4651,null,null,16
3815065,4776,1339140,13808,290320,8327,221931,7078,222,190,221709,7060,206009,7105,15700,2346,68389,4231,256888,8298,174224,6960,175,179,174049,6900,162295,6744,11754,1646,82664,5035,791932,12637,623572,12132,180,144,623392,12148,589194,11885,34198,3337,168360,5913,2475925,14177,1861641,14326,1093,429,1860548,14344,1758371,13718,102177,5292,614284,12749,4776,null,null,13808,null,null,8327,null,null,7078,null,null,190,null,null,7060,null,null,7105,null,null,2346,null,null,4231,null,null,8298,null,null,6960,null,null,179,null,null,6900,null,null,6744,null,null,1646,null,null,5035,null,null,12637,null,null,12132,null,null,144,null,null,12148,null,null,11885,null,null,3337,null,null,5913,null,null,14177,null,null,14326,null,null,429,null,null,14344,null,null,13718,null,null,5292,null,null,12749,null,null,17
1918964,4087,694180,9667,160698,5668,116060,5365,175,261,115885,5367,110038,5222,5847,1266,44638,3097,147753,5468,95402,4709,0,192,95402,4709,88584,4486,6818,1591,52351,3608,385729,8207,308932,7756,0,192,308932,7756,295589,7415,13343,2260,76797,3750,1224784,10618,897353,11884,0,192,897353,11884,860287,11836,37066,3301,327431,7977,4087,null,null,9667,null,null,5668,null,null,5365,null,null,261,null,null,5367,null,null,5222,null,null,1266,null,null,3097,null,null,5468,null,null,4709,null,null,192,null,null,4709,null,null,4486,null,null,1591,null,null,3608,null,null,8207,null,null,7756,null,null,192,null,null,7756,null,null,7415,null,null,2260,null,null,3750,null,null,10618,null,null,11884,null,null,192,null,null,11884,null,null,11836,null,null,3301,null,null,7977,null,null,18
878112,2980,335403,6212,78557,4045,62035,3638,47,79,61988,3645,60939,3640,1049,378,16522,1946,73549,4203,52985,3188,0,159,52985,3188,51296,3214,1689,667,20564,2466,183297,5772,156528,5433,49,59,156479,5435,152083,5461,4396,1159,26769,2573,542709,6504,423856,6725,30,51,423826,6736,408099,6663,15727,1587,118853,3542,2980,null,null,6212,null,null,4045,null,null,3638,null,null,79,null,null,3645,null,null,3640,null,null,378,null,null,1946,null,null,4203,null,null,3188,null,null,159,null,null,3188,null,null,3214,null,null,667,null,null,2466,null,null,5772,null,null,5433,null,null,59,null,null,5435,null,null,5461,null,null,1159,null,null,2573,null,null,6504,null,null,6725,null,null,51,null,null,6736,null,null,6663,null,null,1587,null,null,3542,null,null,19
818717,3606,304629,5272,77046,3494,57000,3232,285,232,56715,3225,53864,3275,2851,948,20046,2143,64578,3240,44959,3101,46,77,44913,3092,42214,3115,2699,790,19619,1901,163005,4569,131097,4057,103,167,130994,4041,127102,4038,3892,1030,31908,2275,514088,5467,393853,5768,611,326,393242,5714,379888,6115,13354,1798,120235,4609,3606,null,null,5272,null,null,3494,null,null,3232,null,null,232,null,null,3225,null,null,3275,null,null,948,null,null,2143,null,null,3240,null,null,3101,null,null,77,null,null,3092,null,null,3115,null,null,790,null,null,1901,null,null,4569,null,null,4057,null,null,167,null,null,4041,null,null,4038,null,null,1030,null,null,2275,null,null,5467,null,null,5768,null,null,326,null,null,5714,null,null,6115,null,null,1798,null,null,4609,null,null,20
1293835,4942,456434,7575,103045,5068,74814,4351,289,256,74525,4321,70387,4014,4138,1051,28231,2887,90039,5387,59732,4313,46,80,59686,4291,55042,4016,4644,1322,30307,3132,263350,6379,202599,5667,122,199,202477,5723,192995,5553,9482,1733,60751,3401,837401,8442,553158,9501,528,571,552630,9564,527741,9364,24889,2700,284243,8029,4942,null,null,7575,null,null,5068,null,null,4351,null,null,256,null,null,4321,null,null,4014,null,null,1051,null,null,2887,null,null,5387,null,null,4313,null,null,80,null,null,4291,null,null,4016,null,null,1322,null,null,3132,null,null,6379,null,null,5667,null,null,199,null,null,5723,null,null,5553,null,null,1733,null,null,3401,null,null,8442,null,null,9501,null,null,571,null,null,9564,null,null,9364,null,null,2700,null,null,8029,null,null,21
1386565,4641,481853,9606,112837,6603,81667,5603,100,121,81567,5600,75006,5340,6561,1517,31170,3287,105152,5837,72539,4729,50,86,72489,4737,67691,4908,4798,1313,32613,3402,263864,8066,202881,7681,623,545,202258,7557,192229,7396,10029,1559,60983,4170,904712,10545,597827,10701,701,350,597126,10683,561876,9986,35250,3804,306885,8824,4641,null,null,9606,null,null,6603,null,null,5603,null,null,121,null,null,5600,null,null,5340,null,null,1517,null,null,3287,null,null,5837,null,null,4729,null,null,86,null,null,4737,null,null,4908,null,null,1313,null,null,3402,null,null,8066,null,null,7681,null,null,545,null,null,7557,null,null,7396,null,null,1559,null,null,4170,null,null,10545,null,null,10701,null,null,350,null,null,10683,null,null,9986,null,null,3804,null,null,8824,null,null,22
