B19101C_001E,B19101C_001M,B19101C_002E,B19101C_002M,B19101C_003E,B19101C_003M,B19101C_004E,B19101C_004M,B19101C_005E,B19101C_005M,B19101C_006E,B19101C_006M,B19101C_007E,B19101C_007M,B19101C_008E,B19101C_008M,B19101C_009E,B19101C_009M,B19101C_010E,B19101C_010M,B19101C_011E,B19101C_011M,B19101C_012E,B19101C_012M,B19101C_013E,B19101C_013M,B19101C_014E,B19101C_014M,B19101C_015E,B19101C_015M,B19101C_016E,B19101C_016M,B19101C_017E,B19101C_017M,B19101C_001M,B19101C_001EA,B19101C_001MA,B19101C_002M,B19101C_002EA,B19101C_002MA,B19101C_003M,B19101C_003EA,B19101C_003MA,B19101C_004M,B19101C_004EA,B19101C_004MA,B19101C_005M,B19101C_005EA,B19101C_005MA,B19101C_006M,B19101C_006EA,B19101C_006MA,B19101C_007M,B19101C_007EA,B19101C_007MA,B19101C_008M,B19101C_008EA,B19101C_008MA,B19101C_009M,B19101C_009EA,B19101C_009MA,B19101C_010M,B19101C_010EA,B19101C_010MA,B19101C_011M,B19101C_011EA,B19101C_011MA,B19101C_012M,B19101C_012EA,B19101C_012MA,B19101C_013M,B19101C_013EA,B19101C_013MA,B19101C_014M,B19101C_014EA,B19101C_014MA,B19101C_015M,B19101C_015EA,B19101C_015MA,B19101C_016M,B19101C_016EA,B19101C_016MA,B19101C_017M,B19101C_017EA,B19101C_017MA,state
11690,1748,777,447,417,395,1169,692,592,373,612,385,388,300,499,359,412,295,657,459,1556,631,1086,516,1776,702,842,373,265,169,412,280,230,140,1748,null,null,447,null,null,395,null,null,692,null,null,373,null,null,385,null,null,300,null,null,359,null,null,295,null,null,459,null,null,631,null,null,516,null,null,702,null,null,373,null,null,169,null,null,280,null,null,140,null,null,12
7993,1513,944,515,775,515,682,530,798,431,809,469,467,410,534,401,192,300,123,135,539,379,865,525,433,345,343,213,277,258,144,124,68,74,1513,null,null,515,null,null,515,null,null,530,null,null,431,null,null,469,null,null,410,null,null,401,null,null,300,null,null,135,null,null,379,null,null,525,null,null,345,null,null,213,null,null,258,null,null,124,null,null,74,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
6698,1496,669,397,487,311,186,200,213,181,709,589,237,200,339,302,438,403,517,284,861,535,586,319,159,132,740,514,51,97,230,255,276,271,1496,null,null,397,null,null,311,null,null,200,null,null,181,null,null,589,null,null,200,null,null,302,null,null,403,null,null,284,null,null,535,null,null,319,null,null,132,null,null,514,null,null,97,null,null,255,null,null,271,null,null,16
7101,1233,477,263,204,167,907,566,353,213,454,320,74,95,493,262,207,220,136,176,806,426,694,405,1014,444,386,281,279,238,335,336,282,199,1233,null,null,263,null,null,167,null,null,566,null,null,213,null,null,320,null,null,95,null,null,262,null,null,220,null,null,176,null,null,426,null,null,405,null,null,444,null,null,281,null,null,238,null,null,336,null,null,199,null,null,17
4424,912,141,119,185,194,373,285,293,240,213,182,88,151,506,411,172,150,124,132,465,222,139,102,793,462,374,297,105,147,98,83,355,362,912,null,null,119,null,null,194,null,null,285,null,null,240,null,null,182,null,null,151,null,null,411,null,null,150,null,null,132,null,null,222,null,null,102,null,null,462,null,null,297,null,null,147,null,null,83,null,null,362,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
4498,698,44,63,160,110,263,193,407,256,200,202,437,280,127,138,209,166,259,219,513,242,482,273,858,360,244,204,56,69,196,151,43,50,698,null,null,63,null,null,110,null,null,193,null,null,256,null,null,202,null,null,280,null,null,138,null,null,166,null,null,219,null,null,242,null,null,273,null,null,360,null,null,204,null,null,69,null,null,151,null,null,50,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
6541,1079,477,350,91,139,573,342,290,171,502,402,374,286,250,194,288,234,305,261,429,320,910,495,1091,637,373,300,409,291,119,80,60,91,1079,null,null,350,null,null,139,null,null,342,null,null,171,null,null,402,null,null,286,null,null,194,null,null,234,null,null,261,null,null,320,null,null,495,null,null,637,null,null,300,null,null,291,null,null,80,null,null,91,null,null,22
