B12006_001E,B12006_001M,B12006_002E,B12006_002M,B12006_003E,B12006_003M,B12006_004E,B12006_004M,B12006_005E,B12006_005M,B12006_006E,B12006_006M,B12006_007E,B12006_007M,B12006_008E,B12006_008M,B12006_009E,B12006_009M,B12006_010E,B12006_010M,B12006_011E,B12006_011M,B12006_012E,B12006_012M,B12006_013E,B12006_013M,B12006_014E,B12006_014M,B12006_015E,B12006_015M,B12006_016E,B12006_016M,B12006_017E,B12006_017M,B12006_018E,B12006_018M,B12006_019E,B12006_019M,B12006_020E,B12006_020M,B12006_021E,B12006_021M,B12006_022E,B12006_022M,B12006_023E,B12006_023M,B12006_024E,B12006_024M,B12006_025E,B12006_025M,B12006_026E,B12006_026M,B12006_027E,B12006_027M,B12006_028E,B12006_028M,B12006_029E,B12006_029M,B12006_030E,B12006_030M,B12006_031E,B12006_031M,B12006_032E,B12006_032M,B12006_033E,B12006_033M,B12006_034E,B12006_034M,B12006_035E,B12006_035M,B12006_036E,B12006_036M,B12006_037E,B12006_037M,B12006_038E,B12006_038M,B12006_039E,B12006_039M,B12006_040E,B12006_040M,B12006_041E,B12006_041M,B12006_042E,B12006_042M,B12006_043E,B12006_043M,B12006_044E,B12006_044M,B12006_045E,B12006_045M,B12006_046E,B12006_046M,B12006_047E,B12006_047M,B12006_048E,B12006_048M,B12006_049E,B12006_049M,B12006_050E,B12006_050M,B12006_051E,B12006_051M,B12006_052E,B12006_052M,B12006_053E,B12006_053M,B12006_054E,B12006_054M,B12006_055E,B12006_055M,B12006_056E,B12006_056M,B12006_001M,B12006_001EA,B12006_001MA,B12006_002M,B12006_002EA,B12006_002MA,B12006_003M,B12006_003EA,B12006_003MA,B12006_004M,B12006_004EA,B12006_004MA,B12006_005M,B12006_005EA,B12006_005MA,B12006_006M,B12006_006EA,B12006_006MA,B12006_007M,B12006_007EA,B12006_007MA,B12006_008M,B12006_008EA,B12006_008MA,B12006_009M,B12006_009EA,B12006_009MA,B12006_010M,B12006_010EA,B12006_010MA,B12006_011M,B12006_011EA,B12006_011MA,B12006_012M,B12006_012EA,B12006_012MA,B12006_013M,B12006_013EA,B12006_013MA,B12006_014M,B12006_014EA,B12006_014MA,B12006_015M,B12006_015EA,B12006_015MA,B12006_016M,B12006_016EA,B12006_016MA,B12006_017M,B12006_017EA,B12006_017MA,B12006_018M,B12006_018EA,B12006_018MA,B12006_019M,B12006_019EA,B12006_019MA,B12006_020M,B12006_020EA,B12006_020MA,B12006_021M,B12006_021EA,B12006_021MA,B12006_022M,B12006_022EA,B12006_022MA,B12006_023M,B12006_023EA,B12006_023MA,B12006_024M,B12006_024EA,B12006_024MA,B12006_025M,B12006_025EA,B12006_025MA,B12006_026M,B12006_026EA,B12006_026MA,B12006_027M,B12006_027EA,B12006_027MA,B12006_028M,B12006_028EA,B12006_028MA,B12006_029M,B12006_029EA,B12006_029MA,B12006_030M,B12006_030EA,B12006_030MA,B12006_031M,B12006_031EA,B12006_031MA,B12006_032M,B12006_032EA,B12006_032MA,B12006_033M,B12006_033EA,B12006_033MA,B12006_034M,B12006_034EA,B12006_034MA,B12006_035M,B12006_035EA,B12006_035MA,B12006_036M,B12006_036EA,B12006_036MA,B12006_037M,B12006_037EA,B12006_037MA,B12006_038M,B12006_038EA,B12006_038MA,B12006_039M,B12006_039EA,B12006_039MA,B12006_040M,B12006_040EA,B12006_040MA,B12006_041M,B12006_041EA,B12006_041MA,B12006_042M,B12006_042EA,B12006_042MA,B12006_043M,B12006_043EA,B12006_043MA,B12006_044M,B12006_044EA,B12006_044MA,B12006_045M,B12006_045EA,B12006_045MA,B12006_046M,B12006_046EA,B12006_046MA,B12006_047M,B12006_047EA,B12006_047MA,B12006_048M,B12006_048EA,B12006_048MA,B12006_049M,B12006_049EA,B12006_049MA,B12006_050M,B12006_050EA,B12006_050MA,B12006_051M,B12006_051EA,B12006_051MA,B12006_052M,B12006_052EA,B12006_052MA,B12006_053M,B12006_053EA,B12006_053MA,B12006_054M,B12006_054EA,B12006_054MA,B12006_055M,B12006_055EA,B12006_055MA,B12006_056M,B12006_056EA,B12006_056MA,state
16950176,9323,5228012,33807,2804079,20534,1845484,21830,1672305,22021,173179,7762,958595,18238,2423933,22126,1569257,20457,1433361,19977,135896,6701,854676,17318,7865471,43371,3993664,23468,2573083,19490,2496730,18939,76353,5555,1420581,14148,3871807,27637,2044197,21421,1959567,20971,84630,4680,1827610,19789,406989,11769,166198,7214,110330,6655,101591,6454,8739,1660,55868,4227,240791,8355,158714,7747,144655,7314,14059,2637,82077,5625,1191073,16552,273081,10155,55910,4519,52284,4402,3626,1039,217171,8241,917992,13173,143163,5981,135743,5882,7420,1791,774829,12495,2258631,23582,961672,13062,581614,10210,546289,9827,35325,3290,380058,10659,1296959,18978,786258,14836,739585,14319,46673,4610,510701,12697,9323,null,null,33807,null,null,20534,null,null,21830,null,null,22021,null,null,7762,null,null,18238,null,null,22126,null,null,20457,null,null,19977,null,null,6701,null,null,17318,null,null,43371,null,null,23468,null,null,19490,null,null,18939,null,null,5555,null,null,14148,null,null,27637,null,null,21421,null,null,20971,null,null,4680,null,null,19789,null,null,11769,null,null,7214,null,null,6655,null,null,6454,null,null,1660,null,null,4227,null,null,8355,null,null,7747,null,null,7314,null,null,2637,null,null,5625,null,null,16552,null,null,10155,null,null,4519,null,null,4402,null,null,1039,null,null,8241,null,null,13173,null,null,5981,null,null,5882,null,null,1791,null,null,12495,null,null,23582,null,null,13062,null,null,10210,null,null,9827,null,null,3290,null,null,10659,null,null,18978,null,null,14836,null,null,14319,null,null,4610,null,null,12697,null,null,12
8085411,7721,2657327,24575,1384915,16714,885930,15518,791564,15255,94366,6305,498985,10525,1272412,14767,833963,15508,758445,15263,75518,5283,438449,12062,3833766,34018,1933382,20210,1437816,18095,1404303,18163,33513,2869,495566,8677,1900384,18543,1119276,15639,1075200,15516,44076,3817,781108,14026,187654,8943,71998,5915,43378,4094,39091,4000,4287,1247,28620,3604,115656,6530,74353,5609,64939,5132,9414,2399,41303,4215,457215,10474,97612,5015,23211,3149,22396,3176,815,440,74401,4170,359603,8585,68339,4407,64579,4375,3760,1311,291264,7319,949449,17457,394937,12220,250277,10540,236195,10074,14082,2297,144660,6427,554512,12566,348744,10682,328046,9963,20698,2859,205768,7272,7721,null,null,24575,null,null,16714,null,null,15518,null,null,15255,null,null,6305,null,null,10525,null,null,14767,null,null,15508,null,null,15263,null,null,5283,null,null,12062,null,null,34018,null,null,20210,null,null,18095,null,null,18163,null,null,2869,null,null,8677,null,null,18543,null,null,15639,null,null,15516,null,null,3817,null,null,14026,null,null,8943,null,null,5915,null,null,4094,null,null,4000,null,null,1247,null,null,3604,null,null,6530,null,null,5609,null,null,5132,null,null,2399,null,null,4215,null,null,10474,null,null,5015,null,null,3149,null,null,3176,null,null,440,null,null,4170,null,null,8585,null,null,4407,null,null,4375,null,null,1311,null,null,7319,null,null,17457,null,null,12220,null,null,10540,null,null,10074,null,null,2297,null,null,6427,null,null,12566,null,null,10682,null,null,9963,null,null,2859,null,null,7272,null,null,13
1152321,1857,378883,7957,216509,5814,158549,5452,147807,5537,10742,1891,57960,2707,162374,4479,109604,4812,103641,4381,5963,1175,52770,3411,575968,10153,288783,6499,210031,5786,205964,5772,4067,868,78752,3160,287185,5562,182988,4648,176079,4504,6909,1600,104197,4387,16055,2566,7270,1631,4233,1278,4233,1278,0,185,3037,1036,8785,1586,6009,1438,5784,1366,225,346,2776,957,75483,3072,15727,1628,4835,1237,4314,1104,521,520,10892,1119,59756,2785,11892,1678,11636,1632,256,197,47864,2255,105932,4737,48137,3318,30747,2875,29272,2847,1475,501,17390,1958,57795,3358,37722,2851,36084,2907,1638,740,20073,1764,1857,null,null,7957,null,null,5814,null,null,5452,null,null,5537,null,null,1891,null,null,2707,null,null,4479,null,null,4812,null,null,4381,null,null,1175,null,null,3411,null,null,10153,null,null,6499,null,null,5786,null,null,5772,null,null,868,null,null,3160,null,null,5562,null,null,4648,null,null,4504,null,null,1600,null,null,4387,null,null,2566,null,null,1631,null,null,1278,null,null,1278,null,null,185,null,null,1036,null,null,1586,null,null,1438,null,null,1366,null,null,346,null,null,957,null,null,3072,null,null,1628,null,null,1237,null,null,1104,null,null,520,null,null,1119,null,null,2785,null,null,1678,null,null,1632,null,null,197,null,null,2255,null,null,4737,null,null,3318,null,null,2875,null,null,2847,null,null,501,null,null,1958,null,null,3358,null,null,2851,null,null,2907,null,null,740,null,null,1764,null,null,15
1296599,2599,339993,10545,189173,6636,130737,6424,118373,6161,12364,2110,58436,3976,150820,6204,100404,4760,91237,4668,9167,1616,50416,3964,712043,14018,356938,7624,258702,7695,253396,7819,5306,1308,98236,4283,355105,8522,194420,6587,189749,6619,4671,1200,160685,5794,15973,2299,7090,1546,4754,1374,4357,1326,397,301,2336,709,8883,1819,6192,1454,5719,1401,473,436,2691,1130,64206,3333,16316,1826,4011,1074,3731,1052,280,307,12305,1646,47890,2629,7460,1310,7155,1260,305,239,40430,2310,164384,8104,73512,4961,42013,3765,39845,3675,2168,728,31499,2978,90872,5074,54689,3562,52317,3444,2372,866,36183,2791,2599,null,null,10545,null,null,6636,null,null,6424,null,null,6161,null,null,2110,null,null,3976,null,null,6204,null,null,4760,null,null,4668,null,null,1616,null,null,3964,null,null,14018,null,null,7624,null,null,7695,null,null,7819,null,null,1308,null,null,4283,null,null,8522,null,null,6587,null,null,6619,null,null,1200,null,null,5794,null,null,2299,null,null,1546,null,null,1374,null,null,1326,null,null,301,null,null,709,null,null,1819,null,null,1454,null,null,1401,null,null,436,null,null,1130,null,null,3333,null,null,1826,null,null,1074,null,null,1052,null,null,307,null,null,1646,null,null,2629,null,null,1310,null,null,1260,null,null,239,null,null,2310,null,null,8104,null,null,4961,null,null,3765,null,null,3675,null,null,728,null,null,2978,null,null,5074,null,null,3562,null,null,3444,null,null,866,null,null,2791,null,null,16
10222986,6129,3518444,24836,1851001,14860,1272542,14660,1137412,14930,135130,6086,578459,11261,1667443,14259,1151504,12391,1043135,12177,108369,4889,515939,11849,4891344,30956,2472015,16839,1846479,17460,1789274,17615,57205,3671,625536,8510,2419329,17886,1494263,15551,1437104,14923,57159,4027,925066,13529,169413,6163,70732,4252,48613,3469,43750,3174,4863,1338,22119,2401,98681,4473,66177,3720,60311,3610,5866,1375,32504,2747,608724,10575,134223,5297,32181,2678,30184,2497,1997,597,102042,4024,474501,7811,87570,4472,82615,4311,4955,997,386931,7113,1035061,15730,439085,9038,286040,7696,263534,7391,22506,2251,153045,5326,595976,11236,382986,9924,361937,9327,21049,2358,212990,6950,6129,null,null,24836,null,null,14860,null,null,14660,null,null,14930,null,null,6086,null,null,11261,null,null,14259,null,null,12391,null,null,12177,null,null,4889,null,null,11849,null,null,30956,null,null,16839,null,null,17460,null,null,17615,null,null,3671,null,null,8510,null,null,17886,null,null,15551,null,null,14923,null,null,4027,null,null,13529,null,null,6163,null,null,4252,null,null,3469,null,null,3174,null,null,1338,null,null,2401,null,null,4473,null,null,3720,null,null,3610,null,null,1375,null,null,2747,null,null,10575,null,null,5297,null,null,2678,null,null,2497,null,null,597,null,null,4024,null,null,7811,null,null,4472,null,null,4311,null,null,997,null,null,7113,null,null,15730,null,null,9038,null,null,7696,null,null,7391,null,null,2251,null,null,5326,null,null,11236,null,null,9924,null,null,9327,null,null,2358,null,null,6950,null,null,17
5239497,4973,1589270,15419,853141,10000,567941,8709,513385,9023,54556,3802,285200,7772,736129,9317,501146,9586,460669,9590,40477,3557,234983,7410,2589665,20423,1297947,11465,950297,10820,929477,11070,20820,2296,347650,7579,1291718,13058,781920,11572,759962,11202,21958,2617,509798,9183,75176,5000,31583,2870,22066,2699,19878,2574,2188,933,9517,1569,43593,3599,30769,2860,27517,2489,3252,1029,12824,1905,313294,6293,69974,3679,16411,1887,15619,1853,792,475,53563,3151,243320,5628,42738,3469,41301,3315,1437,550,200582,5008,672092,13009,299785,8114,190299,7243,179252,7045,11047,1683,109486,4851,372307,8832,232116,7364,221428,7310,10688,1593,140191,6778,4973,null,null,15419,null,null,10000,null,null,8709,null,null,9023,null,null,3802,null,null,7772,null,null,9317,null,null,9586,null,null,9590,null,null,3557,null,null,7410,null,null,20423,null,null,11465,null,null,10820,null,null,11070,null,null,2296,null,null,7579,null,null,13058,null,null,11572,null,null,11202,null,null,2617,null,null,9183,null,null,5000,null,null,2870,null,null,2699,null,null,2574,null,null,933,null,null,1569,null,null,3599,null,null,2860,null,null,2489,null,null,1029,null,null,1905,null,null,6293,null,null,3679,null,null,1887,null,null,1853,null,null,475,null,null,3151,null,null,5628,null,null,3469,null,null,3315,null,null,550,null,null,5008,null,null,13009,null,null,8114,null,null,7243,null,null,7045,null,null,1683,null,null,4851,null,null,8832,null,null,7364,null,null,7310,null,null,1593,null,null,6778,null,null,18
2489194,2704,713166,11656,397400,7607,287047,6081,263820,5724,23227,2452,110353,4986,315766,6259,232090,5619,217712,5466,14378,2113,83676,4077,1320538,15198,661092,8202,497504,8412,488724,8563,8780,1411,163588,4050,659446,8867,428149,7528,419965,7584,8184,1291,231297,5006,28687,2379,11784,1824,8038,1407,7869,1409,169,153,3746,1006,16903,2025,12061,1689,10762,1620,1299,519,4842,1158,154130,4498,32941,2413,7907,1444,7664,1432,243,236,25034,1998,121189,3778,20334,2066,19991,2060,343,207,100855,3168,272673,7082,123573,4485,86318,4423,81367,4194,4951,1321,37255,2118,149100,5135,102007,4225,97352,4112,4655,1072,47093,2806,2704,null,null,11656,null,null,7607,null,null,6081,null,null,5724,null,null,2452,null,null,4986,null,null,6259,null,null,5619,null,null,5466,null,null,2113,null,null,4077,null,null,15198,null,null,8202,null,null,8412,null,null,8563,null,null,1411,null,null,4050,null,null,8867,null,null,7528,null,null,7584,null,null,1291,null,null,5006,null,null,2379,null,null,1824,null,null,1407,null,null,1409,null,null,153,null,null,1006,null,null,2025,null,null,1689,null,null,1620,null,null,519,null,null,1158,null,null,4498,null,null,2413,null,null,1444,null,null,1432,null,null,236,null,null,1998,null,null,3778,null,null,2066,null,null,2060,null,null,207,null,null,3168,null,null,7082,null,null,4485,null,null,4423,null,null,4194,null,null,1321,null,null,2118,null,null,5135,null,null,4225,null,null,4112,null,null,1072,null,null,2806,null,null,19
2273338,3474,658160,10954,368139,7539,257359,7477,232842,6985,24517,3023,110780,3977,290021,6856,203295,6330,189204,6098,14091,2158,86726,4096,1177569,15854,590283,8812,448797,8013,440307,8053,8490,1187,141486,3826,587286,9383,369397,7778,361164,7737,8233,1151,217889,5271,30481,2845,11980,1710,8082,1582,7444,1529,638,391,3898,901,18501,2218,12614,1819,11200,1675,1414,625,5887,1502,139552,5351,32076,2454,8481,1402,7849,1327,632,312,23595,1999,107476,4164,22268,1891,21554,1940,714,331,85208,3678,267576,8015,121235,4982,78340,4344,73887,4223,4453,1018,42895,2737,146341,5297,99512,4784,95691,4820,3821,1019,46829,2899,3474,null,null,10954,null,null,7539,null,null,7477,null,null,6985,null,null,3023,null,null,3977,null,null,6856,null,null,6330,null,null,6098,null,null,2158,null,null,4096,null,null,15854,null,null,8812,null,null,8013,null,null,8053,null,null,1187,null,null,3826,null,null,9383,null,null,7778,null,null,7737,null,null,1151,null,null,5271,null,null,2845,null,null,1710,null,null,1582,null,null,1529,null,null,391,null,null,901,null,null,2218,null,null,1819,null,null,1675,null,null,625,null,null,1502,null,null,5351,null,null,2454,null,null,1402,null,null,1327,null,null,312,null,null,1999,null,null,4164,null,null,1891,null,null,1940,null,null,331,null,null,3678,null,null,8015,null,null,4982,null,null,4344,null,null,4223,null,null,1018,null,null,2737,null,null,5297,null,null,4784,null,null,4820,null,null,1019,null,null,2899,null,null,20
3542057,4236,1010219,12988,550804,8696,349569,8849,309322,8338,40247,3764,201235,6161,459415,8172,296616,7033,269440,6794,27176,2662,162799,6391,1734710,20875,873049,11997,593717,11011,576764,11211,16953,2240,279332,5924,861661,11140,495370,10579,479181,10323,16189,2253,366291,7958,79376,5424,30931,3278,16710,2436,15908,2293,802,520,14221,2099,48445,3631,27568,2574,24047,2200,3521,1097,20877,2286,241155,5405,55953,3554,11457,1457,10671,1496,786,447,44496,3275,185202,4345,30413,3009,29191,2902,1222,523,154789,3422,476597,10621,213093,7142,120964,5335,110958,5185,10006,1791,92129,3959,263504,6866,150910,6356,143135,6193,7775,1756,112594,4422,4236,null,null,12988,null,null,8696,null,null,8849,null,null,8338,null,null,3764,null,null,6161,null,null,8172,null,null,7033,null,null,6794,null,null,2662,null,null,6391,null,null,20875,null,null,11997,null,null,11011,null,null,11211,null,null,2240,null,null,5924,null,null,11140,null,null,10579,null,null,10323,null,null,2253,null,null,7958,null,null,5424,null,null,3278,null,null,2436,null,null,2293,null,null,520,null,null,2099,null,null,3631,null,null,2574,null,null,2200,null,null,1097,null,null,2286,null,null,5405,null,null,3554,null,null,1457,null,null,1496,null,null,447,null,null,3275,null,null,4345,null,null,3009,null,null,2902,null,null,523,null,null,3422,null,null,10621,null,null,7142,null,null,5335,null,null,5185,null,null,1791,null,null,3959,null,null,6866,null,null,6356,null,null,6193,null,null,1756,null,null,4422,null,null,21
3690800,4784,1306667,16232,696142,10118,412071,9154,355291,8871,56780,4595,284071,9236,610525,10629,387804,8624,349350,8134,38454,3434,222721,7529,1594425,20727,805247,11260,567919,9622,551789,9227,16130,2419,237328,5975,789178,12243,441359,10848,428896,10959,12463,1743,347819,8491,96403,5676,39260,3285,24095,2910,21816,2793,2279,912,15165,1974,57143,4743,36418,3548,31966,3529,4452,1045,20725,2711,230814,6328,48297,3106,10851,1578,10455,1518,396,308,37446,2735,182517,5448,33058,2507,31499,2440,1559,725,149459,4876,462491,12698,196651,6785,113121,5427,104673,5371,8448,1673,83530,5070,265840,9597,161711,7398,151461,6963,10250,1822,104129,5250,4784,null,null,16232,null,null,10118,null,null,9154,null,null,8871,null,null,4595,null,null,9236,null,null,10629,null,null,8624,null,null,8134,null,null,3434,null,null,7529,null,null,20727,null,null,11260,null,null,9622,null,null,9227,null,null,2419,null,null,5975,null,null,12243,null,null,10848,null,null,10959,null,null,1743,null,null,8491,null,null,5676,null,null,3285,null,null,2910,null,null,2793,null,null,912,null,null,1974,null,null,4743,null,null,3548,null,null,3529,null,null,1045,null,null,2711,null,null,6328,null,null,3106,null,null,1578,null,null,1518,null,null,308,null,null,2735,null,null,5448,null,null,2507,null,null,2440,null,null,725,null,null,4876,null,null,12698,null,null,6785,null,null,5427,null,null,5371,null,null,1673,null,null,5070,null,null,9597,null,null,7398,null,null,6963,null,null,1822,null,null,5250,null,null,22
