B12504_001E,B12504_001M,B12504_002E,B12504_002M,B12504_003E,B12504_003M,B12504_004E,B12504_004M,B12504_005E,B12504_005M,B12504_006E,B12504_006M,B12504_007E,B12504_007M,B12504_008E,B12504_008M,B12504_009E,B12504_009M,B12504_001M,B12504_001EA,B12504_001MA,B12504_002M,B12504_002EA,B12504_002MA,B12504_003M,B12504_003EA,B12504_003MA,B12504_004M,B12504_004EA,B12504_004MA,B12504_005M,B12504_005EA,B12504_005MA,B12504_006M,B12504_006EA,B12504_006MA,B12504_007M,B12504_007EA,B12504_007MA,B12504_008M,B12504_008EA,B12504_008MA,B12504_009M,B12504_009EA,B12504_009MA,state
20.7,0.2,20.6,0.2,21.6,0.3,12.6,1.0,15.4,0.8,20.8,0.2,21.6,0.2,14.5,1.3,16.4,0.7,0.2,null,null,0.2,null,null,0.3,null,null,1.0,null,null,0.8,null,null,0.2,null,null,0.2,null,null,1.3,null,null,0.7,null,null,12
18.1,0.2,18.2,0.2,18.7,0.2,10.7,1.1,15.4,1.0,18.1,0.3,18.8,0.3,11.7,1.4,14.5,1.1,0.2,null,null,0.2,null,null,0.2,null,null,1.1,null,null,1.0,null,null,0.3,null,null,0.3,null,null,1.4,null,null,1.1,null,null,13
17.9,0.6,17.8,0.6,18.5,0.9,12.4,2.6,16.8,2.5,18.1,0.7,18.7,0.9,13.8,2.0,16.1,8.2,0.6,null,null,0.6,null,null,0.9,null,null,2.6,null,null,2.5,null,null,0.7,null,null,0.9,null,null,2.0,null,null,8.2,null,null,15
18.9,0.6,19.2,0.7,19.8,0.6,11.5,4.2,16.5,1.3,18.7,0.6,19.3,0.7,10.0,3.0,12.6,2.3,0.6,null,null,0.7,null,null,0.6,null,null,4.2,null,null,1.3,null,null,0.6,null,null,0.7,null,null,3.0,null,null,2.3,null,null,16
20.4,0.2,20.3,0.2,20.7,0.2,13.6,1.4,16.5,0.8,20.5,0.2,20.9,0.3,14.7,1.6,16.5,0.9,0.2,null,null,0.2,null,null,0.2,null,null,1.4,null,null,0.8,null,null,0.2,null,null,0.3,null,null,1.6,null,null,0.9,null,null,17
20.3,0.2,20.4,0.2,20.9,0.3,11.7,2.0,15.1,1.1,20.1,0.3,20.7,0.3,10.1,1.3,13.0,1.2,0.2,null,null,0.2,null,null,0.3,null,null,2.0,null,null,1.1,null,null,0.3,null,null,0.3,null,null,1.3,null,null,1.2,null,null,18
21.5,0.4,21.6,0.4,22.0,0.5,15.8,4.4,11.4,1.2,21.4,0.4,21.8,0.4,18.0,3.6,12.4,2.4,0.4,null,null,0.4,null,null,0.5,null,null,4.4,null,null,1.2,null,null,0.4,null,null,0.4,null,null,3.6,null,null,2.4,null,null,19
19.6,0.4,19.8,0.4,20.2,0.4,15.1,1.7,14.6,2.8,19.5,0.4,20.1,0.4,9.9,2.6,15.0,1.8,0.4,null,null,0.4,null,null,0.4,null,null,1.7,null,null,2.8,null,null,0.4,null,null,0.4,null,null,2.6,null,null,1.8,null,null,20
20.2,0.4,20.2,0.4,20.8,0.4,10.5,1.6,16.0,1.1,20.1,0.4,20.9,0.4,15.7,1.8,12.7,1.1,0.4,null,null,0.4,null,null,0.4,null,null,1.6,null,null,1.1,null,null,0.4,null,null,0.4,null,null,1.8,null,null,1.1,null,null,21
19.3,0.4,19.2,0.4,20.3,0.4,12.0,1.0,13.9,0.8,19.4,0.5,20.5,0.4,11.4,2.0,13.6,1.3,0.4,null,null,0.4,null,null,0.4,null,null,1.0,null,null,0.8,null,null,0.5,null,null,0.4,null,null,2.0,null,null,1.3,null,null,22
22.4,0.6,22.8,0.7,22.9,0.7,22.3,5.8,19.2,9.9,21.9,0.6,22.1,0.6,18.9,14.2,19.3,1.9,0.6,null,null,0.7,null,null,0.7,null,null,5.8,null,null,9.9,null,null,0.6,null,null,0.6,null,null,14.2,null,null,1.9,null,null,23
