B14001_001E,B14001_001M,B14001_002E,B14001_002M,B14001_003E,B14001_003M,B14001_004E,B14001_004M,B14001_005E,B14001_005M,B14001_006E,B14001_006M,B14001_007E,B14001_007M,B14001_008E,B14001_008M,B14001_009E,B14001_009M,B14001_010E,B14001_010M,B14001_001M,B14001_001EA,B14001_001MA,B14001_002M,B14001_002EA,B14001_002MA,B14001_003M,B14001_003EA,B14001_003MA,B14001_004M,B14001_004EA,B14001_004MA,B14001_005M,B14001_005EA,B14001_005MA,B14001_006M,B14001_006EA,B14001_006MA,B14001_007M,B14001_007EA,B14001_007MA,B14001_008M,B14001_008EA,B14001_008MA,B14001_009M,B14001_009EA,B14001_009MA,B14001_010M,B14001_010EA,B14001_010MA,state
19944148,9362,4718808,25670,284728,9833,230962,10007,911583,16859,931475,17834,992412,12156,1125217,18426,242431,10078,15225340,22949,9362,null,null,25670,null,null,9833,null,null,10007,null,null,16859,null,null,17834,null,null,12156,null,null,18426,null,null,10078,null,null,22949,null,null,12
9922591,8143,2747236,17155,168465,7381,139268,6175,566516,11187,581202,12018,589201,8921,576421,12745,126163,6588,7175355,16814,8143,null,null,17155,null,null,7381,null,null,6175,null,null,11187,null,null,12018,null,null,8921,null,null,12745,null,null,6588,null,null,16814,null,null,13
1374882,2411,331540,5911,23628,2272,16245,2214,61052,3021,67704,2827,63001,2843,80763,3802,19147,2107,1043342,5940,2411,null,null,5911,null,null,2272,null,null,2214,null,null,3021,null,null,2827,null,null,2843,null,null,3802,null,null,2107,null,null,5940,null,null,15
1616630,2710,454191,7745,22817,2540,22497,2464,99699,3722,97904,4285,98421,3166,94518,5449,18335,2374,1162439,7383,2710,null,null,7745,null,null,2540,null,null,2464,null,null,3722,null,null,4285,null,null,3166,null,null,5449,null,null,2374,null,null,7383,null,null,16
12343102,7261,3286606,15903,224254,7431,160333,6331,648117,11162,663810,11040,695062,7279,695704,11335,199326,7246,9056496,15879,7261,null,null,15903,null,null,7431,null,null,6331,null,null,11162,null,null,11040,null,null,7279,null,null,11335,null,null,7246,null,null,15879,null,null,17
6387865,5194,1684219,12275,102982,4818,88555,5142,362719,6733,344888,7672,362276,5905,352881,9099,69918,4812,4703646,12461,5194,null,null,12275,null,null,4818,null,null,5142,null,null,6733,null,null,7672,null,null,5905,null,null,9099,null,null,4812,null,null,12461,null,null,18
3017234,3353,804741,6577,55658,3537,41695,3043,160955,4996,161330,4984,160787,3819,185622,5637,38694,3713,2212493,6770,3353,null,null,6577,null,null,3537,null,null,3043,null,null,4996,null,null,4984,null,null,3819,null,null,5637,null,null,3713,null,null,6770,null,null,19
2789271,3180,774902,8505,50128,3237,39302,3108,158123,4157,160069,4960,158802,4085,167829,6237,40649,3072,2014369,8255,3180,null,null,8505,null,null,3237,null,null,3108,null,null,4157,null,null,4960,null,null,4085,null,null,6237,null,null,3072,null,null,8255,null,null,20
4275617,4122,1085033,11236,62109,3957,52439,3290,231627,5508,228054,6168,234080,5763,228750,7889,47974,3726,3190584,10749,4122,null,null,11236,null,null,3957,null,null,3290,null,null,5508,null,null,6168,null,null,5763,null,null,7889,null,null,3726,null,null,10749,null,null,21
4492545,6358,1172916,10055,76515,5319,58564,4421,256040,7685,252347,7826,252067,7102,231882,7411,45501,3953,3319629,8987,6358,null,null,10055,null,null,5319,null,null,4421,null,null,7685,null,null,7826,null,null,7102,null,null,7411,null,null,3953,null,null,8987,null,null,22
