B09001_001E,B09001_001M,B09001_002E,B09001_002M,B09001_003E,B09001_003M,B09001_004E,B09001_004M,B09001_005E,B09001_005M,B09001_006E,B09001_006M,B09001_007E,B09001_007M,B09001_008E,B09001_008M,B09001_009E,B09001_009M,B09001_010E,B09001_010M,B09001_001M,B09001_001EA,B09001_001MA,B09001_002M,B09001_002EA,B09001_002MA,B09001_003M,B09001_003EA,B09001_003MA,B09001_004M,B09001_004EA,B09001_004MA,B09001_005M,B09001_005EA,B09001_005MA,B09001_006M,B09001_006EA,B09001_006MA,B09001_007M,B09001_007EA,B09001_007MA,B09001_008M,B09001_008EA,B09001_008MA,B09001_009M,B09001_009EA,B09001_009MA,B09001_010M,B09001_010EA,B09001_010MA,state
4145140,3958,4133530,4293,667966,9365,448761,9118,222250,9106,667524,14874,711691,13393,696407,16627,718931,3977,11610,1030,3958,null,null,4293,null,null,9365,null,null,9118,null,null,9106,null,null,14874,null,null,13393,null,null,16627,null,null,3977,null,null,1030,null,null,12
2510610,3089,2505372,3168,387780,8143,267077,7665,124500,5847,428581,11203,434413,10194,435425,10532,427596,4103,5238,576,3089,null,null,3168,null,null,8143,null,null,7665,null,null,5847,null,null,11203,null,null,10194,null,null,10532,null,null,4103,null,null,576,null,null,13
307765,757,306859,839,53112,2518,37047,2413,18453,2170,50308,2611,50615,3057,50238,2706,47086,1078,906,569,757,null,null,839,null,null,2518,null,null,2413,null,null,2170,null,null,2611,null,null,3057,null,null,2706,null,null,1078,null,null,569,null,null,15
436457,1370,435239,1362,66507,2710,47633,2762,22346,2733,76248,3398,76297,3249,73009,3893,73199,1540,1218,240,1370,null,null,1362,null,null,2710,null,null,2762,null,null,2733,null,null,3398,null,null,3249,null,null,3893,null,null,1540,null,null,240,null,null,16
2922719,2483,2918089,2744,458341,7233,310970,6596,152676,5930,481080,9176,503845,8811,499772,9213,511405,2699,4630,1268,2483,null,null,2744,null,null,7233,null,null,6596,null,null,5930,null,null,9176,null,null,8811,null,null,9213,null,null,2699,null,null,1268,null,null,17
1577533,3248,1571675,3373,244726,5221,175179,5051,84166,4898,271726,6332,265738,6434,258218,6935,271922,2247,5858,724,3248,null,null,3373,null,null,5221,null,null,5051,null,null,4898,null,null,6332,null,null,6434,null,null,6935,null,null,2247,null,null,724,null,null,18
726967,1893,724575,1944,117459,3353,79936,3426,39979,2980,121252,4301,127241,4701,118552,4634,120156,1546,2392,269,1893,null,null,1944,null,null,3353,null,null,3426,null,null,2980,null,null,4301,null,null,4701,null,null,4634,null,null,1546,null,null,269,null,null,19
714919,2390,712627,2422,117913,3221,79388,3324,38245,2953,121229,4461,120800,4508,118791,4968,116261,1745,2292,370,2390,null,null,2422,null,null,3221,null,null,3324,null,null,2953,null,null,4461,null,null,4508,null,null,4968,null,null,1745,null,null,370,null,null,20
1012457,3126,1009088,3138,161357,4122,111592,3985,48576,3779,173044,4799,176048,5734,165123,5856,173348,2113,3369,503,3126,null,null,3138,null,null,4122,null,null,3985,null,null,3779,null,null,4799,null,null,5734,null,null,5856,null,null,2113,null,null,503,null,null,21
1117281,2324,1115188,2300,189121,6358,117842,5914,58945,4672,178962,6320,195296,6367,188671,6730,186351,2807,2093,306,2324,null,null,2300,null,null,6358,null,null,5914,null,null,4672,null,null,6320,null,null,6367,null,null,6730,null,null,2807,null,null,306,null,null,22
254951,952,254167,1078,35605,2030,28336,1820,15046,1972,45685,2652,40147,2608,42878,2414,46470,1223,784,407,952,null,null,1078,null,null,2030,null,null,1820,null,null,1972,null,null,2652,null,null,2608,null,null,2414,null,null,1223,null,null,407,null,null,23
1346152,1207,1343370,1265,213628,4827,149267,4966,71005,4353,227731,6239,229947,6261,222177,6352,229615,1481,2782,450,1207,null,null,1265,null,null,4827,null,null,4966,null,null,4353,null,null,6239,null,null,6261,null,null,6352,null,null,1481,null,null,450,null,null,24
1378947,1077,1372524,1602,207087,4840,152288,4816,72404,4418,213671,6066,236033,6072,244063,7402,246978,1672,6423,1166,1077,null,null,1602,null,null,4840,null,null,4816,null,null,4418,null,null,6066,null,null,6072,null,null,7402,null,null,1672,null,null,1166,null,null,25
2191183,2017,2185062,2225,338449,5401,233153,5579,115355,5106,355909,6958,372349,7784,373340,7733,396507,2183,6121,849,2017,null,null,2225,null,null,5401,null,null,5579,null,null,5106,null,null,6958,null,null,7784,null,null,7733,null,null,2183,null,null,849,null,null,26
1288623,2282,1283276,2487,205301,4234,145291,4038,68947,3949,222695,5614,214168,4497,213486,5584,213388,1529,5347,1122,2282,null,null,2487,null,null,4234,null,null,4038,null,null,3949,null,null,5614,null,null,4497,null,null,5584,null,null,1529,null,null,1122,null,null,27
723153,2331,720552,2434,115488,4999,71254,4274,36829,3490,126364,4981,128443,5280,121075,5561,121099,2244,2601,335,2331,null,null,2434,null,null,4999,null,null,4274,null,null,3490,null,null,4981,null,null,5280,null,null,5561,null,null,2244,null,null,335,null,null,28
