C19201_001E,C19201_001M,C19201_002E,C19201_002M,C19201_003E,C19201_003M,C19201_004E,C19201_004M,C19201_005E,C19201_005M,C19201_006E,C19201_006M,C19201_007E,C19201_007M,C19201_008E,C19201_008M,C19201_009E,C19201_009M,C19201_010E,C19201_010M,C19201_011E,C19201_011M,C19201_001M,C19201_001EA,C19201_001MA,C19201_002M,C19201_002EA,C19201_002MA,C19201_003M,C19201_003EA,C19201_003MA,C19201_004M,C19201_004EA,C19201_004MA,C19201_005M,C19201_005EA,C19201_005MA,C19201_006M,C19201_006EA,C19201_006MA,C19201_007M,C19201_007EA,C19201_007MA,C19201_008M,C19201_008EA,C19201_008MA,C19201_009M,C19201_009EA,C19201_009MA,C19201_010M,C19201_010EA,C19201_010MA,C19201_011M,C19201_011EA,C19201_011MA,state
2708995,23001,361429,10743,247741,8726,442045,10839,372709,9949,417064,11589,419033,10881,192328,6467,154947,6545,46797,3742,54902,3522,23001,null,null,10743,null,null,8726,null,null,10839,null,null,9949,null,null,11589,null,null,10881,null,null,6467,null,null,6545,null,null,3742,null,null,3522,null,null,12
1207132,14964,168962,7722,116420,5029,187366,7726,147660,6612,186577,8380,196879,7908,92277,5896,71889,4646,19067,2320,20035,2076,14964,null,null,7722,null,null,5029,null,null,7726,null,null,6612,null,null,8380,null,null,7908,null,null,5896,null,null,4646,null,null,2320,null,null,2076,null,null,13
140363,5041,18481,2115,10781,1825,16508,1978,12505,1740,20003,1879,25120,2264,13882,1906,14109,1683,4410,1084,4564,1087,5041,null,null,2115,null,null,1825,null,null,1978,null,null,1740,null,null,1879,null,null,2264,null,null,1906,null,null,1683,null,null,1084,null,null,1087,null,null,15
199255,6420,31335,2978,21152,2480,35524,2628,26228,2493,31947,3065,29282,2745,11351,1511,9057,1742,1735,689,1644,559,6420,null,null,2978,null,null,2480,null,null,2628,null,null,2493,null,null,3065,null,null,2745,null,null,1511,null,null,1742,null,null,689,null,null,559,null,null,16
1721433,16439,230153,8075,141373,5556,261012,7603,208506,6691,237282,7787,285801,8570,151592,6616,126112,4666,40561,3096,39041,3132,16439,null,null,8075,null,null,5556,null,null,7603,null,null,6691,null,null,7787,null,null,8570,null,null,6616,null,null,4666,null,null,3096,null,null,3132,null,null,17
887512,11254,117636,5110,81997,3974,162282,5146,130003,5471,148703,6552,136761,5431,56279,3611,36753,3284,8873,1335,8225,1256,11254,null,null,5110,null,null,3974,null,null,5146,null,null,5471,null,null,6552,null,null,5431,null,null,3611,null,null,3284,null,null,1335,null,null,1256,null,null,18
452889,7182,53314,3090,41587,2579,81714,3532,68889,3186,75467,3949,73770,3682,28780,1948,18674,2105,5234,1072,5460,1331,7182,null,null,3090,null,null,2579,null,null,3532,null,null,3186,null,null,3949,null,null,3682,null,null,1948,null,null,2105,null,null,1072,null,null,1331,null,null,19
394402,8116,50899,3463,37540,2559,68804,3389,60107,4184,68695,4420,61292,3465,22903,1994,16426,2093,3532,776,4204,914,8116,null,null,3463,null,null,2559,null,null,3389,null,null,4184,null,null,4420,null,null,3465,null,null,1994,null,null,2093,null,null,776,null,null,914,null,null,20
596302,10780,104374,5354,66441,3931,106203,5263,78864,4393,86464,4847,88557,4987,32993,2797,22473,2589,3733,808,6200,1160,10780,null,null,5354,null,null,3931,null,null,5263,null,null,4393,null,null,4847,null,null,4987,null,null,2797,null,null,2589,null,null,808,null,null,1160,null,null,21
623089,10033,114227,5550,67583,4532,111534,4896,79011,4192,89078,5310,82660,4136,38215,2876,25436,2607,8709,1658,6636,1361,10033,null,null,5550,null,null,4532,null,null,4896,null,null,4192,null,null,5310,null,null,4136,null,null,2876,null,null,2607,null,null,1658,null,null,1361,null,null,22
202106,5429,25447,2264,22836,2310,35812,2945,27814,2283,29576,2893,32015,2599,12578,1643,10851,1582,2309,707,2868,722,5429,null,null,2264,null,null,2310,null,null,2945,null,null,2283,null,null,2893,null,null,2599,null,null,1643,null,null,1582,null,null,707,null,null,722,null,null,23
735704,9658,80968,4901,41590,3325,86430,4277,69257,4293,99426,4554,137455,5728,86084,4675,86463,4315,25033,2491,22998,2665,9658,null,null,4901,null,null,3325,null,null,4277,null,null,4293,null,null,4554,null,null,5728,null,null,4675,null,null,4315,null,null,2491,null,null,2665,null,null,24
945737,11435,101844,4736,81142,3815,121280,5130,98344,4494,121428,5644,153134,6073,95418,4459,101798,4705,37999,2652,33350,2504,11435,null,null,4736,null,null,3815,null,null,5130,null,null,4494,null,null,5644,null,null,6073,null,null,4459,null,null,4705,null,null,2652,null,null,2504,null,null,25
