B24091_001E,B24091_001M,B24091_002E,B24091_002M,B24091_003E,B24091_003M,B24091_004E,B24091_004M,B24091_005E,B24091_005M,B24091_006E,B24091_006M,B24091_007E,B24091_007M,B24091_008E,B24091_008M,B24091_009E,B24091_009M,B24091_001M,B24091_001EA,B24091_001MA,B24091_002M,B24091_002EA,B24091_002MA,B24091_003M,B24091_003EA,B24091_003MA,B24091_004M,B24091_004EA,B24091_004MA,B24091_005M,B24091_005EA,B24091_005MA,B24091_006M,B24091_006EA,B24091_006MA,B24091_007M,B24091_007EA,B24091_007MA,B24091_008M,B24091_008EA,B24091_008MA,B24091_009M,B24091_009EA,B24091_009MA,state
39493,344,37286,192,36700,202,50813,476,42051,496,43875,1223,41966,498,60453,1321,27372,1274,344,null,null,192,null,null,202,null,null,476,null,null,496,null,null,1223,null,null,498,null,null,1321,null,null,1274,null,null,12
42128,223,41543,258,41120,269,57277,5558,46985,1043,42365,880,43018,1845,61195,1048,31787,819,223,null,null,258,null,null,269,null,null,5558,null,null,1043,null,null,880,null,null,1845,null,null,1048,null,null,819,null,null,13
45870,706,41725,507,41195,495,67646,11392,50818,2161,51280,1188,50708,1027,62305,3940,40300,4419,706,null,null,507,null,null,495,null,null,11392,null,null,2161,null,null,1188,null,null,1027,null,null,3940,null,null,4419,null,null,15
40538,525,37832,1514,37183,803,50612,4112,44442,3603,45389,4138,42210,3183,65428,3272,36635,2902,525,null,null,1514,null,null,803,null,null,4112,null,null,3603,null,null,4138,null,null,3183,null,null,3272,null,null,2902,null,null,16
49504,455,47213,331,46760,323,61031,1014,50779,488,57998,1806,56442,1336,62287,2230,36143,1266,455,null,null,331,null,null,323,null,null,1014,null,null,488,null,null,1806,null,null,1336,null,null,2230,null,null,1266,null,null,17
42038,193,41788,238,41613,237,52215,4900,43058,1446,43486,2092,44059,2328,63891,3412,32316,2948,193,null,null,238,null,null,237,null,null,4900,null,null,1446,null,null,2092,null,null,2328,null,null,3412,null,null,2948,null,null,18
43038,1025,41839,315,41676,317,50448,2867,43165,2530,49846,2049,54892,1654,61254,1192,35872,1203,1025,null,null,315,null,null,317,null,null,2867,null,null,2530,null,null,2049,null,null,1654,null,null,1192,null,null,1203,null,null,19
42114,298,41769,398,41471,399,56731,8330,43018,2851,41791,641,44966,2077,55841,1507,37765,4501,298,null,null,398,null,null,399,null,null,8330,null,null,2851,null,null,641,null,null,2077,null,null,1507,null,null,4501,null,null,20
41203,315,40775,404,40494,420,53916,6775,45131,1597,40504,783,41654,934,56253,2699,35039,4528,315,null,null,404,null,null,420,null,null,6775,null,null,1597,null,null,783,null,null,934,null,null,2699,null,null,4528,null,null,21
41319,293,40928,351,40466,374,60289,4099,45304,1840,38934,2741,44140,2259,56896,3989,37490,5020,293,null,null,351,null,null,374,null,null,4099,null,null,1840,null,null,2741,null,null,2259,null,null,3989,null,null,5020,null,null,22
43990,1682,42462,1945,42195,943,53719,4860,42671,2109,48402,2686,46834,1612,61787,3653,31661,3457,1682,null,null,1945,null,null,943,null,null,4860,null,null,2109,null,null,2686,null,null,1612,null,null,3653,null,null,3457,null,null,23
56363,448,50894,331,50560,339,65725,3423,58649,2618,60125,1710,55167,1613,95247,2514,36245,1455,448,null,null,331,null,null,339,null,null,3423,null,null,2618,null,null,1710,null,null,1613,null,null,2514,null,null,1455,null,null,24
57798,1086,56762,724,56290,715,77322,5370,58682,2234,62973,2068,63544,2130,70817,2925,45295,4540,1086,null,null,724,null,null,715,null,null,5370,null,null,2234,null,null,2068,null,null,2130,null,null,2925,null,null,4540,null,null,25
45588,256,43284,693,42468,434,55504,3818,48017,970,51024,740,56263,1580,61872,1006,32291,1576,256,null,null,693,null,null,434,null,null,3818,null,null,970,null,null,740,null,null,1580,null,null,1006,null,null,1576,null,null,26
50226,206,49912,631,49188,808,56940,3260,50507,618,53399,1462,52437,1300,60175,1757,35475,1441,206,null,null,631,null,null,808,null,null,3260,null,null,618,null,null,1462,null,null,1300,null,null,1757,null,null,1441,null,null,27
36892,416,36368,465,35920,483,52062,5773,40219,1803,35835,1125,38568,1514,55658,2314,31032,1494,416,null,null,465,null,null,483,null,null,5773,null,null,1803,null,null,1125,null,null,1514,null,null,2314,null,null,1494,null,null,28
41402,188,41268,257,41011,259,54576,6453,43856,1929,42370,1154,39028,1470,58797,1947,31844,725,188,null,null,257,null,null,259,null,null,6453,null,null,1929,null,null,1154,null,null,1470,null,null,1947,null,null,725,null,null,29
40496,618,38800,2055,37378,1371,47455,3227,42497,4252,38487,1716,46267,2285,56969,4622,39077,5352,618,null,null,2055,null,null,1371,null,null,3227,null,null,4252,null,null,1716,null,null,2285,null,null,4622,null,null,5352,null,null,30
42275,315,41746,379,41375,384,55543,6649,45653,1302,46741,1567,45366,3307,56876,3689,32598,4201,315,null,null,379,null,null,384,null,null,6649,null,null,1302,null,null,1567,null,null,3307,null,null,3689,null,null,4201,null,null,31
40879,353,38551,1059,37923,968,60957,4891,41641,2368,55141,1934,53337,3040,61906,2356,34411,4975,353,null,null,1059,null,null,968,null,null,4891,null,null,2368,null,null,1934,null,null,3040,null,null,2356,null,null,4975,null,null,32
50226,614,49676,1246,49026,1402,65693,8440,49415,2445,54994,3457,51754,3858,65764,3755,39069,3858,614,null,null,1246,null,null,1402,null,null,8440,null,null,2445,null,null,3457,null,null,3858,null,null,3755,null,null,3858,null,null,33
56837,429,55162,640,54011,956,76054,2262,58644,3166,61614,683,66025,1456,70703,1678,42268,3894,429,null,null,640,null,null,956,null,null,2262,null,null,3166,null,null,683,null,null,1456,null,null,1678,null,null,3894,null,null,34
39777,993,37042,830,36460,827,56368,9520,42271,4631,38780,2467,41781,1326,61477,1989,28012,2993,993,null,null,830,null,null,827,null,null,9520,null,null,4631,null,null,2467,null,null,1326,null,null,1989,null,null,2993,null,null,35
51223,151,50074,238,48901,741,66029,2537,51789,420,61477,468,62171,645,61312,863,33781,2129,151,null,null,238,null,null,741,null,null,2537,null,null,420,null,null,468,null,null,645,null,null,863,null,null,2129,null,null,36
41145,209,40484,269,40105,314,51994,956,48369,1565,41132,497,42337,501,57611,2300,31328,743,209,null,null,269,null,null,314,null,null,956,null,null,1565,null,null,497,null,null,501,null,null,2300,null,null,743,null,null,37
45909,863,45103,1622,44099,2132,68765,10203,44147,2919,46675,2180,50431,2440,54558,4620,45703,5547,863,null,null,1622,null,null,2132,null,null,10203,null,null,2919,null,null,2180,null,null,2440,null,null,4620,null,null,5547,null,null,38
44333,462,42100,171,41888,167,56927,4980,47249,754,50383,543,51420,860,64817,1792,35788,1110,462,null,null,171,null,null,167,null,null,4980,null,null,754,null,null,543,null,null,860,null,null,1792,null,null,1110,null,null,39
40249,232,40154,293,39109,823,57134,4135,40181,1236,36629,577,40372,685,55952,1574,33171,2770,232,null,null,293,null,null,823,null,null,4135,null,null,1236,null,null,577,null,null,685,null,null,1574,null,null,2770,null,null,40
45972,454,42976,1107,42314,439,56896,3130,49145,2048,55974,1151,51591,1322,60724,1551,33496,5331,454,null,null,1107,null,null,439,null,null,3130,null,null,2048,null,null,1151,null,null,1322,null,null,1551,null,null,5331,null,null,41
47130,233,45933,314,45539,324,58358,3924,48927,1046,51811,520,52369,826,64754,2702,40347,1072,233,null,null,314,null,null,324,null,null,3924,null,null,1046,null,null,520,null,null,826,null,null,2702,null,null,1072,null,null,42
50432,470,47493,2118,46905,974,67728,8082,49087,3543,62273,5452,61791,2688,75241,10192,40371,2591,470,null,null,2118,null,null,974,null,null,8082,null,null,3543,null,null,5452,null,null,2688,null,null,10192,null,null,2591,null,null,44
40242,272,39567,1100,38674,1254,50838,2266,41881,990,39521,1930,40797,774,58399,3309,32447,3238,272,null,null,1100,null,null,1254,null,null,2266,null,null,990,null,null,1930,null,null,774,null,null,3309,null,null,3238,null,null,45
40824,376,40479,484,40125,668,51877,7243,41309,1064,40413,1197,42152,2433,51547,2359,40201,4695,376,null,null,484,null,null,668,null,null,7243,null,null,1064,null,null,1197,null,null,2433,null,null,2359,null,null,4695,null,null,46
40260,231,38574,666,37839,664,62397,4018,42424,1727,41191,600,42040,748,62294,2455,35375,2685,231,null,null,666,null,null,664,null,null,4018,null,null,1727,null,null,600,null,null,748,null,null,2455,null,null,2685,null,null,47
42269,146,41571,162,41178,161,65371,4902,46169,692,46879,570,46698,643,61903,809,35128,1353,146,null,null,162,null,null,161,null,null,4902,null,null,692,null,null,570,null,null,643,null,null,809,null,null,1353,null,null,48
44456,1465,41995,522,41393,519,65251,6124,51527,1669,46732,2208,49481,2075,60624,2792,31082,2456,1465,null,null,522,null,null,519,null,null,6124,null,null,1669,null,null,2208,null,null,2075,null,null,2792,null,null,2456,null,null,49
44601,1588,42157,799,41763,665,51356,2145,48280,3353,47018,4713,52184,3565,73381,5467,33024,6477,1588,null,null,799,null,null,665,null,null,2145,null,null,3353,null,null,4713,null,null,3565,null,null,5467,null,null,6477,null,null,50
50917,248,47176,476,46645,474,62685,6327,54636,2073,47963,895,48366,1694,91917,1590,34728,3063,248,null,null,476,null,null,474,null,null,6327,null,null,2073,null,null,895,null,null,1694,null,null,1590,null,null,3063,null,null,51
51980,248,51083,342,50690,375,64738,4606,51635,775,61200,866,55184,1361,63000,3036,40360,2025,248,null,null,342,null,null,375,null,null,4606,null,null,775,null,null,866,null,null,1361,null,null,3036,null,null,2025,null,null,53
40244,486,37826,1243,37440,1075,51773,14648,42291,1982,40726,698,36812,1164,64398,3398,34023,4567,486,null,null,1243,null,null,1075,null,null,14648,null,null,1982,null,null,698,null,null,1164,null,null,3398,null,null,4567,null,null,54
45257,280,43525,777,42959,779,51980,1784,48310,1304,50910,434,50243,895,56186,1470,33003,3471,280,null,null,777,null,null,779,null,null,1784,null,null,1304,null,null,434,null,null,895,null,null,1470,null,null,3471,null,null,55
46187,1375,45631,2067,45545,2236,48095,8574,45195,7068,48278,3323,48376,2983,61044,11810,27281,4749,1375,null,null,2067,null,null,2236,null,null,8574,null,null,7068,null,null,3323,null,null,2983,null,null,11810,null,null,4749,null,null,56
23198,436,21699,400,21423,400,35636,5849,24157,2034,20057,692,29188,939,41296,4541,19925,3444,436,null,null,400,null,null,400,null,null,5849,null,null,2034,null,null,692,null,null,939,null,null,4541,null,null,3444,null,null,72
40757,294,39017,854,38178,862,52452,5892,41108,853,41291,692,49182,1417,71401,1494,30116,1851,294,null,null,854,null,null,862,null,null,5892,null,null,853,null,null,692,null,null,1417,null,null,1494,null,null,1851,null,null,01
52669,1885,50320,2007,48991,3235,73623,7364,53630,3704,60812,4192,62488,3822,62252,3609,45423,6797,1885,null,null,2007,null,null,3235,null,null,7364,null,null,3704,null,null,4192,null,null,3822,null,null,3609,null,null,6797,null,null,02
41897,227,41398,294,41011,314,60393,4306,46096,1572,45561,950,43144,1697,59212,3141,31829,1374,227,null,null,294,null,null,314,null,null,4306,null,null,1572,null,null,950,null,null,1697,null,null,3141,null,null,1374,null,null,04
36942,424,35907,502,35429,524,60054,11482,42316,2082,36338,1200,40587,795,56696,4333,31960,1654,424,null,null,502,null,null,524,null,null,11482,null,null,2082,null,null,1200,null,null,795,null,null,4333,null,null,1654,null,null,05
49930,271,46672,220,45944,218,70932,920,55045,1075,62184,538,63039,1433,64581,2158,36199,519,271,null,null,220,null,null,218,null,null,920,null,null,1075,null,null,538,null,null,1433,null,null,2158,null,null,519,null,null,06
48690,707,47472,775,46787,511,62250,4233,51126,722,49294,1145,50592,772,67429,3695,37490,2429,707,null,null,775,null,null,511,null,null,4233,null,null,722,null,null,1145,null,null,772,null,null,3695,null,null,2429,null,null,08
57435,1053,56389,875,55478,889,80082,4451,58064,2887,63857,2769,70186,2371,65245,5874,45207,2931,1053,null,null,875,null,null,889,null,null,4451,null,null,2887,null,null,2769,null,null,2371,null,null,5874,null,null,2931,null,null,09
46776,1115,43020,3128,42397,2245,60174,16715,53459,4652,53979,6007,48381,2652,69103,7099,44169,12473,1115,null,null,3128,null,null,2245,null,null,16715,null,null,4652,null,null,6007,null,null,2652,null,null,7099,null,null,12473,null,null,10
69926,2917,60942,1349,60389,3595,97297,15025,68424,4505,66395,5128,57101,4658,97234,4042,70315,32784,2917,null,null,1349,null,null,3595,null,null,15025,null,null,4505,null,null,5128,null,null,4658,null,null,4042,null,null,32784,null,null,11
