C25093_001E,C25093_001M,C25093_002E,C25093_002M,C25093_003E,C25093_003M,C25093_004E,C25093_004M,C25093_005E,C25093_005M,C25093_006E,C25093_006M,C25093_007E,C25093_007M,C25093_008E,C25093_008M,C25093_009E,C25093_009M,C25093_010E,C25093_010M,C25093_011E,C25093_011M,C25093_012E,C25093_012M,C25093_013E,C25093_013M,C25093_014E,C25093_014M,C25093_015E,C25093_015M,C25093_016E,C25093_016M,C25093_017E,C25093_017M,C25093_001M,C25093_001EA,C25093_001MA,C25093_002M,C25093_002EA,C25093_002MA,C25093_003M,C25093_003EA,C25093_003MA,C25093_004M,C25093_004EA,C25093_004MA,C25093_005M,C25093_005EA,C25093_005MA,C25093_006M,C25093_006EA,C25093_006MA,C25093_007M,C25093_007EA,C25093_007MA,C25093_008M,C25093_008EA,C25093_008MA,C25093_009M,C25093_009EA,C25093_009MA,C25093_010M,C25093_010EA,C25093_010MA,C25093_011M,C25093_011EA,C25093_011MA,C25093_012M,C25093_012EA,C25093_012MA,C25093_013M,C25093_013EA,C25093_013MA,C25093_014M,C25093_014EA,C25093_014MA,C25093_015M,C25093_015EA,C25093_015MA,C25093_016M,C25093_016EA,C25093_016MA,C25093_017M,C25093_017EA,C25093_017MA,state
4857125,26450,26102,2319,15939,1950,9199,1750,964,424,310380,8860,232135,8265,75285,5161,2960,1005,2580951,18732,1898863,16575,645466,11841,36622,3468,1939692,13491,1372946,14106,539712,9725,27034,2817,26450,null,null,2319,null,null,1950,null,null,1750,null,null,424,null,null,8860,null,null,8265,null,null,5161,null,null,1005,null,null,18732,null,null,16575,null,null,11841,null,null,3468,null,null,13491,null,null,14106,null,null,9725,null,null,2817,null,null,12
2268606,20528,16505,2305,10608,1782,5526,1487,371,350,194433,7250,155747,6703,36450,3570,2236,1174,1404499,16136,1118104,13583,271119,9484,15276,2151,653169,8278,490452,7218,156049,5702,6668,1407,20528,null,null,2305,null,null,1782,null,null,1487,null,null,350,null,null,7250,null,null,6703,null,null,3570,null,null,1174,null,null,16136,null,null,13583,null,null,9484,null,null,2151,null,null,8278,null,null,7218,null,null,5702,null,null,1407,null,null,13
260626,4898,1459,558,707,421,689,429,63,105,15044,1762,9246,1460,5510,1056,288,416,144525,4259,99802,3436,43242,2679,1481,561,99598,2969,73270,2831,25854,2008,474,281,4898,null,null,558,null,null,421,null,null,429,null,null,105,null,null,1762,null,null,1460,null,null,1056,null,null,416,null,null,4259,null,null,3436,null,null,2679,null,null,561,null,null,2969,null,null,2831,null,null,2008,null,null,281,null,null,15
418217,6970,4317,1062,2686,926,1500,581,131,185,44026,2979,36364,2923,7299,1431,363,321,239953,5371,193988,5616,43502,3307,2463,1060,129921,2975,100207,3419,28062,2500,1652,817,6970,null,null,1062,null,null,926,null,null,581,null,null,185,null,null,2979,null,null,2923,null,null,1431,null,null,321,null,null,5371,null,null,5616,null,null,3307,null,null,1060,null,null,2975,null,null,3419,null,null,2500,null,null,817,null,null,16
3146858,18286,23414,2353,16333,2062,6383,1279,698,427,296840,6845,234528,6711,60672,4967,1640,767,1912248,14833,1477637,13809,419184,8111,15427,1736,914356,7930,645279,7441,260906,6904,8171,1247,18286,null,null,2353,null,null,2062,null,null,1279,null,null,427,null,null,6845,null,null,6711,null,null,4967,null,null,767,null,null,14833,null,null,13809,null,null,8111,null,null,1736,null,null,7930,null,null,7441,null,null,6904,null,null,1247,null,null,17
1731421,12509,20926,2367,15535,2520,5225,1083,166,135,181250,5706,157171,5155,22923,2665,1156,554,1018888,8186,865164,8267,146929,5886,6795,1372,510357,5841,408232,5993,98787,3794,3338,764,12509,null,null,2367,null,null,2520,null,null,1083,null,null,135,null,null,5706,null,null,5155,null,null,2665,null,null,554,null,null,8186,null,null,8267,null,null,5886,null,null,1372,null,null,5841,null,null,5993,null,null,3794,null,null,764,null,null,18
881435,7975,14029,1849,10903,1648,2969,1000,157,196,104803,3994,88559,3561,16018,2173,226,236,502434,6074,429958,5892,70080,3324,2396,695,260169,3801,205795,4107,52569,2735,1805,480,7975,null,null,1849,null,null,1648,null,null,1000,null,null,196,null,null,3994,null,null,3561,null,null,2173,null,null,236,null,null,6074,null,null,5892,null,null,3324,null,null,695,null,null,3801,null,null,4107,null,null,2735,null,null,480,null,null,19
729392,8711,8684,1431,6489,1267,1922,675,273,193,79947,3838,68834,3430,10195,1439,918,482,425603,6451,358269,6203,64320,3575,3014,671,215158,3757,166689,3780,46358,2831,2111,699,8711,null,null,1431,null,null,1267,null,null,675,null,null,193,null,null,3838,null,null,3430,null,null,1439,null,null,482,null,null,6451,null,null,6203,null,null,3575,null,null,671,null,null,3757,null,null,3780,null,null,2831,null,null,699,null,null,20
1148175,11051,11282,1449,8881,1409,2346,618,55,70,108201,5004,91080,4305,16336,2208,785,413,671771,7843,550116,7542,112803,5861,8852,1783,356921,5088,281839,5532,71453,3985,3629,799,11051,null,null,1449,null,null,1409,null,null,618,null,null,70,null,null,5004,null,null,4305,null,null,2208,null,null,413,null,null,7843,null,null,7542,null,null,5861,null,null,1783,null,null,5088,null,null,5532,null,null,3985,null,null,799,null,null,21
1105710,12317,10231,1744,7174,1545,2031,792,1026,785,117620,5417,93575,4242,23034,3180,1011,501,635095,10307,516780,8268,110620,5499,7695,1383,342764,4681,270419,4841,68243,3534,4102,817,12317,null,null,1744,null,null,1545,null,null,792,null,null,785,null,null,5417,null,null,4242,null,null,3180,null,null,501,null,null,10307,null,null,8268,null,null,5499,null,null,1383,null,null,4681,null,null,4841,null,null,3534,null,null,817,null,null,22
382116,6101,2060,652,1708,588,344,210,8,14,29832,2229,22962,2092,6772,1255,98,138,229438,4008,180056,4412,48230,3528,1152,357,120786,3051,87807,2875,32118,2148,861,513,6101,null,null,652,null,null,588,null,null,210,null,null,14,null,null,2229,null,null,2092,null,null,1255,null,null,138,null,null,4008,null,null,4412,null,null,3528,null,null,357,null,null,3051,null,null,2875,null,null,2148,null,null,513,null,null,23
1445953,10330,6438,1348,4377,1126,1971,790,90,101,123671,4729,94015,3717,29388,2813,268,172,898187,8415,690545,8941,203029,6463,4613,1230,417657,5624,290781,4703,124400,4060,2476,591,10330,null,null,1348,null,null,1126,null,null,790,null,null,101,null,null,4729,null,null,3717,null,null,2813,null,null,172,null,null,8415,null,null,8941,null,null,6463,null,null,1230,null,null,5624,null,null,4703,null,null,4060,null,null,591,null,null,24
1598930,10736,7318,1415,4491,1113,2566,736,261,178,124737,4845,94796,3773,29723,2933,218,228,993685,8678,754579,10241,233292,6734,5814,1138,473190,6781,313518,5663,156723,4770,2949,653,10736,null,null,1415,null,null,1113,null,null,736,null,null,178,null,null,4845,null,null,3773,null,null,2933,null,null,228,null,null,8678,null,null,10241,null,null,6734,null,null,1138,null,null,6781,null,null,5663,null,null,4770,null,null,653,null,null,25
2731283,14647,26024,2257,18815,2086,6894,1266,315,288,254731,5575,208020,5414,44197,3301,2514,822,1610623,11509,1303936,10169,291245,6907,15442,1652,839905,5905,636531,5681,197717,5463,5657,817,14647,null,null,2257,null,null,2086,null,null,1266,null,null,288,null,null,5575,null,null,5414,null,null,3301,null,null,822,null,null,11509,null,null,10169,null,null,6907,null,null,1652,null,null,5905,null,null,5681,null,null,5463,null,null,817,null,null,26
1532031,9426,15203,1478,10553,1203,4627,919,23,41,178594,4411,153207,4400,25045,1945,342,229,936050,7025,769256,7267,161723,4481,5071,906,402184,4506,304397,4445,95848,3187,1939,477,9426,null,null,1478,null,null,1203,null,null,919,null,null,41,null,null,4411,null,null,4400,null,null,1945,null,null,229,null,null,7025,null,null,7267,null,null,4481,null,null,906,null,null,4506,null,null,4445,null,null,3187,null,null,477,null,null,27
734114,9343,6611,1541,5098,1334,973,629,540,486,63561,4347,54467,4140,8325,1520,769,581,423512,8292,335056,7618,81927,4696,6529,1378,240430,4321,187058,4102,50664,3040,2708,788,9343,null,null,1541,null,null,1334,null,null,629,null,null,486,null,null,4347,null,null,4140,null,null,1520,null,null,581,null,null,8292,null,null,7618,null,null,4696,null,null,1378,null,null,4321,null,null,4102,null,null,3040,null,null,788,null,null,28
