B28009D_001E,B28009D_001M,B28009D_002E,B28009D_002M,B28009D_003E,B28009D_003M,B28009D_004E,B28009D_004M,B28009D_005E,B28009D_005M,B28009D_006E,B28009D_006M,B28009D_001M,B28009D_001EA,B28009D_001MA,B28009D_002M,B28009D_002EA,B28009D_002MA,B28009D_003M,B28009D_003EA,B28009D_003MA,B28009D_004M,B28009D_004EA,B28009D_004MA,B28009D_005M,B28009D_005EA,B28009D_005MA,B28009D_006M,B28009D_006EA,B28009D_006MA,state
552643,7442,536748,7241,923,523,513211,8579,22614,4486,15895,3309,7442,null,null,7241,null,null,523,null,null,8579,null,null,4486,null,null,3309,null,null,12
389541,6788,380752,6750,310,454,358300,7408,22142,4239,8789,2573,6788,null,null,6750,null,null,454,null,null,7408,null,null,4239,null,null,2573,null,null,13
532583,10348,496830,10293,859,523,457126,10230,38845,6234,35753,4642,10348,null,null,10293,null,null,523,null,null,10230,null,null,6234,null,null,4642,null,null,15
23675,2214,22025,2359,49,114,19638,2475,2338,1729,1650,874,2214,null,null,2359,null,null,114,null,null,2475,null,null,1729,null,null,874,null,null,16
669549,6275,654906,6714,1205,689,625741,7758,27960,3978,14643,3133,6275,null,null,6714,null,null,689,null,null,7758,null,null,3978,null,null,3133,null,null,17
133535,4698,129579,5402,293,302,122778,5444,6508,2103,3956,1703,4698,null,null,5402,null,null,302,null,null,5444,null,null,2103,null,null,1703,null,null,18
72894,2586,71997,2583,972,989,64310,2960,6715,1563,897,488,2586,null,null,2583,null,null,989,null,null,2960,null,null,1563,null,null,488,null,null,19
77978,3432,76639,3460,88,142,73079,3605,3472,1405,1339,514,3432,null,null,3460,null,null,142,null,null,3605,null,null,1405,null,null,514,null,null,20
60307,2880,57432,3205,72,118,53357,2920,4003,1644,2875,1739,2880,null,null,3205,null,null,118,null,null,2920,null,null,1644,null,null,1739,null,null,21
76587,2513,73628,2746,0,208,70302,3036,3326,1079,2959,1044,2513,null,null,2746,null,null,208,null,null,3036,null,null,1079,null,null,1044,null,null,22
16542,1524,15533,1535,0,172,13378,1805,2155,946,1009,751,1524,null,null,1535,null,null,172,null,null,1805,null,null,946,null,null,751,null,null,23
370596,5212,365624,5139,257,432,353309,6181,12058,3114,4972,1279,5212,null,null,5139,null,null,432,null,null,6181,null,null,3114,null,null,1279,null,null,24
418518,5792,404092,6351,489,506,386789,7321,16814,3711,14426,3328,5792,null,null,6351,null,null,506,null,null,7321,null,null,3711,null,null,3328,null,null,25
283449,4973,277855,5084,178,156,262741,6195,14936,2818,5594,1521,4973,null,null,5084,null,null,156,null,null,6195,null,null,2818,null,null,1521,null,null,26
253496,4524,246553,4931,708,469,233150,5596,12695,3079,6943,2208,4524,null,null,4931,null,null,469,null,null,5596,null,null,3079,null,null,2208,null,null,27
26036,2297,24293,2320,0,213,21618,2506,2675,1418,1743,1199,2297,null,null,2320,null,null,213,null,null,2506,null,null,1418,null,null,1199,null,null,28
113004,3638,109552,3663,208,198,102415,3986,6929,2756,3452,1227,3638,null,null,3663,null,null,198,null,null,3986,null,null,2756,null,null,1227,null,null,29
8065,1383,7206,1200,0,168,6431,1201,775,429,859,647,1383,null,null,1200,null,null,168,null,null,1201,null,null,429,null,null,647,null,null,30
40143,3366,37040,3201,339,565,34058,3117,2643,1309,3103,2337,3366,null,null,3201,null,null,565,null,null,3117,null,null,1309,null,null,2337,null,null,31
243102,5230,232132,5407,317,239,213122,7083,18693,5677,10970,2487,5230,null,null,5407,null,null,239,null,null,7083,null,null,5677,null,null,2487,null,null,32
31515,2298,30699,2385,0,187,28546,2451,2153,1374,816,761,2298,null,null,2385,null,null,187,null,null,2451,null,null,1374,null,null,761,null,null,33
838635,6395,824080,7090,1056,844,795036,8921,27988,5373,14555,3185,6395,null,null,7090,null,null,844,null,null,8921,null,null,5373,null,null,3185,null,null,34
31639,2248,31381,2245,287,330,28834,2304,2260,1119,258,225,2248,null,null,2245,null,null,330,null,null,2304,null,null,1119,null,null,225,null,null,35
1633882,11920,1552108,14989,2212,1044,1462118,17594,87778,8572,81774,8497,11920,null,null,14989,null,null,1044,null,null,17594,null,null,8572,null,null,8497,null,null,36
268724,4451,262291,4745,296,297,250815,4967,11180,2547,6433,2446,4451,null,null,4745,null,null,297,null,null,4967,null,null,2547,null,null,2446,null,null,37
8805,1859,8567,1854,0,155,7381,1795,1186,517,238,173,1859,null,null,1854,null,null,155,null,null,1795,null,null,517,null,null,173,null,null,38
232638,3721,224365,4660,532,324,214095,4515,9738,2136,8273,2676,3721,null,null,4660,null,null,324,null,null,4515,null,null,2136,null,null,2676,null,null,39
76424,3038,74493,3128,589,546,69439,3379,4465,1324,1931,670,3038,null,null,3128,null,null,546,null,null,3379,null,null,1324,null,null,670,null,null,40
165702,4904,161409,5004,639,848,154751,5165,6019,1864,4293,1379,4904,null,null,5004,null,null,848,null,null,5165,null,null,1864,null,null,1379,null,null,41
406951,5320,391555,6747,1043,1073,375306,6864,15206,3751,15396,3591,5320,null,null,6747,null,null,1073,null,null,6864,null,null,3751,null,null,3591,null,null,42
34601,2257,33874,2441,0,208,32714,2941,1160,1080,727,596,2257,null,null,2441,null,null,208,null,null,2941,null,null,1080,null,null,596,null,null,44
74372,3783,71709,3806,0,207,68646,3907,3063,1469,2663,1409,3783,null,null,3806,null,null,207,null,null,3907,null,null,1469,null,null,1409,null,null,45
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
114070,3882,110223,4051,0,204,105023,4140,5200,2228,3847,1445,3882,null,null,4051,null,null,204,null,null,4140,null,null,2228,null,null,1445,null,null,47
1285738,10862,1263070,10942,2821,2439,1206221,13458,54028,8456,22668,4166,10862,null,null,10942,null,null,2439,null,null,13458,null,null,8456,null,null,4166,null,null,48
67933,3471,65896,3591,175,225,59217,3787,6504,1990,2037,1278,3471,null,null,3591,null,null,225,null,null,3787,null,null,1990,null,null,1278,null,null,49
8143,1078,7762,1075,0,151,7300,1168,462,521,381,314,1078,null,null,1075,null,null,151,null,null,1168,null,null,521,null,null,314,null,null,50
522144,7400,513682,7565,960,881,501195,7810,11527,2494,8462,1870,7400,null,null,7565,null,null,881,null,null,7810,null,null,2494,null,null,1870,null,null,51
586176,8360,570294,8563,733,370,550451,9459,19110,4754,15882,2621,8360,null,null,8563,null,null,370,null,null,9459,null,null,4754,null,null,2621,null,null,53
13686,1499,13131,1571,0,193,12808,1585,323,310,555,540,1499,null,null,1571,null,null,193,null,null,1585,null,null,310,null,null,540,null,null,54
152189,3071,145462,3993,276,281,137660,4599,7526,2426,6727,3218,3071,null,null,3993,null,null,281,null,null,4599,null,null,2426,null,null,3218,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
5670,1570,4744,1490,35,62,4509,1433,200,245,926,566,1570,null,null,1490,null,null,62,null,null,1433,null,null,245,null,null,566,null,null,72
64409,3806,63576,3746,126,170,61271,3738,2179,994,833,587,3806,null,null,3746,null,null,170,null,null,3738,null,null,994,null,null,587,null,null,01
42906,3117,40938,3207,150,177,38735,3279,2053,942,1968,1171,3117,null,null,3207,null,null,177,null,null,3279,null,null,942,null,null,1171,null,null,02
217945,4778,212141,5239,540,431,203896,5895,7705,2068,5804,2334,4778,null,null,5239,null,null,431,null,null,5895,null,null,2068,null,null,2334,null,null,04
40985,2640,39466,2586,0,197,35321,3047,4145,1563,1519,917,2640,null,null,2586,null,null,197,null,null,3047,null,null,1563,null,null,917,null,null,05
5513308,19813,5365136,20413,8787,1915,5151562,24343,204787,12612,148172,9377,19813,null,null,20413,null,null,1915,null,null,24343,null,null,12612,null,null,9377,null,null,06
173076,4652,168191,4872,0,195,160488,4834,7703,2173,4885,1572,4652,null,null,4872,null,null,195,null,null,4834,null,null,2173,null,null,1572,null,null,08
155502,3861,152809,3905,0,200,146494,4096,6315,2996,2693,1075,3861,null,null,3905,null,null,200,null,null,4096,null,null,2996,null,null,1075,null,null,09
35309,1611,34604,1685,0,193,33924,1736,680,603,705,575,1611,null,null,1685,null,null,193,null,null,1736,null,null,603,null,null,575,null,null,10
23692,1440,23362,1501,0,203,22881,1493,481,504,330,288,1440,null,null,1501,null,null,203,null,null,1493,null,null,504,null,null,288,null,null,11
