B27001C_001E,B27001C_001M,B27001C_002E,B27001C_002M,B27001C_003E,B27001C_003M,B27001C_004E,B27001C_004M,B27001C_005E,B27001C_005M,B27001C_006E,B27001C_006M,B27001C_007E,B27001C_007M,B27001C_008E,B27001C_008M,B27001C_009E,B27001C_009M,B27001C_010E,B27001C_010M,B27001C_011E,B27001C_011M,B27001C_012E,B27001C_012M,B27001C_013E,B27001C_013M,B27001C_014E,B27001C_014M,B27001C_015E,B27001C_015M,B27001C_016E,B27001C_016M,B27001C_017E,B27001C_017M,B27001C_018E,B27001C_018M,B27001C_019E,B27001C_019M,B27001C_020E,B27001C_020M,B27001C_021E,B27001C_021M,B27001C_022E,B27001C_022M,B27001C_023E,B27001C_023M,B27001C_024E,B27001C_024M,B27001C_025E,B27001C_025M,B27001C_026E,B27001C_026M,B27001C_027E,B27001C_027M,B27001C_028E,B27001C_028M,B27001C_001M,B27001C_001EA,B27001C_001MA,B27001C_002M,B27001C_002EA,B27001C_002MA,B27001C_003M,B27001C_003EA,B27001C_003MA,B27001C_004M,B27001C_004EA,B27001C_004MA,B27001C_005M,B27001C_005EA,B27001C_005MA,B27001C_006M,B27001C_006EA,B27001C_006MA,B27001C_007M,B27001C_007EA,B27001C_007MA,B27001C_008M,B27001C_008EA,B27001C_008MA,B27001C_009M,B27001C_009EA,B27001C_009MA,B27001C_010M,B27001C_010EA,B27001C_010MA,B27001C_011M,B27001C_011EA,B27001C_011MA,B27001C_012M,B27001C_012EA,B27001C_012MA,B27001C_013M,B27001C_013EA,B27001C_013MA,B27001C_014M,B27001C_014EA,B27001C_014MA,B27001C_015M,B27001C_015EA,B27001C_015MA,B27001C_016M,B27001C_016EA,B27001C_016MA,B27001C_017M,B27001C_017EA,B27001C_017MA,B27001C_018M,B27001C_018EA,B27001C_018MA,B27001C_019M,B27001C_019EA,B27001C_019MA,B27001C_020M,B27001C_020EA,B27001C_020MA,B27001C_021M,B27001C_021EA,B27001C_021MA,B27001C_022M,B27001C_022EA,B27001C_022MA,B27001C_023M,B27001C_023EA,B27001C_023MA,B27001C_024M,B27001C_024EA,B27001C_024MA,B27001C_025M,B27001C_025EA,B27001C_025MA,B27001C_026M,B27001C_026EA,B27001C_026MA,B27001C_027M,B27001C_027EA,B27001C_027MA,B27001C_028M,B27001C_028EA,B27001C_028MA,state
51260,5638,2589,932,2333,973,256,298,6976,1411,6299,1364,677,465,5514,1449,3288,1101,2226,1008,5700,1805,2814,858,2886,1534,7493,1759,5349,1408,2144,959,8265,1451,6214,1275,2051,740,8104,1432,7174,1392,930,420,3960,1009,3450,804,510,686,2659,869,2659,869,0,221,5638,null,null,932,null,null,973,null,null,298,null,null,1411,null,null,1364,null,null,465,null,null,1449,null,null,1101,null,null,1008,null,null,1805,null,null,858,null,null,1534,null,null,1759,null,null,1408,null,null,959,null,null,1451,null,null,1275,null,null,740,null,null,1432,null,null,1392,null,null,420,null,null,1009,null,null,804,null,null,686,null,null,869,null,null,869,null,null,221,null,null,12
37354,5712,3028,1163,2643,959,385,606,7707,2248,7011,2202,696,421,3671,1220,2283,839,1388,850,5214,1461,2822,1010,2392,936,5862,2007,2239,902,3623,1848,4765,1075,3167,810,1598,860,4310,1142,3188,925,1122,651,2303,780,2111,726,192,300,494,391,494,391,0,218,5712,null,null,1163,null,null,959,null,null,606,null,null,2248,null,null,2202,null,null,421,null,null,1220,null,null,839,null,null,850,null,null,1461,null,null,1010,null,null,936,null,null,2007,null,null,902,null,null,1848,null,null,1075,null,null,810,null,null,860,null,null,1142,null,null,925,null,null,651,null,null,780,null,null,726,null,null,300,null,null,391,null,null,391,null,null,218,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
25694,2544,2405,734,2187,759,218,214,5448,922,4896,965,552,385,2802,798,1877,701,925,460,3095,1049,1962,820,1133,537,3261,1002,2478,972,783,416,3287,866,2472,713,815,550,2979,775,2405,770,574,298,1851,722,1851,722,0,198,566,367,566,367,0,198,2544,null,null,734,null,null,759,null,null,214,null,null,922,null,null,965,null,null,385,null,null,798,null,null,701,null,null,460,null,null,1049,null,null,820,null,null,537,null,null,1002,null,null,972,null,null,416,null,null,866,null,null,713,null,null,550,null,null,775,null,null,770,null,null,298,null,null,722,null,null,722,null,null,198,null,null,367,null,null,367,null,null,198,null,null,16
29881,3671,1352,615,1352,615,0,185,4848,1169,4833,1177,15,26,3064,949,2078,672,986,580,3316,928,2708,810,608,411,5147,1264,3288,1030,1859,844,5071,1159,4540,1072,531,395,3546,808,3472,794,74,82,2298,803,2298,803,0,185,1239,673,1239,673,0,185,3671,null,null,615,null,null,615,null,null,185,null,null,1169,null,null,1177,null,null,26,null,null,949,null,null,672,null,null,580,null,null,928,null,null,810,null,null,411,null,null,1264,null,null,1030,null,null,844,null,null,1159,null,null,1072,null,null,395,null,null,808,null,null,794,null,null,82,null,null,803,null,null,803,null,null,185,null,null,673,null,null,673,null,null,185,null,null,17
16957,2451,903,455,903,455,0,192,1863,978,1863,978,0,192,1442,708,1316,698,126,161,2458,612,1712,511,746,495,2210,968,1887,880,323,312,2319,747,1931,669,388,343,3374,1056,3238,1067,136,124,1777,533,1777,533,0,192,611,315,611,315,0,192,2451,null,null,455,null,null,455,null,null,192,null,null,978,null,null,978,null,null,192,null,null,708,null,null,698,null,null,161,null,null,612,null,null,511,null,null,495,null,null,968,null,null,880,null,null,312,null,null,747,null,null,669,null,null,343,null,null,1056,null,null,1067,null,null,124,null,null,533,null,null,533,null,null,192,null,null,315,null,null,315,null,null,192,null,null,18
10368,1701,671,363,671,363,0,159,1555,694,1555,694,0,159,1611,555,1381,474,230,227,903,375,865,378,38,46,1213,517,1038,467,175,183,1684,627,1684,627,0,159,1481,531,1251,483,230,266,989,413,989,413,0,159,261,229,261,229,0,159,1701,null,null,363,null,null,363,null,null,159,null,null,694,null,null,694,null,null,159,null,null,555,null,null,474,null,null,227,null,null,375,null,null,378,null,null,46,null,null,517,null,null,467,null,null,183,null,null,627,null,null,627,null,null,159,null,null,531,null,null,483,null,null,266,null,null,413,null,null,413,null,null,159,null,null,229,null,null,229,null,null,159,null,null,19
20934,2541,1561,619,1487,616,74,113,3717,875,3499,766,218,246,2309,982,1220,483,1089,766,2526,735,2161,656,365,335,2980,776,1892,547,1088,672,2839,614,2228,549,611,342,2663,760,2410,684,253,243,1591,562,1591,562,0,174,748,309,748,309,0,174,2541,null,null,619,null,null,616,null,null,113,null,null,875,null,null,766,null,null,246,null,null,982,null,null,483,null,null,766,null,null,735,null,null,656,null,null,335,null,null,776,null,null,547,null,null,672,null,null,614,null,null,549,null,null,342,null,null,760,null,null,684,null,null,243,null,null,562,null,null,562,null,null,174,null,null,309,null,null,309,null,null,174,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
24818,2662,1641,781,1641,781,0,208,5332,1659,5178,1691,154,149,2188,959,1289,724,899,569,3506,892,2639,717,867,457,2844,759,2134,556,710,617,3800,848,2553,780,1247,729,2583,645,2284,628,299,251,1732,521,1703,522,29,37,1192,488,1192,488,0,208,2662,null,null,781,null,null,781,null,null,208,null,null,1659,null,null,1691,null,null,149,null,null,959,null,null,724,null,null,569,null,null,892,null,null,717,null,null,457,null,null,759,null,null,556,null,null,617,null,null,848,null,null,780,null,null,729,null,null,645,null,null,628,null,null,251,null,null,521,null,null,522,null,null,37,null,null,488,null,null,488,null,null,208,null,null,22
