B19313E_001E,B19313E_001M,B19313E_001M,B19313E_001EA,B19313E_001MA,state
321151700,130922867,130922867,null,null,12
127820300,51165634,51165634,null,null,13
2801806500,185938482,185938482,null,null,15
30405000,16821541,16821541,null,null,16
158809500,52958427,52958427,null,null,17
96951000,45252417,45252417,null,null,18
44630500,20300703,20300703,null,null,19
84749500,58729658,58729658,null,null,20
36442600,22217069,22217069,null,null,21
17214000,11282077,11282077,null,null,22
5336500,4799618,4799618,null,null,23
68898400,37468938,37468938,null,null,24
109580800,51435486,51435486,null,null,25
83872300,60905778,60905778,null,null,26
41961800,23186773,23186773,null,null,27
null,null,null,null,null,28
168565000,90463576,90463576,null,null,29
11042200,9532074,9532074,null,null,30
12568600,8701891,8701891,null,null,31
383578700,67736584,67736584,null,null,32
null,null,null,null,null,33
100508800,65912218,65912218,null,null,34
27137700,14311487,14311487,null,null,35
243880900,75078935,75078935,null,null,36
114924400,35667891,35667891,null,null,37
null,null,null,null,null,38
65451400,26088955,26088955,null,null,39
101026500,25648126,25648126,null,null,40
289502200,61617203,61617203,null,null,41
82809200,33964723,33964723,null,null,42
47369100,36466657,36466657,null,null,44
32816300,15759562,15759562,null,null,45
null,null,null,null,null,46
69801000,46729350,46729350,null,null,47
515647400,95358583,95358583,null,null,48
519096200,84901151,84901151,null,null,49
null,null,null,null,null,50
241820700,66010787,66010787,null,null,51
1013721800,135793760,135793760,null,null,53
10207300,8640223,8640223,null,null,54
34121000,15668762,15668762,null,null,55
null,null,null,null,null,56
null,null,null,null,null,72
42126800,19200021,19200021,null,null,01
180734300,34226542,34226542,null,null,02
308391900,79253448,79253448,null,null,04
77865500,16622903,16622903,null,null,05
3856692000,236292609,236292609,null,null,06
187705500,67463371,67463371,null,null,08
58805400,37631193,37631193,null,null,09
31896800,26443022,26443022,null,null,10
null,null,null,null,null,11
