B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M,B16005I_001M,B16005I_001EA,B16005I_001MA,B16005I_002M,B16005I_002EA,B16005I_002MA,B16005I_003M,B16005I_003EA,B16005I_003MA,B16005I_004M,B16005I_004EA,B16005I_004MA,B16005I_005M,B16005I_005EA,B16005I_005MA,B16005I_006M,B16005I_006EA,B16005I_006MA,B16005I_007M,B16005I_007EA,B16005I_007MA,B16005I_008M,B16005I_008EA,B16005I_008MA,B16005I_009M,B16005I_009EA,B16005I_009MA,B16005I_010M,B16005I_010EA,B16005I_010MA,B16005I_011M,B16005I_011EA,B16005I_011MA,state
4775277,1513,2382212,25985,740677,21887,1641535,25427,1326473,24912,315062,13032,2393065,25971,132276,9281,2260789,27088,797495,15695,1463294,25316,1513,null,null,25985,null,null,21887,null,null,25427,null,null,24912,null,null,13032,null,null,25971,null,null,9281,null,null,27088,null,null,15695,null,null,25316,null,null,12
863218,3954,456101,9182,161716,9350,294385,10549,242236,9367,52149,4535,407117,9118,21658,3800,385459,10036,109940,7535,275519,10307,3954,null,null,9182,null,null,9350,null,null,10549,null,null,9367,null,null,4535,null,null,9118,null,null,3800,null,null,10036,null,null,7535,null,null,10307,null,null,13
128485,-555555555,115269,2350,93407,3900,21862,3182,17512,2544,4350,1578,13216,2349,2046,712,11170,2268,5538,1575,5632,1810,-555555555,null,*****,2350,null,null,3900,null,null,3182,null,null,2544,null,null,1578,null,null,2349,null,null,712,null,null,2268,null,null,1575,null,null,1810,null,null,15
185149,1494,129001,4202,67474,5078,61527,5133,48400,4522,13127,2874,56148,3921,2615,950,53533,3933,17613,2671,35920,3433,1494,null,null,4202,null,null,5078,null,null,5133,null,null,4522,null,null,2874,null,null,3921,null,null,950,null,null,3933,null,null,2671,null,null,3433,null,null,16
1993068,1988,1231360,14797,423170,16173,808190,14729,701357,13498,106833,6510,761708,14924,28589,3050,733119,14445,237084,8143,496035,12032,1988,null,null,14797,null,null,16173,null,null,14729,null,null,13498,null,null,6510,null,null,14924,null,null,3050,null,null,14445,null,null,8143,null,null,12032,null,null,17
403704,1817,265606,5607,134647,6910,130959,5729,109140,5242,21819,2554,138098,5942,8593,1661,129505,5960,45239,4362,84266,4924,1817,null,null,5607,null,null,6910,null,null,5729,null,null,5242,null,null,2554,null,null,5942,null,null,1661,null,null,5960,null,null,4362,null,null,4924,null,null,18
160463,1618,101546,3207,54623,3418,46923,3157,38864,3203,8059,1444,58917,3571,3202,951,55715,3855,16085,1853,39630,3414,1618,null,null,3207,null,null,3418,null,null,3157,null,null,3203,null,null,1444,null,null,3571,null,null,951,null,null,3855,null,null,1853,null,null,3414,null,null,19
299674,1562,195272,5263,99876,5797,95396,4133,82906,3829,12490,1966,104402,5160,4924,1080,99478,5292,29211,2707,70267,5253,1562,null,null,5263,null,null,5797,null,null,4133,null,null,3829,null,null,1966,null,null,5160,null,null,1080,null,null,5292,null,null,2707,null,null,5253,null,null,20
135556,2816,83195,3464,50057,4243,33138,3224,27610,2455,5528,1543,52361,3354,4009,1348,48352,3155,14732,2329,33620,2992,2816,null,null,3464,null,null,4243,null,null,3224,null,null,2455,null,null,1543,null,null,3354,null,null,1348,null,null,3155,null,null,2329,null,null,2992,null,null,21
206944,3116,115424,5960,65072,6373,50352,3820,40069,3415,10283,2167,91520,4862,6177,1623,85343,5090,32090,3677,53253,4706,3116,null,null,5960,null,null,6373,null,null,3820,null,null,3415,null,null,2167,null,null,4862,null,null,1623,null,null,5090,null,null,3677,null,null,4706,null,null,22
19462,912,15602,1316,11853,1342,3749,925,3331,840,418,264,3860,930,1206,516,2654,964,1359,642,1295,639,912,null,null,1316,null,null,1342,null,null,925,null,null,840,null,null,264,null,null,930,null,null,516,null,null,964,null,null,642,null,null,639,null,null,23
524346,1125,241094,6731,93478,5824,147616,6824,124515,6708,23101,2920,283252,6742,13195,1966,270057,6950,92393,5185,177664,8391,1125,null,null,6731,null,null,5824,null,null,6824,null,null,6708,null,null,2920,null,null,6742,null,null,1966,null,null,6950,null,null,5185,null,null,8391,null,null,24
706757,1141,456697,8632,153550,7793,303147,10318,227413,7948,75734,5306,250060,8481,14037,2182,236023,8524,82520,5772,153503,8299,1141,null,null,8632,null,null,7793,null,null,10318,null,null,7948,null,null,5306,null,null,8481,null,null,2182,null,null,8524,null,null,5772,null,null,8299,null,null,25
444270,1471,330940,6075,211541,7360,119399,5189,100713,5660,18686,2582,113330,5827,7503,1404,105827,6124,35215,3841,70612,5338,1471,null,null,6075,null,null,7360,null,null,5189,null,null,5660,null,null,2582,null,null,5827,null,null,1404,null,null,6124,null,null,3841,null,null,5338,null,null,26
259027,1162,153197,4123,78732,5035,74465,4246,64407,4162,10058,1741,105830,3846,8467,1553,97363,3995,29259,2371,68104,3808,1162,null,null,4123,null,null,5035,null,null,4246,null,null,4162,null,null,1741,null,null,3846,null,null,1553,null,null,3995,null,null,2371,null,null,3808,null,null,27
77986,2797,51823,3389,25034,2745,26789,3352,19678,2624,7111,1985,26163,3015,1297,568,24866,2962,9546,1827,15320,2550,2797,null,null,3389,null,null,2745,null,null,3352,null,null,2624,null,null,1985,null,null,3015,null,null,568,null,null,2962,null,null,1827,null,null,2550,null,null,28
219380,2079,150881,4322,94192,5006,56689,4100,48637,4213,8052,1729,68499,3888,6543,1303,61956,3887,27658,2928,34298,3352,2079,null,null,4322,null,null,5006,null,null,4100,null,null,4213,null,null,1729,null,null,3888,null,null,1303,null,null,3887,null,null,2928,null,null,3352,null,null,29
33180,1496,31002,1604,26481,1927,4521,1123,3988,1150,533,415,2178,656,694,351,1484,604,936,510,548,361,1496,null,null,1604,null,null,1927,null,null,1123,null,null,1150,null,null,415,null,null,656,null,null,351,null,null,604,null,null,510,null,null,361,null,null,30
178825,1624,107515,4519,51494,4621,56021,3444,43433,3503,12588,1980,71310,4161,2336,867,68974,4116,16815,1922,52159,3783,1624,null,null,4519,null,null,4621,null,null,3444,null,null,3503,null,null,1980,null,null,4161,null,null,867,null,null,4116,null,null,1922,null,null,3783,null,null,31
