B14007D_001E,B14007D_001M,B14007D_002E,B14007D_002M,B14007D_003E,B14007D_003M,B14007D_004E,B14007D_004M,B14007D_005E,B14007D_005M,B14007D_006E,B14007D_006M,B14007D_007E,B14007D_007M,B14007D_008E,B14007D_008M,B14007D_009E,B14007D_009M,B14007D_010E,B14007D_010M,B14007D_011E,B14007D_011M,B14007D_012E,B14007D_012M,B14007D_013E,B14007D_013M,B14007D_014E,B14007D_014M,B14007D_015E,B14007D_015M,B14007D_016E,B14007D_016M,B14007D_017E,B14007D_017M,B14007D_018E,B14007D_018M,B14007D_019E,B14007D_019M,B14007D_001M,B14007D_001EA,B14007D_001MA,B14007D_002M,B14007D_002EA,B14007D_002MA,B14007D_003M,B14007D_003EA,B14007D_003MA,B14007D_004M,B14007D_004EA,B14007D_004MA,B14007D_005M,B14007D_005EA,B14007D_005MA,B14007D_006M,B14007D_006EA,B14007D_006MA,B14007D_007M,B14007D_007EA,B14007D_007MA,B14007D_008M,B14007D_008EA,B14007D_008MA,B14007D_009M,B14007D_009EA,B14007D_009MA,B14007D_010M,B14007D_010EA,B14007D_010MA,B14007D_011M,B14007D_011EA,B14007D_011MA,B14007D_012M,B14007D_012EA,B14007D_012MA,B14007D_013M,B14007D_013EA,B14007D_013MA,B14007D_014M,B14007D_014EA,B14007D_014MA,B14007D_015M,B14007D_015EA,B14007D_015MA,B14007D_016M,B14007D_016EA,B14007D_016MA,B14007D_017M,B14007D_017EA,B14007D_017MA,B14007D_018M,B14007D_018EA,B14007D_018MA,B14007D_019M,B14007D_019EA,B14007D_019MA,state
543980,7335,146159,5942,7707,1512,6927,1458,5904,1245,4528,1249,6126,1431,6424,1232,4365,1184,6342,1351,5425,1405,7638,1475,6844,1546,5986,1167,5660,1296,7994,1848,39138,3053,19151,3753,397821,6588,7335,null,null,5942,null,null,1512,null,null,1458,null,null,1245,null,null,1249,null,null,1431,null,null,1232,null,null,1184,null,null,1351,null,null,1405,null,null,1475,null,null,1546,null,null,1167,null,null,1296,null,null,1848,null,null,3053,null,null,3753,null,null,6588,null,null,12
384949,6260,113032,4910,6974,1406,3761,915,4486,969,5210,1213,4123,1061,6003,1552,5471,1016,6171,1195,5184,1139,4470,1072,6087,1116,4269,1043,5025,1105,3826,932,28709,2392,13263,2215,271917,5584,6260,null,null,4910,null,null,1406,null,null,915,null,null,969,null,null,1213,null,null,1061,null,null,1552,null,null,1016,null,null,1195,null,null,1139,null,null,1072,null,null,1116,null,null,1043,null,null,1105,null,null,932,null,null,2392,null,null,2215,null,null,5584,null,null,13
532051,9796,99488,5720,5264,1233,3428,903,1828,633,3188,1014,4448,1132,3570,1061,4792,1122,5771,1179,5603,1299,3995,908,4154,1038,5533,1228,4348,936,6854,1474,29480,2530,7232,1299,432563,6894,9796,null,null,5720,null,null,1233,null,null,903,null,null,633,null,null,1014,null,null,1132,null,null,1061,null,null,1122,null,null,1179,null,null,1299,null,null,908,null,null,1038,null,null,1228,null,null,936,null,null,1474,null,null,2530,null,null,1299,null,null,6894,null,null,15
23521,2152,9051,1933,272,281,301,290,193,182,266,239,335,322,248,241,476,502,110,181,194,205,729,630,515,367,342,321,220,273,494,423,3363,1384,993,707,14470,1731,2152,null,null,1933,null,null,281,null,null,290,null,null,182,null,null,239,null,null,322,null,null,241,null,null,502,null,null,181,null,null,205,null,null,630,null,null,367,null,null,321,null,null,273,null,null,423,null,null,1384,null,null,707,null,null,1731,null,null,16
661791,5813,198070,5437,11919,1550,8479,1388,7488,1163,7681,1381,8389,1202,8868,1387,7968,1348,7790,1494,8263,1124,8058,1293,7665,1059,7934,968,6748,1066,8232,1353,51085,3212,31503,3026,463721,4894,5813,null,null,5437,null,null,1550,null,null,1388,null,null,1163,null,null,1381,null,null,1202,null,null,1387,null,null,1348,null,null,1494,null,null,1124,null,null,1293,null,null,1059,null,null,968,null,null,1066,null,null,1353,null,null,3212,null,null,3026,null,null,4894,null,null,17
135584,4133,52198,3124,2415,861,1990,707,976,609,1957,758,2132,870,1320,455,1554,742,2006,681,1333,703,2279,793,1430,528,1120,549,1461,699,1926,729,17668,1876,10631,2285,83386,3056,4133,null,null,3124,null,null,861,null,null,707,null,null,609,null,null,758,null,null,870,null,null,455,null,null,742,null,null,681,null,null,703,null,null,793,null,null,528,null,null,549,null,null,699,null,null,729,null,null,1876,null,null,2285,null,null,3056,null,null,18
71581,2448,27868,2116,1389,559,1333,658,1039,531,969,601,1337,545,694,410,206,194,944,392,1460,632,969,452,860,465,769,377,747,412,1613,720,9983,1681,3556,1317,43713,1966,2448,null,null,2116,null,null,559,null,null,658,null,null,531,null,null,601,null,null,545,null,null,410,null,null,194,null,null,392,null,null,632,null,null,452,null,null,465,null,null,377,null,null,412,null,null,720,null,null,1681,null,null,1317,null,null,1966,null,null,19
76820,3413,24155,2399,874,451,1029,428,593,289,684,312,545,316,909,374,914,416,1876,784,902,425,920,369,747,385,891,395,1015,509,1088,555,8917,1780,2251,884,52665,3782,3413,null,null,2399,null,null,451,null,null,428,null,null,289,null,null,312,null,null,316,null,null,374,null,null,416,null,null,784,null,null,425,null,null,369,null,null,385,null,null,395,null,null,509,null,null,555,null,null,1780,null,null,884,null,null,3782,null,null,20
58814,2844,20469,2121,1752,658,605,463,737,443,831,368,993,469,719,356,920,450,704,470,721,386,745,335,932,502,1395,475,669,378,933,504,4664,1035,3149,926,38345,2102,2844,null,null,2121,null,null,658,null,null,463,null,null,443,null,null,368,null,null,469,null,null,356,null,null,450,null,null,470,null,null,386,null,null,335,null,null,502,null,null,475,null,null,378,null,null,504,null,null,1035,null,null,926,null,null,2102,null,null,21
74717,2410,22470,2291,1149,448,569,294,495,380,1603,724,885,435,667,400,561,296,605,379,813,556,1205,603,736,428,897,492,970,552,615,350,6213,1552,4487,1358,52247,1985,2410,null,null,2291,null,null,448,null,null,294,null,null,380,null,null,724,null,null,435,null,null,400,null,null,296,null,null,379,null,null,556,null,null,603,null,null,428,null,null,492,null,null,552,null,null,350,null,null,1552,null,null,1358,null,null,1985,null,null,22
