B19101A_001E,B19101A_001M,B19101A_002E,B19101A_002M,B19101A_003E,B19101A_003M,B19101A_004E,B19101A_004M,B19101A_005E,B19101A_005M,B19101A_006E,B19101A_006M,B19101A_007E,B19101A_007M,B19101A_008E,B19101A_008M,B19101A_009E,B19101A_009M,B19101A_010E,B19101A_010M,B19101A_011E,B19101A_011M,B19101A_012E,B19101A_012M,B19101A_013E,B19101A_013M,B19101A_014E,B19101A_014M,B19101A_015E,B19101A_015M,B19101A_016E,B19101A_016M,B19101A_017E,B19101A_017M,B19101A_001M,B19101A_001EA,B19101A_001MA,B19101A_002M,B19101A_002EA,B19101A_002MA,B19101A_003M,B19101A_003EA,B19101A_003MA,B19101A_004M,B19101A_004EA,B19101A_004MA,B19101A_005M,B19101A_005EA,B19101A_005MA,B19101A_006M,B19101A_006EA,B19101A_006MA,B19101A_007M,B19101A_007EA,B19101A_007MA,B19101A_008M,B19101A_008EA,B19101A_008MA,B19101A_009M,B19101A_009EA,B19101A_009MA,B19101A_010M,B19101A_010EA,B19101A_010MA,B19101A_011M,B19101A_011EA,B19101A_011MA,B19101A_012M,B19101A_012EA,B19101A_012MA,B19101A_013M,B19101A_013EA,B19101A_013MA,B19101A_014M,B19101A_014EA,B19101A_014MA,B19101A_015M,B19101A_015EA,B19101A_015MA,B19101A_016M,B19101A_016EA,B19101A_016MA,B19101A_017M,B19101A_017EA,B19101A_017MA,state
3860030,20158,135396,6384,102933,4905,125002,6500,166805,7352,169429,6960,183855,7436,182673,6615,197250,7173,165089,6212,333535,9140,435349,10838,549007,13293,370415,9853,230017,7013,236929,8095,276346,8031,20158,null,null,6384,null,null,4905,null,null,6500,null,null,7352,null,null,6960,null,null,7436,null,null,6615,null,null,7173,null,null,6212,null,null,9140,null,null,10838,null,null,13293,null,null,9853,null,null,7013,null,null,8095,null,null,8031,null,null,12
1559990,14129,53400,3686,31044,3188,41311,3663,58509,4646,56267,3248,66184,4152,59746,4276,70455,4593,58314,3862,126120,6356,170910,7496,231279,7402,169725,6644,104617,4971,122493,6105,139616,5739,14129,null,null,3686,null,null,3188,null,null,3663,null,null,4646,null,null,3248,null,null,4152,null,null,4276,null,null,4593,null,null,3862,null,null,6356,null,null,7496,null,null,7402,null,null,6644,null,null,4971,null,null,6105,null,null,5739,null,null,13
93422,3264,1360,467,1725,572,1043,442,1863,782,2640,797,3935,938,3472,869,3241,915,2177,578,6249,1337,9554,1607,13839,1633,11254,1549,8319,1306,10323,1414,12428,1629,3264,null,null,467,null,null,572,null,null,442,null,null,782,null,null,797,null,null,938,null,null,869,null,null,915,null,null,578,null,null,1337,null,null,1607,null,null,1633,null,null,1549,null,null,1306,null,null,1414,null,null,1629,null,null,15
378955,6825,13698,1924,9691,1767,11328,2011,14427,2064,14160,1816,19539,3014,17990,2227,17019,1817,20826,2158,33850,2692,50898,3496,57769,3807,39288,3387,21254,1995,20957,2225,16261,2109,6825,null,null,1924,null,null,1767,null,null,2011,null,null,2064,null,null,1816,null,null,3014,null,null,2227,null,null,1817,null,null,2158,null,null,2692,null,null,3496,null,null,3807,null,null,3387,null,null,1995,null,null,2225,null,null,2109,null,null,16
2320070,14449,60784,4494,40538,3255,54951,3694,67978,3847,65790,3736,77744,4347,85959,3968,85122,3834,77826,3815,169583,6080,237502,7032,355093,8663,290547,7289,187479,6480,223943,6351,239231,6119,14449,null,null,4494,null,null,3255,null,null,3694,null,null,3847,null,null,3736,null,null,4347,null,null,3968,null,null,3834,null,null,3815,null,null,6080,null,null,7032,null,null,8663,null,null,7289,null,null,6480,null,null,6351,null,null,6119,null,null,17
1431393,10139,43085,3487,32304,2575,34452,2843,50867,3219,53915,3345,63624,3446,64849,4127,64996,4321,59866,3590,128845,4677,187465,6951,239067,6709,158727,5705,90391,4744,86732,4047,72208,3735,10139,null,null,3487,null,null,2575,null,null,2843,null,null,3219,null,null,3345,null,null,3446,null,null,4127,null,null,4321,null,null,3590,null,null,4677,null,null,6951,null,null,6709,null,null,5705,null,null,4744,null,null,4047,null,null,3735,null,null,18
739662,8109,20235,1448,13049,1596,18193,2203,19993,2015,25550,2236,25646,2359,27947,1933,31622,2697,33147,2178,65191,3389,90728,3628,133368,4166,91883,4369,54410,3248,47498,2766,41202,2748,8109,null,null,1448,null,null,1596,null,null,2203,null,null,2015,null,null,2236,null,null,2359,null,null,1933,null,null,2697,null,null,2178,null,null,3389,null,null,3628,null,null,4166,null,null,4369,null,null,3248,null,null,2766,null,null,2748,null,null,19
628404,8107,15862,1731,13263,1898,15185,1705,20440,1793,22825,2193,27309,2482,25200,2105,28270,2425,25125,2181,52038,3027,77175,3438,101082,4127,77258,4279,43894,2706,41961,2841,41517,2271,8107,null,null,1731,null,null,1898,null,null,1705,null,null,1793,null,null,2193,null,null,2482,null,null,2105,null,null,2425,null,null,2181,null,null,3027,null,null,3438,null,null,4127,null,null,4279,null,null,2706,null,null,2841,null,null,2271,null,null,20
1007356,10483,56026,3741,38388,3561,41321,3457,44594,3392,48770,3705,48036,3320,46034,3509,45807,3578,41670,3016,82202,4542,114685,4498,146243,6145,98220,5288,56034,3274,49961,2950,49365,3407,10483,null,null,3741,null,null,3561,null,null,3457,null,null,3392,null,null,3705,null,null,3320,null,null,3509,null,null,3578,null,null,3016,null,null,4542,null,null,4498,null,null,6145,null,null,5288,null,null,3274,null,null,2950,null,null,3407,null,null,21
726157,8488,30059,3558,19074,2401,24114,3189,25611,2038,25687,2369,28990,2570,28848,2792,35065,3592,31612,2882,56298,4054,77078,3710,103620,5107,82134,4029,52954,3711,55312,4260,49701,3261,8488,null,null,3558,null,null,2401,null,null,3189,null,null,2038,null,null,2369,null,null,2570,null,null,2792,null,null,3592,null,null,2882,null,null,4054,null,null,3710,null,null,5107,null,null,4029,null,null,3711,null,null,4260,null,null,3261,null,null,22
316108,6125,8354,1414,7229,1250,10246,1609,12140,1593,14154,1934,13843,1711,13403,1876,13147,1665,13486,1566,27882,2263,38850,3078,53489,3186,33769,2791,20853,2173,19325,1874,15938,1568,6125,null,null,1414,null,null,1250,null,null,1609,null,null,1593,null,null,1934,null,null,1711,null,null,1876,null,null,1665,null,null,1566,null,null,2263,null,null,3078,null,null,3186,null,null,2791,null,null,2173,null,null,1874,null,null,1568,null,null,23
880265,8549,15864,2054,10815,1505,12236,1727,15170,1870,19334,2046,20316,1992,21560,2193,21481,2352,23691,2223,46248,3131,74933,3582,123309,4558,113734,4967,92009,4354,119331,4595,150234,4491,8549,null,null,2054,null,null,1505,null,null,1727,null,null,1870,null,null,2046,null,null,1992,null,null,2193,null,null,2352,null,null,2223,null,null,3131,null,null,3582,null,null,4558,null,null,4967,null,null,4354,null,null,4595,null,null,4491,null,null,24
1326410,10724,32541,2985,20141,2111,24557,2256,28285,2810,28807,2729,36607,2682,36518,2813,38608,3005,36217,3031,73689,3744,106463,4891,184908,5942,168600,5744,132165,5993,167997,5380,210307,5879,10724,null,null,2985,null,null,2111,null,null,2256,null,null,2810,null,null,2729,null,null,2682,null,null,2813,null,null,3005,null,null,3031,null,null,3744,null,null,4891,null,null,5942,null,null,5744,null,null,5993,null,null,5380,null,null,5879,null,null,25
