B10052_001E,B10052_001M,B10052_002E,B10052_002M,B10052_003E,B10052_003M,B10052_004E,B10052_004M,B10052_005E,B10052_005M,B10052_006E,B10052_006M,B10052_007E,B10052_007M,B10052_008E,B10052_008M,B10052_009E,B10052_009M,B10052_010E,B10052_010M,B10052_011E,B10052_011M,B10052_001M,B10052_001EA,B10052_001MA,B10052_002M,B10052_002EA,B10052_002MA,B10052_003M,B10052_003EA,B10052_003MA,B10052_004M,B10052_004EA,B10052_004MA,B10052_005M,B10052_005EA,B10052_005MA,B10052_006M,B10052_006EA,B10052_006MA,B10052_007M,B10052_007EA,B10052_007MA,B10052_008M,B10052_008EA,B10052_008MA,B10052_009M,B10052_009EA,B10052_009MA,B10052_010M,B10052_010EA,B10052_010MA,B10052_011M,B10052_011EA,B10052_011MA,state
500144,17163,124924,8714,35947,3205,15282,2305,20665,2167,88977,7438,375220,14725,112959,6633,68396,5322,44563,4312,262261,13395,17163,null,null,8714,null,null,3205,null,null,2305,null,null,2167,null,null,7438,null,null,14725,null,null,6633,null,null,5322,null,null,4312,null,null,13395,null,null,12
263322,10928,74509,4623,25875,2842,12842,2101,13033,1869,48634,4204,188813,9817,76267,5480,44304,3952,31963,3422,112546,7050,10928,null,null,4623,null,null,2842,null,null,2101,null,null,1869,null,null,4204,null,null,9817,null,null,5480,null,null,3952,null,null,3422,null,null,7050,null,null,13
55014,3948,12019,1777,3126,958,980,452,2146,821,8893,1519,42995,3372,10046,1805,5563,1486,4483,1177,32949,2897,3948,null,null,1777,null,null,958,null,null,452,null,null,821,null,null,1519,null,null,3372,null,null,1805,null,null,1486,null,null,1177,null,null,2897,null,null,15
26148,3338,6279,1448,1526,518,489,281,1037,449,4753,1318,19869,2830,7277,1659,4683,1367,2594,834,12592,2193,3338,null,null,1448,null,null,518,null,null,281,null,null,449,null,null,1318,null,null,2830,null,null,1659,null,null,1367,null,null,834,null,null,2193,null,null,16
262647,11378,64652,4127,17351,1841,7675,1389,9676,1246,47301,3950,197995,9204,65972,4628,42960,3584,23012,2385,132023,6691,11378,null,null,4127,null,null,1841,null,null,1389,null,null,1246,null,null,3950,null,null,9204,null,null,4628,null,null,3584,null,null,2385,null,null,6691,null,null,17
126455,6771,35628,3227,15161,2060,9074,1750,6087,1163,20467,2376,90827,6005,44318,3787,29651,3277,14667,1766,46509,4112,6771,null,null,3227,null,null,2060,null,null,1750,null,null,1163,null,null,2376,null,null,6005,null,null,3787,null,null,3277,null,null,1766,null,null,4112,null,null,18
41852,3615,9645,1745,3734,993,1528,589,2206,645,5911,1461,32207,2991,12947,1695,8792,1533,4155,841,19260,2494,3615,null,null,1745,null,null,993,null,null,589,null,null,645,null,null,1461,null,null,2991,null,null,1695,null,null,1533,null,null,841,null,null,2494,null,null,19
44019,3263,10882,1559,5183,1183,2951,963,2232,764,5699,1025,33137,3065,12583,1660,7787,1256,4796,1078,20554,2455,3263,null,null,1559,null,null,1183,null,null,963,null,null,764,null,null,1025,null,null,3065,null,null,1660,null,null,1256,null,null,1078,null,null,2455,null,null,20
100801,5249,35532,3225,19404,2337,10086,1686,9318,1495,16128,2280,65269,4504,35864,3583,22421,2692,13443,2134,29405,2991,5249,null,null,3225,null,null,2337,null,null,1686,null,null,1495,null,null,2280,null,null,4504,null,null,3583,null,null,2692,null,null,2134,null,null,2991,null,null,21
112557,7257,31905,3361,16584,2639,7366,1710,9218,1727,15321,1925,80652,5986,40292,3971,22101,2962,18191,2532,40360,3868,7257,null,null,3361,null,null,2639,null,null,1710,null,null,1727,null,null,1925,null,null,5986,null,null,3971,null,null,2962,null,null,2532,null,null,3868,null,null,22
