B16003_001E,B16003_001M,B16003_002E,B16003_002M,B16003_003E,B16003_003M,B16003_004E,B16003_004M,B16003_005E,B16003_005M,B16003_006E,B16003_006M,B16003_007E,B16003_007M,B16003_008E,B16003_008M,B16003_009E,B16003_009M,B16003_010E,B16003_010M,B16003_011E,B16003_011M,B16003_012E,B16003_012M,B16003_001M,B16003_001EA,B16003_001MA,B16003_002M,B16003_002EA,B16003_002MA,B16003_003M,B16003_003EA,B16003_003MA,B16003_004M,B16003_004EA,B16003_004MA,B16003_005M,B16003_005EA,B16003_005MA,B16003_006M,B16003_006EA,B16003_006MA,B16003_007M,B16003_007EA,B16003_007MA,B16003_008M,B16003_008EA,B16003_008MA,B16003_009M,B16003_009EA,B16003_009MA,B16003_010M,B16003_010EA,B16003_010MA,B16003_011M,B16003_011EA,B16003_011MA,B16003_012M,B16003_012EA,B16003_012MA,state
1315361,32170,199475,10730,13502,3455,152322,9542,24022,3965,6684,1660,2945,1457,1115886,26786,892739,24638,151888,9657,53692,6240,17567,3977,32170,null,null,10730,null,null,3455,null,null,9542,null,null,3965,null,null,1660,null,null,1457,null,null,26786,null,null,24638,null,null,9657,null,null,6240,null,null,3977,null,null,12
309613,16145,75087,5965,2717,1148,57896,5422,5403,1417,6577,1751,2494,1378,234526,12519,147316,10225,26213,3661,51053,5936,9944,2599,16145,null,null,5965,null,null,1148,null,null,5422,null,null,1417,null,null,1751,null,null,1378,null,null,12519,null,null,10225,null,null,3661,null,null,5936,null,null,2599,null,null,13
66760,7173,10476,2575,1976,816,340,359,41,70,8108,2239,11,19,56284,5536,1252,755,1149,543,53571,5218,312,288,7173,null,null,2575,null,null,816,null,null,359,null,null,70,null,null,2239,null,null,19,null,null,5536,null,null,755,null,null,543,null,null,5218,null,null,288,null,null,15
33886,5848,10976,3188,261,317,9726,3152,485,385,504,469,0,198,22910,3484,18359,3337,1942,1041,1788,793,821,645,5848,null,null,3188,null,null,317,null,null,3152,null,null,385,null,null,469,null,null,198,null,null,3484,null,null,3337,null,null,1041,null,null,793,null,null,645,null,null,16
508317,16633,100851,6696,7089,1650,68472,5235,12149,2344,7831,1524,5310,2247,407466,12915,203442,9853,110739,7724,73174,4947,20111,3817,16633,null,null,6696,null,null,1650,null,null,5235,null,null,2344,null,null,1524,null,null,2247,null,null,12915,null,null,9853,null,null,7724,null,null,4947,null,null,3817,null,null,17
113939,10207,30857,4579,2624,1408,18222,3519,3581,1671,5218,1383,1212,903,83082,7363,43898,5318,12917,3287,22741,3225,3526,1411,10207,null,null,4579,null,null,1408,null,null,3519,null,null,1671,null,null,1383,null,null,903,null,null,7363,null,null,5318,null,null,3287,null,null,3225,null,null,1411,null,null,18
59856,6655,16125,2945,1590,770,8414,2175,1080,658,2402,1144,2639,1522,43731,4713,21094,2922,5458,1749,12749,2747,4430,1512,6655,null,null,2945,null,null,770,null,null,2175,null,null,658,null,null,1144,null,null,1522,null,null,4713,null,null,2922,null,null,1749,null,null,2747,null,null,1512,null,null,19
76555,7760,15617,2873,248,297,11370,2350,1337,846,2397,1035,265,348,60938,5678,39480,4407,5274,1850,14636,2679,1548,781,7760,null,null,2873,null,null,297,null,null,2350,null,null,846,null,null,1035,null,null,348,null,null,5678,null,null,4407,null,null,1850,null,null,2679,null,null,781,null,null,20
50870,5446,12330,2433,1569,1062,5749,1548,1856,1052,1172,667,1984,1380,38540,3941,18724,2603,7829,1878,7017,1633,4970,1798,5446,null,null,2433,null,null,1062,null,null,1548,null,null,1052,null,null,667,null,null,1380,null,null,3941,null,null,2603,null,null,1878,null,null,1633,null,null,1798,null,null,21
69874,8122,12890,2745,763,671,9862,2535,279,250,1706,802,280,380,56984,6037,34505,4554,8789,1856,12458,2512,1232,799,8122,null,null,2745,null,null,671,null,null,2535,null,null,250,null,null,802,null,null,380,null,null,6037,null,null,4554,null,null,1856,null,null,2512,null,null,799,null,null,22
