B14007I_001E,B14007I_001M,B14007I_002E,B14007I_002M,B14007I_003E,B14007I_003M,B14007I_004E,B14007I_004M,B14007I_005E,B14007I_005M,B14007I_006E,B14007I_006M,B14007I_007E,B14007I_007M,B14007I_008E,B14007I_008M,B14007I_009E,B14007I_009M,B14007I_010E,B14007I_010M,B14007I_011E,B14007I_011M,B14007I_012E,B14007I_012M,B14007I_013E,B14007I_013M,B14007I_014E,B14007I_014M,B14007I_015E,B14007I_015M,B14007I_016E,B14007I_016M,B14007I_017E,B14007I_017M,B14007I_018E,B14007I_018M,B14007I_019E,B14007I_019M,B14007I_001M,B14007I_001EA,B14007I_001MA,B14007I_002M,B14007I_002EA,B14007I_002MA,B14007I_003M,B14007I_003EA,B14007I_003MA,B14007I_004M,B14007I_004EA,B14007I_004MA,B14007I_005M,B14007I_005EA,B14007I_005MA,B14007I_006M,B14007I_006EA,B14007I_006MA,B14007I_007M,B14007I_007EA,B14007I_007MA,B14007I_008M,B14007I_008EA,B14007I_008MA,B14007I_009M,B14007I_009EA,B14007I_009MA,B14007I_010M,B14007I_010EA,B14007I_010MA,B14007I_011M,B14007I_011EA,B14007I_011MA,B14007I_012M,B14007I_012EA,B14007I_012MA,B14007I_013M,B14007I_013EA,B14007I_013MA,B14007I_014M,B14007I_014EA,B14007I_014MA,B14007I_015M,B14007I_015EA,B14007I_015MA,B14007I_016M,B14007I_016EA,B14007I_016MA,B14007I_017M,B14007I_017EA,B14007I_017MA,B14007I_018M,B14007I_018EA,B14007I_018MA,B14007I_019M,B14007I_019EA,B14007I_019MA,state
4917765,5250,1366968,14505,82509,5195,69850,5288,57712,5378,71043,4572,77676,4594,74378,5172,77691,5896,68203,4643,70799,5206,66634,4964,66617,4377,75573,4241,71100,4433,77921,4583,301513,10793,57749,4489,3550797,13783,5250,null,null,14505,null,null,5195,null,null,5288,null,null,5378,null,null,4572,null,null,4594,null,null,5172,null,null,5896,null,null,4643,null,null,5206,null,null,4964,null,null,4377,null,null,4241,null,null,4433,null,null,4583,null,null,10793,null,null,4489,null,null,13783,null,null,12
902124,5053,329701,6671,20069,3185,20062,2735,20870,2424,19780,2447,21807,2938,23145,2804,23359,2411,21212,2812,19530,2886,18442,2974,17971,2691,18565,2586,17182,1938,16383,2556,44921,3746,6403,1736,572423,6214,5053,null,null,6671,null,null,3185,null,null,2735,null,null,2424,null,null,2447,null,null,2938,null,null,2804,null,null,2411,null,null,2812,null,null,2886,null,null,2974,null,null,2691,null,null,2586,null,null,1938,null,null,2556,null,null,3746,null,null,1736,null,null,6214,null,null,13
136009,1119,50724,2228,3708,1036,3257,963,2210,703,1476,630,3005,831,2727,810,3066,960,2741,750,2619,783,3051,826,2155,534,2736,762,2346,639,2517,977,11224,1730,1886,700,85285,2193,1119,null,null,2228,null,null,1036,null,null,963,null,null,703,null,null,630,null,null,831,null,null,810,null,null,960,null,null,750,null,null,783,null,null,826,null,null,534,null,null,762,null,null,639,null,null,977,null,null,1730,null,null,700,null,null,2193,null,null,15
194673,1597,71376,2648,3272,926,4902,1193,5461,1308,5565,1334,3544,1043,3698,987,3671,985,4416,910,4255,1278,5090,1338,2898,902,4468,877,3728,976,4420,1150,10471,1666,1517,743,123297,2925,1597,null,null,2648,null,null,926,null,null,1193,null,null,1308,null,null,1334,null,null,1043,null,null,987,null,null,985,null,null,910,null,null,1278,null,null,1338,null,null,902,null,null,877,null,null,976,null,null,1150,null,null,1666,null,null,743,null,null,2925,null,null,16
2068359,4538,734915,8046,45059,3957,40355,3355,40128,3524,38695,2906,44521,3302,43221,3284,41178,2987,40318,2927,44705,3475,40945,2774,40567,2993,40546,3234,42093,2991,40647,3343,129691,6063,22246,2239,1333444,7826,4538,null,null,8046,null,null,3957,null,null,3355,null,null,3524,null,null,2906,null,null,3302,null,null,3284,null,null,2987,null,null,2927,null,null,3475,null,null,2774,null,null,2993,null,null,3234,null,null,2991,null,null,3343,null,null,6063,null,null,2239,null,null,7826,null,null,17
420566,2246,157108,4139,7470,1410,8988,1558,9658,1667,11301,1692,14434,1779,9480,1494,10639,1547,8408,1510,9442,1577,9414,1450,9205,1405,8419,1261,8644,1429,8524,1558,20638,2049,2444,847,263458,3559,2246,null,null,4139,null,null,1410,null,null,1558,null,null,1667,null,null,1692,null,null,1779,null,null,1494,null,null,1547,null,null,1510,null,null,1577,null,null,1450,null,null,1405,null,null,1261,null,null,1429,null,null,1558,null,null,2049,null,null,847,null,null,3559,null,null,18
167807,1593,69996,2369,4407,949,6017,1237,4332,884,4247,834,4999,918,4025,867,3633,900,3417,896,3648,1011,3509,784,3895,901,4020,832,2726,647,2858,753,12857,1715,1406,481,97811,2463,1593,null,null,2369,null,null,949,null,null,1237,null,null,884,null,null,834,null,null,918,null,null,867,null,null,900,null,null,896,null,null,1011,null,null,784,null,null,901,null,null,832,null,null,647,null,null,753,null,null,1715,null,null,481,null,null,2463,null,null,19
314533,1924,121614,3437,8141,1463,7454,1385,8348,1349,8291,1491,8543,1561,6867,1350,7959,1396,5978,1192,7906,1840,5142,1202,6076,1021,6388,1313,7662,1309,6395,1345,18546,2402,1918,792,192919,3482,1924,null,null,3437,null,null,1463,null,null,1385,null,null,1349,null,null,1491,null,null,1561,null,null,1350,null,null,1396,null,null,1192,null,null,1840,null,null,1202,null,null,1021,null,null,1313,null,null,1309,null,null,1345,null,null,2402,null,null,792,null,null,3482,null,null,20
142168,2711,54982,3110,2885,1029,2449,819,3156,790,2147,594,4907,1113,5709,1342,2581,687,4676,1134,3445,914,3435,837,1860,628,2564,894,2662,767,2377,736,9010,1585,1119,557,87186,3404,2711,null,null,3110,null,null,1029,null,null,819,null,null,790,null,null,594,null,null,1113,null,null,1342,null,null,687,null,null,1134,null,null,914,null,null,837,null,null,628,null,null,894,null,null,767,null,null,736,null,null,1585,null,null,557,null,null,3404,null,null,21
215380,2846,65065,3363,4619,1021,4905,1117,4189,1149,3909,1004,4556,1060,3323,877,3939,1041,3472,873,2748,1027,2868,890,3941,1143,3350,1039,3689,1145,3133,990,10709,1831,1715,662,150315,3696,2846,null,null,3363,null,null,1021,null,null,1117,null,null,1149,null,null,1004,null,null,1060,null,null,877,null,null,1041,null,null,873,null,null,1027,null,null,890,null,null,1143,null,null,1039,null,null,1145,null,null,990,null,null,1831,null,null,662,null,null,3696,null,null,22
20014,807,7993,925,370,223,287,161,521,381,252,163,534,340,377,208,249,149,223,137,386,246,353,202,638,499,356,192,683,403,449,209,2267,684,48,63,12021,1030,807,null,null,925,null,null,223,null,null,161,null,null,381,null,null,163,null,null,340,null,null,208,null,null,149,null,null,137,null,null,246,null,null,202,null,null,499,null,null,192,null,null,403,null,null,209,null,null,684,null,null,63,null,null,1030,null,null,23
550386,2298,179635,4105,11860,1690,9628,1683,11576,1649,12411,1843,11826,1819,12861,1795,10495,2003,8315,1480,9085,1877,8538,1697,9451,1413,9073,1432,8050,1209,8248,1343,33626,3114,4592,1044,370751,4349,2298,null,null,4105,null,null,1690,null,null,1683,null,null,1649,null,null,1843,null,null,1819,null,null,1795,null,null,2003,null,null,1480,null,null,1877,null,null,1697,null,null,1413,null,null,1432,null,null,1209,null,null,1343,null,null,3114,null,null,1044,null,null,4349,null,null,24
736708,2174,259190,5224,15050,1981,15535,2220,11412,1669,13347,2000,13494,1908,15048,1823,13367,1528,12179,1998,14996,2222,13218,2173,14473,2144,14087,1468,12914,1983,14191,1843,55124,3756,10755,1948,477518,5354,2174,null,null,5224,null,null,1981,null,null,2220,null,null,1669,null,null,2000,null,null,1908,null,null,1823,null,null,1528,null,null,1998,null,null,2222,null,null,2173,null,null,2144,null,null,1468,null,null,1983,null,null,1843,null,null,3756,null,null,1948,null,null,5354,null,null,25
463390,1748,180797,3759,12272,1513,10396,1520,10985,1513,10858,1349,9702,1557,11708,1474,10496,1491,9380,1427,9447,1278,9500,1321,9423,1428,11496,1595,9137,1323,10274,1591,31320,2842,4403,943,282593,3670,1748,null,null,3759,null,null,1513,null,null,1520,null,null,1513,null,null,1349,null,null,1557,null,null,1474,null,null,1491,null,null,1427,null,null,1278,null,null,1321,null,null,1428,null,null,1595,null,null,1323,null,null,1591,null,null,2842,null,null,943,null,null,3670,null,null,26
