B13002C_001E,B13002C_001M,B13002C_002E,B13002C_002M,B13002C_003E,B13002C_003M,B13002C_004E,B13002C_004M,B13002C_005E,B13002C_005M,B13002C_006E,B13002C_006M,B13002C_007E,B13002C_007M,B13002C_001M,B13002C_001EA,B13002C_001MA,B13002C_002M,B13002C_002EA,B13002C_002MA,B13002C_003M,B13002C_003EA,B13002C_003MA,B13002C_004M,B13002C_004EA,B13002C_004MA,B13002C_005M,B13002C_005EA,B13002C_005MA,B13002C_006M,B13002C_006EA,B13002C_006MA,B13002C_007M,B13002C_007EA,B13002C_007MA,state
12084,2086,422,271,244,230,178,199,11662,2072,4751,1326,6911,1457,2086,null,null,271,null,null,230,null,null,199,null,null,2072,null,null,1326,null,null,1457,null,null,12
10754,2200,1026,662,760,537,266,374,9728,2226,4428,1443,5300,1482,2200,null,null,662,null,null,537,null,null,374,null,null,2226,null,null,1443,null,null,1482,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
6812,1196,399,258,156,135,243,283,6413,1239,2236,708,4177,1097,1196,null,null,258,null,null,135,null,null,283,null,null,1239,null,null,708,null,null,1097,null,null,16
6707,1095,477,242,206,183,271,213,6230,1064,2365,602,3865,923,1095,null,null,242,null,null,183,null,null,213,null,null,1064,null,null,602,null,null,923,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
2360,812,23,29,0,159,23,29,2337,811,704,468,1633,579,812,null,null,29,null,null,159,null,null,29,null,null,811,null,null,468,null,null,579,null,null,19
5333,1274,282,308,75,119,207,281,5051,1206,2205,663,2846,1099,1274,null,null,308,null,null,119,null,null,281,null,null,1206,null,null,663,null,null,1099,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
6573,1187,94,80,94,80,0,208,6479,1187,3008,886,3471,989,1187,null,null,80,null,null,80,null,null,208,null,null,1187,null,null,886,null,null,989,null,null,22
2166,550,55,57,0,172,55,57,2111,537,549,268,1562,458,550,null,null,57,null,null,172,null,null,57,null,null,537,null,null,268,null,null,458,null,null,23
3031,903,118,129,89,113,29,54,2913,904,1067,487,1846,703,903,null,null,129,null,null,113,null,null,54,null,null,904,null,null,487,null,null,703,null,null,24
2995,778,386,326,134,200,252,261,2609,685,870,512,1739,536,778,null,null,326,null,null,200,null,null,261,null,null,685,null,null,512,null,null,536,null,null,25
12328,1466,619,307,302,195,317,227,11709,1458,4549,872,7160,1217,1466,null,null,307,null,null,195,null,null,227,null,null,1458,null,null,872,null,null,1217,null,null,26
15548,1109,1070,342,223,138,847,303,14478,1103,3361,630,11117,978,1109,null,null,342,null,null,138,null,null,303,null,null,1103,null,null,630,null,null,978,null,null,27
3321,662,71,94,0,213,71,94,3250,674,963,452,2287,614,662,null,null,94,null,null,213,null,null,94,null,null,674,null,null,452,null,null,614,null,null,28
8674,1740,211,240,193,239,18,30,8463,1713,2423,767,6040,1430,1740,null,null,240,null,null,239,null,null,30,null,null,1713,null,null,767,null,null,1430,null,null,29
15186,1358,688,308,309,199,379,231,14498,1328,5651,1032,8847,1039,1358,null,null,308,null,null,199,null,null,231,null,null,1328,null,null,1032,null,null,1039,null,null,30
3905,548,275,143,123,96,152,108,3630,561,1301,502,2329,451,548,null,null,143,null,null,96,null,null,108,null,null,561,null,null,502,null,null,451,null,null,31
7910,1204,606,325,348,256,258,190,7304,1212,2743,681,4561,1040,1204,null,null,325,null,null,256,null,null,190,null,null,1212,null,null,681,null,null,1040,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
52729,2267,3048,811,715,336,2333,725,49681,2349,13851,1722,35830,2157,2267,null,null,811,null,null,336,null,null,725,null,null,2349,null,null,1722,null,null,2157,null,null,35
19012,2114,813,394,160,147,653,367,18199,2131,5946,1163,12253,1816,2114,null,null,394,null,null,147,null,null,367,null,null,2131,null,null,1163,null,null,1816,null,null,36
31002,1714,2057,659,1289,568,768,400,28945,1646,10967,1412,17978,1674,1714,null,null,659,null,null,568,null,null,400,null,null,1646,null,null,1412,null,null,1674,null,null,37
9467,989,679,401,286,364,393,179,8788,969,2680,665,6108,788,989,null,null,401,null,null,364,null,null,179,null,null,969,null,null,665,null,null,788,null,null,38
3772,971,276,249,23,40,253,246,3496,939,1344,687,2152,623,971,null,null,249,null,null,40,null,null,246,null,null,939,null,null,687,null,null,623,null,null,39
75159,2336,4142,940,2155,678,1987,660,71017,2430,27346,1737,43671,2038,2336,null,null,940,null,null,678,null,null,660,null,null,2430,null,null,1737,null,null,2038,null,null,40
10718,1580,834,519,539,489,295,169,9884,1587,3601,1005,6283,1366,1580,null,null,519,null,null,489,null,null,169,null,null,1587,null,null,1005,null,null,1366,null,null,41
5249,1443,368,363,31,57,337,360,4881,1282,1868,688,3013,932,1443,null,null,363,null,null,57,null,null,360,null,null,1282,null,null,688,null,null,932,null,null,42
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
3710,1301,247,263,18,27,229,263,3463,1282,1292,719,2171,826,1301,null,null,263,null,null,27,null,null,263,null,null,1282,null,null,719,null,null,826,null,null,45
19768,1403,2143,724,624,521,1519,554,17625,1358,3903,711,13722,1265,1403,null,null,724,null,null,521,null,null,554,null,null,1358,null,null,711,null,null,1265,null,null,46
5266,1479,378,342,73,86,305,331,4888,1346,1755,739,3133,1050,1479,null,null,342,null,null,86,null,null,331,null,null,1346,null,null,739,null,null,1050,null,null,47
