B25032G_001E,B25032G_001M,B25032G_002E,B25032G_002M,B25032G_003E,B25032G_003M,B25032G_004E,B25032G_004M,B25032G_005E,B25032G_005M,B25032G_006E,B25032G_006M,B25032G_007E,B25032G_007M,B25032G_008E,B25032G_008M,B25032G_009E,B25032G_009M,B25032G_010E,B25032G_010M,B25032G_011E,B25032G_011M,B25032G_001M,B25032G_001EA,B25032G_001MA,B25032G_002M,B25032G_002EA,B25032G_002MA,B25032G_003M,B25032G_003EA,B25032G_003MA,B25032G_004M,B25032G_004EA,B25032G_004MA,B25032G_005M,B25032G_005EA,B25032G_005MA,B25032G_006M,B25032G_006EA,B25032G_006MA,B25032G_007M,B25032G_007EA,B25032G_007MA,B25032G_008M,B25032G_008EA,B25032G_008MA,B25032G_009M,B25032G_009EA,B25032G_009MA,B25032G_010M,B25032G_010EA,B25032G_010MA,B25032G_011M,B25032G_011EA,B25032G_011MA,state
120572,5916,61443,4006,8771,1597,3144,1052,8004,1627,7936,1614,9313,1827,5866,1442,8430,1530,7537,1592,128,169,5916,null,null,4006,null,null,1597,null,null,1052,null,null,1627,null,null,1614,null,null,1827,null,null,1442,null,null,1530,null,null,1592,null,null,169,null,null,12
53596,3851,32290,2888,2557,654,1755,754,4355,1351,1640,580,2925,1101,2124,908,2688,879,3262,781,0,218,3851,null,null,2888,null,null,654,null,null,754,null,null,1351,null,null,580,null,null,1101,null,null,908,null,null,879,null,null,781,null,null,218,null,null,13
75692,3440,41632,2595,8231,1558,2035,743,3988,1032,6322,1171,3777,1054,3175,919,6222,1203,167,199,143,231,3440,null,null,2595,null,null,1558,null,null,743,null,null,1032,null,null,1171,null,null,1054,null,null,919,null,null,1203,null,null,199,null,null,231,null,null,15
11522,1651,7009,1327,795,600,242,274,628,343,575,379,551,461,393,352,527,414,614,477,188,275,1651,null,null,1327,null,null,600,null,null,274,null,null,343,null,null,379,null,null,461,null,null,352,null,null,414,null,null,477,null,null,275,null,null,16
71132,4250,32864,2594,3254,713,3531,803,6101,1186,7898,1774,5770,1164,3683,1001,6674,1344,1200,401,157,173,4250,null,null,2594,null,null,713,null,null,803,null,null,1186,null,null,1774,null,null,1164,null,null,1001,null,null,1344,null,null,401,null,null,173,null,null,17
31134,3208,18032,2318,972,583,594,378,1215,481,3169,974,2408,894,1819,951,920,540,2005,843,0,192,3208,null,null,2318,null,null,583,null,null,378,null,null,481,null,null,974,null,null,894,null,null,951,null,null,540,null,null,843,null,null,192,null,null,18
11402,1623,6232,1042,597,477,806,670,691,424,1357,670,857,543,266,234,192,221,404,267,0,159,1623,null,null,1042,null,null,477,null,null,670,null,null,424,null,null,670,null,null,543,null,null,234,null,null,221,null,null,267,null,null,159,null,null,19
22146,2177,15024,1710,1040,526,811,386,1215,520,1179,712,1100,721,547,349,338,282,879,404,13,35,2177,null,null,1710,null,null,526,null,null,386,null,null,520,null,null,712,null,null,721,null,null,349,null,null,282,null,null,404,null,null,35,null,null,20
19627,2419,11634,1876,1049,503,570,521,1968,870,980,452,1013,612,618,488,239,190,1556,515,0,190,2419,null,null,1876,null,null,503,null,null,521,null,null,870,null,null,452,null,null,612,null,null,488,null,null,190,null,null,515,null,null,190,null,null,21
21442,2606,12819,1792,811,377,634,307,2135,984,990,576,505,500,642,418,591,405,2040,582,275,292,2606,null,null,1792,null,null,377,null,null,307,null,null,984,null,null,576,null,null,500,null,null,418,null,null,405,null,null,582,null,null,292,null,null,22
7440,1163,3461,856,258,257,348,301,1017,536,622,438,443,326,425,419,69,84,797,409,0,172,1163,null,null,856,null,null,257,null,null,301,null,null,536,null,null,438,null,null,326,null,null,419,null,null,84,null,null,409,null,null,172,null,null,23
42673,3433,18242,2035,10043,1495,524,301,904,473,3218,939,4227,1213,1279,665,3250,946,916,455,70,117,3433,null,null,2035,null,null,1495,null,null,301,null,null,473,null,null,939,null,null,1213,null,null,665,null,null,946,null,null,455,null,null,117,null,null,24
47902,4086,13829,1825,2612,852,7633,1449,9762,1542,5241,1294,2877,848,2501,929,3009,1086,289,309,149,149,4086,null,null,1825,null,null,852,null,null,1449,null,null,1542,null,null,1294,null,null,848,null,null,929,null,null,1086,null,null,309,null,null,149,null,null,25
