C22001_001E,C22001_001M,C22001_002E,C22001_002M,C22001_003E,C22001_003M,C22001_001M,C22001_001EA,C22001_001MA,C22001_002M,C22001_002EA,C22001_002MA,C22001_003M,C22001_003EA,C22001_003MA,state
7573456,23478,1077995,17496,6495461,22684,23478,null,null,17496,null,null,22684,null,null,12
3686135,15528,516772,11772,3169363,17329,15528,null,null,11772,null,null,17329,null,null,13
455868,4824,54008,3530,401860,5330,4824,null,null,3530,null,null,5330,null,null,15
610872,4143,66302,4555,544570,6501,4143,null,null,4555,null,null,6501,null,null,16
4822046,12932,642115,11609,4179931,15057,12932,null,null,11609,null,null,15057,null,null,17
2533270,10440,272445,7895,2260825,14041,10440,null,null,7895,null,null,14041,null,null,18
1247932,7106,136100,5285,1111832,7121,7106,null,null,5285,null,null,7121,null,null,19
1110407,6778,88187,4495,1022220,7788,6778,null,null,4495,null,null,7788,null,null,20
1717706,9131,255718,8110,1461988,11667,9131,null,null,8110,null,null,11667,null,null,21
1720801,8997,287164,8481,1433637,11102,8997,null,null,8481,null,null,11102,null,null,22
531660,5774,75618,3639,456042,6095,5774,null,null,3639,null,null,6095,null,null,23
2194657,9484,241614,8561,1953043,10702,9484,null,null,8561,null,null,10702,null,null,24
2579398,8290,308996,8472,2270402,11643,8290,null,null,8472,null,null,11643,null,null,25
3884153,13696,547147,9670,3337006,12719,13696,null,null,9670,null,null,12719,null,null,26
2148725,7378,176238,5103,1972487,8530,7378,null,null,5103,null,null,8530,null,null,27
1091245,8803,171868,6020,919377,8397,8803,null,null,6020,null,null,8397,null,null,28
2372190,10844,271761,8679,2100429,13248,10844,null,null,8679,null,null,13248,null,null,29
416125,4426,43952,3325,372173,4868,4426,null,null,3325,null,null,4868,null,null,30
747562,4452,66941,4216,680621,6027,4452,null,null,4216,null,null,6027,null,null,31
1055158,6433,138304,6792,916854,9019,6433,null,null,6792,null,null,9019,null,null,32
520643,5191,37102,2960,483541,5443,5191,null,null,2960,null,null,5443,null,null,33
3194519,10274,300924,8327,2893595,13923,10274,null,null,8327,null,null,13923,null,null,34
758364,6296,127832,5229,630532,7224,6296,null,null,5229,null,null,7224,null,null,35
7209054,17665,1080612,16413,6128442,24705,17665,null,null,16413,null,null,24705,null,null,36
3882423,16063,523899,11421,3358524,16292,16063,null,null,11421,null,null,16292,null,null,37
315134,3356,22783,2155,292351,3561,3356,null,null,2155,null,null,3561,null,null,38
4624669,14929,640303,10648,3984366,17149,14929,null,null,10648,null,null,17149,null,null,39
1469342,7193,195296,5758,1274046,8741,7193,null,null,5758,null,null,8741,null,null,40
1571678,6691,263647,8859,1308031,10124,6691,null,null,8859,null,null,10124,null,null,41
4937771,13721,660314,12137,4277457,17434,13721,null,null,12137,null,null,17434,null,null,42
408239,4139,64966,3813,343273,4781,4139,null,null,3813,null,null,4781,null,null,44
1877887,10574,261992,7129,1615895,11951,10574,null,null,7129,null,null,11951,null,null,45
334003,3659,31549,2261,302454,3795,3659,null,null,2261,null,null,3795,null,null,46
2556332,11690,373125,7676,2183207,14217,11690,null,null,7676,null,null,14217,null,null,47
9535612,20125,1175141,17921,8360471,24560,20125,null,null,17921,null,null,24560,null,null,48
943147,4975,68003,3799,875144,5925,4975,null,null,3799,null,null,5925,null,null,49
254851,2815,33037,2527,221814,3633,2815,null,null,2527,null,null,3633,null,null,50
3120692,13161,268502,8910,2852190,13831,13161,null,null,8910,null,null,13831,null,null,51
2768076,8506,348165,9278,2419911,10725,8506,null,null,9278,null,null,10725,null,null,53
722125,5656,128988,5334,593137,5998,5656,null,null,5334,null,null,5998,null,null,54
2326998,7745,276119,7172,2050879,9670,7745,null,null,7172,null,null,9670,null,null,55
223619,4088,13083,1749,210536,4044,4088,null,null,1749,null,null,4044,null,null,56
1208438,9900,470610,9101,737828,10793,9900,null,null,9101,null,null,10793,null,null,72
1852518,12189,270409,7862,1582109,12497,12189,null,null,7862,null,null,12497,null,null,01
248468,2841,26039,2695,222429,3640,2841,null,null,2695,null,null,3640,null,null,02
2519052,11479,312639,7380,2206413,12328,11479,null,null,7380,null,null,12328,null,null,04
1142718,7341,142959,5979,999759,8263,7341,null,null,5979,null,null,8263,null,null,05
12944178,15703,1238154,17543,11706024,21204,15703,null,null,17543,null,null,21204,null,null,06
2108992,7767,171546,6190,1937446,8346,7767,null,null,6190,null,null,8346,null,null,08
1357269,7141,177523,7440,1179746,8093,7141,null,null,7440,null,null,8093,null,null,09
351085,3936,39277,2861,311808,4621,3936,null,null,2861,null,null,4621,null,null,10
281241,3152,40789,3237,240452,3630,3152,null,null,3237,null,null,3630,null,null,11
