B19126_001E,B19126_001M,B19126_002E,B19126_002M,B19126_003E,B19126_003M,B19126_004E,B19126_004M,B19126_005E,B19126_005M,B19126_006E,B19126_006M,B19126_007E,B19126_007M,B19126_008E,B19126_008M,B19126_009E,B19126_009M,B19126_010E,B19126_010M,B19126_011E,B19126_011M,B19126_001M,B19126_001EA,B19126_001MA,B19126_002M,B19126_002EA,B19126_002MA,B19126_003M,B19126_003EA,B19126_003MA,B19126_004M,B19126_004EA,B19126_004MA,B19126_005M,B19126_005EA,B19126_005MA,B19126_006M,B19126_006EA,B19126_006MA,B19126_007M,B19126_007EA,B19126_007MA,B19126_008M,B19126_008EA,B19126_008MA,B19126_009M,B19126_009EA,B19126_009MA,B19126_010M,B19126_010EA,B19126_010MA,B19126_011M,B19126_011EA,B19126_011MA,state
61289,377,73355,703,79434,1284,70685,637,37367,487,45858,1232,40937,1130,49866,1662,34756,615,27245,743,43195,1020,377,null,null,703,null,null,1284,null,null,637,null,null,487,null,null,1232,null,null,1130,null,null,1662,null,null,615,null,null,743,null,null,1020,null,null,12
65018,618,80637,750,85383,1613,76625,984,35245,839,42290,2096,36867,1445,50800,2004,32644,936,26054,761,41840,1378,618,null,null,750,null,null,1613,null,null,984,null,null,839,null,null,2096,null,null,1445,null,null,2004,null,null,936,null,null,761,null,null,1378,null,null,13
86768,1511,97414,2233,97224,3957,97540,3040,58040,3406,60327,4355,49613,10565,66322,9751,56154,5264,36633,6347,69065,4892,1511,null,null,2233,null,null,3957,null,null,3040,null,null,3406,null,null,4355,null,null,10565,null,null,9751,null,null,5264,null,null,6347,null,null,4892,null,null,15
63182,1468,70883,1305,76457,2698,67718,1794,35396,1787,41457,3119,35598,4695,53211,11902,31752,3428,22310,2272,45853,3731,1468,null,null,1305,null,null,2698,null,null,1794,null,null,1787,null,null,3119,null,null,4695,null,null,11902,null,null,3428,null,null,2272,null,null,3731,null,null,16
76950,630,92199,554,99438,1296,87917,930,40472,561,51392,1230,41804,1446,60261,1902,36751,800,27940,1147,49372,1525,630,null,null,554,null,null,1296,null,null,930,null,null,561,null,null,1230,null,null,1446,null,null,1902,null,null,800,null,null,1147,null,null,1525,null,null,17
66032,571,77781,882,84948,1348,73611,1060,35749,676,46485,1769,39338,2713,54658,2469,31859,652,25063,1182,43124,2125,571,null,null,882,null,null,1348,null,null,1060,null,null,676,null,null,1769,null,null,2713,null,null,2469,null,null,652,null,null,1182,null,null,2125,null,null,18
72351,954,82895,1163,91935,1476,76790,1164,37699,1283,47219,2360,41829,1300,54168,1837,32961,1723,26532,1079,46767,2278,954,null,null,1163,null,null,1476,null,null,1164,null,null,1283,null,null,2360,null,null,1300,null,null,1837,null,null,1723,null,null,1079,null,null,2278,null,null,19
70792,1067,81418,903,86905,1929,78042,1305,36757,1202,46683,3280,41985,3498,57497,5867,32933,1909,27724,1497,45325,2949,1067,null,null,903,null,null,1929,null,null,1305,null,null,1202,null,null,3280,null,null,3498,null,null,5867,null,null,1909,null,null,1497,null,null,2949,null,null,20
59023,1044,72354,954,80308,1743,68142,1122,29954,969,39037,2090,35163,3767,43221,4422,27281,1150,21222,1052,35769,1886,1044,null,null,954,null,null,1743,null,null,1122,null,null,969,null,null,2090,null,null,3767,null,null,4422,null,null,1150,null,null,1052,null,null,1886,null,null,21
57490,998,76410,1410,88428,2539,69768,1550,28956,1341,42144,2599,41152,2738,44135,3302,26099,780,20032,943,35491,1337,998,null,null,1410,null,null,2539,null,null,1550,null,null,1341,null,null,2599,null,null,2738,null,null,3302,null,null,780,null,null,943,null,null,1337,null,null,22
