C21001A_001E,C21001A_001M,C21001A_002E,C21001A_002M,C21001A_003E,C21001A_003M,C21001A_004E,C21001A_004M,C21001A_005E,C21001A_005M,C21001A_006E,C21001A_006M,C21001A_007E,C21001A_007M,C21001A_008E,C21001A_008M,C21001A_009E,C21001A_009M,C21001A_010E,C21001A_010M,C21001A_011E,C21001A_011M,C21001A_012E,C21001A_012M,C21001A_013E,C21001A_013M,C21001A_014E,C21001A_014M,C21001A_015E,C21001A_015M,C21001A_001M,C21001A_001EA,C21001A_001MA,C21001A_002M,C21001A_002EA,C21001A_002MA,C21001A_003M,C21001A_003EA,C21001A_003MA,C21001A_004M,C21001A_004EA,C21001A_004MA,C21001A_005M,C21001A_005EA,C21001A_005MA,C21001A_006M,C21001A_006EA,C21001A_006MA,C21001A_007M,C21001A_007EA,C21001A_007MA,C21001A_008M,C21001A_008EA,C21001A_008MA,C21001A_009M,C21001A_009EA,C21001A_009MA,C21001A_010M,C21001A_010EA,C21001A_010MA,C21001A_011M,C21001A_011EA,C21001A_011MA,C21001A_012M,C21001A_012EA,C21001A_012MA,C21001A_013M,C21001A_013EA,C21001A_013MA,C21001A_014M,C21001A_014EA,C21001A_014MA,C21001A_015M,C21001A_015EA,C21001A_015MA,state
12739638,21561,6168423,13020,4543690,12752,433130,10376,4110560,15671,1624733,3193,698773,8416,925960,9162,6571215,12957,4617487,11968,70932,4878,4546555,11939,1953728,3610,24482,2829,1929246,4714,21561,null,null,13020,null,null,12752,null,null,10376,null,null,15671,null,null,3193,null,null,8416,null,null,9162,null,null,12957,null,null,11968,null,null,4878,null,null,11939,null,null,3610,null,null,2829,null,null,4714,null,null,12
4709959,11673,2294611,7107,1851646,6863,180046,7543,1671600,7910,442965,1610,198971,4366,243994,4934,2415348,6919,1867207,6921,28223,2912,1838984,7346,548141,2014,5711,1304,542430,2645,11673,null,null,7107,null,null,6863,null,null,7543,null,null,7910,null,null,1610,null,null,4366,null,null,4934,null,null,6919,null,null,6921,null,null,2912,null,null,7346,null,null,2014,null,null,1304,null,null,2645,null,null,13
277017,3591,141633,2553,107383,2481,21743,2441,85640,2802,34250,395,14475,1259,19775,1342,135384,1829,102107,1750,4382,1026,97725,1778,33277,290,932,472,32345,559,3591,null,null,2553,null,null,2481,null,null,2441,null,null,2802,null,null,395,null,null,1259,null,null,1342,null,null,1829,null,null,1750,null,null,1026,null,null,1778,null,null,290,null,null,472,null,null,559,null,null,15
1133018,4870,559110,2952,443717,2793,44185,3441,399532,4532,115393,727,53890,2398,61503,2432,573908,2786,443956,2723,5579,1181,438377,3042,129952,964,2154,667,127798,1134,4870,null,null,2952,null,null,2793,null,null,3441,null,null,4532,null,null,727,null,null,2398,null,null,2432,null,null,2786,null,null,2723,null,null,1181,null,null,3042,null,null,964,null,null,667,null,null,1134,null,null,16
7204536,15829,3516398,8567,2852393,8914,179537,5677,2672856,10011,664005,1832,274370,5061,389635,5367,3688138,9452,2835442,8899,25235,2291,2810207,9008,852696,2057,6496,940,846200,2256,15829,null,null,8567,null,null,8914,null,null,5677,null,null,10011,null,null,1832,null,null,5061,null,null,5367,null,null,9452,null,null,8899,null,null,2291,null,null,9008,null,null,2057,null,null,940,null,null,2256,null,null,17
4313034,6852,2099852,4292,1701104,4388,140615,4373,1560489,5653,398748,1225,175816,4343,222932,4471,2213182,3940,1706211,3939,17633,2095,1688578,4389,506971,1184,4759,1029,502212,1629,6852,null,null,4292,null,null,4388,null,null,4373,null,null,5653,null,null,1225,null,null,4343,null,null,4471,null,null,3940,null,null,3939,null,null,2095,null,null,4389,null,null,1184,null,null,1029,null,null,1629,null,null,18
2208997,3224,1082225,2336,860935,2303,69756,3498,791179,3962,221290,479,97232,2931,124058,2892,1126772,1993,848713,1955,8217,1299,840496,2221,278059,709,3453,697,274606,1053,3224,null,null,2336,null,null,2303,null,null,3498,null,null,3962,null,null,479,null,null,2931,null,null,2892,null,null,1993,null,null,1955,null,null,1299,null,null,2221,null,null,709,null,null,697,null,null,1053,null,null,19
1877489,5351,917084,3530,735967,3359,64269,4011,671698,4758,181117,949,80491,2696,100626,2830,960405,2814,736860,2647,9027,1398,727833,2854,223545,873,2791,835,220754,1168,5351,null,null,3530,null,null,3359,null,null,4011,null,null,4758,null,null,949,null,null,2696,null,null,2830,null,null,2814,null,null,2647,null,null,1398,null,null,2854,null,null,873,null,null,835,null,null,1168,null,null,20
3020786,4489,1462382,3197,1178825,3109,105168,4975,1073657,5608,283557,578,122400,3790,161157,3817,1558404,2316,1201340,2347,12499,1911,1188841,2972,357064,511,4120,966,352944,1100,4489,null,null,3197,null,null,3109,null,null,4975,null,null,5608,null,null,578,null,null,3790,null,null,3817,null,null,2316,null,null,2347,null,null,1911,null,null,2972,null,null,511,null,null,966,null,null,1100,null,null,21
2276186,4376,1107652,3157,888522,3081,69837,3883,818685,4787,219130,1006,88759,3421,130371,3342,1168534,2696,895367,2480,8808,1528,886559,2659,273167,995,2510,763,270657,1345,4376,null,null,3157,null,null,3081,null,null,3883,null,null,4787,null,null,1006,null,null,3421,null,null,3342,null,null,2696,null,null,2480,null,null,1528,null,null,2659,null,null,995,null,null,763,null,null,1345,null,null,22
