C15002G_001E,C15002G_001M,C15002G_002E,C15002G_002M,C15002G_003E,C15002G_003M,C15002G_004E,C15002G_004M,C15002G_005E,C15002G_005M,C15002G_006E,C15002G_006M,C15002G_007E,C15002G_007M,C15002G_008E,C15002G_008M,C15002G_009E,C15002G_009M,C15002G_010E,C15002G_010M,C15002G_011E,C15002G_011M,C15002G_001M,C15002G_001EA,C15002G_001MA,C15002G_002M,C15002G_002EA,C15002G_002MA,C15002G_003M,C15002G_003EA,C15002G_003MA,C15002G_004M,C15002G_004EA,C15002G_004MA,C15002G_005M,C15002G_005EA,C15002G_005MA,C15002G_006M,C15002G_006EA,C15002G_006MA,C15002G_007M,C15002G_007EA,C15002G_007MA,C15002G_008M,C15002G_008EA,C15002G_008MA,C15002G_009M,C15002G_009EA,C15002G_009MA,C15002G_010M,C15002G_010EA,C15002G_010MA,C15002G_011M,C15002G_011EA,C15002G_011MA,state
228102,9879,114275,6125,19526,2498,29223,3359,33771,3559,31755,2708,113827,7149,14696,1981,24755,3000,42088,3925,32288,3744,9879,null,null,6125,null,null,2498,null,null,3359,null,null,3559,null,null,2708,null,null,7149,null,null,1981,null,null,3000,null,null,3925,null,null,3744,null,null,12
96984,6542,45037,3789,6864,1812,9452,1499,15851,2024,12870,1924,51947,4605,4569,1128,7889,1776,20148,2648,19341,2628,6542,null,null,3789,null,null,1812,null,null,1499,null,null,2024,null,null,1924,null,null,4605,null,null,1128,null,null,1776,null,null,2648,null,null,2628,null,null,13
180113,7916,91901,5296,6030,1128,36595,3688,31232,3084,18044,2247,88212,4169,4624,1187,28428,2803,33583,2903,21577,1914,7916,null,null,5296,null,null,1128,null,null,3688,null,null,3084,null,null,2247,null,null,4169,null,null,1187,null,null,2803,null,null,2903,null,null,1914,null,null,15
18274,2229,8330,1669,1704,830,2103,702,2102,918,2421,734,9944,1375,575,353,1995,725,4428,914,2946,1098,2229,null,null,1669,null,null,830,null,null,702,null,null,918,null,null,734,null,null,1375,null,null,353,null,null,725,null,null,914,null,null,1098,null,null,16
126159,6788,59101,4244,6549,1200,12707,1820,19050,2444,20795,2232,67058,3965,6121,1260,10547,1639,23838,2206,26552,2291,6788,null,null,4244,null,null,1200,null,null,1820,null,null,2444,null,null,2232,null,null,3965,null,null,1260,null,null,1639,null,null,2206,null,null,2291,null,null,17
50495,3936,22282,2506,3232,910,6969,1364,7505,1493,4576,1124,28213,2587,3411,767,7000,1589,11014,1485,6788,1322,3936,null,null,2506,null,null,910,null,null,1364,null,null,1493,null,null,1124,null,null,2587,null,null,767,null,null,1589,null,null,1485,null,null,1322,null,null,18
18059,2090,8202,1421,1206,462,2111,645,2162,575,2723,956,9857,1602,717,406,1786,632,4136,1054,3218,701,2090,null,null,1421,null,null,462,null,null,645,null,null,575,null,null,956,null,null,1602,null,null,406,null,null,632,null,null,1054,null,null,701,null,null,19
32593,2666,14183,1729,2028,752,3672,801,5121,1038,3362,860,18410,1774,1580,599,3604,874,6754,1295,6472,1216,2666,null,null,1729,null,null,752,null,null,801,null,null,1038,null,null,860,null,null,1774,null,null,599,null,null,874,null,null,1295,null,null,1216,null,null,20
27423,2952,12334,1724,1600,528,3406,829,4087,1054,3241,860,15089,2005,1583,514,3926,1126,6010,1284,3570,988,2952,null,null,1724,null,null,528,null,null,829,null,null,1054,null,null,860,null,null,2005,null,null,514,null,null,1126,null,null,1284,null,null,988,null,null,21
35295,4004,16306,2089,2820,702,4174,1077,5288,1461,4024,965,18989,2826,2104,1045,4552,1238,8039,1836,4294,1069,4004,null,null,2089,null,null,702,null,null,1077,null,null,1461,null,null,965,null,null,2826,null,null,1045,null,null,1238,null,null,1836,null,null,1069,null,null,22
12336,1641,5555,1050,1003,473,1767,710,1791,645,994,484,6781,1124,472,336,1529,563,3107,807,1673,634,1641,null,null,1050,null,null,473,null,null,710,null,null,645,null,null,484,null,null,1124,null,null,336,null,null,563,null,null,807,null,null,634,null,null,23
78290,5429,35675,3879,3805,1525,7969,1640,9960,1860,13941,1987,42615,3117,3145,889,5347,1331,14955,1860,19168,2075,5429,null,null,3879,null,null,1525,null,null,1640,null,null,1860,null,null,1987,null,null,3117,null,null,889,null,null,1331,null,null,1860,null,null,2075,null,null,24
