B19057_001E,B19057_001M,B19057_002E,B19057_002M,B19057_003E,B19057_003M,B19057_001M,B19057_001EA,B19057_001MA,B19057_002M,B19057_002EA,B19057_002MA,B19057_003M,B19057_003EA,B19057_003MA,state
7573456,23478,155040,6793,7418416,24175,23478,null,null,6793,null,null,24175,null,null,12
3686135,15528,69040,4729,3617095,15780,15528,null,null,4729,null,null,15780,null,null,13
455868,4824,16137,2329,439731,4968,4824,null,null,2329,null,null,4968,null,null,15
610872,4143,19067,2056,591805,4587,4143,null,null,2056,null,null,4587,null,null,16
4822046,12932,118336,5156,4703710,13309,12932,null,null,5156,null,null,13309,null,null,17
2533270,10440,44903,2813,2488367,10834,10440,null,null,2813,null,null,10834,null,null,18
1247932,7106,25937,1971,1221995,7497,7106,null,null,1971,null,null,7497,null,null,19
1110407,6778,17012,1580,1093395,6978,6778,null,null,1580,null,null,6978,null,null,20
1717706,9131,33595,2994,1684111,8834,9131,null,null,2994,null,null,8834,null,null,21
1720801,8997,27965,2818,1692836,9552,8997,null,null,2818,null,null,9552,null,null,22
531660,5774,16775,2063,514885,5990,5774,null,null,2063,null,null,5990,null,null,23
2194657,9484,51796,3660,2142861,10080,9484,null,null,3660,null,null,10080,null,null,24
2579398,8290,68278,3731,2511120,9057,8290,null,null,3731,null,null,9057,null,null,25
3884153,13696,96188,4396,3787965,13393,13696,null,null,4396,null,null,13393,null,null,26
2148725,7378,76600,4080,2072125,8337,7378,null,null,4080,null,null,8337,null,null,27
1091245,8803,22180,2624,1069065,8844,8803,null,null,2624,null,null,8844,null,null,28
2372190,10844,40489,2613,2331701,11534,10844,null,null,2613,null,null,11534,null,null,29
416125,4426,8960,1371,407165,4525,4426,null,null,1371,null,null,4525,null,null,30
747562,4452,12637,1387,734925,4611,4452,null,null,1387,null,null,4611,null,null,31
1055158,6433,31279,2420,1023879,6809,6433,null,null,2420,null,null,6809,null,null,32
520643,5191,11117,1471,509526,5156,5191,null,null,1471,null,null,5156,null,null,33
3194519,10274,67055,3645,3127464,10499,10274,null,null,3645,null,null,10499,null,null,34
758364,6296,20105,2094,738259,6996,6296,null,null,2094,null,null,6996,null,null,35
7209054,17665,243679,7880,6965375,20078,17665,null,null,7880,null,null,20078,null,null,36
3882423,16063,68924,4538,3813499,15550,16063,null,null,4538,null,null,15550,null,null,37
315134,3356,5696,1474,309438,3780,3356,null,null,1474,null,null,3780,null,null,38
4624669,14929,143206,4813,4481463,15491,14929,null,null,4813,null,null,15491,null,null,39
1469342,7193,41319,2336,1428023,7630,7193,null,null,2336,null,null,7630,null,null,40
1571678,6691,56630,3809,1515048,7093,6691,null,null,3809,null,null,7093,null,null,41
4937771,13721,159489,5644,4778282,14556,13721,null,null,5644,null,null,14556,null,null,42
408239,4139,14269,1846,393970,4642,4139,null,null,1846,null,null,4642,null,null,44
1877887,10574,27992,2700,1849895,10697,10574,null,null,2700,null,null,10697,null,null,45
334003,3659,6763,996,327240,3488,3659,null,null,996,null,null,3488,null,null,46
2556332,11690,55387,3221,2500945,11488,11690,null,null,3221,null,null,11488,null,null,47
9535612,20125,133764,5924,9401848,20165,20125,null,null,5924,null,null,20165,null,null,48
943147,4975,14516,1818,928631,4697,4975,null,null,1818,null,null,4697,null,null,49
254851,2815,8870,1346,245981,3082,2815,null,null,1346,null,null,3082,null,null,50
3120692,13161,52734,3640,3067958,13374,13161,null,null,3640,null,null,13374,null,null,51
2768076,8506,86119,4159,2681957,9175,8506,null,null,4159,null,null,9175,null,null,53
722125,5656,18642,2021,703483,5542,5656,null,null,2021,null,null,5542,null,null,54
2326998,7745,49273,2813,2277725,8301,7745,null,null,2813,null,null,8301,null,null,55
223619,4088,4407,1282,219212,4218,4088,null,null,1282,null,null,4218,null,null,56
1208438,9900,110493,5016,1097945,10197,9900,null,null,5016,null,null,10197,null,null,72
1852518,12189,30539,2617,1821979,12573,12189,null,null,2617,null,null,12573,null,null,01
248468,2841,14751,1752,233717,3280,2841,null,null,1752,null,null,3280,null,null,02
2519052,11479,42624,3191,2476428,11910,11479,null,null,3191,null,null,11910,null,null,04
1142718,7341,20105,2209,1122613,7635,7341,null,null,2209,null,null,7635,null,null,05
12944178,15703,447645,10200,12496533,19403,15703,null,null,10200,null,null,19403,null,null,06
2108992,7767,42769,2700,2066223,7939,7767,null,null,2700,null,null,7939,null,null,08
1357269,7141,52558,3663,1304711,7081,7141,null,null,3663,null,null,7081,null,null,09
351085,3936,8298,1487,342787,4424,3936,null,null,1487,null,null,4424,null,null,10
281241,3152,11025,1689,270216,3471,3152,null,null,1689,null,null,3471,null,null,11
