B10051_001E,B10051_001M,B10051_002E,B10051_002M,B10051_003E,B10051_003M,B10051_004E,B10051_004M,B10051_005E,B10051_005M,B10051_006E,B10051_006M,B10051_007E,B10051_007M,B10051_008E,B10051_008M,B10051_009E,B10051_009M,B10051_010E,B10051_010M,B10051_011E,B10051_011M,B10051_001M,B10051_001EA,B10051_001MA,B10051_002M,B10051_002EA,B10051_002MA,B10051_003M,B10051_003EA,B10051_003MA,B10051_004M,B10051_004EA,B10051_004MA,B10051_005M,B10051_005EA,B10051_005MA,B10051_006M,B10051_006EA,B10051_006MA,B10051_007M,B10051_007EA,B10051_007MA,B10051_008M,B10051_008EA,B10051_008MA,B10051_009M,B10051_009EA,B10051_009MA,B10051_010M,B10051_010EA,B10051_010MA,B10051_011M,B10051_011EA,B10051_011MA,state
500186,17164,148948,7613,52094,4637,26744,3728,25350,2912,96854,6334,56976,4953,39878,3881,351238,16189,127096,9266,224142,12155,17164,null,null,7613,null,null,4637,null,null,3728,null,null,2912,null,null,6334,null,null,4953,null,null,3881,null,null,16189,null,null,9266,null,null,12155,null,null,12
263199,10916,102009,6746,38103,4568,17586,2773,20517,3183,63906,4919,39427,3915,24479,2865,161190,8632,75675,6747,85515,6323,10916,null,null,6746,null,null,4568,null,null,2773,null,null,3183,null,null,4919,null,null,3915,null,null,2865,null,null,8632,null,null,6747,null,null,6323,null,null,13
54928,3969,13111,2161,2534,660,1398,502,1136,413,10577,2170,5212,1706,5365,1456,41817,3344,11995,2062,29822,2607,3969,null,null,2161,null,null,660,null,null,502,null,null,413,null,null,2170,null,null,1706,null,null,1456,null,null,3344,null,null,2062,null,null,2607,null,null,15
26148,3338,8803,1719,3154,951,1775,727,1379,592,5649,1406,3397,1178,2252,798,17345,2543,9231,1993,8114,1770,3338,null,null,1719,null,null,951,null,null,727,null,null,592,null,null,1406,null,null,1178,null,null,798,null,null,2543,null,null,1993,null,null,1770,null,null,16
262653,11380,83381,5254,24475,2714,11578,2232,12897,1669,58906,4051,39115,3553,19791,2102,179272,8827,76729,5931,102543,6282,11380,null,null,5254,null,null,2714,null,null,2232,null,null,1669,null,null,4051,null,null,3553,null,null,2102,null,null,8827,null,null,5931,null,null,6282,null,null,17
126520,6794,59544,4024,23049,2386,12390,1991,10659,1690,36495,3738,26400,3375,10095,1783,66976,4922,31756,3284,35220,3671,6794,null,null,4024,null,null,2386,null,null,1991,null,null,1690,null,null,3738,null,null,3375,null,null,1783,null,null,4922,null,null,3284,null,null,3671,null,null,18
41852,3615,16681,2052,7204,1468,3625,971,3579,787,9477,1896,6695,1564,2782,784,25171,2952,12508,1763,12663,1939,3615,null,null,2052,null,null,1468,null,null,971,null,null,787,null,null,1896,null,null,1564,null,null,784,null,null,2952,null,null,1763,null,null,1939,null,null,19
44033,3266,17766,1858,7397,1326,4308,1019,3089,831,10369,1573,6430,1144,3939,1022,26267,2719,12451,1961,13816,1771,3266,null,null,1858,null,null,1326,null,null,1019,null,null,831,null,null,1573,null,null,1144,null,null,1022,null,null,2719,null,null,1961,null,null,1771,null,null,20
100490,5270,54957,4173,28213,3424,15882,2526,12331,1917,26744,3205,16314,2615,10430,1761,45533,4012,22971,2629,22562,2676,5270,null,null,4173,null,null,3424,null,null,2526,null,null,1917,null,null,3205,null,null,2615,null,null,1761,null,null,4012,null,null,2629,null,null,2676,null,null,21
112557,7257,56876,4676,22606,2936,7432,1546,15174,2532,34270,3480,22035,2939,12235,2446,55681,4247,29904,3263,25777,2614,7257,null,null,4676,null,null,2936,null,null,1546,null,null,2532,null,null,3480,null,null,2939,null,null,2446,null,null,4247,null,null,3263,null,null,2614,null,null,22
18529,2342,6795,1551,2512,864,1129,606,1383,552,4283,1126,2449,811,1834,710,11734,2060,3905,1158,7829,1645,2342,null,null,1551,null,null,864,null,null,606,null,null,552,null,null,1126,null,null,811,null,null,710,null,null,2060,null,null,1158,null,null,1645,null,null,23
141930,7371,46036,4562,13820,2395,6692,1810,7128,1433,32216,3695,20730,3106,11486,1547,95894,5608,40532,3602,55362,4274,7371,null,null,4562,null,null,2395,null,null,1810,null,null,1433,null,null,3695,null,null,3106,null,null,1547,null,null,5608,null,null,3602,null,null,4274,null,null,24
124446,7121,31973,3182,10573,1892,4648,1230,5925,1422,21400,2706,12863,1891,8537,1585,92473,6168,31931,3330,60542,5195,7121,null,null,3182,null,null,1892,null,null,1230,null,null,1422,null,null,2706,null,null,1891,null,null,1585,null,null,6168,null,null,3330,null,null,5195,null,null,25
172860,8076,63351,3842,22284,2261,10190,1878,12094,1621,41067,3039,26725,2522,14342,1673,109509,5985,50902,4010,58607,3752,8076,null,null,3842,null,null,2261,null,null,1878,null,null,1621,null,null,3039,null,null,2522,null,null,1673,null,null,5985,null,null,4010,null,null,3752,null,null,26
65256,3825,19638,1999,6975,1319,4085,989,2890,887,12663,1429,7207,1378,5456,1119,45618,2952,19091,2297,26527,2366,3825,null,null,1999,null,null,1319,null,null,989,null,null,887,null,null,1429,null,null,1378,null,null,1119,null,null,2952,null,null,2297,null,null,2366,null,null,27
87727,4671,46583,3485,18947,2524,10234,1981,8713,1466,27636,2728,19498,2213,8138,1464,41144,3484,19527,2734,21617,2692,4671,null,null,3485,null,null,2524,null,null,1981,null,null,1466,null,null,2728,null,null,2213,null,null,1464,null,null,3484,null,null,2734,null,null,2692,null,null,28
116595,6132,57905,4725,26585,3031,14874,2374,11711,2205,31320,3497,20252,2653,11068,2151,58690,3900,26645,2550,32045,3107,6132,null,null,4725,null,null,3031,null,null,2374,null,null,2205,null,null,3497,null,null,2653,null,null,2151,null,null,3900,null,null,2550,null,null,3107,null,null,29
14189,1897,7193,1385,3529,1000,1422,517,2107,726,3664,883,2260,651,1404,485,6996,1348,2649,803,4347,1002,1897,null,null,1385,null,null,1000,null,null,517,null,null,726,null,null,883,null,null,651,null,null,485,null,null,1348,null,null,803,null,null,1002,null,null,30
