B24092_001E,B24092_001M,B24092_002E,B24092_002M,B24092_003E,B24092_003M,B24092_004E,B24092_004M,B24092_005E,B24092_005M,B24092_006E,B24092_006M,B24092_007E,B24092_007M,B24092_008E,B24092_008M,B24092_009E,B24092_009M,B24092_010E,B24092_010M,B24092_011E,B24092_011M,B24092_012E,B24092_012M,B24092_013E,B24092_013M,B24092_014E,B24092_014M,B24092_015E,B24092_015M,B24092_016E,B24092_016M,B24092_017E,B24092_017M,B24092_018E,B24092_018M,B24092_001M,B24092_001EA,B24092_001MA,B24092_002M,B24092_002EA,B24092_002MA,B24092_003M,B24092_003EA,B24092_003MA,B24092_004M,B24092_004EA,B24092_004MA,B24092_005M,B24092_005EA,B24092_005MA,B24092_006M,B24092_006EA,B24092_006MA,B24092_007M,B24092_007EA,B24092_007MA,B24092_008M,B24092_008EA,B24092_008MA,B24092_009M,B24092_009EA,B24092_009MA,B24092_010M,B24092_010EA,B24092_010MA,B24092_011M,B24092_011EA,B24092_011MA,B24092_012M,B24092_012EA,B24092_012MA,B24092_013M,B24092_013EA,B24092_013MA,B24092_014M,B24092_014EA,B24092_014MA,B24092_015M,B24092_015EA,B24092_015MA,B24092_016M,B24092_016EA,B24092_016MA,B24092_017M,B24092_017EA,B24092_017MA,B24092_018M,B24092_018EA,B24092_018MA,state
41582,197,40907,220,40243,243,51864,570,47240,3227,49750,1800,46178,1444,64871,3871,30506,610,36147,217,33940,634,33385,657,43177,3474,41232,505,41171,429,40657,623,55174,4322,23691,1970,197,null,null,220,null,null,243,null,null,570,null,null,3227,null,null,1800,null,null,1444,null,null,3871,null,null,610,null,null,217,null,null,634,null,null,657,null,null,3474,null,null,505,null,null,429,null,null,623,null,null,4322,null,null,1970,null,null,12
47013,409,46552,450,45859,485,61824,1551,51853,2012,45620,1258,49905,2493,63630,2865,34522,4624,38407,815,36156,416,35955,425,46642,4139,45150,1897,41685,730,40939,944,58501,2102,27138,3295,409,null,null,450,null,null,485,null,null,1551,null,null,2012,null,null,1258,null,null,2493,null,null,2865,null,null,4624,null,null,815,null,null,416,null,null,425,null,null,4139,null,null,1897,null,null,730,null,null,944,null,null,2102,null,null,3295,null,null,13
50221,920,46570,1248,45573,1290,81507,15265,52293,6508,52204,4469,51573,1374,66476,5777,49697,5809,41263,497,37307,981,36984,770,52142,13480,50459,3065,48740,4269,50020,1709,54295,5204,30910,2669,920,null,null,1248,null,null,1290,null,null,15265,null,null,6508,null,null,4469,null,null,1374,null,null,5777,null,null,5809,null,null,497,null,null,981,null,null,770,null,null,13480,null,null,3065,null,null,4269,null,null,1709,null,null,5204,null,null,2669,null,null,15
45339,1569,42334,1386,41869,833,54813,10499,52859,5801,47569,3580,50854,4553,66814,3255,40981,2563,34435,1538,30928,1050,30846,1038,35661,7567,41252,2806,41719,3168,40018,5160,60560,7334,27897,4514,1569,null,null,1386,null,null,833,null,null,10499,null,null,5801,null,null,3580,null,null,4553,null,null,3255,null,null,2563,null,null,1538,null,null,1050,null,null,1038,null,null,7567,null,null,2806,null,null,3168,null,null,5160,null,null,7334,null,null,4514,null,null,16
53462,1043,52067,296,51723,299,66015,2861,56259,2123,66969,1421,65441,2372,66611,2881,41314,737,42128,225,40657,285,40580,286,46017,4530,47789,1264,50973,755,51069,1021,59092,1962,26705,1930,1043,null,null,296,null,null,299,null,null,2861,null,null,2123,null,null,1421,null,null,2372,null,null,2881,null,null,737,null,null,225,null,null,285,null,null,286,null,null,4530,null,null,1264,null,null,755,null,null,1021,null,null,1962,null,null,1930,null,null,17
49502,918,49359,1106,48620,1133,60231,3260,50385,2041,50219,2173,49195,2954,68617,4558,37169,3893,36479,310,35249,379,35179,394,39092,4168,40650,826,40604,592,41477,1088,61189,1818,23946,3747,918,null,null,1106,null,null,1133,null,null,3260,null,null,2041,null,null,2173,null,null,2954,null,null,4558,null,null,3893,null,null,310,null,null,379,null,null,394,null,null,4168,null,null,826,null,null,592,null,null,1088,null,null,1818,null,null,3747,null,null,18
49696,898,47903,1136,47394,883,54647,6379,52164,2094,53474,2615,58567,2962,62566,4822,41478,1066,37868,794,35815,513,35801,515,36335,4204,40759,759,44753,2786,52111,1086,54768,9114,24057,2329,898,null,null,1136,null,null,883,null,null,6379,null,null,2094,null,null,2615,null,null,2962,null,null,4822,null,null,1066,null,null,794,null,null,513,null,null,515,null,null,4204,null,null,759,null,null,2786,null,null,1086,null,null,9114,null,null,2329,null,null,19
48585,973,48575,1201,47819,1130,61165,6387,48567,2660,46217,1728,47687,3183,57490,3984,44847,6987,37095,449,35340,595,35161,742,46419,7806,41211,992,39861,1248,42751,2661,51792,2728,26410,2953,973,null,null,1201,null,null,1130,null,null,6387,null,null,2660,null,null,1728,null,null,3183,null,null,3984,null,null,6987,null,null,449,null,null,595,null,null,742,null,null,7806,null,null,992,null,null,1248,null,null,2661,null,null,2728,null,null,2953,null,null,20
45801,572,45741,673,45186,870,61316,3124,49755,3596,41587,1194,45402,2639,60092,2398,36902,3699,36329,497,34156,953,34071,951,40134,8136,42051,1881,38832,2238,40260,1408,52098,2695,27466,7180,572,null,null,673,null,null,870,null,null,3124,null,null,3596,null,null,1194,null,null,2639,null,null,2398,null,null,3699,null,null,497,null,null,953,null,null,951,null,null,8136,null,null,1881,null,null,2238,null,null,1408,null,null,2695,null,null,7180,null,null,21
50230,384,50663,456,50215,538,68554,7364,47814,3022,42887,3363,50969,1549,61386,1171,42122,4908,34838,959,31821,416,31694,423,41737,4413,42601,3895,36110,1025,41000,1153,49933,4294,23946,4079,384,null,null,456,null,null,538,null,null,7364,null,null,3022,null,null,3363,null,null,1549,null,null,1171,null,null,4908,null,null,959,null,null,416,null,null,423,null,null,4413,null,null,3895,null,null,1025,null,null,1153,null,null,4294,null,null,4079,null,null,22
48012,1582,47405,1624,47018,1044,55680,4861,50127,3374,50053,3780,50541,3066,65089,7530,35743,6792,40251,647,37030,930,36906,964,46875,16860,41756,821,47300,3680,44096,5340,60306,10601,27453,4062,1582,null,null,1624,null,null,1044,null,null,4861,null,null,3374,null,null,3780,null,null,3066,null,null,7530,null,null,6792,null,null,647,null,null,930,null,null,964,null,null,16860,null,null,821,null,null,3680,null,null,5340,null,null,10601,null,null,4062,null,null,23
61530,426,56173,845,55668,855,67311,6780,65503,2852,61867,1335,61819,1524,100402,998,40825,4712,51315,409,43229,1280,42818,1205,56203,10514,55095,1975,56824,2357,51755,1368,89749,3689,31813,839,426,null,null,845,null,null,855,null,null,6780,null,null,2852,null,null,1335,null,null,1524,null,null,998,null,null,4712,null,null,409,null,null,1280,null,null,1205,null,null,10514,null,null,1975,null,null,2357,null,null,1368,null,null,3689,null,null,839,null,null,24
63210,1444,62428,986,61962,514,86486,8855,67388,2989,69193,2402,68243,3271,72224,4175,50784,913,51717,368,50303,481,50292,509,50560,2560,54027,1871,58228,2790,61174,1215,67385,5587,35328,5596,1444,null,null,986,null,null,514,null,null,8855,null,null,2989,null,null,2402,null,null,3271,null,null,4175,null,null,913,null,null,368,null,null,481,null,null,509,null,null,2560,null,null,1871,null,null,2790,null,null,1215,null,null,5587,null,null,5596,null,null,25
51009,239,50584,281,50246,295,61651,1362,52652,1656,56342,1660,61662,1101,66164,1843,36770,1370,39952,467,36291,382,36240,399,38277,3410,45712,805,45826,1191,51529,1151,58080,2804,25476,1322,239,null,null,281,null,null,295,null,null,1362,null,null,1656,null,null,1660,null,null,1101,null,null,1843,null,null,1370,null,null,467,null,null,382,null,null,399,null,null,3410,null,null,805,null,null,1191,null,null,1151,null,null,2804,null,null,1322,null,null,26
53457,916,53125,1213,52461,751,61595,1492,59825,3686,57847,2055,57421,2177,61038,1758,40287,2364,44225,835,41714,329,41657,335,46147,4803,46698,1016,50608,1057,50870,952,57997,3525,29534,2576,916,null,null,1213,null,null,751,null,null,1492,null,null,3686,null,null,2055,null,null,2177,null,null,1758,null,null,2364,null,null,835,null,null,329,null,null,335,null,null,4803,null,null,1016,null,null,1057,null,null,952,null,null,3525,null,null,2576,null,null,27
42231,690,41950,620,41435,634,60993,4833,50565,4001,36922,1900,45241,2792,61089,4390,36645,5172,31750,377,30779,447,30619,475,40856,3687,36563,1697,34238,4429,35633,1112,48501,5458,17766,4722,690,null,null,620,null,null,634,null,null,4833,null,null,4001,null,null,1900,null,null,2792,null,null,4390,null,null,5172,null,null,377,null,null,447,null,null,475,null,null,3687,null,null,1697,null,null,4429,null,null,1112,null,null,5458,null,null,4722,null,null,28
46741,442,47052,570,46567,564,60712,3140,50582,952,46858,1872,41266,1080,62569,2844,35721,1045,36544,324,35284,449,35173,498,41562,3467,41004,973,40495,1106,37488,1353,54426,3436,25490,2978,442,null,null,570,null,null,564,null,null,3140,null,null,952,null,null,1872,null,null,1080,null,null,2844,null,null,1045,null,null,324,null,null,449,null,null,498,null,null,3467,null,null,973,null,null,1106,null,null,1353,null,null,3436,null,null,2978,null,null,29
46826,901,45809,1177,45092,2942,50431,2716,56219,3648,43505,4494,51392,2112,63305,6038,41515,4808,34218,1713,31584,640,31363,633,36721,2216,37162,3693,35436,1792,40945,1632,47300,7569,28309,7110,901,null,null,1177,null,null,2942,null,null,2716,null,null,3648,null,null,4494,null,null,2112,null,null,6038,null,null,4808,null,null,1713,null,null,640,null,null,633,null,null,2216,null,null,3693,null,null,1792,null,null,1632,null,null,7569,null,null,7110,null,null,30
47463,880,46725,579,46219,595,61475,4195,53665,6039,51828,1967,53281,4852,60944,3024,40421,3012,36706,449,35378,509,35322,533,39492,8993,41247,1581,41926,1531,40302,1910,51842,4584,25958,3198,880,null,null,579,null,null,595,null,null,4195,null,null,6039,null,null,1967,null,null,4852,null,null,3024,null,null,3012,null,null,449,null,null,509,null,null,533,null,null,8993,null,null,1581,null,null,1531,null,null,1910,null,null,4584,null,null,3198,null,null,31
45361,889,42284,890,41839,640,70520,9975,43518,7489,67871,3726,62134,5338,66210,3089,36566,6036,36695,416,35048,905,35021,999,36193,5326,41101,2263,50220,1616,48336,2980,51262,5242,30746,3867,889,null,null,890,null,null,640,null,null,9975,null,null,7489,null,null,3726,null,null,5338,null,null,3089,null,null,6036,null,null,416,null,null,905,null,null,999,null,null,5326,null,null,2263,null,null,1616,null,null,2980,null,null,5242,null,null,3867,null,null,32
53703,2369,52446,1945,52164,912,67432,10017,55563,5734,61052,3426,56337,6498,71024,7750,43240,5147,44621,1942,41757,824,41684,821,48256,28003,46859,3645,51026,1631,49421,2332,59673,7887,27231,8679,2369,null,null,1945,null,null,912,null,null,10017,null,null,5734,null,null,3426,null,null,6498,null,null,7750,null,null,5147,null,null,1942,null,null,824,null,null,821,null,null,28003,null,null,3645,null,null,1631,null,null,2332,null,null,7887,null,null,8679,null,null,33
62599,1345,62016,475,61423,477,81194,1208,64036,4659,70598,2457,71911,2340,75550,4406,50770,1153,50665,346,46855,607,46696,624,53803,6954,55268,2917,56993,1653,62115,1228,61742,2702,31269,2207,1345,null,null,475,null,null,477,null,null,1208,null,null,4659,null,null,2457,null,null,2340,null,null,4406,null,null,1153,null,null,346,null,null,607,null,null,624,null,null,6954,null,null,2917,null,null,1653,null,null,1228,null,null,2702,null,null,2207,null,null,34
42298,1139,41563,855,40927,914,62334,7895,50898,9819,38364,2748,44191,4376,66467,7086,31053,3742,34720,1306,30920,736,30818,746,38763,11809,39878,5275,39244,2993,40736,2339,52353,7109,23128,2745,1139,null,null,855,null,null,914,null,null,7895,null,null,9819,null,null,2748,null,null,4376,null,null,7086,null,null,3742,null,null,1306,null,null,736,null,null,746,null,null,11809,null,null,5275,null,null,2993,null,null,2339,null,null,7109,null,null,2745,null,null,35
53576,782,51757,229,51332,244,70379,3250,56802,1654,66148,945,68141,2107,62029,1508,36797,1013,47442,491,44310,1088,43741,1148,57415,6605,50530,472,57418,1423,57765,1592,59634,3150,30683,901,782,null,null,229,null,null,244,null,null,3250,null,null,1654,null,null,945,null,null,2107,null,null,1508,null,null,1013,null,null,491,null,null,1088,null,null,1148,null,null,6605,null,null,472,null,null,1423,null,null,1592,null,null,3150,null,null,901,null,null,36
45614,452,45162,747,43690,1541,55128,5941,54430,3571,44683,2264,46981,1579,60029,2202,34286,3046,37014,278,35292,344,35142,350,45976,7236,45211,1651,38771,1708,41271,513,54197,2798,25257,1916,452,null,null,747,null,null,1541,null,null,5941,null,null,3571,null,null,2264,null,null,1579,null,null,2202,null,null,3046,null,null,278,null,null,344,null,null,350,null,null,7236,null,null,1651,null,null,1708,null,null,513,null,null,2798,null,null,1916,null,null,37
52149,1024,51869,1190,51470,1160,75102,11074,52208,4176,51587,3412,61712,4389,56471,6275,51179,1211,38579,1225,36035,885,35991,875,39648,33155,41656,2133,41821,2073,44792,3614,51039,6268,31542,7202,1024,null,null,1190,null,null,1160,null,null,11074,null,null,4176,null,null,3412,null,null,4389,null,null,6275,null,null,1211,null,null,1225,null,null,885,null,null,875,null,null,33155,null,null,2133,null,null,2073,null,null,3614,null,null,6268,null,null,7202,null,null,38
50287,182,48988,669,48115,660,61828,2122,52251,1047,55113,1501,55141,2520,67007,2466,40690,1292,38816,475,35889,285,35828,284,41656,4699,45280,775,44874,1591,48818,2097,60509,3977,26009,2005,182,null,null,669,null,null,660,null,null,2122,null,null,1047,null,null,1501,null,null,2520,null,null,2466,null,null,1292,null,null,475,null,null,285,null,null,284,null,null,4699,null,null,775,null,null,1591,null,null,2097,null,null,3977,null,null,2005,null,null,39
46168,495,46061,590,45260,720,61465,1550,45940,2814,41627,1954,46472,1369,61433,2428,35906,1113,34101,617,31931,330,31771,331,42419,6950,36558,1267,34054,1172,37209,521,48449,3293,29059,4417,495,null,null,590,null,null,720,null,null,1550,null,null,2814,null,null,1954,null,null,1369,null,null,2428,null,null,1113,null,null,617,null,null,330,null,null,331,null,null,6950,null,null,1267,null,null,1172,null,null,521,null,null,3293,null,null,4417,null,null,40
50792,382,49347,1229,48184,1384,60762,2460,51379,2830,65191,5111,59388,4322,62208,3692,42260,3614,40278,525,36614,589,36400,582,46951,8667,47316,2708,51231,968,46862,2295,57387,6450,26415,3298,382,null,null,1229,null,null,1384,null,null,2460,null,null,2830,null,null,5111,null,null,4322,null,null,3692,null,null,3614,null,null,525,null,null,589,null,null,582,null,null,8667,null,null,2708,null,null,968,null,null,2295,null,null,6450,null,null,3298,null,null,41
51873,221,51358,259,51086,278,61919,1787,55002,1493,56633,1596,57025,1530,66800,2175,42348,2955,41114,202,38526,626,38379,641,43089,5347,45856,689,47421,1393,49908,1576,61260,1771,27739,3218,221,null,null,259,null,null,278,null,null,1787,null,null,1493,null,null,1596,null,null,1530,null,null,2175,null,null,2955,null,null,202,null,null,626,null,null,641,null,null,5347,null,null,689,null,null,1393,null,null,1576,null,null,1771,null,null,3218,null,null,42
53578,3049,52007,830,51687,765,78056,15250,55923,4239,63525,6789,70352,8838,78618,12278,40781,1401,43670,2612,40786,1004,40510,1115,60155,18906,45042,3045,61532,8404,57380,5430,67104,14401,32110,13674,3049,null,null,830,null,null,765,null,null,15250,null,null,4239,null,null,6789,null,null,8838,null,null,12278,null,null,1401,null,null,2612,null,null,1004,null,null,1115,null,null,18906,null,null,3045,null,null,8404,null,null,5430,null,null,14401,null,null,13674,null,null,44
45190,678,45117,1079,43723,2294,54496,8925,50085,3351,40775,1029,45798,2866,61202,2207,38279,4459,35156,434,33073,1002,33088,974,32371,7726,40164,1519,36935,1969,37909,1926,51191,5068,23405,2348,678,null,null,1079,null,null,2294,null,null,8925,null,null,3351,null,null,1029,null,null,2866,null,null,2207,null,null,4459,null,null,434,null,null,1002,null,null,974,null,null,7726,null,null,1519,null,null,1969,null,null,1926,null,null,5068,null,null,2348,null,null,45
