B19113I_001E,B19113I_001M,B19113I_001M,B19113I_001EA,B19113I_001MA,state
48556,918,918,null,null,12
46235,2240,2240,null,null,13
64581,6199,6199,null,null,15
43591,4248,4248,null,null,16
54332,1675,1675,null,null,17
44218,2743,2743,null,null,18
45993,4584,4584,null,null,19
48111,3002,3002,null,null,20
41223,6011,6011,null,null,21
44816,3964,3964,null,null,22
54607,14374,14374,null,null,23
67116,4216,4216,null,null,24
43186,1959,1959,null,null,25
48233,2488,2488,null,null,26
46762,3528,3528,null,null,27
41732,2426,2426,null,null,28
46600,4548,4548,null,null,29
52891,17828,17828,null,null,30
48013,3871,3871,null,null,31
48754,1993,1993,null,null,32
59284,20001,20001,null,null,33
55527,1440,1440,null,null,34
45626,1374,1374,null,null,35
47090,926,926,null,null,36
40182,1363,1363,null,null,37
44785,11969,11969,null,null,38
44384,4045,4045,null,null,39
41488,1372,1372,null,null,40
47429,2197,2197,null,null,41
41930,1832,1832,null,null,42
40549,2783,2783,null,null,44
41939,2636,2636,null,null,45
44919,8392,8392,null,null,46
41503,2273,2273,null,null,47
47141,584,584,null,null,48
49196,4353,4353,null,null,49
52431,13123,13123,null,null,50
59144,2400,2400,null,null,51
50845,1628,1628,null,null,53
48409,9790,9790,null,null,54
46314,3217,3217,null,null,55
53336,10359,10359,null,null,56
24123,470,470,null,null,72
41316,3649,3649,null,null,01
64406,9738,9738,null,null,02
45405,1102,1102,null,null,04
40534,2819,2819,null,null,05
53265,531,531,null,null,06
53050,1868,1868,null,null,08
48936,2232,2232,null,null,09
46560,6274,6274,null,null,10
57529,13385,13385,null,null,11
