C17007_001E,C17007_001M,C17007_002E,C17007_002M,C17007_003E,C17007_003M,C17007_004E,C17007_004M,C17007_005E,C17007_005M,C17007_006E,C17007_006M,C17007_007E,C17007_007M,C17007_001M,C17007_001EA,C17007_001MA,C17007_002M,C17007_002EA,C17007_002MA,C17007_003M,C17007_003EA,C17007_003MA,C17007_004M,C17007_004EA,C17007_004MA,C17007_005M,C17007_005EA,C17007_005MA,C17007_006M,C17007_006EA,C17007_006MA,C17007_007M,C17007_007EA,C17007_007MA,state
4129874,39839,1074220,23333,482950,14602,591270,15032,3055654,30776,1535355,21093,1520299,19918,39839,null,null,23333,null,null,14602,null,null,15032,null,null,30776,null,null,21093,null,null,19918,null,null,12
1753987,23749,467946,11781,203877,8545,264069,8542,1286041,20740,649106,15512,636935,13700,23749,null,null,11781,null,null,8545,null,null,8542,null,null,20740,null,null,15512,null,null,13700,null,null,13
245149,9086,61246,4436,27444,2575,33802,3437,183903,7031,96251,4640,87652,3838,9086,null,null,4436,null,null,2575,null,null,3437,null,null,7031,null,null,4640,null,null,3838,null,null,15
297010,10260,89690,5473,40297,3163,49393,4308,207320,8265,106876,5891,100444,4836,10260,null,null,5473,null,null,3163,null,null,4308,null,null,8265,null,null,5891,null,null,4836,null,null,16
2399679,24345,576786,13899,255081,9299,321705,9404,1822893,19949,903268,13841,919625,12380,24345,null,null,13899,null,null,9299,null,null,9404,null,null,19949,null,null,13841,null,null,12380,null,null,17
1259718,16610,338575,9695,146070,6626,192505,6988,921143,12901,470278,9389,450865,9060,16610,null,null,9695,null,null,6626,null,null,6988,null,null,12901,null,null,9389,null,null,9060,null,null,18
640282,10542,159894,5812,67619,4114,92275,4375,480388,9568,245566,6589,234822,5886,10542,null,null,5812,null,null,4114,null,null,4375,null,null,9568,null,null,6589,null,null,5886,null,null,19
556799,12367,146546,6630,68360,4554,78186,4127,410253,9923,205040,7213,205213,6535,12367,null,null,6630,null,null,4554,null,null,4127,null,null,9923,null,null,7213,null,null,6535,null,null,20
841953,16423,267948,9209,115956,5884,151992,6319,574005,11858,291955,8017,282050,7715,16423,null,null,9209,null,null,5884,null,null,6319,null,null,11858,null,null,8017,null,null,7715,null,null,21
885318,15680,293277,10317,121534,6476,171743,7606,592041,12655,306966,8677,285075,7417,15680,null,null,10317,null,null,6476,null,null,7606,null,null,12655,null,null,8677,null,null,7417,null,null,22
301530,7799,76689,4379,33324,3034,43365,3284,224841,7209,108710,4786,116131,4590,7799,null,null,4379,null,null,3034,null,null,3284,null,null,7209,null,null,4786,null,null,4590,null,null,23
1102778,17917,232589,8648,103162,6413,129427,6087,870189,14972,422189,9871,448000,8844,17917,null,null,8648,null,null,6413,null,null,6087,null,null,14972,null,null,9871,null,null,8844,null,null,24
1410496,17588,301081,9182,132502,6260,168579,7186,1109415,18157,544676,10638,564739,11905,17588,null,null,9182,null,null,6260,null,null,7186,null,null,18157,null,null,10638,null,null,11905,null,null,25
2006304,19857,557670,12858,264308,9216,293362,7578,1448634,15979,730188,11794,718446,9099,19857,null,null,12858,null,null,9216,null,null,7578,null,null,15979,null,null,11794,null,null,9099,null,null,26
1141776,15431,239179,7103,110977,4475,128202,5125,902597,13884,459207,9707,443390,8046,15431,null,null,7103,null,null,4475,null,null,5125,null,null,13884,null,null,9707,null,null,8046,null,null,27
482764,11632,157167,7483,67718,4687,89449,5506,325597,9611,167553,7551,158044,5861,11632,null,null,7483,null,null,4687,null,null,5506,null,null,9611,null,null,7551,null,null,5861,null,null,28
1192271,16647,309412,8508,135601,5591,173811,7764,882859,14345,437824,9738,445035,9080,16647,null,null,8508,null,null,5591,null,null,7764,null,null,14345,null,null,9738,null,null,9080,null,null,29
231768,7921,64722,4492,31460,3285,33262,2914,167046,7101,88183,4742,78863,4735,7921,null,null,4492,null,null,3285,null,null,2914,null,null,7101,null,null,4742,null,null,4735,null,null,30
372566,9361,89423,4273,40733,2972,48690,2982,283143,8260,146923,5627,136220,4545,9361,null,null,4273,null,null,2972,null,null,2982,null,null,8260,null,null,5627,null,null,4545,null,null,31
600974,12028,142257,5416,67964,3931,74293,4564,458717,10321,256585,7497,202132,5654,12028,null,null,5416,null,null,3931,null,null,4564,null,null,10321,null,null,7497,null,null,5654,null,null,32
270373,8409,51717,4441,22776,2752,28941,3036,218656,7260,112452,5506,106204,3940,8409,null,null,4441,null,null,2752,null,null,3036,null,null,7260,null,null,5506,null,null,3940,null,null,33
1430569,20768,315031,9837,137745,6845,177286,5972,1115538,17419,544183,10536,571355,11487,20768,null,null,9837,null,null,6845,null,null,5972,null,null,17419,null,null,10536,null,null,11487,null,null,34
400088,10199,114750,5875,55147,4374,59603,3836,285338,7871,146840,5884,138498,5583,10199,null,null,5875,null,null,4374,null,null,3836,null,null,7871,null,null,5884,null,null,5583,null,null,35
