C17002_001E,C17002_001M,C17002_002E,C17002_002M,C17002_003E,C17002_003M,C17002_004E,C17002_004M,C17002_005E,C17002_005M,C17002_006E,C17002_006M,C17002_007E,C17002_007M,C17002_008E,C17002_008M,C17002_001M,C17002_001EA,C17002_001MA,C17002_002M,C17002_002EA,C17002_002MA,C17002_003M,C17002_003EA,C17002_003MA,C17002_004M,C17002_004EA,C17002_004MA,C17002_005M,C17002_005EA,C17002_005MA,C17002_006M,C17002_006EA,C17002_006MA,C17002_007M,C17002_007EA,C17002_007MA,C17002_008M,C17002_008EA,C17002_008MA,state
20191342,6143,1295153,34976,1678359,45965,1068495,30641,1076198,33597,1452642,40481,571521,22242,13048974,66618,6143,null,null,34976,null,null,45965,null,null,30641,null,null,33597,null,null,40481,null,null,22242,null,null,66618,null,null,12
10040201,4550,727471,25250,875542,25136,481306,21591,491949,23405,674529,28512,282772,18874,6506632,44149,4550,null,null,25250,null,null,25136,null,null,21591,null,null,23405,null,null,28512,null,null,18874,null,null,44149,null,null,13
1389442,1866,64908,7258,64661,7804,42303,5631,45266,6549,74550,8738,29477,4426,1068277,15197,1866,null,null,7258,null,null,7804,null,null,5631,null,null,6549,null,null,8738,null,null,4426,null,null,15197,null,null,15
1652592,1607,102062,8519,135383,11226,82651,8520,83168,9364,123471,9273,48420,6754,1077437,21647,1607,null,null,8519,null,null,11226,null,null,8520,null,null,9364,null,null,9273,null,null,6754,null,null,21647,null,null,16
12502057,3937,738806,22637,882702,26303,513379,19959,498728,17475,743462,26311,304965,15511,8820015,46859,3937,null,null,22637,null,null,26303,null,null,19959,null,null,17475,null,null,26311,null,null,15511,null,null,46859,null,null,17
6432804,3045,409184,17566,496893,20319,282721,13351,295491,17070,436830,18333,165823,10487,4345862,30687,3045,null,null,17566,null,null,20319,null,null,13351,null,null,17070,null,null,18333,null,null,10487,null,null,30687,null,null,18
3031338,2083,159453,8423,196925,10136,120484,8792,113555,7879,176539,10571,79369,6566,2185013,17893,2083,null,null,8423,null,null,10136,null,null,8792,null,null,7879,null,null,10571,null,null,6566,null,null,17893,null,null,19
2825864,1863,151518,8417,191026,11047,127810,7858,132063,9520,187936,10575,76377,7964,1959134,19311,1863,null,null,8417,null,null,11047,null,null,7858,null,null,9520,null,null,10575,null,null,7964,null,null,19311,null,null,20
4298953,3416,339407,14656,454653,18252,211981,11026,216536,11862,287443,14010,121365,9820,2667568,29457,3416,null,null,14656,null,null,18252,null,null,11026,null,null,11862,null,null,14010,null,null,9820,null,null,29457,null,null,21
4546017,4194,395474,18532,522713,20858,247659,15374,209489,12322,305697,16820,114261,9270,2750724,30829,4194,null,null,18532,null,null,20858,null,null,15374,null,null,12322,null,null,16820,null,null,9270,null,null,30829,null,null,22
1295971,1363,58948,5453,102801,7358,54517,6941,55573,5932,85595,6567,35238,5019,903299,13558,1363,null,null,5453,null,null,7358,null,null,6941,null,null,5932,null,null,6567,null,null,5019,null,null,13558,null,null,23
5875026,3123,271954,13137,295761,14281,165079,10437,174278,12641,273880,19028,108280,10916,4585794,31991,3123,null,null,13137,null,null,14281,null,null,10437,null,null,12641,null,null,19028,null,null,10916,null,null,31991,null,null,24
6574249,2698,324784,14455,361813,13961,191238,12768,185501,12642,285957,15339,117248,9631,5107708,25245,2698,null,null,14455,null,null,13961,null,null,12768,null,null,12642,null,null,15339,null,null,9631,null,null,25245,null,null,25
9702321,3906,646971,18011,804965,20648,440460,14180,408324,15177,615557,19422,240829,11686,6545215,30046,3906,null,null,18011,null,null,20648,null,null,14180,null,null,15177,null,null,19422,null,null,11686,null,null,30046,null,null,26
5396363,2285,238104,10585,295172,12652,205175,13796,190136,10508,266553,13509,113574,7341,4087649,22062,2285,null,null,10585,null,null,12652,null,null,13796,null,null,10508,null,null,13509,null,null,7341,null,null,22062,null,null,27
2892894,2014,267875,14912,334893,15998,168967,11047,154927,11698,222853,14105,82433,8743,1660946,21678,2014,null,null,14912,null,null,15998,null,null,11047,null,null,11698,null,null,14105,null,null,8743,null,null,21678,null,null,28
5911040,3431,364094,18167,462860,16226,274787,16924,274650,13710,402041,16348,159521,10709,3973087,27029,3431,null,null,18167,null,null,16226,null,null,16924,null,null,13710,null,null,16348,null,null,10709,null,null,27029,null,null,29
1018105,1144,57493,4969,78145,6988,53049,5587,55382,6285,70105,6368,27253,4419,676678,11342,1144,null,null,4969,null,null,6988,null,null,5587,null,null,6285,null,null,6368,null,null,4419,null,null,11342,null,null,30
1851069,1911,94746,6650,116707,8982,78266,7079,72486,6202,113393,7789,55519,6312,1319952,10229,1911,null,null,6650,null,null,8982,null,null,7079,null,null,6202,null,null,7789,null,null,6312,null,null,10229,null,null,31
2896888,3250,181573,11652,217847,14268,147118,12582,142495,11410,201933,14012,98854,11312,1907068,24735,3250,null,null,11652,null,null,14268,null,null,12582,null,null,11410,null,null,14012,null,null,11312,null,null,24735,null,null,32
1292255,1106,41811,4321,52478,6034,34686,5349,38599,5475,58163,7074,26210,4247,1040308,11936,1106,null,null,4321,null,null,6034,null,null,5349,null,null,5475,null,null,7074,null,null,4247,null,null,11936,null,null,33
8769487,3021,396039,19292,519874,23132,300447,17883,286612,18583,416416,19568,163119,14022,6686980,38285,3021,null,null,19292,null,null,23132,null,null,17883,null,null,18583,null,null,19568,null,null,14022,null,null,38285,null,null,34
2039449,1699,174249,12488,230214,12980,121637,10659,124568,10536,134450,10066,61675,7662,1192656,18305,1699,null,null,12488,null,null,12980,null,null,10659,null,null,10536,null,null,10066,null,null,7662,null,null,18305,null,null,35
19230198,5205,1289747,29394,1543077,36146,792725,25477,773706,31255,1067951,29532,441108,25575,13321884,55684,5205,null,null,29394,null,null,36146,null,null,25477,null,null,31255,null,null,29532,null,null,25575,null,null,55684,null,null,36
9886033,3818,658824,22915,863056,30562,510174,19360,503659,21855,695520,21698,256644,12682,6398156,42944,3818,null,null,22915,null,null,30562,null,null,19360,null,null,21855,null,null,21698,null,null,12682,null,null,42944,null,null,37
731759,1407,40350,5204,38114,4420,27160,4472,23995,3496,40279,5661,16577,2824,545284,8216,1407,null,null,5204,null,null,4420,null,null,4472,null,null,3496,null,null,5661,null,null,2824,null,null,8216,null,null,38
11287401,5000,756435,22872,888947,25826,494914,20699,454400,17475,696269,21174,284785,13267,7711651,43927,5000,null,null,22872,null,null,25826,null,null,20699,null,null,17475,null,null,21174,null,null,13267,null,null,43927,null,null,39
3809431,1956,272498,11788,347879,13773,216471,11221,201031,10809,279106,10593,97051,7372,2395395,19603,1956,null,null,11788,null,null,13773,null,null,11221,null,null,10809,null,null,10593,null,null,7372,null,null,19603,null,null,40
4016520,2426,237154,14805,298992,15926,185695,12900,188032,12782,251117,14226,118956,10720,2736574,25589,2426,null,null,14805,null,null,15926,null,null,12900,null,null,12782,null,null,14226,null,null,10720,null,null,25589,null,null,41
12368256,3787,702681,23423,889364,25535,487165,16394,486132,17003,737110,23220,290335,14237,8775469,39174,3787,null,null,23423,null,null,25535,null,null,16394,null,null,17003,null,null,23220,null,null,14237,null,null,39174,null,null,42
1015892,798,55404,6860,74528,7407,40596,5286,33992,5132,65273,7882,15900,3484,730199,12121,798,null,null,6860,null,null,7407,null,null,5286,null,null,5132,null,null,7882,null,null,3484,null,null,12121,null,null,44
4820419,2587,345252,17468,390708,19614,240207,14963,233172,14648,344834,15274,152129,11273,3114117,25244,2587,null,null,17468,null,null,19614,null,null,14963,null,null,14648,null,null,15274,null,null,11273,null,null,25244,null,null,45
837292,989,56619,5431,54343,4673,32462,3383,39908,4940,49077,5981,22103,3552,582780,9696,989,null,null,5431,null,null,4673,null,null,3383,null,null,4940,null,null,5981,null,null,3552,null,null,9696,null,null,46
6489032,3408,445999,18264,577178,19635,327025,17021,321779,15937,477426,22641,188388,11237,4151237,32458,3408,null,null,18264,null,null,19635,null,null,17021,null,null,15937,null,null,22641,null,null,11237,null,null,32458,null,null,47
27236443,6495,1790879,39610,2470458,54277,1383940,51363,1387697,39807,1892678,43618,774753,34340,17536038,83602,6495,null,null,39610,null,null,54277,null,null,51363,null,null,39807,null,null,43618,null,null,34340,null,null,83602,null,null,48
3004148,2144,144180,10409,162722,10640,132082,13558,123098,10983,188140,12478,82461,8317,2171465,25076,2144,null,null,10409,null,null,10640,null,null,13558,null,null,10983,null,null,12478,null,null,8317,null,null,25076,null,null,49
600077,990,34577,3943,36752,3878,24037,3225,22765,3229,32066,3666,12133,1857,437747,7708,990,null,null,3943,null,null,3878,null,null,3225,null,null,3229,null,null,3666,null,null,1857,null,null,7708,null,null,50
8158241,3830,426822,17572,469618,21247,291703,16045,280702,17051,416925,16831,179973,13908,6092498,36346,3830,null,null,17572,null,null,21247,null,null,16045,null,null,17051,null,null,16831,null,null,13908,null,null,36346,null,null,51
7156306,2413,370552,14162,435139,19883,263538,16199,274285,19982,388191,15808,171509,13304,5253092,36671,2413,null,null,14162,null,null,19883,null,null,16199,null,null,19982,null,null,15808,null,null,13304,null,null,36671,null,null,53
1779919,1541,141536,9615,177527,10770,102574,8518,92964,8269,131328,9606,53876,7666,1080114,14959,1541,null,null,9615,null,null,10770,null,null,8518,null,null,8269,null,null,9606,null,null,7666,null,null,14959,null,null,54
5628565,2951,286260,12214,375305,14967,222225,11065,211121,11364,325444,12707,139872,9686,4068338,24800,2951,null,null,12214,null,null,14967,null,null,11065,null,null,11364,null,null,12707,null,null,9686,null,null,24800,null,null,55
571169,936,24810,2896,39853,5090,19938,3756,26502,4762,35422,5088,14645,3109,409999,8720,936,null,null,2896,null,null,5090,null,null,3756,null,null,4762,null,null,5088,null,null,3109,null,null,8720,null,null,56
3379483,1634,805412,20670,663970,19909,300017,18722,254905,13184,308042,16437,109055,9530,938082,27213,1634,null,null,20670,null,null,19909,null,null,18722,null,null,13184,null,null,16437,null,null,9530,null,null,27213,null,null,72
4741329,2442,356387,15096,453844,18919,248703,11685,240669,13934,337048,15168,123466,10888,2981212,29198,2442,null,null,15096,null,null,18919,null,null,11685,null,null,13934,null,null,15168,null,null,10888,null,null,29198,null,null,01
723968,1193,33035,4496,38531,4683,24868,4313,24147,3378,38673,4878,18385,3168,546329,8895,1193,null,null,4496,null,null,4683,null,null,4313,null,null,3378,null,null,4878,null,null,3168,null,null,8895,null,null,02
6771098,3965,525626,18752,581838,20864,350309,17328,308183,18430,484007,17679,202670,13836,4318465,32257,3965,null,null,18752,null,null,20864,null,null,17328,null,null,18430,null,null,17679,null,null,13836,null,null,32257,null,null,04
2898630,2550,213946,12974,285279,14800,174811,11864,178254,11767,217328,13047,92993,10433,1736019,26836,2550,null,null,12974,null,null,14800,null,null,11864,null,null,11767,null,null,13047,null,null,10433,null,null,26836,null,null,05
38513258,8112,2389302,46102,3136222,54542,1847120,40505,1760746,42095,2465718,46102,1004439,30653,25909711,80698,8112,null,null,46102,null,null,54542,null,null,40505,null,null,42095,null,null,46102,null,null,30653,null,null,80698,null,null,06
5420327,2295,258193,13370,340543,14988,212865,12285,206054,14035,306983,14902,132153,11503,3963536,26480,2295,null,null,13370,null,null,14988,null,null,12285,null,null,14035,null,null,14902,null,null,11503,null,null,26480,null,null,08
3469514,1932,157228,9372,181900,12911,108082,9504,107175,9249,165347,12272,62956,8737,2686826,19776,1932,null,null,9372,null,null,12911,null,null,9504,null,null,9249,null,null,12272,null,null,8737,null,null,19776,null,null,09
926864,1051,50068,5833,58143,6532,30614,4339,30214,5415,51429,8221,23915,3935,682481,12032,1051,null,null,5833,null,null,6532,null,null,4339,null,null,5415,null,null,8221,null,null,3935,null,null,12032,null,null,10
