C01001E_001E,C01001E_001M,C01001E_002E,C01001E_002M,C01001E_003E,C01001E_003M,C01001E_004E,C01001E_004M,C01001E_005E,C01001E_005M,C01001E_006E,C01001E_006M,C01001E_007E,C01001E_007M,C01001E_008E,C01001E_008M,C01001E_009E,C01001E_009M,C01001E_001M,C01001E_001EA,C01001E_001MA,C01001E_002M,C01001E_002EA,C01001E_002MA,C01001E_003M,C01001E_003EA,C01001E_003MA,C01001E_004M,C01001E_004EA,C01001E_004MA,C01001E_005M,C01001E_005EA,C01001E_005MA,C01001E_006M,C01001E_006EA,C01001E_006MA,C01001E_007M,C01001E_007EA,C01001E_007MA,C01001E_008M,C01001E_008EA,C01001E_008MA,C01001E_009M,C01001E_009EA,C01001E_009MA,state
12540,2425,5637,1492,853,450,4223,1341,561,343,6903,1551,1789,683,4058,1142,1056,619,2425,null,null,1492,null,null,450,null,null,1341,null,null,343,null,null,1551,null,null,683,null,null,1142,null,null,619,null,null,12
6503,2014,2786,1090,865,760,1282,646,639,595,3717,1406,935,560,2583,1120,199,248,2014,null,null,1090,null,null,760,null,null,646,null,null,595,null,null,1406,null,null,560,null,null,1120,null,null,248,null,null,13
144568,6675,72738,4429,20533,2679,44845,2730,7360,639,71830,3008,20048,1702,43583,1711,8199,681,6675,null,null,4429,null,null,2679,null,null,2730,null,null,639,null,null,3008,null,null,1702,null,null,1711,null,null,681,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
4851,1396,3043,869,673,438,2079,696,291,197,1808,788,277,230,1411,651,120,147,1396,null,null,869,null,null,438,null,null,696,null,null,197,null,null,788,null,null,230,null,null,651,null,null,147,null,null,17
3526,1505,1493,733,454,352,958,611,81,94,2033,902,628,460,1300,660,105,134,1505,null,null,733,null,null,352,null,null,611,null,null,94,null,null,902,null,null,460,null,null,660,null,null,134,null,null,18
3949,1754,1814,870,648,487,1166,628,0,159,2135,1027,1002,632,973,604,160,155,1754,null,null,870,null,null,487,null,null,628,null,null,159,null,null,1027,null,null,632,null,null,604,null,null,155,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
2307,1047,1175,682,413,453,762,471,0,190,1132,669,554,426,541,314,37,37,1047,null,null,682,null,null,453,null,null,471,null,null,190,null,null,669,null,null,426,null,null,314,null,null,37,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
3758,1532,1881,839,245,203,1508,777,128,146,1877,909,177,199,1292,559,408,456,1532,null,null,839,null,null,203,null,null,777,null,null,146,null,null,909,null,null,199,null,null,559,null,null,456,null,null,25
2967,841,1084,475,186,220,891,436,7,16,1883,702,232,202,1424,577,227,160,841,null,null,475,null,null,220,null,null,436,null,null,16,null,null,702,null,null,202,null,null,577,null,null,160,null,null,26
1452,500,896,401,168,124,698,362,30,61,556,243,108,119,383,231,65,80,500,null,null,401,null,null,124,null,null,362,null,null,61,null,null,243,null,null,119,null,null,231,null,null,80,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
9193,2040,5177,1541,2005,1019,3010,902,162,173,4016,911,944,567,2808,1068,264,227,2040,null,null,1541,null,null,1019,null,null,902,null,null,173,null,null,911,null,null,567,null,null,1068,null,null,227,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
