B12002E_001E,B12002E_001M,B12002E_002E,B12002E_002M,B12002E_003E,B12002E_003M,B12002E_004E,B12002E_004M,B12002E_005E,B12002E_005M,B12002E_006E,B12002E_006M,B12002E_007E,B12002E_007M,B12002E_008E,B12002E_008M,B12002E_009E,B12002E_009M,B12002E_010E,B12002E_010M,B12002E_011E,B12002E_011M,B12002E_012E,B12002E_012M,B12002E_013E,B12002E_013M,B12002E_001M,B12002E_001EA,B12002E_001MA,B12002E_002M,B12002E_002EA,B12002E_002MA,B12002E_003M,B12002E_003EA,B12002E_003MA,B12002E_004M,B12002E_004EA,B12002E_004MA,B12002E_005M,B12002E_005EA,B12002E_005MA,B12002E_006M,B12002E_006EA,B12002E_006MA,B12002E_007M,B12002E_007EA,B12002E_007MA,B12002E_008M,B12002E_008EA,B12002E_008MA,B12002E_009M,B12002E_009EA,B12002E_009MA,B12002E_010M,B12002E_010EA,B12002E_010MA,B12002E_011M,B12002E_011EA,B12002E_011MA,B12002E_012M,B12002E_012EA,B12002E_012MA,B12002E_013M,B12002E_013EA,B12002E_013MA,state
10253,2130,4901,1347,2128,794,1900,679,82,133,0,221,791,478,5352,1483,1968,924,1725,623,131,159,497,469,1031,532,2130,null,null,1347,null,null,794,null,null,679,null,null,133,null,null,221,null,null,478,null,null,1483,null,null,924,null,null,623,null,null,159,null,null,469,null,null,532,null,null,12
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
111094,4362,55681,2911,24809,2246,24953,2040,677,394,1264,417,3978,1087,55413,2100,22480,1980,23008,2117,1472,563,4614,808,3839,797,4362,null,null,2911,null,null,2246,null,null,2040,null,null,394,null,null,417,null,null,1087,null,null,2100,null,null,1980,null,null,2117,null,null,563,null,null,808,null,null,797,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
2254,1100,1020,757,462,422,404,360,0,198,0,198,154,264,1234,600,280,199,235,199,365,395,0,198,354,308,1100,null,null,757,null,null,422,null,null,360,null,null,198,null,null,198,null,null,264,null,null,600,null,null,199,null,null,199,null,null,395,null,null,198,null,null,308,null,null,24
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
2626,751,975,450,531,335,424,314,20,43,0,168,0,168,1651,632,595,379,428,316,0,168,267,201,361,303,751,null,null,450,null,null,335,null,null,314,null,null,43,null,null,168,null,null,168,null,null,632,null,null,379,null,null,316,null,null,168,null,null,201,null,null,303,null,null,26
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
6698,1565,3435,1129,2008,975,1018,617,161,236,152,259,96,137,3263,1027,1461,745,895,518,155,248,430,255,322,416,1565,null,null,1129,null,null,975,null,null,617,null,null,236,null,null,259,null,null,137,null,null,1027,null,null,745,null,null,518,null,null,248,null,null,255,null,null,416,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
15169,963,7635,685,3336,622,3246,518,187,183,303,223,563,345,7534,584,3492,814,2673,755,55,88,462,245,852,493,963,null,null,685,null,null,622,null,null,518,null,null,183,null,null,223,null,null,345,null,null,584,null,null,814,null,null,755,null,null,88,null,null,245,null,null,493,null,null,32
