C17019_001E,C17019_001M,C17019_002E,C17019_002M,C17019_003E,C17019_003M,C17019_004E,C17019_004M,C17019_005E,C17019_005M,C17019_006E,C17019_006M,C17019_007E,C17019_007M,C17019_001M,C17019_001EA,C17019_001MA,C17019_002M,C17019_002EA,C17019_002MA,C17019_003M,C17019_003EA,C17019_003MA,C17019_004M,C17019_004EA,C17019_004MA,C17019_005M,C17019_005EA,C17019_005MA,C17019_006M,C17019_006EA,C17019_006MA,C17019_007M,C17019_007EA,C17019_007MA,state
4864461,24241,509616,11766,192628,6780,316988,9905,4354845,24292,3165661,23067,1189184,17641,24241,null,null,11766,null,null,6780,null,null,9905,null,null,24292,null,null,23067,null,null,17641,null,null,12
2479003,18252,296261,9486,95902,5251,200359,8483,2182742,17899,1588659,18315,594083,13087,18252,null,null,9486,null,null,5251,null,null,8483,null,null,17899,null,null,18315,null,null,13087,null,null,13
315505,5105,18826,2161,6166,1292,12660,1740,296679,5251,187840,4524,108839,4440,5105,null,null,2161,null,null,1292,null,null,1740,null,null,5251,null,null,4524,null,null,4440,null,null,15
411617,7286,41274,3641,14094,1942,27180,3143,370343,7745,296500,7060,73843,4754,7286,null,null,3641,null,null,1942,null,null,3143,null,null,7745,null,null,7060,null,null,4754,null,null,16
3100613,17145,293044,9264,98719,4636,194325,7789,2807569,16895,2188824,15980,618745,14055,17145,null,null,9264,null,null,4636,null,null,7789,null,null,16895,null,null,15980,null,null,14055,null,null,17
1645758,11176,157720,5867,54493,3387,103227,4674,1488038,11737,1204287,11455,283751,9301,11176,null,null,5867,null,null,3387,null,null,4674,null,null,11737,null,null,11455,null,null,9301,null,null,18
795043,8419,60129,3265,21336,1957,38793,2968,734914,8832,615995,7819,118919,5212,8419,null,null,3265,null,null,1957,null,null,2968,null,null,8832,null,null,7819,null,null,5212,null,null,19
716005,8245,56464,3559,21693,1969,34771,2961,659541,7653,514362,7582,145179,4748,8245,null,null,3559,null,null,1969,null,null,2961,null,null,7653,null,null,7582,null,null,4748,null,null,20
1121404,10897,156782,6330,61416,3926,95366,5165,964622,12227,766157,11743,198465,7580,10897,null,null,6330,null,null,3926,null,null,5165,null,null,12227,null,null,11743,null,null,7580,null,null,21
1097712,12285,168708,7561,62233,3929,106475,5927,929004,11536,729511,10682,199493,7190,12285,null,null,7561,null,null,3929,null,null,5927,null,null,11536,null,null,10682,null,null,7190,null,null,22
329554,6035,25210,2646,12319,2022,12891,2097,304344,6105,254075,6026,50269,3376,6035,null,null,2646,null,null,2022,null,null,2097,null,null,6105,null,null,6026,null,null,3376,null,null,23
1458953,11514,92359,4595,29770,2054,62589,4299,1366594,11214,1033231,10565,333363,8814,11514,null,null,4595,null,null,2054,null,null,4299,null,null,11214,null,null,10565,null,null,8814,null,null,24
