B16005E_001E,B16005E_001M,B16005E_002E,B16005E_002M,B16005E_003E,B16005E_003M,B16005E_004E,B16005E_004M,B16005E_005E,B16005E_005M,B16005E_006E,B16005E_006M,B16005E_007E,B16005E_007M,B16005E_008E,B16005E_008M,B16005E_009E,B16005E_009M,B16005E_010E,B16005E_010M,B16005E_011E,B16005E_011M,B16005E_001M,B16005E_001EA,B16005E_001MA,B16005E_002M,B16005E_002EA,B16005E_002MA,B16005E_003M,B16005E_003EA,B16005E_003MA,B16005E_004M,B16005E_004EA,B16005E_004MA,B16005E_005M,B16005E_005EA,B16005E_005MA,B16005E_006M,B16005E_006EA,B16005E_006MA,B16005E_007M,B16005E_007EA,B16005E_007MA,B16005E_008M,B16005E_008EA,B16005E_008MA,B16005E_009M,B16005E_009EA,B16005E_009MA,B16005E_010M,B16005E_010EA,B16005E_010MA,B16005E_011M,B16005E_011EA,B16005E_011MA,state
12096,2336,9918,2063,8403,1871,1515,541,1413,534,102,122,2178,804,875,457,1303,684,552,439,751,455,2336,null,null,2063,null,null,1871,null,null,541,null,null,534,null,null,122,null,null,804,null,null,457,null,null,684,null,null,439,null,null,455,null,null,12
5779,1783,5112,1654,3613,1369,1499,1038,1340,968,159,173,667,426,371,281,296,318,71,109,225,302,1783,null,null,1654,null,null,1369,null,null,1038,null,null,968,null,null,173,null,null,426,null,null,281,null,null,318,null,null,109,null,null,302,null,null,13
135141,5940,110121,6441,82706,6188,27415,3592,19209,2924,8206,1944,25020,4887,2008,865,23012,4777,9550,2580,13462,3549,5940,null,null,6441,null,null,6188,null,null,3592,null,null,2924,null,null,1944,null,null,4887,null,null,865,null,null,4777,null,null,2580,null,null,3549,null,null,15
2375,1144,1887,926,1292,747,595,379,372,307,223,171,488,382,0,198,488,382,121,98,367,357,1144,null,null,926,null,null,747,null,null,379,null,null,307,null,null,171,null,null,382,null,null,198,null,null,382,null,null,98,null,null,357,null,null,16
4484,1293,3782,1246,3315,1133,467,319,381,298,86,108,702,333,204,204,498,337,329,273,169,169,1293,null,null,1246,null,null,1133,null,null,319,null,null,298,null,null,108,null,null,333,null,null,204,null,null,337,null,null,273,null,null,169,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
3502,1518,2615,1186,2263,1120,352,470,189,231,163,246,887,666,170,197,717,562,253,206,464,382,1518,null,null,1186,null,null,1120,null,null,470,null,null,231,null,null,246,null,null,666,null,null,197,null,null,562,null,null,206,null,null,382,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
1816,829,1089,676,859,499,230,232,230,232,0,190,727,500,151,165,576,445,156,140,420,391,829,null,null,676,null,null,499,null,null,232,null,null,232,null,null,190,null,null,500,null,null,165,null,null,445,null,null,140,null,null,391,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
