B19202A_001E,B19202A_001M,B19202A_001M,B19202A_001EA,B19202A_001MA,state
34078,549,549,null,null,12
36759,791,791,null,null,13
49502,4051,4051,null,null,15
30294,1168,1168,null,null,16
39201,736,736,null,null,17
31897,449,449,null,null,18
32002,519,519,null,null,19
32030,619,619,null,null,20
27638,999,999,null,null,21
31976,788,788,null,null,22
31164,960,960,null,null,23
50666,1052,1052,null,null,24
44470,1329,1329,null,null,25
32920,589,589,null,null,26
39201,777,777,null,null,27
27260,1562,1562,null,null,28
32410,665,665,null,null,29
30610,893,893,null,null,30
32248,744,744,null,null,31
37743,1615,1615,null,null,32
38808,2204,2204,null,null,33
45242,1083,1083,null,null,34
30600,1142,1142,null,null,35
42462,740,740,null,null,36
32797,911,911,null,null,37
39939,2726,2726,null,null,38
33197,668,668,null,null,39
30655,638,638,null,null,40
35550,776,776,null,null,41
34518,474,474,null,null,42
36439,1543,1543,null,null,44
33418,1212,1212,null,null,45
33749,1995,1995,null,null,46
30810,519,519,null,null,47
37450,501,501,null,null,48
38003,1629,1629,null,null,49
33514,1959,1959,null,null,50
44374,1015,1015,null,null,51
41564,544,544,null,null,53
24568,829,829,null,null,54
35499,487,487,null,null,55
32361,2490,2490,null,null,56
11990,411,411,null,null,72
28268,1036,1036,null,null,01
55918,3419,3419,null,null,02
35615,708,708,null,null,04
26347,914,914,null,null,05
46698,570,570,null,null,06
41894,659,659,null,null,08
44655,1557,1557,null,null,09
40182,2201,2201,null,null,10
96100,3977,3977,null,null,11
