C17001A_001E,C17001A_001M,C17001A_002E,C17001A_002M,C17001A_003E,C17001A_003M,C17001A_004E,C17001A_004M,C17001A_005E,C17001A_005M,C17001A_006E,C17001A_006M,C17001A_007E,C17001A_007M,C17001A_008E,C17001A_008M,C17001A_009E,C17001A_009M,C17001A_010E,C17001A_010M,C17001A_011E,C17001A_011M,C17001A_012E,C17001A_012M,C17001A_013E,C17001A_013M,C17001A_014E,C17001A_014M,C17001A_015E,C17001A_015M,C17001A_016E,C17001A_016M,C17001A_017E,C17001A_017M,C17001A_018E,C17001A_018M,C17001A_019E,C17001A_019M,C17001A_001M,C17001A_001EA,C17001A_001MA,C17001A_002M,C17001A_002EA,C17001A_002MA,C17001A_003M,C17001A_003EA,C17001A_003MA,C17001A_004M,C17001A_004EA,C17001A_004MA,C17001A_005M,C17001A_005EA,C17001A_005MA,C17001A_006M,C17001A_006EA,C17001A_006MA,C17001A_007M,C17001A_007EA,C17001A_007MA,C17001A_008M,C17001A_008EA,C17001A_008MA,C17001A_009M,C17001A_009EA,C17001A_009MA,C17001A_010M,C17001A_010EA,C17001A_010MA,C17001A_011M,C17001A_011EA,C17001A_011MA,C17001A_012M,C17001A_012EA,C17001A_012MA,C17001A_013M,C17001A_013EA,C17001A_013MA,C17001A_014M,C17001A_014EA,C17001A_014MA,C17001A_015M,C17001A_015EA,C17001A_015MA,C17001A_016M,C17001A_016EA,C17001A_016MA,C17001A_017M,C17001A_017EA,C17001A_017MA,C17001A_018M,C17001A_018EA,C17001A_018MA,C17001A_019M,C17001A_019EA,C17001A_019MA,state
15297475,28640,1955736,36079,876242,19701,241468,10013,507719,15713,127055,5603,1079494,22990,230929,10937,645999,15025,202566,6554,13341739,44168,6598065,22937,1162060,9720,3958920,18693,1477085,6817,6743674,29410,1107976,13153,3921652,21572,1714046,6578,28640,null,null,36079,null,null,19701,null,null,10013,null,null,15713,null,null,5603,null,null,22990,null,null,10937,null,null,15025,null,null,6554,null,null,44168,null,null,22937,null,null,9720,null,null,18693,null,null,6817,null,null,29410,null,null,13153,null,null,21572,null,null,6578,null,null,12
5921764,18308,702036,23141,309127,11453,103515,8196,177683,7369,27929,2539,392909,14411,98576,6540,246534,9218,47799,3156,5219728,29486,2612301,15311,564365,9634,1638673,9905,409263,2858,2607427,17228,526977,9058,1593364,10137,487086,4145,18308,null,null,23141,null,null,11453,null,null,8196,null,null,7369,null,null,2539,null,null,14411,null,null,6540,null,null,9218,null,null,3156,null,null,29486,null,null,15311,null,null,9634,null,null,9905,null,null,2858,null,null,17228,null,null,9058,null,null,10137,null,null,4145,null,null,13
342665,5406,29817,3741,16044,2379,1685,681,10808,1795,3551,1251,13773,2217,1798,785,10350,1577,1625,511,312848,6674,165461,4193,26763,2441,108577,2453,30121,1307,147387,3655,24326,1823,92349,2276,30712,631,5406,null,null,3741,null,null,2379,null,null,681,null,null,1795,null,null,1251,null,null,2217,null,null,785,null,null,1577,null,null,511,null,null,6674,null,null,4193,null,null,2441,null,null,2453,null,null,1307,null,null,3655,null,null,1823,null,null,2276,null,null,631,null,null,15
1483574,7428,201928,13251,94657,6719,34274,4009,51581,4346,8802,1597,107271,8260,28476,3792,64179,5034,14616,2176,1281646,15794,644423,7881,157382,4960,381950,5056,105091,1662,637223,10039,149652,4431,374330,6241,113241,2104,7428,null,null,13251,null,null,6719,null,null,4009,null,null,4346,null,null,1597,null,null,8260,null,null,3792,null,null,5034,null,null,2176,null,null,15794,null,null,7881,null,null,4960,null,null,5056,null,null,1662,null,null,10039,null,null,4431,null,null,6241,null,null,2104,null,null,16
8935694,24352,870223,25547,382261,13672,114197,6935,230513,8616,37551,3022,487962,15145,115680,7252,301186,10083,71096,3680,8065471,33778,4023759,18024,851074,9133,2562888,11320,609797,3301,4041712,19968,802636,9470,2495188,12769,743888,4436,24352,null,null,25547,null,null,13672,null,null,6935,null,null,8616,null,null,3022,null,null,15145,null,null,7252,null,null,10083,null,null,3680,null,null,33778,null,null,18024,null,null,9133,null,null,11320,null,null,3301,null,null,19968,null,null,9470,null,null,12769,null,null,4436,null,null,17
5381933,11449,631702,19921,277257,10721,95435,6509,160429,7426,21393,1648,354445,11954,87199,5660,225338,8136,41908,2719,4750231,22404,2371325,11869,518357,6727,1485224,8225,367744,2060,2378906,14162,496026,6636,1440771,9390,442109,3217,11449,null,null,19921,null,null,10721,null,null,6509,null,null,7426,null,null,1648,null,null,11954,null,null,5660,null,null,8136,null,null,2719,null,null,22404,null,null,11869,null,null,6727,null,null,8225,null,null,2060,null,null,14162,null,null,6636,null,null,9390,null,null,3217,null,null,18
2743375,5730,280867,11409,123810,6349,38843,3916,73010,3801,11957,1394,157057,7396,34111,3771,102771,4644,20175,1627,2462508,12165,1234635,6328,274723,4004,757516,4333,202396,1722,1227873,8279,263118,4105,721999,5541,242756,1890,5730,null,null,11409,null,null,6349,null,null,3916,null,null,3801,null,null,1394,null,null,7396,null,null,3771,null,null,4644,null,null,1627,null,null,12165,null,null,6328,null,null,4004,null,null,4333,null,null,1722,null,null,8279,null,null,4105,null,null,5541,null,null,1890,null,null,19
2395804,7516,258463,12419,115080,6948,34010,3994,70610,4336,10460,1201,143383,7416,34770,3653,89880,4891,18733,1683,2137341,13772,1070697,8702,254675,5255,650456,5496,165566,1643,1066644,7901,238210,4107,634452,5378,193982,1792,7516,null,null,12419,null,null,6948,null,null,3994,null,null,4336,null,null,1201,null,null,7416,null,null,3653,null,null,4891,null,null,1683,null,null,13772,null,null,8702,null,null,5255,null,null,5496,null,null,1643,null,null,7901,null,null,4107,null,null,5378,null,null,1792,null,null,20
3757964,6878,642088,20993,275622,10912,88845,5721,164233,7609,22544,2167,366466,12197,93386,5224,228679,7876,44401,3021,3115876,21635,1562334,11620,327209,6112,980863,8123,254262,2427,1553542,12715,306282,5194,947781,8603,299479,3275,6878,null,null,20993,null,null,10912,null,null,5721,null,null,7609,null,null,2167,null,null,12197,null,null,5224,null,null,7876,null,null,3021,null,null,21635,null,null,11620,null,null,6112,null,null,8123,null,null,2427,null,null,12715,null,null,5194,null,null,8603,null,null,3275,null,null,21
2839659,6968,362321,16389,156785,8721,48648,5001,91804,6196,16333,1662,205536,10646,41207,4779,135553,7292,28776,2331,2477338,17359,1241313,9098,262049,5039,781618,6546,197646,1982,1236025,11105,251290,5101,749829,7628,234906,2577,6968,null,null,16389,null,null,8721,null,null,5001,null,null,6196,null,null,1662,null,null,10646,null,null,4779,null,null,7292,null,null,2331,null,null,17359,null,null,9098,null,null,5039,null,null,6546,null,null,1982,null,null,11105,null,null,5101,null,null,7628,null,null,2577,null,null,22
