B19001D_001E,B19001D_001M,B19001D_002E,B19001D_002M,B19001D_003E,B19001D_003M,B19001D_004E,B19001D_004M,B19001D_005E,B19001D_005M,B19001D_006E,B19001D_006M,B19001D_007E,B19001D_007M,B19001D_008E,B19001D_008M,B19001D_009E,B19001D_009M,B19001D_010E,B19001D_010M,B19001D_011E,B19001D_011M,B19001D_012E,B19001D_012M,B19001D_013E,B19001D_013M,B19001D_014E,B19001D_014M,B19001D_015E,B19001D_015M,B19001D_016E,B19001D_016M,B19001D_017E,B19001D_017M,B19001D_001M,B19001D_001EA,B19001D_001MA,B19001D_002M,B19001D_002EA,B19001D_002MA,B19001D_003M,B19001D_003EA,B19001D_003MA,B19001D_004M,B19001D_004EA,B19001D_004MA,B19001D_005M,B19001D_005EA,B19001D_005MA,B19001D_006M,B19001D_006EA,B19001D_006MA,B19001D_007M,B19001D_007EA,B19001D_007MA,B19001D_008M,B19001D_008EA,B19001D_008MA,B19001D_009M,B19001D_009EA,B19001D_009MA,B19001D_010M,B19001D_010EA,B19001D_010MA,B19001D_011M,B19001D_011EA,B19001D_011MA,B19001D_012M,B19001D_012EA,B19001D_012MA,B19001D_013M,B19001D_013EA,B19001D_013MA,B19001D_014M,B19001D_014EA,B19001D_014MA,B19001D_015M,B19001D_015EA,B19001D_015MA,B19001D_016M,B19001D_016EA,B19001D_016MA,B19001D_017M,B19001D_017EA,B19001D_017MA,state
170014,5261,12279,2087,5394,1228,4727,1297,8947,1776,7195,1493,6007,1143,5567,1331,7097,1417,6620,1336,13175,2106,16520,2359,23900,2662,16148,2058,12184,1832,11266,1904,12988,1707,5261,null,null,2087,null,null,1228,null,null,1297,null,null,1776,null,null,1493,null,null,1143,null,null,1331,null,null,1417,null,null,1336,null,null,2106,null,null,2359,null,null,2662,null,null,2058,null,null,1832,null,null,1904,null,null,1707,null,null,12
124400,4052,8762,1849,3273,1033,4207,1059,4010,1031,5087,1527,4812,1252,3470,939,4160,953,3014,966,9971,1834,11143,1878,18456,2231,13893,1841,8393,1661,9954,1353,11795,1672,4052,null,null,1849,null,null,1033,null,null,1059,null,null,1031,null,null,1527,null,null,1252,null,null,939,null,null,953,null,null,966,null,null,1834,null,null,1878,null,null,2231,null,null,1841,null,null,1661,null,null,1353,null,null,1672,null,null,13
178552,4222,9981,1469,6243,1331,4887,1189,7525,1470,4700,877,4713,874,5125,980,6347,1043,5061,912,11952,1515,19246,1883,24386,2316,21010,1916,14422,1725,16517,1771,16437,1517,4222,null,null,1469,null,null,1331,null,null,1189,null,null,1470,null,null,877,null,null,874,null,null,980,null,null,1043,null,null,912,null,null,1515,null,null,1883,null,null,2316,null,null,1916,null,null,1725,null,null,1771,null,null,1517,null,null,15
7651,1462,733,534,873,524,857,558,205,226,250,250,297,258,794,688,342,304,225,199,351,254,440,352,918,605,219,269,254,249,333,255,560,525,1462,null,null,534,null,null,524,null,null,558,null,null,226,null,null,250,null,null,258,null,null,688,null,null,304,null,null,199,null,null,254,null,null,352,null,null,605,null,null,269,null,null,249,null,null,255,null,null,525,null,null,16
223951,4791,18596,2651,5912,1143,5913,1224,6911,1181,5627,1171,7366,1246,5805,1199,6503,1483,7407,1392,11948,1508,18399,2447,28172,2496,23988,2795,16665,1747,23998,2364,30741,2503,4791,null,null,2651,null,null,1143,null,null,1224,null,null,1181,null,null,1171,null,null,1246,null,null,1199,null,null,1483,null,null,1392,null,null,1508,null,null,2447,null,null,2496,null,null,2795,null,null,1747,null,null,2364,null,null,2503,null,null,17
42879,2180,6136,1385,1864,684,987,528,2038,702,2156,979,1475,670,1751,846,2317,716,1830,840,2296,674,3187,788,5905,1295,2820,955,1819,668,2934,840,3364,966,2180,null,null,1385,null,null,684,null,null,528,null,null,702,null,null,979,null,null,670,null,null,846,null,null,716,null,null,840,null,null,674,null,null,788,null,null,1295,null,null,955,null,null,668,null,null,840,null,null,966,null,null,18
24412,1503,2864,647,964,618,308,308,1668,746,545,333,1196,491,839,541,1292,666,1443,708,2792,927,2085,781,2755,874,1337,599,832,560,1912,665,1580,754,1503,null,null,647,null,null,618,null,null,308,null,null,746,null,null,333,null,null,491,null,null,541,null,null,666,null,null,708,null,null,927,null,null,781,null,null,874,null,null,599,null,null,560,null,null,665,null,null,754,null,null,19
25029,1859,1896,652,401,315,880,491,2163,888,1101,529,674,381,739,354,616,313,1388,999,2038,669,1724,683,3695,840,2876,834,1828,679,1618,537,1392,630,1859,null,null,652,null,null,315,null,null,491,null,null,888,null,null,529,null,null,381,null,null,354,null,null,313,null,null,999,null,null,669,null,null,683,null,null,840,null,null,834,null,null,679,null,null,537,null,null,630,null,null,20
18822,1319,1537,730,232,185,92,120,852,544,1074,430,506,399,1144,495,1020,573,906,474,1930,609,2432,754,2484,700,1082,493,735,356,1081,404,1715,630,1319,null,null,730,null,null,185,null,null,120,null,null,544,null,null,430,null,null,399,null,null,495,null,null,573,null,null,474,null,null,609,null,null,754,null,null,700,null,null,493,null,null,356,null,null,404,null,null,630,null,null,21
24139,1653,1682,707,1443,571,1717,597,1506,743,908,425,1404,644,1093,426,1013,475,905,516,1150,522,2138,796,2753,768,2049,886,1400,577,1300,579,1678,614,1653,null,null,707,null,null,571,null,null,597,null,null,743,null,null,425,null,null,644,null,null,426,null,null,475,null,null,516,null,null,522,null,null,796,null,null,768,null,null,886,null,null,577,null,null,579,null,null,614,null,null,22
