B05003A_001E,B05003A_001M,B05003A_002E,B05003A_002M,B05003A_003E,B05003A_003M,B05003A_004E,B05003A_004M,B05003A_005E,B05003A_005M,B05003A_006E,B05003A_006M,B05003A_007E,B05003A_007M,B05003A_008E,B05003A_008M,B05003A_009E,B05003A_009M,B05003A_010E,B05003A_010M,B05003A_011E,B05003A_011M,B05003A_012E,B05003A_012M,B05003A_013E,B05003A_013M,B05003A_014E,B05003A_014M,B05003A_015E,B05003A_015M,B05003A_016E,B05003A_016M,B05003A_017E,B05003A_017M,B05003A_018E,B05003A_018M,B05003A_019E,B05003A_019M,B05003A_020E,B05003A_020M,B05003A_021E,B05003A_021M,B05003A_022E,B05003A_022M,B05003A_023E,B05003A_023M,B05003A_001M,B05003A_001EA,B05003A_001MA,B05003A_002M,B05003A_002EA,B05003A_002MA,B05003A_003M,B05003A_003EA,B05003A_003MA,B05003A_004M,B05003A_004EA,B05003A_004MA,B05003A_005M,B05003A_005EA,B05003A_005MA,B05003A_006M,B05003A_006EA,B05003A_006MA,B05003A_007M,B05003A_007EA,B05003A_007MA,B05003A_008M,B05003A_008EA,B05003A_008MA,B05003A_009M,B05003A_009EA,B05003A_009MA,B05003A_010M,B05003A_010EA,B05003A_010MA,B05003A_011M,B05003A_011EA,B05003A_011MA,B05003A_012M,B05003A_012EA,B05003A_012MA,B05003A_013M,B05003A_013EA,B05003A_013MA,B05003A_014M,B05003A_014EA,B05003A_014MA,B05003A_015M,B05003A_015EA,B05003A_015MA,B05003A_016M,B05003A_016EA,B05003A_016MA,B05003A_017M,B05003A_017EA,B05003A_017MA,B05003A_018M,B05003A_018EA,B05003A_018MA,B05003A_019M,B05003A_019EA,B05003A_019MA,B05003A_020M,B05003A_020EA,B05003A_020MA,B05003A_021M,B05003A_021EA,B05003A_021MA,B05003A_022M,B05003A_022EA,B05003A_022MA,B05003A_023M,B05003A_023EA,B05003A_023MA,state
15574165,29122,7636928,17881,1424939,8912,1357091,9841,67848,5662,14866,2029,52982,5351,6211989,12592,4949846,17976,1262143,17972,646252,12410,615891,15765,7937237,15695,1358973,8059,1285287,10456,73686,6007,15955,2574,57731,5676,6578264,12888,5177784,17654,1400480,16684,828446,12356,572034,15460,29122,null,null,17881,null,null,8912,null,null,9841,null,null,5662,null,null,2029,null,null,5351,null,null,12592,null,null,17976,null,null,17972,null,null,12410,null,null,15765,null,null,15695,null,null,8059,null,null,10456,null,null,6007,null,null,2574,null,null,5676,null,null,12888,null,null,17654,null,null,16684,null,null,12356,null,null,15460,null,null,12
6054861,18041,3000534,10797,676582,7684,662968,8106,13614,2501,2363,749,11251,2424,2323952,6635,2133417,6872,190535,7403,64896,4951,125639,6760,3054327,10981,635562,6698,622739,6302,12823,2596,2860,1434,9963,2138,2418765,6978,2236328,6945,182437,7961,69710,5003,112727,6270,18041,null,null,10797,null,null,7684,null,null,8106,null,null,2501,null,null,749,null,null,2424,null,null,6635,null,null,6872,null,null,7403,null,null,4951,null,null,6760,null,null,10981,null,null,6698,null,null,6302,null,null,2596,null,null,1434,null,null,2138,null,null,6978,null,null,6945,null,null,7961,null,null,5003,null,null,6270,null,null,13
357994,5134,192504,3251,28711,2183,28392,2159,319,259,61,99,258,240,163793,1729,153548,2142,10245,1978,6016,1246,4229,1318,165490,2706,27318,1632,27135,1677,183,171,0,185,183,171,138172,1790,125809,2291,12363,1752,6683,1239,5680,1284,5134,null,null,3251,null,null,2183,null,null,2159,null,null,259,null,null,99,null,null,240,null,null,1729,null,null,2142,null,null,1978,null,null,1246,null,null,1318,null,null,2706,null,null,1632,null,null,1677,null,null,171,null,null,185,null,null,171,null,null,1790,null,null,2291,null,null,1752,null,null,1239,null,null,1284,null,null,15
1510119,7573,755100,4229,193796,2511,191920,2673,1876,680,597,386,1279,596,561304,2891,536203,2943,25101,2673,9862,1579,15239,2381,755019,4406,180687,2546,178513,2706,2174,957,673,501,1501,697,574332,2833,547381,3337,26951,2539,10723,1927,16228,2255,7573,null,null,4229,null,null,2511,null,null,2673,null,null,680,null,null,386,null,null,596,null,null,2891,null,null,2943,null,null,2673,null,null,1579,null,null,2381,null,null,4406,null,null,2546,null,null,2706,null,null,957,null,null,501,null,null,697,null,null,2833,null,null,3337,null,null,2539,null,null,1927,null,null,2255,null,null,16
9123763,24574,4504629,13681,976878,7408,961346,8177,15532,2488,4349,1103,11183,2258,3527751,8507,3108613,9672,419138,10246,216422,7059,202716,8775,4619134,14007,928997,7073,912078,6974,16919,2475,5683,1833,11236,1970,3690137,9420,3274142,10925,415995,9770,234329,6867,181666,6747,24574,null,null,13681,null,null,7408,null,null,8177,null,null,2488,null,null,1103,null,null,2258,null,null,8507,null,null,9672,null,null,10246,null,null,7059,null,null,8775,null,null,14007,null,null,7073,null,null,6974,null,null,2475,null,null,1833,null,null,1970,null,null,9420,null,null,10925,null,null,9770,null,null,6867,null,null,6747,null,null,17
5536418,10307,2728970,5486,626863,2915,622294,3274,4569,1326,1362,613,3207,1094,2102107,4139,2033018,5017,69089,4025,29196,2561,39893,3290,2807448,6685,594202,4200,588899,4524,5303,1605,2224,1008,3079,1313,2213246,3927,2145948,4173,67298,3942,32180,2662,35118,2810,10307,null,null,5486,null,null,2915,null,null,3274,null,null,1326,null,null,613,null,null,1094,null,null,4139,null,null,5017,null,null,4025,null,null,2561,null,null,3290,null,null,6685,null,null,4200,null,null,4524,null,null,1605,null,null,1008,null,null,1313,null,null,3927,null,null,4173,null,null,3942,null,null,2662,null,null,2810,null,null,18
2834162,5131,1404537,3477,321127,2394,318717,2359,2410,894,787,546,1623,682,1083410,2207,1051704,2761,31706,2368,12522,1691,19184,1895,1429625,3248,302757,2202,300843,2247,1914,750,458,324,1456,666,1126868,1994,1097088,2489,29780,2438,13925,1928,15855,1911,5131,null,null,3477,null,null,2394,null,null,2359,null,null,894,null,null,546,null,null,682,null,null,2207,null,null,2761,null,null,2368,null,null,1691,null,null,1895,null,null,3248,null,null,2202,null,null,2247,null,null,750,null,null,324,null,null,666,null,null,1994,null,null,2489,null,null,2438,null,null,1928,null,null,1911,null,null,19
2458966,7467,1221221,5464,293699,3439,290684,3561,3015,882,534,342,2481,841,927522,3188,879918,3917,47604,3549,14788,2002,32816,2984,1237745,4262,276420,3061,273191,3143,3229,1295,868,745,2361,1067,961325,2713,912333,3363,48992,3289,17848,2105,31144,2530,7467,null,null,5464,null,null,3439,null,null,3561,null,null,882,null,null,342,null,null,841,null,null,3188,null,null,3917,null,null,3549,null,null,2002,null,null,2984,null,null,4262,null,null,3061,null,null,3143,null,null,1295,null,null,745,null,null,1067,null,null,2713,null,null,3363,null,null,3289,null,null,2105,null,null,2530,null,null,20
3866333,6634,1897330,4946,425125,3216,423103,3219,2022,740,799,490,1223,588,1472205,2910,1437215,2893,34990,3035,12865,2134,22125,2577,1969003,3492,409500,2696,406922,2694,2578,905,534,416,2044,826,1559503,2367,1529643,2739,29860,2545,13160,1859,16700,1892,6634,null,null,4946,null,null,3216,null,null,3219,null,null,740,null,null,490,null,null,588,null,null,2910,null,null,2893,null,null,3035,null,null,2134,null,null,2577,null,null,3492,null,null,2696,null,null,2694,null,null,905,null,null,416,null,null,826,null,null,2367,null,null,2739,null,null,2545,null,null,1859,null,null,1892,null,null,21
2901495,5946,1433535,4610,316205,3290,313217,3489,2988,1240,353,277,2635,1141,1117330,3194,1078801,3782,38529,3637,16379,2358,22150,3276,1467960,4100,298281,3081,296039,3186,2242,924,188,246,2054,884,1169679,2650,1130291,4081,39388,3847,19196,2823,20192,2980,5946,null,null,4610,null,null,3290,null,null,3489,null,null,1240,null,null,277,null,null,1141,null,null,3194,null,null,3782,null,null,3637,null,null,2358,null,null,3276,null,null,4100,null,null,3081,null,null,3186,null,null,924,null,null,246,null,null,884,null,null,2650,null,null,4081,null,null,3847,null,null,2823,null,null,2980,null,null,22
