B08505G_001E,B08505G_001M,B08505G_002E,B08505G_002M,B08505G_003E,B08505G_003M,B08505G_004E,B08505G_004M,B08505G_005E,B08505G_005M,B08505G_006E,B08505G_006M,B08505G_007E,B08505G_007M,B08505G_001M,B08505G_001EA,B08505G_001MA,B08505G_002M,B08505G_002EA,B08505G_002MA,B08505G_003M,B08505G_003EA,B08505G_003MA,B08505G_004M,B08505G_004EA,B08505G_004MA,B08505G_005M,B08505G_005EA,B08505G_005MA,B08505G_006M,B08505G_006EA,B08505G_006MA,B08505G_007M,B08505G_007EA,B08505G_007MA,state
176870,10013,134823,8002,21003,3622,4110,1155,4198,1313,4619,1334,8117,1689,10013,null,null,8002,null,null,3622,null,null,1155,null,null,1313,null,null,1334,null,null,1689,null,null,12
79711,5988,57953,4892,9784,1905,3086,1144,2373,773,2051,877,4464,1212,5988,null,null,4892,null,null,1905,null,null,1144,null,null,773,null,null,877,null,null,1212,null,null,13
147281,6869,104925,5574,21283,2440,7899,1447,3810,910,4076,1008,5288,1007,6869,null,null,5574,null,null,2440,null,null,1447,null,null,910,null,null,1008,null,null,1007,null,null,15
13051,1952,9203,1657,2226,891,0,193,649,346,288,269,685,385,1952,null,null,1657,null,null,891,null,null,193,null,null,346,null,null,269,null,null,385,null,null,16
107109,6636,71771,5041,10253,1934,12757,1798,5425,1236,2594,823,4309,1128,6636,null,null,5041,null,null,1934,null,null,1798,null,null,1236,null,null,823,null,null,1128,null,null,17
47013,4287,36887,3427,6137,1705,714,550,1495,622,722,520,1058,487,4287,null,null,3427,null,null,1705,null,null,550,null,null,622,null,null,520,null,null,487,null,null,18
19439,2185,16167,2074,1346,456,393,278,582,321,501,351,450,344,2185,null,null,2074,null,null,456,null,null,278,null,null,321,null,null,351,null,null,344,null,null,19
33163,3040,25879,2677,4860,1322,136,159,1072,476,565,312,651,316,3040,null,null,2677,null,null,1322,null,null,159,null,null,476,null,null,312,null,null,316,null,null,20
23971,2913,18639,2489,2885,973,190,211,796,375,684,405,777,465,2913,null,null,2489,null,null,973,null,null,211,null,null,375,null,null,405,null,null,465,null,null,21
28065,3748,21105,3147,4157,1351,202,155,650,339,636,382,1315,678,3748,null,null,3147,null,null,1351,null,null,155,null,null,339,null,null,382,null,null,678,null,null,22
8138,1392,5517,1255,994,481,141,167,491,280,290,253,705,345,1392,null,null,1255,null,null,481,null,null,167,null,null,280,null,null,253,null,null,345,null,null,23
65945,4783,50074,4252,6306,1325,3194,1074,1830,770,1095,613,3446,944,4783,null,null,4252,null,null,1325,null,null,1074,null,null,770,null,null,613,null,null,944,null,null,24
83360,6505,41431,3573,9915,1895,19518,3626,6317,1374,2208,907,3971,1317,6505,null,null,3573,null,null,1895,null,null,3626,null,null,1374,null,null,907,null,null,1317,null,null,25
96701,4194,72429,3997,12937,2051,3425,1462,3142,722,1888,688,2880,787,4194,null,null,3997,null,null,2051,null,null,1462,null,null,722,null,null,688,null,null,787,null,null,26
52992,4208,36103,3139,5759,1208,3147,675,2533,641,1206,541,4244,1089,4208,null,null,3139,null,null,1208,null,null,675,null,null,641,null,null,541,null,null,1089,null,null,27
7849,1611,6395,1418,889,523,0,193,295,206,212,263,58,69,1611,null,null,1418,null,null,523,null,null,193,null,null,206,null,null,263,null,null,69,null,null,28
44385,3801,36238,3212,3595,966,1027,528,760,452,1211,682,1554,499,3801,null,null,3212,null,null,966,null,null,528,null,null,452,null,null,682,null,null,499,null,null,29
11599,1538,8587,1298,1625,700,112,160,328,236,0,193,947,592,1538,null,null,1298,null,null,700,null,null,160,null,null,236,null,null,193,null,null,592,null,null,30
15739,2125,11651,1976,2235,607,190,211,824,418,359,269,480,278,2125,null,null,1976,null,null,607,null,null,211,null,null,418,null,null,269,null,null,278,null,null,31
50568,4415,36411,3755,7963,1753,2436,964,1286,509,594,318,1878,734,4415,null,null,3755,null,null,1753,null,null,964,null,null,509,null,null,318,null,null,734,null,null,32
10072,1852,7484,1506,1225,743,69,118,712,457,23,67,559,271,1852,null,null,1506,null,null,743,null,null,118,null,null,457,null,null,67,null,null,271,null,null,33
75974,6019,54105,5014,8048,1554,5692,1603,3468,1065,1788,660,2873,973,6019,null,null,5014,null,null,1554,null,null,1603,null,null,1065,null,null,660,null,null,973,null,null,34
