B19113H_001E,B19113H_001M,B19113H_001M,B19113H_001EA,B19113H_001MA,state
70970,605,605,null,null,12
76294,942,942,null,null,13
94371,5466,5466,null,null,15
65992,1149,1149,null,null,16
87384,769,769,null,null,17
69861,714,714,null,null,18
75690,976,976,null,null,19
75371,1127,1127,null,null,20
61476,801,801,null,null,21
72005,1015,1015,null,null,22
69281,1816,1816,null,null,23
109217,1535,1535,null,null,24
104993,1275,1275,null,null,25
72173,444,444,null,null,26
87997,1025,1025,null,null,27
65794,1688,1688,null,null,28
69126,994,994,null,null,29
68043,1915,1915,null,null,30
78199,1546,1546,null,null,31
76686,1234,1234,null,null,32
87796,2296,2296,null,null,33
110271,1038,1038,null,null,34
75211,2127,2127,null,null,35
92553,792,792,null,null,36
71195,732,732,null,null,37
82660,2086,2086,null,null,38
71333,470,470,null,null,39
67546,929,929,null,null,40
74724,1145,1145,null,null,41
77749,577,577,null,null,42
87355,2865,2865,null,null,44
71757,942,942,null,null,45
74960,1537,1537,null,null,46
65259,808,808,null,null,47
89023,918,918,null,null,48
78877,1580,1580,null,null,49
75635,2040,2040,null,null,50
92069,795,795,null,null,51
86481,886,886,null,null,53
56948,1080,1080,null,null,54
77195,592,592,null,null,55
75708,2747,2747,null,null,56
34342,14277,14277,null,null,72
68628,1128,1128,null,null,01
100198,3701,3701,null,null,02
75511,958,958,null,null,04
61326,841,841,null,null,05
100407,470,470,null,null,06
90133,1084,1084,null,null,08
109236,1734,1734,null,null,09
82805,2712,2712,null,null,10
192185,8906,8906,null,null,11
