C15010G_001E,C15010G_001M,C15010G_002E,C15010G_002M,C15010G_003E,C15010G_003M,C15010G_004E,C15010G_004M,C15010G_005E,C15010G_005M,C15010G_006E,C15010G_006M,C15010G_001M,C15010G_001EA,C15010G_001MA,C15010G_002M,C15010G_002EA,C15010G_002MA,C15010G_003M,C15010G_003EA,C15010G_003MA,C15010G_004M,C15010G_004EA,C15010G_004MA,C15010G_005M,C15010G_005EA,C15010G_005MA,C15010G_006M,C15010G_006EA,C15010G_006MA,state
64043,4576,22082,2711,4856,1303,15935,2413,5381,1172,15789,2308,4576,null,null,2711,null,null,1303,null,null,2413,null,null,1172,null,null,2308,null,null,12
32211,3594,13000,2081,2650,812,6799,1437,2732,898,7030,1486,3594,null,null,2081,null,null,812,null,null,1437,null,null,898,null,null,1486,null,null,13
39621,3295,14506,1781,3514,850,7228,1313,4710,944,9663,1689,3295,null,null,1781,null,null,850,null,null,1313,null,null,944,null,null,1689,null,null,15
5367,1399,2226,946,537,416,988,511,205,211,1411,790,1399,null,null,946,null,null,416,null,null,511,null,null,211,null,null,790,null,null,16
47347,3388,17218,2138,3083,862,9192,1591,4854,1312,13000,1946,3388,null,null,2138,null,null,862,null,null,1591,null,null,1312,null,null,1946,null,null,17
11364,1803,4603,1161,1067,508,1717,720,953,416,3024,835,1803,null,null,1161,null,null,508,null,null,720,null,null,416,null,null,835,null,null,18
5941,1201,2417,784,764,495,773,349,777,538,1210,454,1201,null,null,784,null,null,495,null,null,349,null,null,538,null,null,454,null,null,19
9834,1544,3132,852,1538,715,1626,702,1248,607,2290,638,1544,null,null,852,null,null,715,null,null,702,null,null,607,null,null,638,null,null,20
6811,1332,2965,847,682,382,944,477,239,193,1981,727,1332,null,null,847,null,null,382,null,null,477,null,null,193,null,null,727,null,null,21
8318,1587,3101,944,605,377,1595,779,787,423,2230,754,1587,null,null,944,null,null,377,null,null,779,null,null,423,null,null,754,null,null,22
2667,826,699,376,449,407,199,229,249,173,1071,527,826,null,null,376,null,null,407,null,null,229,null,null,173,null,null,527,null,null,23
33109,2671,16093,1853,1661,656,5050,1392,2523,704,7782,1315,2671,null,null,1853,null,null,656,null,null,1392,null,null,704,null,null,1315,null,null,24
29192,3228,13708,1981,1811,554,4327,1047,1620,659,7726,1721,3228,null,null,1981,null,null,554,null,null,1047,null,null,659,null,null,1721,null,null,25
30481,2794,10520,1830,2171,618,7112,1245,3070,887,7608,978,2794,null,null,1830,null,null,618,null,null,1245,null,null,887,null,null,978,null,null,26
17071,1915,7296,1035,1148,376,2037,633,1715,523,4875,1006,1915,null,null,1035,null,null,376,null,null,633,null,null,523,null,null,1006,null,null,27
2837,901,1021,502,381,288,564,355,511,347,360,271,901,null,null,502,null,null,288,null,null,355,null,null,347,null,null,271,null,null,28
13827,1952,4490,1198,1469,576,2701,800,1469,627,3698,928,1952,null,null,1198,null,null,576,null,null,800,null,null,627,null,null,928,null,null,29
3677,890,1007,455,389,245,627,379,773,450,881,441,890,null,null,455,null,null,245,null,null,379,null,null,450,null,null,441,null,null,30
4968,1158,1220,460,804,394,1384,782,680,396,880,388,1158,null,null,460,null,null,394,null,null,782,null,null,396,null,null,388,null,null,31
13790,1865,4813,1116,1433,618,3101,927,1199,558,3244,869,1865,null,null,1116,null,null,618,null,null,927,null,null,558,null,null,869,null,null,32
4183,1185,1638,867,638,555,353,241,482,352,1072,472,1185,null,null,867,null,null,555,null,null,241,null,null,352,null,null,472,null,null,33
35854,3072,14743,2163,2891,909,6845,1192,2889,783,8486,1281,3072,null,null,2163,null,null,909,null,null,1192,null,null,783,null,null,1281,null,null,34
10468,1647,4510,1107,748,411,1666,584,1197,461,2347,768,1647,null,null,1107,null,null,411,null,null,584,null,null,461,null,null,768,null,null,35
96121,5826,36204,3586,8189,1397,17012,2393,6000,1026,28716,3130,5826,null,null,3586,null,null,1397,null,null,2393,null,null,1026,null,null,3130,null,null,36
28995,3348,10869,1831,2774,878,5724,1538,2610,789,7018,1561,3348,null,null,1831,null,null,878,null,null,1538,null,null,789,null,null,1561,null,null,37
2125,727,652,384,31,49,437,422,194,251,811,520,727,null,null,384,null,null,49,null,null,422,null,null,251,null,null,520,null,null,38
26541,2675,10104,1753,3178,991,5427,1183,1897,587,5935,1179,2675,null,null,1753,null,null,991,null,null,1183,null,null,587,null,null,1179,null,null,39
31467,2466,8760,1297,3615,681,6229,1100,5414,822,7449,1122,2466,null,null,1297,null,null,681,null,null,1100,null,null,822,null,null,1122,null,null,40
24718,2466,10027,1692,1766,632,2600,626,1703,663,8622,1551,2466,null,null,1692,null,null,632,null,null,626,null,null,663,null,null,1551,null,null,41
36477,3817,14949,2294,4050,1161,6115,1453,2825,678,8538,1533,3817,null,null,2294,null,null,1161,null,null,1453,null,null,678,null,null,1533,null,null,42
3802,1132,1626,565,441,423,229,187,245,239,1261,709,1132,null,null,565,null,null,423,null,null,187,null,null,239,null,null,709,null,null,44
7963,1660,2652,925,811,468,1583,704,932,468,1985,899,1660,null,null,925,null,null,468,null,null,704,null,null,468,null,null,899,null,null,45
934,465,121,119,20,30,259,239,164,133,370,348,465,null,null,119,null,null,30,null,null,239,null,null,133,null,null,348,null,null,46
14948,2233,6608,1421,1429,661,2494,977,643,381,3774,1084,2233,null,null,1421,null,null,661,null,null,977,null,null,381,null,null,1084,null,null,47
96195,5909,38955,3678,7233,1731,20105,2500,8324,1812,21578,2362,5909,null,null,3678,null,null,1731,null,null,2500,null,null,1812,null,null,2362,null,null,48
10226,1599,3129,873,1222,499,1683,629,827,378,3365,1243,1599,null,null,873,null,null,499,null,null,629,null,null,378,null,null,1243,null,null,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
50967,4068,20815,2417,4048,1161,9764,1715,2944,790,13396,1988,4068,null,null,2417,null,null,1161,null,null,1715,null,null,790,null,null,1988,null,null,51
50629,3328,21029,2170,3119,774,7844,1424,4493,1042,14144,2150,3328,null,null,2170,null,null,774,null,null,1424,null,null,1042,null,null,2150,null,null,53
2869,880,965,447,479,370,298,376,651,372,476,285,880,null,null,447,null,null,370,null,null,376,null,null,372,null,null,285,null,null,54
12979,1668,4755,1082,1312,546,2050,499,984,449,3878,830,1668,null,null,1082,null,null,546,null,null,499,null,null,449,null,null,830,null,null,55
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
23263,2908,5704,1161,2914,904,7090,1775,4106,1151,3449,938,2908,null,null,1161,null,null,904,null,null,1775,null,null,1151,null,null,938,null,null,72
10274,1333,4333,1087,551,258,2453,777,1230,457,1707,582,1333,null,null,1087,null,null,258,null,null,777,null,null,457,null,null,582,null,null,01
