C15010F_001E,C15010F_001M,C15010F_002E,C15010F_002M,C15010F_003E,C15010F_003M,C15010F_004E,C15010F_004M,C15010F_005E,C15010F_005M,C15010F_006E,C15010F_006M,C15010F_001M,C15010F_001EA,C15010F_001MA,C15010F_002M,C15010F_002EA,C15010F_002MA,C15010F_003M,C15010F_003EA,C15010F_003MA,C15010F_004M,C15010F_004EA,C15010F_004MA,C15010F_005M,C15010F_005EA,C15010F_005MA,C15010F_006M,C15010F_006EA,C15010F_006MA,state
66459,6153,19753,2965,6200,1435,21019,3800,6236,1394,13251,2334,6153,null,null,2965,null,null,1435,null,null,3800,null,null,1394,null,null,2334,null,null,12
17195,2874,5697,1499,2040,1017,4528,1245,1587,658,3343,1083,2874,null,null,1499,null,null,1017,null,null,1245,null,null,658,null,null,1083,null,null,13
1118,387,453,318,0,185,435,240,84,117,146,116,387,null,null,318,null,null,185,null,null,240,null,null,117,null,null,116,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
45083,3958,15695,2483,3874,1050,9841,1570,4589,1173,11084,1856,3958,null,null,2483,null,null,1050,null,null,1570,null,null,1173,null,null,1856,null,null,17
8526,2222,4044,1614,818,406,1033,601,825,583,1806,657,2222,null,null,1614,null,null,406,null,null,601,null,null,583,null,null,657,null,null,18
2630,896,812,393,270,419,327,273,430,384,791,505,896,null,null,393,null,null,419,null,null,273,null,null,384,null,null,505,null,null,19
4439,1234,1216,516,127,151,1217,647,643,490,1236,635,1234,null,null,516,null,null,151,null,null,647,null,null,490,null,null,635,null,null,20
2903,1259,786,397,445,379,300,256,873,715,499,359,1259,null,null,397,null,null,379,null,null,256,null,null,715,null,null,359,null,null,21
3433,1026,1125,668,318,354,1001,438,173,159,816,485,1026,null,null,668,null,null,354,null,null,438,null,null,159,null,null,485,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
17185,2310,6558,1407,1567,597,4208,1253,874,478,3978,1174,2310,null,null,1407,null,null,597,null,null,1253,null,null,478,null,null,1174,null,null,24
21006,3020,8430,1798,1634,887,4436,1202,2256,1240,4250,1057,3020,null,null,1798,null,null,887,null,null,1202,null,null,1240,null,null,1057,null,null,25
9635,1530,2990,965,1105,510,2116,900,1125,657,2299,658,1530,null,null,965,null,null,510,null,null,900,null,null,657,null,null,658,null,null,26
