B11002G_001E,B11002G_001M,B11002G_002E,B11002G_002M,B11002G_003E,B11002G_003M,B11002G_004E,B11002G_004M,B11002G_005E,B11002G_005M,B11002G_006E,B11002G_006M,B11002G_007E,B11002G_007M,B11002G_008E,B11002G_008M,B11002G_009E,B11002G_009M,B11002G_010E,B11002G_010M,B11002G_011E,B11002G_011M,B11002G_012E,B11002G_012M,B11002G_001M,B11002G_001EA,B11002G_001MA,B11002G_002M,B11002G_002EA,B11002G_002MA,B11002G_003M,B11002G_003EA,B11002G_003MA,B11002G_004M,B11002G_004EA,B11002G_004MA,B11002G_005M,B11002G_005EA,B11002G_005MA,B11002G_006M,B11002G_006EA,B11002G_006MA,B11002G_007M,B11002G_007EA,B11002G_007MA,B11002G_008M,B11002G_008EA,B11002G_008MA,B11002G_009M,B11002G_009EA,B11002G_009MA,B11002G_010M,B11002G_010EA,B11002G_010MA,B11002G_011M,B11002G_011EA,B11002G_011MA,B11002G_012M,B11002G_012EA,B11002G_012MA,state
354756,18771,294019,17754,188372,14800,187530,14732,842,477,21888,5363,18961,4566,2927,1280,83759,10584,77833,9798,5926,1688,60737,5829,18771,null,null,17754,null,null,14800,null,null,14732,null,null,477,null,null,5363,null,null,4566,null,null,1280,null,null,10584,null,null,9798,null,null,1688,null,null,5829,null,null,12
164125,14530,138267,13054,89930,8972,89086,8896,844,572,12758,3582,10649,2780,2109,1039,35579,6661,32512,6050,3067,1295,25858,4866,14530,null,null,13054,null,null,8972,null,null,8896,null,null,572,null,null,3582,null,null,2780,null,null,1039,null,null,6661,null,null,6050,null,null,1295,null,null,4866,null,null,13
261043,14917,233243,14330,157429,12615,153317,12020,4112,1393,28500,5942,25418,5380,3082,1000,47314,5511,43371,5116,3943,1005,27800,3530,14917,null,null,14330,null,null,12615,null,null,12020,null,null,1393,null,null,5942,null,null,5380,null,null,1000,null,null,5511,null,null,5116,null,null,1005,null,null,3530,null,null,15
27893,4303,20967,4144,17805,4196,17359,4206,446,351,1157,753,890,595,267,308,2005,1112,1578,877,427,595,6926,1600,4303,null,null,4144,null,null,4196,null,null,4206,null,null,351,null,null,753,null,null,595,null,null,308,null,null,1112,null,null,877,null,null,595,null,null,1600,null,null,16
189030,12204,151658,11602,94762,9884,93899,9623,863,532,12037,3454,10912,3197,1125,487,44859,5867,42476,5378,2383,862,37372,4181,12204,null,null,11602,null,null,9884,null,null,9623,null,null,532,null,null,3454,null,null,3197,null,null,487,null,null,5867,null,null,5378,null,null,862,null,null,4181,null,null,17
80418,9396,62455,8497,36488,6376,36308,6351,180,180,4986,1967,3228,1247,1758,1060,20981,3970,19333,3645,1648,752,17963,3019,9396,null,null,8497,null,null,6376,null,null,6351,null,null,180,null,null,1967,null,null,1247,null,null,1060,null,null,3970,null,null,3645,null,null,752,null,null,3019,null,null,18
28775,5434,22360,5288,12524,3218,12482,3213,42,71,1189,678,983,580,206,158,8647,4363,7870,3837,777,948,6415,1623,5434,null,null,5288,null,null,3218,null,null,3213,null,null,71,null,null,678,null,null,580,null,null,158,null,null,4363,null,null,3837,null,null,948,null,null,1623,null,null,19
64123,5629,54612,5566,38235,5667,38110,5610,125,210,4699,2320,3938,1920,761,723,11678,2914,10950,2727,728,503,9511,2053,5629,null,null,5566,null,null,5667,null,null,5610,null,null,210,null,null,2320,null,null,1920,null,null,723,null,null,2914,null,null,2727,null,null,503,null,null,2053,null,null,20
47390,5822,38081,5374,22405,3823,21940,3719,465,412,3575,1554,3240,1330,335,371,12101,3568,10922,3048,1179,906,9309,2255,5822,null,null,5374,null,null,3823,null,null,3719,null,null,412,null,null,1554,null,null,1330,null,null,371,null,null,3568,null,null,3048,null,null,906,null,null,2255,null,null,21
59665,8246,49411,7782,29873,5860,29717,5826,156,242,5146,2369,3790,1583,1356,1188,14392,3897,13569,3730,823,531,10254,2248,8246,null,null,7782,null,null,5860,null,null,5826,null,null,242,null,null,2369,null,null,1583,null,null,1188,null,null,3897,null,null,3730,null,null,531,null,null,2248,null,null,22
