B21003_001E,B21003_001M,B21003_002E,B21003_002M,B21003_003E,B21003_003M,B21003_004E,B21003_004M,B21003_005E,B21003_005M,B21003_006E,B21003_006M,B21003_007E,B21003_007M,B21003_008E,B21003_008M,B21003_009E,B21003_009M,B21003_010E,B21003_010M,B21003_011E,B21003_011M,B21003_001M,B21003_001EA,B21003_001MA,B21003_002M,B21003_002EA,B21003_002MA,B21003_003M,B21003_003EA,B21003_003MA,B21003_004M,B21003_004EA,B21003_004MA,B21003_005M,B21003_005EA,B21003_005MA,B21003_006M,B21003_006EA,B21003_006MA,B21003_007M,B21003_007EA,B21003_007MA,B21003_008M,B21003_008EA,B21003_008MA,B21003_009M,B21003_009EA,B21003_009MA,B21003_010M,B21003_010EA,B21003_010MA,B21003_011M,B21003_011EA,B21003_011MA,state
14662681,9614,1414778,17416,81583,4846,379226,10787,518187,11184,435782,9562,13247903,18823,1773624,24483,3866824,33877,3854824,28666,3752631,32340,9614,null,null,17416,null,null,4846,null,null,10787,null,null,11184,null,null,9562,null,null,18823,null,null,24483,null,null,33877,null,null,28666,null,null,32340,null,null,12
6757225,7339,632414,12167,40006,3386,165182,6372,243899,8239,183327,6653,6124811,13391,882551,18243,1715272,23713,1653564,20641,1873424,21282,7339,null,null,12167,null,null,3386,null,null,6372,null,null,8239,null,null,6653,null,null,13391,null,null,18243,null,null,23713,null,null,20641,null,null,21282,null,null,13
966934,2516,101655,4254,4324,1398,25323,2673,40603,2942,31405,2550,865279,4412,75297,5723,248245,7294,264312,7567,277425,6535,2516,null,null,4254,null,null,1398,null,null,2673,null,null,2942,null,null,2550,null,null,4412,null,null,5723,null,null,7294,null,null,7567,null,null,6535,null,null,15
1084894,2929,109503,4209,6176,1283,29042,2811,42667,3038,31618,2186,975391,4979,97953,5835,273620,8218,335452,9459,268366,8088,2929,null,null,4209,null,null,1283,null,null,2811,null,null,3038,null,null,2186,null,null,4979,null,null,5835,null,null,8218,null,null,9459,null,null,8088,null,null,16
8655708,5182,577377,8763,40101,2628,173844,6031,214784,6736,148648,5557,8078331,10116,926326,14755,2075809,22008,2286100,19119,2790096,18859,5182,null,null,8763,null,null,2628,null,null,6031,null,null,6736,null,null,5557,null,null,10116,null,null,14755,null,null,22008,null,null,19119,null,null,18859,null,null,17
4389610,5405,376637,7512,29014,2170,141136,5604,130768,5630,75719,4623,4012973,9074,482292,11739,1340466,13691,1141891,14944,1048324,14354,5405,null,null,7512,null,null,2170,null,null,5604,null,null,5630,null,null,4623,null,null,9074,null,null,11739,null,null,13691,null,null,14944,null,null,14354,null,null,18
2085671,3659,181947,4796,11778,1208,67164,2735,62471,3557,40534,2519,1903724,6180,160320,5317,582208,9230,609153,9379,552043,10463,3659,null,null,4796,null,null,1208,null,null,2735,null,null,3557,null,null,2519,null,null,6180,null,null,5317,null,null,9230,null,null,9379,null,null,10463,null,null,19
1881830,4082,172222,5317,7336,1134,50708,3342,67363,3586,46815,2435,1709608,6197,171507,6112,444316,10184,523389,9547,570396,9933,4082,null,null,5317,null,null,1134,null,null,3342,null,null,3586,null,null,2435,null,null,6197,null,null,6112,null,null,10184,null,null,9547,null,null,9933,null,null,20
2987374,4377,269919,6879,24257,1784,85508,4248,100538,5072,59616,2960,2717455,7663,404178,10437,882010,10039,791266,10167,640001,12029,4377,null,null,6879,null,null,1784,null,null,4248,null,null,5072,null,null,2960,null,null,7663,null,null,10437,null,null,10039,null,null,10167,null,null,12029,null,null,21
3103983,6130,237938,6678,19237,2263,78776,4784,84126,4359,55799,3334,2866045,9257,467201,11332,979140,15981,752547,16475,667157,13813,6130,null,null,6678,null,null,2263,null,null,4784,null,null,4359,null,null,3334,null,null,9257,null,null,11332,null,null,15981,null,null,16475,null,null,13813,null,null,22
965225,1567,102612,3819,6799,1152,36389,2775,34424,2523,25000,2206,862613,4098,67339,4155,281630,8336,247961,6348,265683,7369,1567,null,null,3819,null,null,1152,null,null,2775,null,null,2523,null,null,2206,null,null,4098,null,null,4155,null,null,8336,null,null,6348,null,null,7369,null,null,23
4104198,4790,363960,8666,18476,1933,90540,4306,117293,5484,137651,5489,3740238,10020,388753,9991,954979,16912,923999,14508,1472507,15186,4790,null,null,8666,null,null,1933,null,null,4306,null,null,5484,null,null,5489,null,null,10020,null,null,9991,null,null,16912,null,null,14508,null,null,15186,null,null,24
4722876,3194,306610,6600,20790,2166,96065,5334,91204,4752,98551,3951,4416266,7564,431895,12279,1059505,15640,1005098,14320,1919768,14288,3194,null,null,6600,null,null,2166,null,null,5334,null,null,4752,null,null,3951,null,null,7564,null,null,12279,null,null,15640,null,null,14320,null,null,14288,null,null,25
6757356,4051,552813,8140,39819,2424,182884,5555,212547,5709,117563,4261,6204543,8601,608090,10171,1794543,18198,2010949,20241,1790961,17871,4051,null,null,8140,null,null,2424,null,null,5555,null,null,5709,null,null,4261,null,null,8601,null,null,10171,null,null,18198,null,null,20241,null,null,17871,null,null,26
3723409,4196,308366,6120,17284,1738,95115,3229,114603,4559,81364,3723,3415043,7020,246604,6598,842674,12594,1111001,12201,1214764,12319,4196,null,null,6120,null,null,1738,null,null,3229,null,null,4559,null,null,3723,null,null,7020,null,null,6598,null,null,12594,null,null,12201,null,null,12319,null,null,27
1950530,5178,174478,7204,14890,2072,51873,4065,66995,4902,40720,2985,1776052,7672,295809,7864,550815,11067,546183,9894,383245,10696,5178,null,null,7204,null,null,2072,null,null,4065,null,null,4902,null,null,2985,null,null,7672,null,null,7864,null,null,11067,null,null,9894,null,null,10696,null,null,28
