B07003PR_001E,B07003PR_001M,B07003PR_002E,B07003PR_002M,B07003PR_003E,B07003PR_003M,B07003PR_004E,B07003PR_004M,B07003PR_005E,B07003PR_005M,B07003PR_006E,B07003PR_006M,B07003PR_007E,B07003PR_007M,B07003PR_008E,B07003PR_008M,B07003PR_009E,B07003PR_009M,B07003PR_010E,B07003PR_010M,B07003PR_011E,B07003PR_011M,B07003PR_012E,B07003PR_012M,B07003PR_013E,B07003PR_013M,B07003PR_014E,B07003PR_014M,B07003PR_015E,B07003PR_015M,B07003PR_016E,B07003PR_016M,B07003PR_017E,B07003PR_017M,B07003PR_018E,B07003PR_018M,B07003PR_001M,B07003PR_001EA,B07003PR_001MA,B07003PR_002M,B07003PR_002EA,B07003PR_002MA,B07003PR_003M,B07003PR_003EA,B07003PR_003MA,B07003PR_004M,B07003PR_004EA,B07003PR_004MA,B07003PR_005M,B07003PR_005EA,B07003PR_005MA,B07003PR_006M,B07003PR_006EA,B07003PR_006MA,B07003PR_007M,B07003PR_007EA,B07003PR_007MA,B07003PR_008M,B07003PR_008EA,B07003PR_008MA,B07003PR_009M,B07003PR_009EA,B07003PR_009MA,B07003PR_010M,B07003PR_010EA,B07003PR_010MA,B07003PR_011M,B07003PR_011EA,B07003PR_011MA,B07003PR_012M,B07003PR_012EA,B07003PR_012MA,B07003PR_013M,B07003PR_013EA,B07003PR_013MA,B07003PR_014M,B07003PR_014EA,B07003PR_014MA,B07003PR_015M,B07003PR_015EA,B07003PR_015MA,B07003PR_016M,B07003PR_016EA,B07003PR_016MA,B07003PR_017M,B07003PR_017EA,B07003PR_017MA,B07003PR_018M,B07003PR_018EA,B07003PR_018MA,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
