B19001I_001E,B19001I_001M,B19001I_002E,B19001I_002M,B19001I_003E,B19001I_003M,B19001I_004E,B19001I_004M,B19001I_005E,B19001I_005M,B19001I_006E,B19001I_006M,B19001I_007E,B19001I_007M,B19001I_008E,B19001I_008M,B19001I_009E,B19001I_009M,B19001I_010E,B19001I_010M,B19001I_011E,B19001I_011M,B19001I_012E,B19001I_012M,B19001I_013E,B19001I_013M,B19001I_014E,B19001I_014M,B19001I_015E,B19001I_015M,B19001I_016E,B19001I_016M,B19001I_017E,B19001I_017M,B19001I_001M,B19001I_001EA,B19001I_001MA,B19001I_002M,B19001I_002EA,B19001I_002MA,B19001I_003M,B19001I_003EA,B19001I_003MA,B19001I_004M,B19001I_004EA,B19001I_004MA,B19001I_005M,B19001I_005EA,B19001I_005MA,B19001I_006M,B19001I_006EA,B19001I_006MA,B19001I_007M,B19001I_007EA,B19001I_007MA,B19001I_008M,B19001I_008EA,B19001I_008MA,B19001I_009M,B19001I_009EA,B19001I_009MA,B19001I_010M,B19001I_010EA,B19001I_010MA,B19001I_011M,B19001I_011EA,B19001I_011MA,B19001I_012M,B19001I_012EA,B19001I_012MA,B19001I_013M,B19001I_013EA,B19001I_013MA,B19001I_014M,B19001I_014EA,B19001I_014MA,B19001I_015M,B19001I_015EA,B19001I_015MA,B19001I_016M,B19001I_016EA,B19001I_016MA,B19001I_017M,B19001I_017EA,B19001I_017MA,state
1522519,13553,128330,6243,91727,4914,93731,5280,103600,6013,89747,4725,95209,5735,84372,5432,84659,5045,69505,5282,127917,6087,150152,6622,163149,6737,90782,5255,49323,4065,48684,3503,51632,3771,13553,null,null,6243,null,null,4914,null,null,5280,null,null,6013,null,null,4725,null,null,5735,null,null,5432,null,null,5045,null,null,5282,null,null,6087,null,null,6622,null,null,6737,null,null,5255,null,null,4065,null,null,3503,null,null,3771,null,null,12
241323,5744,14827,2544,10433,1906,13310,2451,22018,2931,12979,1991,14831,2289,13394,2348,14957,2227,12607,2177,21985,2848,27762,3030,28069,3129,13940,2255,5922,1570,7516,1592,6773,1426,5744,null,null,2544,null,null,1906,null,null,2451,null,null,2931,null,null,1991,null,null,2289,null,null,2348,null,null,2227,null,null,2177,null,null,2848,null,null,3030,null,null,3129,null,null,2255,null,null,1570,null,null,1592,null,null,1426,null,null,13
33307,2097,1627,530,1670,572,796,376,896,348,1317,614,2158,750,1665,652,1574,552,833,323,3103,1037,4057,1051,5338,1149,3137,905,1654,564,1753,589,1729,605,2097,null,null,530,null,null,572,null,null,376,null,null,348,null,null,614,null,null,750,null,null,652,null,null,552,null,null,323,null,null,1037,null,null,1051,null,null,1149,null,null,905,null,null,564,null,null,589,null,null,605,null,null,15
51794,2373,5189,1655,2531,837,2971,903,3840,1259,3222,975,2702,979,4787,1281,3238,955,2614,887,6361,1519,5227,1145,5095,1375,2172,762,701,580,677,430,467,330,2373,null,null,1655,null,null,837,null,null,903,null,null,1259,null,null,975,null,null,979,null,null,1281,null,null,955,null,null,887,null,null,1519,null,null,1145,null,null,1375,null,null,762,null,null,580,null,null,430,null,null,330,null,null,16
565339,6620,31718,2971,25631,2504,26972,2746,31354,2738,28074,2622,31865,3229,35659,3139,33541,2854,24778,2573,52789,4254,61139,3888,77048,4426,45695,3509,24211,2413,19918,2268,14947,1766,6620,null,null,2971,null,null,2504,null,null,2746,null,null,2738,null,null,2622,null,null,3229,null,null,3139,null,null,2854,null,null,2573,null,null,4254,null,null,3888,null,null,4426,null,null,3509,null,null,2413,null,null,2268,null,null,1766,null,null,17
115795,3842,9906,1798,5609,1393,6308,1246,9046,1533,7751,1670,8194,1838,8137,1551,7012,1397,5016,1145,9788,1399,11271,1852,12378,1845,6555,1379,3427,980,3359,1137,2038,863,3842,null,null,1798,null,null,1393,null,null,1246,null,null,1533,null,null,1670,null,null,1838,null,null,1551,null,null,1397,null,null,1145,null,null,1399,null,null,1852,null,null,1845,null,null,1379,null,null,980,null,null,1137,null,null,863,null,null,18
47480,2041,4367,961,1414,581,2730,875,3022,827,3577,885,3207,1218,2405,669,3264,907,3503,1075,3914,987,5464,1053,5805,1348,2521,838,859,444,704,352,724,392,2041,null,null,961,null,null,581,null,null,875,null,null,827,null,null,885,null,null,1218,null,null,669,null,null,907,null,null,1075,null,null,987,null,null,1053,null,null,1348,null,null,838,null,null,444,null,null,352,null,null,392,null,null,19
88289,3062,6380,1148,2559,846,4176,1124,5611,1120,6342,1351,7213,1733,6595,1474,6024,1261,4674,1088,9778,1669,9035,1677,8410,1271,4373,890,2969,898,2478,825,1672,595,3062,null,null,1148,null,null,846,null,null,1124,null,null,1120,null,null,1351,null,null,1733,null,null,1474,null,null,1261,null,null,1088,null,null,1669,null,null,1677,null,null,1271,null,null,890,null,null,898,null,null,825,null,null,595,null,null,20
38916,2456,3610,1072,3115,1068,3431,836,2390,820,2910,951,1718,758,2606,828,2139,814,1499,620,3613,850,3339,893,3509,959,1674,588,764,531,901,533,1698,728,2456,null,null,1072,null,null,1068,null,null,836,null,null,820,null,null,951,null,null,758,null,null,828,null,null,814,null,null,620,null,null,850,null,null,893,null,null,959,null,null,588,null,null,531,null,null,533,null,null,728,null,null,21
68318,3984,6797,1545,3620,1057,5488,1390,5188,1303,4171,1263,4136,1295,5098,1478,3545,1047,2633,952,5262,1194,6270,1556,5926,1299,3295,863,2881,1026,2491,830,1517,636,3984,null,null,1545,null,null,1057,null,null,1390,null,null,1303,null,null,1263,null,null,1295,null,null,1478,null,null,1047,null,null,952,null,null,1194,null,null,1556,null,null,1299,null,null,863,null,null,1026,null,null,830,null,null,636,null,null,22
6690,976,792,422,554,418,135,130,589,485,344,280,313,247,406,253,339,275,459,332,290,298,1164,627,508,309,409,380,150,182,42,53,196,219,976,null,null,422,null,null,418,null,null,130,null,null,485,null,null,280,null,null,247,null,null,253,null,null,275,null,null,332,null,null,298,null,null,627,null,null,309,null,null,380,null,null,182,null,null,53,null,null,219,null,null,23
141403,4211,5255,1337,3840,1145,3631,1026,4568,1211,6309,1726,5201,1209,6546,1271,6004,1382,5954,1444,12533,1950,18410,2302,20424,2360,13345,1740,10619,1659,10028,1822,8736,1535,4211,null,null,1337,null,null,1145,null,null,1026,null,null,1211,null,null,1726,null,null,1209,null,null,1271,null,null,1382,null,null,1444,null,null,1950,null,null,2302,null,null,2360,null,null,1740,null,null,1659,null,null,1822,null,null,1535,null,null,24
