B17010I_001E,B17010I_001M,B17010I_002E,B17010I_002M,B17010I_003E,B17010I_003M,B17010I_004E,B17010I_004M,B17010I_005E,B17010I_005M,B17010I_006E,B17010I_006M,B17010I_007E,B17010I_007M,B17010I_008E,B17010I_008M,B17010I_009E,B17010I_009M,B17010I_010E,B17010I_010M,B17010I_011E,B17010I_011M,B17010I_012E,B17010I_012M,B17010I_013E,B17010I_013M,B17010I_014E,B17010I_014M,B17010I_015E,B17010I_015M,B17010I_016E,B17010I_016M,B17010I_017E,B17010I_017M,B17010I_018E,B17010I_018M,B17010I_019E,B17010I_019M,B17010I_020E,B17010I_020M,B17010I_021E,B17010I_021M,B17010I_022E,B17010I_022M,B17010I_023E,B17010I_023M,B17010I_024E,B17010I_024M,B17010I_025E,B17010I_025M,B17010I_026E,B17010I_026M,B17010I_027E,B17010I_027M,B17010I_028E,B17010I_028M,B17010I_029E,B17010I_029M,B17010I_030E,B17010I_030M,B17010I_031E,B17010I_031M,B17010I_032E,B17010I_032M,B17010I_033E,B17010I_033M,B17010I_034E,B17010I_034M,B17010I_035E,B17010I_035M,B17010I_036E,B17010I_036M,B17010I_037E,B17010I_037M,B17010I_038E,B17010I_038M,B17010I_039E,B17010I_039M,B17010I_040E,B17010I_040M,B17010I_041E,B17010I_041M,B17010I_001M,B17010I_001EA,B17010I_001MA,B17010I_002M,B17010I_002EA,B17010I_002MA,B17010I_003M,B17010I_003EA,B17010I_003MA,B17010I_004M,B17010I_004EA,B17010I_004MA,B17010I_005M,B17010I_005EA,B17010I_005MA,B17010I_006M,B17010I_006EA,B17010I_006MA,B17010I_007M,B17010I_007EA,B17010I_007MA,B17010I_008M,B17010I_008EA,B17010I_008MA,B17010I_009M,B17010I_009EA,B17010I_009MA,B17010I_010M,B17010I_010EA,B17010I_010MA,B17010I_011M,B17010I_011EA,B17010I_011MA,B17010I_012M,B17010I_012EA,B17010I_012MA,B17010I_013M,B17010I_013EA,B17010I_013MA,B17010I_014M,B17010I_014EA,B17010I_014MA,B17010I_015M,B17010I_015EA,B17010I_015MA,B17010I_016M,B17010I_016EA,B17010I_016MA,B17010I_017M,B17010I_017EA,B17010I_017MA,B17010I_018M,B17010I_018EA,B17010I_018MA,B17010I_019M,B17010I_019EA,B17010I_019MA,B17010I_020M,B17010I_020EA,B17010I_020MA,B17010I_021M,B17010I_021EA,B17010I_021MA,B17010I_022M,B17010I_022EA,B17010I_022MA,B17010I_023M,B17010I_023EA,B17010I_023MA,B17010I_024M,B17010I_024EA,B17010I_024MA,B17010I_025M,B17010I_025EA,B17010I_025MA,B17010I_026M,B17010I_026EA,B17010I_026MA,B17010I_027M,B17010I_027EA,B17010I_027MA,B17010I_028M,B17010I_028EA,B17010I_028MA,B17010I_029M,B17010I_029EA,B17010I_029MA,B17010I_030M,B17010I_030EA,B17010I_030MA,B17010I_031M,B17010I_031EA,B17010I_031MA,B17010I_032M,B17010I_032EA,B17010I_032MA,B17010I_033M,B17010I_033EA,B17010I_033MA,B17010I_034M,B17010I_034EA,B17010I_034MA,B17010I_035M,B17010I_035EA,B17010I_035MA,B17010I_036M,B17010I_036EA,B17010I_036MA,B17010I_037M,B17010I_037EA,B17010I_037MA,B17010I_038M,B17010I_038EA,B17010I_038MA,B17010I_039M,B17010I_039EA,B17010I_039MA,B17010I_040M,B17010I_040EA,B17010I_040MA,B17010I_041M,B17010I_041EA,B17010I_041MA,state
1111987,12676,177528,7581,79526,4919,49770,4125,5824,1511,14554,2141,29392,2997,29756,3022,98002,5988,16897,2729,11892,2137,2397,801,3526,1117,5969,1551,5005,1382,81105,5286,67892,4718,10986,2033,17258,2234,39648,3317,13213,2086,934459,12106,645257,11758,317760,9912,51962,3661,59162,5007,206636,8631,327497,7720,289202,9080,94240,5298,41848,3841,9308,1869,8083,1609,24457,2949,52392,3849,194962,7150,112059,5470,15449,2478,15340,2422,81270,4021,82903,4793,12676,null,null,7581,null,null,4919,null,null,4125,null,null,1511,null,null,2141,null,null,2997,null,null,3022,null,null,5988,null,null,2729,null,null,2137,null,null,801,null,null,1117,null,null,1551,null,null,1382,null,null,5286,null,null,4718,null,null,2033,null,null,2234,null,null,3317,null,null,2086,null,null,12106,null,null,11758,null,null,9912,null,null,3661,null,null,5007,null,null,8631,null,null,7720,null,null,9080,null,null,5298,null,null,3841,null,null,1869,null,null,1609,null,null,2949,null,null,3849,null,null,7150,null,null,5470,null,null,2478,null,null,2422,null,null,4021,null,null,4793,null,null,12
191205,5476,41556,3933,20237,2911,18188,2799,2171,1109,8549,1837,7468,1517,2049,802,21319,3025,5620,1746,5112,1643,562,425,2047,893,2503,1231,508,451,15699,2294,14683,2277,1855,742,7125,1661,5703,1718,1016,546,149649,5305,110953,4773,71743,4026,10405,2116,17963,2468,43375,3558,39210,3525,38696,2973,16876,2148,10010,1953,1932,755,1454,821,6624,1555,6866,1466,21820,2306,14691,2187,2079,732,2110,766,10502,2102,7129,1275,5476,null,null,3933,null,null,2911,null,null,2799,null,null,1109,null,null,1837,null,null,1517,null,null,802,null,null,3025,null,null,1746,null,null,1643,null,null,425,null,null,893,null,null,1231,null,null,451,null,null,2294,null,null,2277,null,null,742,null,null,1661,null,null,1718,null,null,546,null,null,5305,null,null,4773,null,null,4026,null,null,2116,null,null,2468,null,null,3558,null,null,3525,null,null,2973,null,null,2148,null,null,1953,null,null,755,null,null,821,null,null,1555,null,null,1466,null,null,2306,null,null,2187,null,null,732,null,null,766,null,null,2102,null,null,1275,null,null,13
25318,1735,2297,772,588,375,306,249,141,161,57,96,108,125,282,282,1709,618,359,274,240,203,48,80,0,185,192,190,119,193,1350,533,1231,452,229,231,629,346,373,244,119,188,23021,1602,15725,1485,9371,1330,2568,687,2490,763,4313,939,6354,967,7296,1218,2684,909,1104,522,384,243,60,76,660,407,1580,773,4612,965,3091,834,260,213,935,651,1896,590,1521,431,1735,null,null,772,null,null,375,null,null,249,null,null,161,null,null,96,null,null,125,null,null,282,null,null,618,null,null,274,null,null,203,null,null,80,null,null,185,null,null,190,null,null,193,null,null,533,null,null,452,null,null,231,null,null,346,null,null,244,null,null,188,null,null,1602,null,null,1485,null,null,1330,null,null,687,null,null,763,null,null,939,null,null,967,null,null,1218,null,null,909,null,null,522,null,null,243,null,null,76,null,null,407,null,null,773,null,null,965,null,null,834,null,null,213,null,null,651,null,null,590,null,null,431,null,null,15
38723,1973,7418,1628,2448,834,1727,781,179,204,689,456,859,668,721,440,4970,1278,1142,743,1142,743,51,85,519,522,572,550,0,198,3828,1062,3538,993,752,472,1119,592,1667,814,290,290,31305,2289,22053,2120,13815,1718,2130,876,4564,1248,7121,1186,8238,1179,9252,1837,4232,1189,2932,1106,908,701,848,522,1176,705,1300,679,5020,1406,3707,1324,248,280,465,434,2994,1223,1313,481,1973,null,null,1628,null,null,834,null,null,781,null,null,204,null,null,456,null,null,668,null,null,440,null,null,1278,null,null,743,null,null,743,null,null,85,null,null,522,null,null,550,null,null,198,null,null,1062,null,null,993,null,null,472,null,null,592,null,null,814,null,null,290,null,null,2289,null,null,2120,null,null,1718,null,null,876,null,null,1248,null,null,1186,null,null,1179,null,null,1837,null,null,1189,null,null,1106,null,null,701,null,null,522,null,null,705,null,null,679,null,null,1406,null,null,1324,null,null,280,null,null,434,null,null,1223,null,null,481,null,null,16
443100,5761,68412,3569,27522,2224,22239,2109,2058,645,7493,1347,12688,1811,5283,1269,40890,3284,7599,1516,6838,1436,468,384,2543,831,3827,1154,761,400,33291,3164,29526,2804,2774,841,10318,1794,16434,2472,3765,1031,374688,6067,264301,6097,165816,6028,21780,1976,39032,2761,105004,5067,98485,3965,110387,4790,45170,3080,24958,2742,5225,1258,4287,1346,15446,2217,20212,2160,65217,3879,41216,3028,3987,1052,6822,1139,30407,2581,24001,1972,5761,null,null,3569,null,null,2224,null,null,2109,null,null,645,null,null,1347,null,null,1811,null,null,1269,null,null,3284,null,null,1516,null,null,1436,null,null,384,null,null,831,null,null,1154,null,null,400,null,null,3164,null,null,2804,null,null,841,null,null,1794,null,null,2472,null,null,1031,null,null,6067,null,null,6097,null,null,6028,null,null,1976,null,null,2761,null,null,5067,null,null,3965,null,null,4790,null,null,3080,null,null,2742,null,null,1258,null,null,1346,null,null,2217,null,null,2160,null,null,3879,null,null,3028,null,null,1052,null,null,1139,null,null,2581,null,null,1972,null,null,17
86514,3386,17888,2213,8710,1322,7603,1317,766,425,3454,938,3383,985,1107,488,9178,1586,2483,996,1712,823,125,201,257,211,1330,773,771,587,6695,1290,6081,1295,1201,527,1979,712,2901,906,614,379,68626,3412,47827,3238,29046,2704,4408,1062,8443,1446,16195,2025,18781,2186,20799,2089,8786,1475,6342,1323,1112,460,1570,682,3660,1186,2444,848,12013,1774,9043,1589,1034,620,1564,828,6445,1352,2970,755,3386,null,null,2213,null,null,1322,null,null,1317,null,null,425,null,null,938,null,null,985,null,null,488,null,null,1586,null,null,996,null,null,823,null,null,201,null,null,211,null,null,773,null,null,587,null,null,1290,null,null,1295,null,null,527,null,null,712,null,null,906,null,null,379,null,null,3412,null,null,3238,null,null,2704,null,null,1062,null,null,1446,null,null,2025,null,null,2186,null,null,2089,null,null,1475,null,null,1323,null,null,460,null,null,682,null,null,1186,null,null,848,null,null,1774,null,null,1589,null,null,620,null,null,828,null,null,1352,null,null,755,null,null,18
34197,2195,7424,1530,3521,1129,3330,1121,87,119,1920,805,1323,680,191,188,3903,983,260,174,260,174,0,159,165,166,95,106,0,159,3643,981,3445,958,992,472,880,473,1573,804,198,208,26773,2228,18332,2061,12656,1619,1051,461,3497,814,8108,1396,5676,1152,8441,1344,3152,685,2124,642,193,261,611,393,1320,529,1028,430,5289,1132,4170,965,665,399,716,353,2789,931,1119,674,2195,null,null,1530,null,null,1129,null,null,1121,null,null,119,null,null,805,null,null,680,null,null,188,null,null,983,null,null,174,null,null,174,null,null,159,null,null,166,null,null,106,null,null,159,null,null,981,null,null,958,null,null,472,null,null,473,null,null,804,null,null,208,null,null,2228,null,null,2061,null,null,1619,null,null,461,null,null,814,null,null,1396,null,null,1152,null,null,1344,null,null,685,null,null,642,null,null,261,null,null,393,null,null,529,null,null,430,null,null,1132,null,null,965,null,null,399,null,null,353,null,null,931,null,null,674,null,null,19
63618,2319,10566,1592,4769,1109,4110,1008,159,142,1952,783,1999,755,659,339,5797,1216,771,472,400,254,0,174,67,90,333,258,371,348,5026,1197,4596,1196,1474,675,1425,638,1697,711,430,289,53052,2641,39676,2638,23878,2160,3571,821,7599,1486,12708,1811,15798,1752,13376,1714,5793,1224,4002,1230,972,533,1214,712,1816,761,1791,651,7583,1349,6109,1177,1623,804,647,419,3839,906,1474,520,2319,null,null,1592,null,null,1109,null,null,1008,null,null,142,null,null,783,null,null,755,null,null,339,null,null,1216,null,null,472,null,null,254,null,null,174,null,null,90,null,null,258,null,null,348,null,null,1197,null,null,1196,null,null,675,null,null,638,null,null,711,null,null,289,null,null,2641,null,null,2638,null,null,2160,null,null,821,null,null,1486,null,null,1811,null,null,1752,null,null,1714,null,null,1224,null,null,1230,null,null,533,null,null,712,null,null,761,null,null,651,null,null,1349,null,null,1177,null,null,804,null,null,419,null,null,906,null,null,520,null,null,20
27424,2095,7786,1375,2940,1049,2431,795,466,374,1039,488,926,545,509,626,4846,1086,879,490,835,474,49,63,160,181,626,433,44,77,3967,1016,3724,967,758,407,971,569,1995,726,243,214,19638,1810,15607,1589,8770,1432,1473,661,1704,769,5593,1280,6837,1293,4031,973,2328,804,1625,712,158,133,437,310,1030,670,703,370,1703,763,1156,603,356,378,218,240,582,404,547,386,2095,null,null,1375,null,null,1049,null,null,795,null,null,374,null,null,488,null,null,545,null,null,626,null,null,1086,null,null,490,null,null,474,null,null,63,null,null,181,null,null,433,null,null,77,null,null,1016,null,null,967,null,null,407,null,null,569,null,null,726,null,null,214,null,null,1810,null,null,1589,null,null,1432,null,null,661,null,null,769,null,null,1280,null,null,1293,null,null,973,null,null,804,null,null,712,null,null,133,null,null,310,null,null,670,null,null,370,null,null,763,null,null,603,null,null,378,null,null,240,null,null,404,null,null,386,null,null,21
45688,3118,9595,1850,4344,1367,3275,1218,643,596,1153,630,1479,781,1069,601,5251,1399,458,426,377,399,33,56,16,31,328,389,81,143,4793,1268,4240,1229,999,689,1342,736,1899,736,553,476,36093,2905,27553,2614,15702,2143,3020,983,4351,1289,8331,1583,11851,1573,8540,1914,3462,1239,2596,1149,1000,855,237,211,1359,750,866,404,5078,1391,3238,1198,787,758,511,368,1940,945,1840,729,3118,null,null,1850,null,null,1367,null,null,1218,null,null,596,null,null,630,null,null,781,null,null,601,null,null,1399,null,null,426,null,null,399,null,null,56,null,null,31,null,null,389,null,null,143,null,null,1268,null,null,1229,null,null,689,null,null,736,null,null,736,null,null,476,null,null,2905,null,null,2614,null,null,2143,null,null,983,null,null,1289,null,null,1583,null,null,1573,null,null,1914,null,null,1239,null,null,1149,null,null,855,null,null,211,null,null,750,null,null,404,null,null,1391,null,null,1198,null,null,758,null,null,368,null,null,945,null,null,729,null,null,22
