B08103_001E,B08103_001M,B08103_002E,B08103_002M,B08103_003E,B08103_003M,B08103_004E,B08103_004M,B08103_005E,B08103_005M,B08103_006E,B08103_006M,B08103_007E,B08103_007M,B08103_001M,B08103_001EA,B08103_001MA,B08103_002M,B08103_002EA,B08103_002MA,B08103_003M,B08103_003EA,B08103_003MA,B08103_004M,B08103_004EA,B08103_004MA,B08103_005M,B08103_005EA,B08103_005MA,B08103_006M,B08103_006EA,B08103_006MA,B08103_007M,B08103_007EA,B08103_007MA,state
42.9,0.1,43.1,0.2,38.9,0.5,38.4,1.9,36.0,1.5,40.3,0.8,49.6,0.6,0.1,null,null,0.2,null,null,0.5,null,null,1.9,null,null,1.5,null,null,0.8,null,null,0.6,null,null,12
41.5,0.2,41.9,0.2,37.6,0.5,36.4,1.7,31.3,2.6,37.6,2.5,46.8,0.6,0.2,null,null,0.2,null,null,0.5,null,null,1.7,null,null,2.6,null,null,2.5,null,null,0.6,null,null,13
42.1,0.3,42.2,0.4,41.9,1.0,43.5,2.9,32.7,2.6,35.2,2.2,50.4,1.2,0.3,null,null,0.4,null,null,1.0,null,null,2.9,null,null,2.6,null,null,2.2,null,null,1.2,null,null,15
40.8,0.4,40.8,0.4,37.3,1.9,51.1,3.6,31.2,4.4,37.7,3.1,48.1,1.7,0.4,null,null,0.4,null,null,1.9,null,null,3.6,null,null,4.4,null,null,3.1,null,null,1.7,null,null,16
41.6,0.2,42.7,0.2,39.4,0.5,36.2,0.4,31.8,0.6,37.2,0.8,47.2,0.5,0.2,null,null,0.2,null,null,0.5,null,null,0.4,null,null,0.6,null,null,0.8,null,null,0.5,null,null,17
42.0,0.2,42.5,0.2,37.1,0.8,37.0,2.9,28.0,2.2,38.7,2.7,47.7,1.0,0.2,null,null,0.2,null,null,0.8,null,null,2.9,null,null,2.2,null,null,2.7,null,null,1.0,null,null,18
41.8,0.2,42.4,0.3,38.3,1.2,33.3,2.4,27.9,2.1,39.9,2.5,48.5,1.3,0.2,null,null,0.3,null,null,1.2,null,null,2.4,null,null,2.1,null,null,2.5,null,null,1.3,null,null,19
41.6,0.3,41.9,0.3,36.5,0.7,39.5,8.9,31.0,3.4,38.8,3.4,49.4,1.3,0.3,null,null,0.3,null,null,0.7,null,null,8.9,null,null,3.4,null,null,3.4,null,null,1.3,null,null,20
41.4,0.3,41.9,0.3,36.8,0.9,36.0,3.4,30.7,1.8,38.9,3.8,47.3,1.1,0.3,null,null,0.3,null,null,0.9,null,null,3.4,null,null,1.8,null,null,3.8,null,null,1.1,null,null,21
40.8,0.2,41.3,0.3,37.4,0.6,37.8,2.5,34.2,3.1,36.3,1.4,46.6,2.0,0.2,null,null,0.3,null,null,0.6,null,null,2.5,null,null,3.1,null,null,1.4,null,null,2.0,null,null,22
