B06001_001E,B06001_001M,B06001_002E,B06001_002M,B06001_003E,B06001_003M,B06001_004E,B06001_004M,B06001_005E,B06001_005M,B06001_006E,B06001_006M,B06001_007E,B06001_007M,B06001_008E,B06001_008M,B06001_009E,B06001_009M,B06001_010E,B06001_010M,B06001_011E,B06001_011M,B06001_012E,B06001_012M,B06001_013E,B06001_013M,B06001_014E,B06001_014M,B06001_015E,B06001_015M,B06001_016E,B06001_016M,B06001_017E,B06001_017M,B06001_018E,B06001_018M,B06001_019E,B06001_019M,B06001_020E,B06001_020M,B06001_021E,B06001_021M,B06001_022E,B06001_022M,B06001_023E,B06001_023M,B06001_024E,B06001_024M,B06001_025E,B06001_025M,B06001_026E,B06001_026M,B06001_027E,B06001_027M,B06001_028E,B06001_028M,B06001_029E,B06001_029M,B06001_030E,B06001_030M,B06001_031E,B06001_031M,B06001_032E,B06001_032M,B06001_033E,B06001_033M,B06001_034E,B06001_034M,B06001_035E,B06001_035M,B06001_036E,B06001_036M,B06001_037E,B06001_037M,B06001_038E,B06001_038M,B06001_039E,B06001_039M,B06001_040E,B06001_040M,B06001_041E,B06001_041M,B06001_042E,B06001_042M,B06001_043E,B06001_043M,B06001_044E,B06001_044M,B06001_045E,B06001_045M,B06001_046E,B06001_046M,B06001_047E,B06001_047M,B06001_048E,B06001_048M,B06001_049E,B06001_049M,B06001_050E,B06001_050M,B06001_051E,B06001_051M,B06001_052E,B06001_052M,B06001_053E,B06001_053M,B06001_054E,B06001_054M,B06001_055E,B06001_055M,B06001_056E,B06001_056M,B06001_057E,B06001_057M,B06001_058E,B06001_058M,B06001_059E,B06001_059M,B06001_060E,B06001_060M,B06001_001M,B06001_001EA,B06001_001MA,B06001_002M,B06001_002EA,B06001_002MA,B06001_003M,B06001_003EA,B06001_003MA,B06001_004M,B06001_004EA,B06001_004MA,B06001_005M,B06001_005EA,B06001_005MA,B06001_006M,B06001_006EA,B06001_006MA,B06001_007M,B06001_007EA,B06001_007MA,B06001_008M,B06001_008EA,B06001_008MA,B06001_009M,B06001_009EA,B06001_009MA,B06001_010M,B06001_010EA,B06001_010MA,B06001_011M,B06001_011EA,B06001_011MA,B06001_012M,B06001_012EA,B06001_012MA,B06001_013M,B06001_013EA,B06001_013MA,B06001_014M,B06001_014EA,B06001_014MA,B06001_015M,B06001_015EA,B06001_015MA,B06001_016M,B06001_016EA,B06001_016MA,B06001_017M,B06001_017EA,B06001_017MA,B06001_018M,B06001_018EA,B06001_018MA,B06001_019M,B06001_019EA,B06001_019MA,B06001_020M,B06001_020EA,B06001_020MA,B06001_021M,B06001_021EA,B06001_021MA,B06001_022M,B06001_022EA,B06001_022MA,B06001_023M,B06001_023EA,B06001_023MA,B06001_024M,B06001_024EA,B06001_024MA,B06001_025M,B06001_025EA,B06001_025MA,B06001_026M,B06001_026EA,B06001_026MA,B06001_027M,B06001_027EA,B06001_027MA,B06001_028M,B06001_028EA,B06001_028MA,B06001_029M,B06001_029EA,B06001_029MA,B06001_030M,B06001_030EA,B06001_030MA,B06001_031M,B06001_031EA,B06001_031MA,B06001_032M,B06001_032EA,B06001_032MA,B06001_033M,B06001_033EA,B06001_033MA,B06001_034M,B06001_034EA,B06001_034MA,B06001_035M,B06001_035EA,B06001_035MA,B06001_036M,B06001_036EA,B06001_036MA,B06001_037M,B06001_037EA,B06001_037MA,B06001_038M,B06001_038EA,B06001_038MA,B06001_039M,B06001_039EA,B06001_039MA,B06001_040M,B06001_040EA,B06001_040MA,B06001_041M,B06001_041EA,B06001_041MA,B06001_042M,B06001_042EA,B06001_042MA,B06001_043M,B06001_043EA,B06001_043MA,B06001_044M,B06001_044EA,B06001_044MA,B06001_045M,B06001_045EA,B06001_045MA,B06001_046M,B06001_046EA,B06001_046MA,B06001_047M,B06001_047EA,B06001_047MA,B06001_048M,B06001_048EA,B06001_048MA,B06001_049M,B06001_049EA,B06001_049MA,B06001_050M,B06001_050EA,B06001_050MA,B06001_051M,B06001_051EA,B06001_051MA,B06001_052M,B06001_052EA,B06001_052MA,B06001_053M,B06001_053EA,B06001_053MA,B06001_054M,B06001_054EA,B06001_054MA,B06001_055M,B06001_055EA,B06001_055MA,B06001_056M,B06001_056EA,B06001_056MA,B06001_057M,B06001_057EA,B06001_057MA,B06001_058M,B06001_058EA,B06001_058MA,B06001_059M,B06001_059EA,B06001_059MA,B06001_060M,B06001_060EA,B06001_060MA,state
20612439,-555555555,1117467,2952,3027673,4366,1763628,7377,2660916,7021,2467080,8043,2755495,5693,1419462,16008,536305,11908,773649,14303,2278240,4205,1812524,3484,7387744,41284,973825,9378,2166041,14507,976815,11938,1086060,14418,670600,15573,595510,13712,280165,7803,93207,5572,121988,5796,260128,7321,163405,6411,8217322,41105,102080,7481,552201,14367,453138,13535,848249,15007,892722,16298,1237601,13826,734596,12276,295374,8674,452543,9994,1452077,9851,1196741,7844,770862,20755,16571,2859,108809,7308,72794,5763,115632,7600,122439,7898,117642,6411,49434,3784,19429,3258,26729,3261,71465,3942,49918,3737,4236511,36057,24991,3775,200622,9405,260881,10079,610975,13880,781319,13648,804742,12207,355267,9662,128295,6398,172389,7147,494570,10187,402460,7518,-555555555,null,*****,2952,null,null,4366,null,null,7377,null,null,7021,null,null,8043,null,null,5693,null,null,16008,null,null,11908,null,null,14303,null,null,4205,null,null,3484,null,null,41284,null,null,9378,null,null,14507,null,null,11938,null,null,14418,null,null,15573,null,null,13712,null,null,7803,null,null,5572,null,null,5796,null,null,7321,null,null,6411,null,null,41105,null,null,7481,null,null,14367,null,null,13535,null,null,15007,null,null,16298,null,null,13826,null,null,12276,null,null,8674,null,null,9994,null,null,9851,null,null,7844,null,null,20755,null,null,2859,null,null,7308,null,null,5763,null,null,7600,null,null,7898,null,null,6411,null,null,3784,null,null,3258,null,null,3261,null,null,3942,null,null,3737,null,null,36057,null,null,3775,null,null,9405,null,null,10079,null,null,13880,null,null,13648,null,null,12207,null,null,9662,null,null,6398,null,null,7147,null,null,10187,null,null,7518,null,null,12
10310371,-555555555,654878,4445,1855732,4692,1014366,6453,1403742,8323,1385447,8206,1403862,7198,657357,11244,248459,7952,327394,9488,848651,4971,510483,4172,5634561,30681,567397,6898,1393263,14114,610393,12231,676214,11651,578837,11560,580363,12143,284456,7180,113056,5019,153318,6485,409696,7116,267568,5458,3495314,35393,73417,5318,384832,13543,304863,11182,495994,10297,520243,11672,601293,11656,292726,8582,108112,5188,139915,6809,371561,7311,202358,5934,142184,8763,4402,1525,18981,2812,18351,2841,26162,3590,23805,3009,22511,2982,10577,1322,3862,1050,4089,966,6579,1422,2865,1011,1038312,21781,9662,2046,58656,5729,80759,6291,205372,7752,262562,7644,199695,7986,69598,5491,23429,2268,30072,3383,60815,4204,37692,3006,-555555555,null,*****,4445,null,null,4692,null,null,6453,null,null,8323,null,null,8206,null,null,7198,null,null,11244,null,null,7952,null,null,9488,null,null,4971,null,null,4172,null,null,30681,null,null,6898,null,null,14114,null,null,12231,null,null,11651,null,null,11560,null,null,12143,null,null,7180,null,null,5019,null,null,6485,null,null,7116,null,null,5458,null,null,35393,null,null,5318,null,null,13543,null,null,11182,null,null,10297,null,null,11672,null,null,11656,null,null,8582,null,null,5188,null,null,6809,null,null,7311,null,null,5934,null,null,8763,null,null,1525,null,null,2812,null,null,2841,null,null,3590,null,null,3009,null,null,2982,null,null,1322,null,null,1050,null,null,966,null,null,1422,null,null,1011,null,null,21781,null,null,2046,null,null,5729,null,null,6291,null,null,7752,null,null,7644,null,null,7986,null,null,5491,null,null,2268,null,null,3383,null,null,4204,null,null,3006,null,null,13
1428557,-555555555,90722,28,217043,756,129855,1304,205844,1647,179339,1310,177648,1381,91868,2847,36544,2319,56153,3203,138903,682,104638,506,761357,14680,73417,2187,155112,4927,71482,3139,97935,4698,81871,3880,77539,3905,40510,2843,16684,1793,26362,2367,60059,2771,60386,2569,359645,8469,13599,1923,40063,3825,37671,2184,66526,2912,47563,2181,45096,2246,26200,1838,11052,1503,16091,1554,39409,1621,16375,1355,45070,4609,2154,793,8248,1869,5240,1323,7139,1380,5878,1472,5867,1099,3141,743,1043,486,1879,606,3445,920,1036,512,262485,12818,1552,648,13620,2877,15462,2572,34244,4126,44027,3539,49146,3519,22017,2453,7765,1221,11821,1679,35990,2809,26841,2160,-555555555,null,*****,28,null,null,756,null,null,1304,null,null,1647,null,null,1310,null,null,1381,null,null,2847,null,null,2319,null,null,3203,null,null,682,null,null,506,null,null,14680,null,null,2187,null,null,4927,null,null,3139,null,null,4698,null,null,3880,null,null,3905,null,null,2843,null,null,1793,null,null,2367,null,null,2771,null,null,2569,null,null,8469,null,null,1923,null,null,3825,null,null,2184,null,null,2912,null,null,2181,null,null,2246,null,null,1838,null,null,1503,null,null,1554,null,null,1621,null,null,1355,null,null,4609,null,null,793,null,null,1869,null,null,1323,null,null,1380,null,null,1472,null,null,1099,null,null,743,null,null,486,null,null,606,null,null,920,null,null,512,null,null,12818,null,null,648,null,null,2877,null,null,2572,null,null,4126,null,null,3539,null,null,3519,null,null,2453,null,null,1221,null,null,1679,null,null,2809,null,null,2160,null,null,15
1683140,-555555555,114143,1710,322314,2066,159418,2649,220555,3790,205831,3585,198153,2866,105199,4064,40316,3034,61049,3178,155183,1735,100979,1155,812432,16054,94187,2627,222181,7183,84273,4297,102025,5016,87298,4005,71956,4236,34043,2694,14503,2141,18575,1597,50882,3361,32509,2384,758565,14610,19000,2617,90598,6597,63732,3835,97031,5142,93410,3826,107265,3940,63336,3679,23748,2565,40256,3075,97188,3402,63001,2590,14190,2668,663,454,2480,1389,1454,546,2379,670,2284,943,1931,772,1726,922,364,253,169,156,623,380,117,130,97953,6027,293,255,7055,1804,9959,1900,19120,2349,22839,3189,17001,2640,6094,1223,1701,739,2049,808,6490,1117,5352,1220,-555555555,null,*****,1710,null,null,2066,null,null,2649,null,null,3790,null,null,3585,null,null,2866,null,null,4064,null,null,3034,null,null,3178,null,null,1735,null,null,1155,null,null,16054,null,null,2627,null,null,7183,null,null,4297,null,null,5016,null,null,4005,null,null,4236,null,null,2694,null,null,2141,null,null,1597,null,null,3361,null,null,2384,null,null,14610,null,null,2617,null,null,6597,null,null,3835,null,null,5142,null,null,3826,null,null,3940,null,null,3679,null,null,2565,null,null,3075,null,null,3402,null,null,2590,null,null,2668,null,null,454,null,null,1389,null,null,546,null,null,670,null,null,943,null,null,772,null,null,922,null,null,253,null,null,156,null,null,380,null,null,130,null,null,6027,null,null,255,null,null,1804,null,null,1900,null,null,2349,null,null,3189,null,null,2640,null,null,1223,null,null,739,null,null,808,null,null,1117,null,null,1220,null,null,16
12801539,-555555555,769490,2349,2153229,2636,1213601,4110,1765751,5403,1654483,4149,1716447,4124,860048,10376,341307,8187,454353,10555,1073859,2585,798971,2359,8595993,28979,696449,4755,1837572,10677,911529,7987,1097292,11612,949166,10789,1014459,11522,528482,8579,205316,5725,275358,7959,615266,6685,465104,6221,2282917,23172,58324,3696,222078,9078,179574,6681,331996,8455,293349,7189,335794,9258,182757,5602,76540,3862,105749,4777,284168,6424,212588,4737,139155,6767,3974,859,18268,2121,13731,2081,20003,2440,18786,2059,20391,2333,10147,1905,4233,1004,5098,1194,14973,2157,9551,1487,1783474,22921,10743,1940,75311,5924,108767,5936,316460,9337,393182,7307,345803,8819,138662,4552,55218,3793,68148,3678,159452,5091,111728,4572,-555555555,null,*****,2349,null,null,2636,null,null,4110,null,null,5403,null,null,4149,null,null,4124,null,null,10376,null,null,8187,null,null,10555,null,null,2585,null,null,2359,null,null,28979,null,null,4755,null,null,10677,null,null,7987,null,null,11612,null,null,10789,null,null,11522,null,null,8579,null,null,5725,null,null,7959,null,null,6685,null,null,6221,null,null,23172,null,null,3696,null,null,9078,null,null,6681,null,null,8455,null,null,7189,null,null,9258,null,null,5602,null,null,3862,null,null,4777,null,null,6424,null,null,4737,null,null,6767,null,null,859,null,null,2121,null,null,2081,null,null,2440,null,null,2059,null,null,2333,null,null,1905,null,null,1004,null,null,1194,null,null,2157,null,null,1487,null,null,22921,null,null,1940,null,null,5924,null,null,5936,null,null,9337,null,null,7307,null,null,8819,null,null,4552,null,null,3793,null,null,3678,null,null,5091,null,null,4572,null,null,17
6633053,-555555555,420367,3036,1157166,3955,662944,4421,857485,6426,813214,4594,864269,4480,449806,7527,168314,5416,246149,7263,579237,2588,414102,1799,4524005,26355,375304,4558,941073,8742,449221,7637,548787,8334,502887,7491,553121,8482,291501,6669,107820,4767,156946,6195,351135,5434,246210,4012,1715576,23885,39797,3433,183868,7566,165036,7072,229292,7975,224906,6463,249845,8534,136915,4718,53049,3653,77947,4055,202267,5811,152654,4056,44303,4372,934,542,5740,1825,5965,1585,6727,1423,7912,1812,6723,1288,3216,858,1181,470,1210,470,3230,857,1465,633,349169,10684,4332,1243,26485,3286,42722,3143,72679,4512,77509,4853,54580,3443,18174,2203,6264,1273,10046,1643,22605,2288,13773,1679,-555555555,null,*****,3036,null,null,3955,null,null,4421,null,null,6426,null,null,4594,null,null,4480,null,null,7527,null,null,5416,null,null,7263,null,null,2588,null,null,1799,null,null,26355,null,null,4558,null,null,8742,null,null,7637,null,null,8334,null,null,7491,null,null,8482,null,null,6669,null,null,4767,null,null,6195,null,null,5434,null,null,4012,null,null,23885,null,null,3433,null,null,7566,null,null,7072,null,null,7975,null,null,6463,null,null,8534,null,null,4718,null,null,3653,null,null,4055,null,null,5811,null,null,4056,null,null,4372,null,null,542,null,null,1825,null,null,1585,null,null,1423,null,null,1812,null,null,1288,null,null,858,null,null,470,null,null,470,null,null,857,null,null,633,null,null,10684,null,null,1243,null,null,3286,null,null,3143,null,null,4512,null,null,4853,null,null,3443,null,null,2203,null,null,1273,null,null,1643,null,null,2288,null,null,1679,null,null,18
3134693,-555555555,197487,1804,529480,2382,320706,3249,395052,4000,369788,3265,391352,2946,212454,4722,81546,3623,123086,4293,281065,1434,232677,1201,2210066,12873,171009,2522,418126,5291,203775,4468,243596,4184,236920,4230,261925,4281,149245,4654,57313,3153,85914,3484,203246,2983,178997,2888,744264,12842,24251,2274,94703,4679,94495,4738,108504,3826,95080,3945,101765,4477,52494,2630,21842,1967,32249,2306,70374,3000,48507,2989,20174,3230,733,548,2356,805,2413,862,4903,1544,2589,710,3625,1029,1304,716,557,413,551,373,705,367,438,368,160189,5763,1494,585,14295,2523,20023,2420,38049,3565,35199,2598,24037,2399,9411,1375,1834,626,4372,1059,6740,1273,4735,942,-555555555,null,*****,1804,null,null,2382,null,null,3249,null,null,4000,null,null,3265,null,null,2946,null,null,4722,null,null,3623,null,null,4293,null,null,1434,null,null,1201,null,null,12873,null,null,2522,null,null,5291,null,null,4468,null,null,4184,null,null,4230,null,null,4281,null,null,4654,null,null,3153,null,null,3484,null,null,2983,null,null,2888,null,null,12842,null,null,2274,null,null,4679,null,null,4738,null,null,3826,null,null,3945,null,null,4477,null,null,2630,null,null,1967,null,null,2306,null,null,3000,null,null,2989,null,null,3230,null,null,548,null,null,805,null,null,862,null,null,1544,null,null,710,null,null,1029,null,null,716,null,null,413,null,null,373,null,null,367,null,null,368,null,null,5763,null,null,585,null,null,2523,null,null,2420,null,null,3565,null,null,2598,null,null,2399,null,null,1375,null,null,626,null,null,1059,null,null,1273,null,null,942,null,null,19
2907289,-555555555,197406,1979,517513,2276,300434,3645,377168,4104,353348,3592,350511,3004,195172,4779,70967,3892,107099,4556,247334,1805,190337,1655,1719366,15213,170799,2810,393273,6651,177438,5369,203505,5275,169329,5252,171329,4783,100086,4086,40224,2946,55409,3041,126595,3003,111379,2866,955692,16900,24369,2832,107753,6084,94953,4977,131302,5341,128857,5065,137686,5058,78350,3262,27350,2064,45216,2809,107590,3016,72266,2892,26709,2752,997,420,2957,773,2944,1047,5039,1153,3833,1048,5345,1173,2341,705,655,284,953,492,1481,558,164,140,205522,7634,1241,575,13530,2165,25099,3076,37322,3071,51329,3313,36151,2582,14395,1909,2738,685,5521,1081,11668,1514,6528,1264,-555555555,null,*****,1979,null,null,2276,null,null,3645,null,null,4104,null,null,3592,null,null,3004,null,null,4779,null,null,3892,null,null,4556,null,null,1805,null,null,1655,null,null,15213,null,null,2810,null,null,6651,null,null,5369,null,null,5275,null,null,5252,null,null,4783,null,null,4086,null,null,2946,null,null,3041,null,null,3003,null,null,2866,null,null,16900,null,null,2832,null,null,6084,null,null,4977,null,null,5341,null,null,5065,null,null,5058,null,null,3262,null,null,2064,null,null,2809,null,null,3016,null,null,2892,null,null,2752,null,null,420,null,null,773,null,null,1047,null,null,1153,null,null,1048,null,null,1173,null,null,705,null,null,284,null,null,492,null,null,558,null,null,140,null,null,7634,null,null,575,null,null,2165,null,null,3076,null,null,3071,null,null,3313,null,null,2582,null,null,1909,null,null,685,null,null,1081,null,null,1514,null,null,1264,null,null,20
4436974,-555555555,272949,2784,739508,3715,429008,3685,564723,4137,556258,3901,597239,3108,305536,6232,115631,4843,168597,6112,411310,1868,276215,1536,3057834,15576,231758,3649,589115,6501,280496,6227,351867,6307,352511,6131,368168,6860,199726,5380,76287,3633,112492,5252,288616,4411,206798,3331,1192605,16056,38046,2914,130161,5877,130552,6019,170154,6467,164252,5839,199658,6461,94624,3906,36397,3185,50806,3263,113875,4247,64080,2964,30571,3191,1353,662,3437,921,3112,845,6969,1241,4135,971,5631,1281,2920,764,642,315,869,412,1284,473,219,155,155964,7438,1792,556,16795,3029,14848,2480,35733,2958,35360,3235,23782,2378,8266,1300,2305,726,4430,1180,7535,1083,5118,958,-555555555,null,*****,2784,null,null,3715,null,null,3685,null,null,4137,null,null,3901,null,null,3108,null,null,6232,null,null,4843,null,null,6112,null,null,1868,null,null,1536,null,null,15576,null,null,3649,null,null,6501,null,null,6227,null,null,6307,null,null,6131,null,null,6860,null,null,5380,null,null,3633,null,null,5252,null,null,4411,null,null,3331,null,null,16056,null,null,2914,null,null,5877,null,null,6019,null,null,6467,null,null,5839,null,null,6461,null,null,3906,null,null,3185,null,null,3263,null,null,4247,null,null,2964,null,null,3191,null,null,662,null,null,921,null,null,845,null,null,1241,null,null,971,null,null,1281,null,null,764,null,null,315,null,null,412,null,null,473,null,null,155,null,null,7438,null,null,556,null,null,3029,null,null,2480,null,null,2958,null,null,3235,null,null,2378,null,null,1300,null,null,726,null,null,1180,null,null,1083,null,null,958,null,null,21
4681666,-555555555,306963,3568,810318,3613,449365,5412,671108,7428,583366,6281,587387,6028,314579,4990,124209,5240,160192,5491,403859,2923,270320,2316,3661957,16819,283947,4593,703589,7975,354300,7058,494031,8339,430901,7550,439157,7085,236353,4693,93216,5011,119887,4942,301218,5306,205358,3458,801680,16371,20167,3070,90335,6330,77389,5180,125667,6345,109116,5823,112821,5012,62766,3185,24844,2748,33795,2563,88747,4544,56033,2832,28108,3142,1024,592,3401,973,2562,999,5143,1165,5581,1481,3690,992,3297,990,561,354,1582,929,1062,447,205,128,189921,7371,1825,826,12993,2336,15114,2880,46267,4044,37768,2989,31719,2900,12163,1611,5588,1173,4928,1137,12832,1633,8724,1363,-555555555,null,*****,3568,null,null,3613,null,null,5412,null,null,7428,null,null,6281,null,null,6028,null,null,4990,null,null,5240,null,null,5491,null,null,2923,null,null,2316,null,null,16819,null,null,4593,null,null,7975,null,null,7058,null,null,8339,null,null,7550,null,null,7085,null,null,4693,null,null,5011,null,null,4942,null,null,5306,null,null,3458,null,null,16371,null,null,3070,null,null,6330,null,null,5180,null,null,6345,null,null,5823,null,null,5012,null,null,3185,null,null,2748,null,null,2563,null,null,4544,null,null,2832,null,null,3142,null,null,592,null,null,973,null,null,999,null,null,1165,null,null,1481,null,null,992,null,null,990,null,null,354,null,null,929,null,null,447,null,null,128,null,null,7371,null,null,826,null,null,2336,null,null,2880,null,null,4044,null,null,2989,null,null,2900,null,null,1611,null,null,1173,null,null,1137,null,null,1633,null,null,1363,null,null,22
