B17020I_001E,B17020I_001M,B17020I_002E,B17020I_002M,B17020I_003E,B17020I_003M,B17020I_004E,B17020I_004M,B17020I_005E,B17020I_005M,B17020I_006E,B17020I_006M,B17020I_007E,B17020I_007M,B17020I_008E,B17020I_008M,B17020I_009E,B17020I_009M,B17020I_010E,B17020I_010M,B17020I_011E,B17020I_011M,B17020I_012E,B17020I_012M,B17020I_013E,B17020I_013M,B17020I_014E,B17020I_014M,B17020I_015E,B17020I_015M,B17020I_016E,B17020I_016M,B17020I_017E,B17020I_017M,B17020I_001M,B17020I_001EA,B17020I_001MA,B17020I_002M,B17020I_002EA,B17020I_002MA,B17020I_003M,B17020I_003EA,B17020I_003MA,B17020I_004M,B17020I_004EA,B17020I_004MA,B17020I_005M,B17020I_005EA,B17020I_005MA,B17020I_006M,B17020I_006EA,B17020I_006MA,B17020I_007M,B17020I_007EA,B17020I_007MA,B17020I_008M,B17020I_008EA,B17020I_008MA,B17020I_009M,B17020I_009EA,B17020I_009MA,B17020I_010M,B17020I_010EA,B17020I_010MA,B17020I_011M,B17020I_011EA,B17020I_011MA,B17020I_012M,B17020I_012EA,B17020I_012MA,B17020I_013M,B17020I_013EA,B17020I_013MA,B17020I_014M,B17020I_014EA,B17020I_014MA,B17020I_015M,B17020I_015EA,B17020I_015MA,B17020I_016M,B17020I_016EA,B17020I_016MA,B17020I_017M,B17020I_017EA,B17020I_017MA,state
5052146,4393,953778,30942,108826,7207,109544,7108,94518,5668,481127,19103,104358,6936,38531,3054,16874,2465,4098368,31697,304581,7500,309927,7837,317551,7731,2514352,22105,449781,9350,145587,4688,56589,3689,4393,null,null,30942,null,null,7207,null,null,7108,null,null,5668,null,null,19103,null,null,6936,null,null,3054,null,null,2465,null,null,31697,null,null,7500,null,null,7837,null,null,7731,null,null,22105,null,null,9350,null,null,4688,null,null,3689,null,null,12
941255,3408,228732,15837,42854,4641,49002,5174,29196,3861,99531,7547,6453,1524,969,501,727,609,712523,15733,73198,5160,80113,5843,79348,4981,430647,8413,39058,2910,8248,1679,1911,867,3408,null,null,15837,null,null,4641,null,null,5174,null,null,3861,null,null,7547,null,null,1524,null,null,501,null,null,609,null,null,15733,null,null,5160,null,null,5843,null,null,4981,null,null,8413,null,null,2910,null,null,1679,null,null,867,null,null,13
144090,1027,15592,2891,3031,962,1841,754,1103,544,8139,1705,1172,525,190,196,116,119,128498,2918,20125,1273,14463,1227,14261,1253,69884,2011,7430,799,1467,482,868,336,1027,null,null,2891,null,null,962,null,null,754,null,null,544,null,null,1705,null,null,525,null,null,196,null,null,119,null,null,2918,null,null,1273,null,null,1227,null,null,1253,null,null,2011,null,null,799,null,null,482,null,null,336,null,null,15
202224,1149,44689,6791,9369,2346,7689,2210,4161,1324,20938,3443,1796,800,681,541,55,92,157535,6584,18204,2047,18333,2474,20077,2005,90025,3928,7806,1391,2217,829,873,362,1149,null,null,6791,null,null,2346,null,null,2210,null,null,1324,null,null,3443,null,null,800,null,null,541,null,null,92,null,null,6584,null,null,2047,null,null,2474,null,null,2005,null,null,3928,null,null,1391,null,null,829,null,null,362,null,null,16
2141403,3566,368886,18056,54158,4415,65402,5825,50978,4861,171238,8934,18941,2480,6467,1291,1702,662,1772517,18977,166380,5488,180953,6734,190134,6416,1074612,9329,125552,4246,27164,1808,7722,1196,3566,null,null,18056,null,null,4415,null,null,5825,null,null,4861,null,null,8934,null,null,2480,null,null,1291,null,null,662,null,null,18977,null,null,5488,null,null,6734,null,null,6416,null,null,9329,null,null,4246,null,null,1808,null,null,1196,null,null,17
435914,2012,105539,9551,18138,2580,20915,3105,12564,1912,49806,4652,2904,889,1161,538,51,67,330375,9584,33184,2698,43379,3167,38698,3214,187903,5025,22521,1835,3181,697,1509,464,2012,null,null,9551,null,null,2580,null,null,3105,null,null,1912,null,null,4652,null,null,889,null,null,538,null,null,67,null,null,9584,null,null,2698,null,null,3167,null,null,3214,null,null,5025,null,null,1835,null,null,697,null,null,464,null,null,18
172104,1528,39832,5439,8774,1781,7300,1660,4379,1277,17871,2437,1137,708,215,201,156,162,132272,5286,13506,1834,18560,1958,16092,2016,76396,2693,6317,1017,866,343,535,361,1528,null,null,5439,null,null,1781,null,null,1660,null,null,1277,null,null,2437,null,null,708,null,null,201,null,null,162,null,null,5286,null,null,1834,null,null,1958,null,null,2016,null,null,2693,null,null,1017,null,null,343,null,null,361,null,null,19
329039,1818,59850,7494,9653,2239,10001,2180,7701,1656,29053,3317,2696,1105,454,374,292,214,269189,7606,33936,2804,36462,3016,29844,2541,149664,3950,15588,1887,2684,734,1011,447,1818,null,null,7494,null,null,2239,null,null,2180,null,null,1656,null,null,3317,null,null,1105,null,null,374,null,null,214,null,null,7606,null,null,2804,null,null,3016,null,null,2541,null,null,3950,null,null,1887,null,null,734,null,null,447,null,null,20
145350,2653,44408,4765,7552,1645,9024,1391,6818,1555,19657,2599,956,488,215,184,186,210,100942,4611,11387,1894,12748,1784,11765,1669,58448,2937,5896,1271,425,250,273,199,2653,null,null,4765,null,null,1645,null,null,1391,null,null,1555,null,null,2599,null,null,488,null,null,184,null,null,210,null,null,4611,null,null,1894,null,null,1784,null,null,1669,null,null,2937,null,null,1271,null,null,250,null,null,199,null,null,21
223503,2439,49651,5665,9109,1978,6786,1781,3703,1162,27047,3367,2326,943,646,477,34,42,173852,5884,19615,1937,16770,1915,13895,1960,103140,3610,14976,1800,4428,946,1028,392,2439,null,null,5665,null,null,1978,null,null,1781,null,null,1162,null,null,3367,null,null,943,null,null,477,null,null,42,null,null,5884,null,null,1937,null,null,1915,null,null,1960,null,null,3610,null,null,1800,null,null,946,null,null,392,null,null,22
19979,876,3578,1136,242,180,897,463,290,207,1882,669,116,145,67,95,84,145,16401,1427,1216,543,1256,485,2060,663,10048,1245,1317,660,504,337,0,172,876,null,null,1136,null,null,180,null,null,463,null,null,207,null,null,669,null,null,145,null,null,95,null,null,145,null,null,1427,null,null,543,null,null,485,null,null,663,null,null,1245,null,null,660,null,null,337,null,null,172,null,null,23
575419,2128,71570,6644,10997,2227,11547,2228,7560,2039,36747,3655,3076,970,1001,591,642,504,503849,7288,60649,2663,55761,3066,44006,2878,305708,4382,29570,2181,5809,1016,2346,764,2128,null,null,6644,null,null,2227,null,null,2228,null,null,2039,null,null,3655,null,null,970,null,null,591,null,null,504,null,null,7288,null,null,2663,null,null,3066,null,null,2878,null,null,4382,null,null,2181,null,null,1016,null,null,764,null,null,24
750980,3229,199099,11318,28781,3473,28763,3475,22170,2579,97719,6706,15859,1657,4870,998,937,474,551881,10767,54767,3592,49195,3355,56499,3613,344625,6648,37763,2235,7178,1196,1854,620,3229,null,null,11318,null,null,3473,null,null,3475,null,null,2579,null,null,6706,null,null,1657,null,null,998,null,null,474,null,null,10767,null,null,3592,null,null,3355,null,null,3613,null,null,6648,null,null,2235,null,null,1196,null,null,620,null,null,25
479218,1825,111195,7743,19822,2223,16248,2560,15981,2216,53832,3690,4309,969,633,334,370,239,368023,8049,38677,2744,44469,3453,40120,2806,209456,4351,27180,1875,5928,1037,2193,624,1825,null,null,7743,null,null,2223,null,null,2560,null,null,2216,null,null,3690,null,null,969,null,null,334,null,null,239,null,null,8049,null,null,2744,null,null,3453,null,null,2806,null,null,4351,null,null,1875,null,null,1037,null,null,624,null,null,26
281657,1549,50955,5658,7970,1449,10689,1874,5200,1240,24574,2638,2077,794,316,226,129,106,230702,5840,26501,2271,31791,2338,27725,2087,131514,3049,9510,1315,2966,951,695,368,1549,null,null,5658,null,null,1449,null,null,1874,null,null,1240,null,null,2638,null,null,794,null,null,226,null,null,106,null,null,5840,null,null,2271,null,null,2338,null,null,2087,null,null,3049,null,null,1315,null,null,951,null,null,368,null,null,27
80973,2946,20115,3289,2385,948,3549,1293,3393,1358,10341,1922,364,434,26,65,57,102,60858,3898,7392,1404,6583,1655,8568,2061,34921,2432,2741,946,505,256,148,162,2946,null,null,3289,null,null,948,null,null,1293,null,null,1358,null,null,1922,null,null,434,null,null,65,null,null,102,null,null,3898,null,null,1404,null,null,1655,null,null,2061,null,null,2432,null,null,946,null,null,256,null,null,162,null,null,28
237734,1935,57303,6420,8879,1576,10810,1954,8066,1759,27716,3370,1300,513,343,254,189,155,180431,6440,20335,1959,19244,2191,21887,2005,102145,4054,11704,1633,3697,1020,1419,495,1935,null,null,6420,null,null,1576,null,null,1954,null,null,1759,null,null,3370,null,null,513,null,null,254,null,null,155,null,null,6440,null,null,1959,null,null,2191,null,null,2005,null,null,4054,null,null,1633,null,null,1020,null,null,495,null,null,29
35676,1163,6807,1430,1006,614,212,180,961,543,4159,1022,387,321,82,128,0,168,28869,1815,3583,1154,4149,1009,3644,801,14791,1404,2296,782,365,226,41,71,1163,null,null,1430,null,null,614,null,null,180,null,null,543,null,null,1022,null,null,321,null,null,128,null,null,168,null,null,1815,null,null,1154,null,null,1009,null,null,801,null,null,1404,null,null,782,null,null,226,null,null,71,null,null,30
197484,1220,44888,5737,10263,2187,7765,1555,5425,1370,19620,2790,1344,671,317,335,154,168,152596,6092,15968,1809,20989,2745,18910,1793,86809,3157,7294,1048,1970,510,656,442,1220,null,null,5737,null,null,2187,null,null,1555,null,null,1370,null,null,2790,null,null,671,null,null,335,null,null,168,null,null,6092,null,null,1809,null,null,2745,null,null,1793,null,null,3157,null,null,1048,null,null,510,null,null,442,null,null,31
826215,2214,156807,12568,23813,3002,25177,3907,21018,2806,75794,6228,8447,1772,2280,762,278,307,669408,12648,64028,3884,70735,4670,68752,3393,403982,6591,48141,2634,11147,1218,2623,1012,2214,null,null,12568,null,null,3002,null,null,3907,null,null,2806,null,null,6228,null,null,1772,null,null,762,null,null,307,null,null,12648,null,null,3884,null,null,4670,null,null,3393,null,null,6591,null,null,2634,null,null,1218,null,null,1012,null,null,32
44699,1031,6166,1940,152,189,786,535,1030,715,3419,1285,309,249,470,436,0,187,38533,2238,4486,646,4614,1175,3949,1015,22675,1808,2551,606,60,65,198,262,1031,null,null,1940,null,null,189,null,null,535,null,null,715,null,null,1285,null,null,249,null,null,436,null,null,187,null,null,2238,null,null,646,null,null,1175,null,null,1015,null,null,1808,null,null,606,null,null,65,null,null,262,null,null,33
1758090,2876,327552,15384,48590,4845,46500,4136,35729,3732,163701,8206,23967,2191,7056,1075,2009,673,1430538,15811,136436,5594,125979,5555,120157,4807,884185,8883,124426,3231,29441,1904,9914,1353,2876,null,null,15384,null,null,4845,null,null,4136,null,null,3732,null,null,8206,null,null,2191,null,null,1075,null,null,673,null,null,15811,null,null,5594,null,null,5555,null,null,4807,null,null,8883,null,null,3231,null,null,1904,null,null,1353,null,null,34
988813,1582,238309,14155,37473,4203,34253,3840,29156,3732,110964,8167,16932,2159,7053,1346,2478,953,750504,14223,54225,4149,67997,4574,68199,4560,430722,8075,93659,3670,26281,1880,9421,1446,1582,null,null,14155,null,null,4203,null,null,3840,null,null,3732,null,null,8167,null,null,2159,null,null,1346,null,null,953,null,null,14223,null,null,4149,null,null,4574,null,null,4560,null,null,8075,null,null,3670,null,null,1880,null,null,1446,null,null,35
3663399,4756,884964,23050,111044,6184,103559,5622,101190,6977,449532,15283,84000,4997,26056,2630,9583,2087,2778435,23457,244505,5812,228554,6793,213536,7302,1737293,16395,264766,5939,65272,3248,24509,2736,4756,null,null,23050,null,null,6184,null,null,5622,null,null,6977,null,null,15283,null,null,4997,null,null,2630,null,null,2087,null,null,23457,null,null,5812,null,null,6793,null,null,7302,null,null,16395,null,null,5939,null,null,3248,null,null,2736,null,null,36
913213,2599,249401,15600,43265,4314,45353,4434,37882,4006,113491,7827,7756,1558,773,428,881,851,663812,15806,73157,4479,81020,5822,72642,4938,398197,8348,28654,2584,8669,1710,1473,607,2599,null,null,15600,null,null,4314,null,null,4434,null,null,4006,null,null,7827,null,null,1558,null,null,428,null,null,851,null,null,15806,null,null,4479,null,null,5822,null,null,4938,null,null,8348,null,null,2584,null,null,1710,null,null,607,null,null,37
24820,1994,5065,2022,1054,748,517,409,137,120,3177,1508,0,155,180,263,0,155,19755,1827,2643,875,2564,965,3010,1067,10442,1267,961,560,88,101,47,60,1994,null,null,2022,null,null,748,null,null,409,null,null,120,null,null,1508,null,null,155,null,null,263,null,null,155,null,null,1827,null,null,875,null,null,965,null,null,1067,null,null,1267,null,null,560,null,null,101,null,null,60,null,null,38
407709,2202,101588,8157,18228,2621,19562,2630,12339,1907,47241,4592,3255,890,947,471,16,26,306121,8738,33152,3045,33443,2795,34459,3003,176190,4930,22636,1791,4365,865,1876,692,2202,null,null,8157,null,null,2621,null,null,2630,null,null,1907,null,null,4592,null,null,890,null,null,471,null,null,26,null,null,8738,null,null,3045,null,null,2795,null,null,3003,null,null,4930,null,null,1791,null,null,865,null,null,692,null,null,39
392303,1444,102097,7918,18660,2292,20625,2336,14608,2166,42925,4054,3657,1022,1237,539,385,296,290206,7863,35730,2430,36529,2619,32369,2203,167836,4407,15357,1543,2235,516,150,182,1444,null,null,7918,null,null,2292,null,null,2336,null,null,2166,null,null,4054,null,null,1022,null,null,539,null,null,296,null,null,7863,null,null,2430,null,null,2619,null,null,2203,null,null,4407,null,null,1543,null,null,516,null,null,182,null,null,40
509922,1974,115361,9937,19531,3042,21035,2790,16231,2526,55083,5321,2204,744,600,287,677,483,394561,10037,40397,3123,44160,3736,44218,3471,235370,5479,25093,2106,3893,896,1430,636,1974,null,null,9937,null,null,3042,null,null,2790,null,null,2526,null,null,5321,null,null,744,null,null,287,null,null,483,null,null,10037,null,null,3123,null,null,3736,null,null,3471,null,null,5479,null,null,2106,null,null,896,null,null,636,null,null,41
866144,2675,259823,13153,44020,4350,41182,3555,33171,3549,123325,6911,15444,1588,2097,586,584,295,606321,13274,64626,4317,64383,4023,58787,4065,365743,7540,41110,2476,8910,1245,2762,793,2675,null,null,13153,null,null,4350,null,null,3555,null,null,3549,null,null,6911,null,null,1588,null,null,586,null,null,295,null,null,13274,null,null,4317,null,null,4023,null,null,4065,null,null,7540,null,null,2476,null,null,1245,null,null,793,null,null,42
153254,767,33626,4915,4101,1393,4738,1281,4991,1475,16148,2710,3058,756,590,365,0,208,119628,4902,14823,1960,10141,1620,12537,2028,72822,2655,7148,1030,1574,456,583,432,767,null,null,4915,null,null,1393,null,null,1281,null,null,1475,null,null,2710,null,null,756,null,null,365,null,null,208,null,null,4902,null,null,1960,null,null,1620,null,null,2028,null,null,2655,null,null,1030,null,null,456,null,null,432,null,null,44
264342,3573,68107,7756,11777,2067,15881,2888,8931,1833,29181,3776,2150,834,93,107,94,150,196235,8059,20969,2545,22848,2928,18371,2319,118114,4132,11856,1707,2963,909,1114,586,3573,null,null,7756,null,null,2067,null,null,2888,null,null,1833,null,null,3776,null,null,834,null,null,107,null,null,150,null,null,8059,null,null,2545,null,null,2928,null,null,2319,null,null,4132,null,null,1707,null,null,909,null,null,586,null,null,45
30922,1455,7778,2096,1709,632,1824,727,886,580,3239,842,108,164,12,31,0,157,23144,2527,3387,861,3157,915,2384,831,12742,1483,1264,519,152,152,58,92,1455,null,null,2096,null,null,632,null,null,727,null,null,580,null,null,842,null,null,164,null,null,31,null,null,157,null,null,2527,null,null,861,null,null,915,null,null,831,null,null,1483,null,null,519,null,null,152,null,null,92,null,null,46
340740,2480,94326,8384,18327,3059,17942,2355,13745,2845,41530,4066,1918,805,571,687,293,275,246414,8659,30275,2750,28933,2866,28534,2850,144552,4739,10878,1691,2365,732,877,386,2480,null,null,8384,null,null,3059,null,null,2355,null,null,2845,null,null,4066,null,null,805,null,null,687,null,null,275,null,null,8659,null,null,2750,null,null,2866,null,null,2850,null,null,4739,null,null,1691,null,null,732,null,null,386,null,null,47
10681251,7118,2381080,49046,385050,14200,378345,10895,322699,12181,1089249,26599,142514,6956,47123,3645,16100,2312,8300171,49454,798383,14579,842561,14594,832836,14253,4926249,28524,688921,10448,158455,5740,52766,3761,7118,null,null,49046,null,null,14200,null,null,10895,null,null,12181,null,null,26599,null,null,6956,null,null,3645,null,null,2312,null,null,49454,null,null,14579,null,null,14594,null,null,14253,null,null,28524,null,null,10448,null,null,5740,null,null,3761,null,null,48
