B17010G_001E,B17010G_001M,B17010G_002E,B17010G_002M,B17010G_003E,B17010G_003M,B17010G_004E,B17010G_004M,B17010G_005E,B17010G_005M,B17010G_006E,B17010G_006M,B17010G_007E,B17010G_007M,B17010G_008E,B17010G_008M,B17010G_009E,B17010G_009M,B17010G_010E,B17010G_010M,B17010G_011E,B17010G_011M,B17010G_012E,B17010G_012M,B17010G_013E,B17010G_013M,B17010G_014E,B17010G_014M,B17010G_015E,B17010G_015M,B17010G_016E,B17010G_016M,B17010G_017E,B17010G_017M,B17010G_018E,B17010G_018M,B17010G_019E,B17010G_019M,B17010G_020E,B17010G_020M,B17010G_021E,B17010G_021M,B17010G_022E,B17010G_022M,B17010G_023E,B17010G_023M,B17010G_024E,B17010G_024M,B17010G_025E,B17010G_025M,B17010G_026E,B17010G_026M,B17010G_027E,B17010G_027M,B17010G_028E,B17010G_028M,B17010G_029E,B17010G_029M,B17010G_030E,B17010G_030M,B17010G_031E,B17010G_031M,B17010G_032E,B17010G_032M,B17010G_033E,B17010G_033M,B17010G_034E,B17010G_034M,B17010G_035E,B17010G_035M,B17010G_036E,B17010G_036M,B17010G_037E,B17010G_037M,B17010G_038E,B17010G_038M,B17010G_039E,B17010G_039M,B17010G_040E,B17010G_040M,B17010G_041E,B17010G_041M,B17010G_001M,B17010G_001EA,B17010G_001MA,B17010G_002M,B17010G_002EA,B17010G_002MA,B17010G_003M,B17010G_003EA,B17010G_003MA,B17010G_004M,B17010G_004EA,B17010G_004MA,B17010G_005M,B17010G_005EA,B17010G_005MA,B17010G_006M,B17010G_006EA,B17010G_006MA,B17010G_007M,B17010G_007EA,B17010G_007MA,B17010G_008M,B17010G_008EA,B17010G_008MA,B17010G_009M,B17010G_009EA,B17010G_009MA,B17010G_010M,B17010G_010EA,B17010G_010MA,B17010G_011M,B17010G_011EA,B17010G_011MA,B17010G_012M,B17010G_012EA,B17010G_012MA,B17010G_013M,B17010G_013EA,B17010G_013MA,B17010G_014M,B17010G_014EA,B17010G_014MA,B17010G_015M,B17010G_015EA,B17010G_015MA,B17010G_016M,B17010G_016EA,B17010G_016MA,B17010G_017M,B17010G_017EA,B17010G_017MA,B17010G_018M,B17010G_018EA,B17010G_018MA,B17010G_019M,B17010G_019EA,B17010G_019MA,B17010G_020M,B17010G_020EA,B17010G_020MA,B17010G_021M,B17010G_021EA,B17010G_021MA,B17010G_022M,B17010G_022EA,B17010G_022MA,B17010G_023M,B17010G_023EA,B17010G_023MA,B17010G_024M,B17010G_024EA,B17010G_024MA,B17010G_025M,B17010G_025EA,B17010G_025MA,B17010G_026M,B17010G_026EA,B17010G_026MA,B17010G_027M,B17010G_027EA,B17010G_027MA,B17010G_028M,B17010G_028EA,B17010G_028MA,B17010G_029M,B17010G_029EA,B17010G_029MA,B17010G_030M,B17010G_030EA,B17010G_030MA,B17010G_031M,B17010G_031EA,B17010G_031MA,B17010G_032M,B17010G_032EA,B17010G_032MA,B17010G_033M,B17010G_033EA,B17010G_033MA,B17010G_034M,B17010G_034EA,B17010G_034MA,B17010G_035M,B17010G_035EA,B17010G_035MA,B17010G_036M,B17010G_036EA,B17010G_036MA,B17010G_037M,B17010G_037EA,B17010G_037MA,B17010G_038M,B17010G_038EA,B17010G_038MA,B17010G_039M,B17010G_039EA,B17010G_039MA,B17010G_040M,B17010G_040EA,B17010G_040MA,B17010G_041M,B17010G_041EA,B17010G_041MA,state
78987,4339,12423,2148,5110,1428,3561,1187,120,153,1782,845,1659,817,1549,662,7313,1656,605,390,259,298,0,221,0,221,259,298,346,316,6708,1536,5700,1344,1232,664,1763,898,2705,1075,1008,506,66564,4045,46551,3906,23497,2614,4585,988,5571,1295,13341,1992,23054,2459,20013,2290,5703,1401,3019,1190,464,592,593,556,1962,879,2684,859,14310,1885,8758,1647,1642,687,1736,780,5380,1224,5552,1002,4339,null,null,2148,null,null,1428,null,null,1187,null,null,153,null,null,845,null,null,817,null,null,662,null,null,1656,null,null,390,null,null,298,null,null,221,null,null,221,null,null,298,null,null,316,null,null,1536,null,null,1344,null,null,664,null,null,898,null,null,1075,null,null,506,null,null,4045,null,null,3906,null,null,2614,null,null,988,null,null,1295,null,null,1992,null,null,2459,null,null,2290,null,null,1401,null,null,1190,null,null,592,null,null,556,null,null,879,null,null,859,null,null,1885,null,null,1647,null,null,687,null,null,780,null,null,1224,null,null,1002,null,null,12
35907,3391,5024,1371,1401,536,1036,463,132,138,415,306,489,295,365,252,3623,1155,819,574,653,510,157,183,63,104,433,463,166,261,2804,976,2537,940,434,307,592,420,1511,750,267,300,30883,3017,22837,2431,12319,1963,2657,1006,3119,1088,6543,1213,10518,1955,8046,1502,2713,862,1170,618,279,305,22,47,869,519,1543,586,5333,1243,3236,980,708,535,203,213,2325,766,2097,857,3391,null,null,1371,null,null,536,null,null,463,null,null,138,null,null,306,null,null,295,null,null,252,null,null,1155,null,null,574,null,null,510,null,null,183,null,null,104,null,null,463,null,null,261,null,null,976,null,null,940,null,null,307,null,null,420,null,null,750,null,null,300,null,null,3017,null,null,2431,null,null,1963,null,null,1006,null,null,1088,null,null,1213,null,null,1955,null,null,1502,null,null,862,null,null,618,null,null,305,null,null,47,null,null,519,null,null,586,null,null,1243,null,null,980,null,null,535,null,null,213,null,null,766,null,null,857,null,null,13
56238,3085,3850,888,887,419,581,343,0,185,211,181,370,277,306,224,2963,761,763,422,506,295,153,186,16,26,337,235,257,330,2200,677,2048,644,306,243,1135,577,607,399,152,130,52388,3126,36987,2681,21074,2183,4171,1045,4587,1151,12316,1551,15913,1836,15401,1935,5698,1294,3754,1048,651,432,1116,648,1987,672,1944,643,9703,1269,4687,834,437,220,904,425,3346,776,5016,1106,3085,null,null,888,null,null,419,null,null,343,null,null,185,null,null,181,null,null,277,null,null,224,null,null,761,null,null,422,null,null,295,null,null,186,null,null,26,null,null,235,null,null,330,null,null,677,null,null,644,null,null,243,null,null,577,null,null,399,null,null,130,null,null,3126,null,null,2681,null,null,2183,null,null,1045,null,null,1151,null,null,1551,null,null,1836,null,null,1935,null,null,1294,null,null,1048,null,null,432,null,null,648,null,null,672,null,null,643,null,null,1269,null,null,834,null,null,220,null,null,425,null,null,776,null,null,1106,null,null,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
43934,3240,7226,1178,1517,628,1259,607,310,349,378,272,571,377,258,179,5709,1105,760,412,637,432,43,71,175,231,419,379,123,173,4949,1082,4582,1069,817,429,1555,720,2210,739,367,264,36708,2808,25084,2534,13576,1753,2420,815,2819,893,8337,1388,11508,1752,11624,1767,2977,1000,1255,719,167,221,229,163,859,644,1722,660,8647,1306,5069,1006,627,319,211,183,4231,964,3578,1013,3240,null,null,1178,null,null,628,null,null,607,null,null,349,null,null,272,null,null,377,null,null,179,null,null,1105,null,null,412,null,null,432,null,null,71,null,null,231,null,null,379,null,null,173,null,null,1082,null,null,1069,null,null,429,null,null,720,null,null,739,null,null,264,null,null,2808,null,null,2534,null,null,1753,null,null,815,null,null,893,null,null,1388,null,null,1752,null,null,1767,null,null,1000,null,null,719,null,null,221,null,null,163,null,null,644,null,null,660,null,null,1306,null,null,1006,null,null,319,null,null,183,null,null,964,null,null,1013,null,null,17
17357,2235,3613,1057,881,467,519,340,25,40,303,278,191,165,362,298,2732,881,464,280,246,258,187,250,59,99,0,192,218,279,2268,822,2112,776,482,290,561,366,1069,649,156,182,13744,2019,9160,1583,4161,1162,813,409,1353,644,1995,795,4999,1315,4584,1083,713,372,221,152,43,75,55,89,123,147,492,364,3871,1033,2911,1061,749,591,180,238,1982,792,960,419,2235,null,null,1057,null,null,467,null,null,340,null,null,40,null,null,278,null,null,165,null,null,298,null,null,881,null,null,280,null,null,258,null,null,250,null,null,99,null,null,192,null,null,279,null,null,822,null,null,776,null,null,290,null,null,366,null,null,649,null,null,182,null,null,2019,null,null,1583,null,null,1162,null,null,409,null,null,644,null,null,795,null,null,1315,null,null,1083,null,null,372,null,null,152,null,null,75,null,null,89,null,null,147,null,null,364,null,null,1033,null,null,1061,null,null,591,null,null,238,null,null,792,null,null,419,null,null,18
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
14993,1615,1845,649,416,239,394,240,104,122,42,57,248,187,22,37,1429,582,77,93,27,37,0,174,7,12,20,34,50,83,1352,579,1051,574,567,517,107,135,377,242,301,293,13148,1554,10201,1503,5645,1146,1484,708,1008,447,3153,831,4556,933,2947,705,1018,443,902,420,312,275,124,160,466,282,116,180,1929,617,1439,575,366,298,337,257,736,389,490,275,1615,null,null,649,null,null,239,null,null,240,null,null,122,null,null,57,null,null,187,null,null,37,null,null,582,null,null,93,null,null,37,null,null,174,null,null,12,null,null,34,null,null,83,null,null,579,null,null,574,null,null,517,null,null,135,null,null,242,null,null,293,null,null,1554,null,null,1503,null,null,1146,null,null,708,null,null,447,null,null,831,null,null,933,null,null,705,null,null,443,null,null,420,null,null,275,null,null,160,null,null,282,null,null,180,null,null,617,null,null,575,null,null,298,null,null,257,null,null,389,null,null,275,null,null,20
12450,1877,2600,874,625,310,471,260,53,106,227,208,191,130,154,139,1975,787,417,369,417,369,6,11,0,190,411,373,0,190,1558,716,1278,634,320,234,327,308,631,510,280,304,9850,1463,6300,1190,3026,897,624,441,425,319,1977,751,3274,866,3550,1006,773,438,328,361,198,326,0,190,130,129,445,305,2777,944,2116,753,566,366,438,520,1112,512,661,578,1877,null,null,874,null,null,310,null,null,260,null,null,106,null,null,208,null,null,130,null,null,139,null,null,787,null,null,369,null,null,369,null,null,11,null,null,190,null,null,373,null,null,190,null,null,716,null,null,634,null,null,234,null,null,308,null,null,510,null,null,304,null,null,1463,null,null,1190,null,null,897,null,null,441,null,null,319,null,null,751,null,null,866,null,null,1006,null,null,438,null,null,361,null,null,326,null,null,190,null,null,129,null,null,305,null,null,944,null,null,753,null,null,366,null,null,520,null,null,512,null,null,578,null,null,21
14482,2264,2604,1012,210,167,61,84,0,208,0,208,61,84,149,146,2394,1016,132,173,31,51,0,208,0,208,31,51,101,165,2262,1018,2180,1033,580,511,1113,833,487,324,82,123,11878,1913,9271,1749,3842,1237,1165,604,324,222,2353,997,5429,1208,2607,709,1293,561,814,497,49,91,120,221,645,452,479,328,1314,458,938,417,22,37,365,355,551,347,376,227,2264,null,null,1012,null,null,167,null,null,84,null,null,208,null,null,208,null,null,84,null,null,146,null,null,1016,null,null,173,null,null,51,null,null,208,null,null,208,null,null,51,null,null,165,null,null,1018,null,null,1033,null,null,511,null,null,833,null,null,324,null,null,123,null,null,1913,null,null,1749,null,null,1237,null,null,604,null,null,222,null,null,997,null,null,1208,null,null,709,null,null,561,null,null,497,null,null,91,null,null,221,null,null,452,null,null,328,null,null,458,null,null,417,null,null,37,null,null,355,null,null,347,null,null,227,null,null,22
