B98021_001E,B98021_002E,B98021_003E,B98021_004E,B98021_005E,B98021_006E,B98021_007E,B98021_008E,B98021_009E,B98021_010E,B98021_001EA,B98021_002EA,B98021_003EA,B98021_004EA,B98021_005EA,B98021_006EA,B98021_007EA,B98021_008EA,B98021_009EA,B98021_010EA,state
95.3,4.7,1.5,0.0,1.0,0.1,0.1,0.3,0.9,0.7,null,null,null,null,null,null,null,null,null,null,12
94.1,5.9,1.9,0.0,0.9,0.1,0.0,0.3,1.5,1.1,null,null,null,null,null,null,null,null,null,null,13
95.4,4.6,1.8,0.0,0.5,0.2,0.1,0.4,0.4,1.1,null,null,null,null,null,null,null,null,null,null,15
94.8,5.2,2.6,0.0,0.8,0.1,0.1,0.4,0.4,0.7,null,null,null,null,null,null,null,null,null,null,16
94.7,5.3,2.1,0.0,1.0,0.1,0.1,0.3,1.1,0.6,null,null,null,null,null,null,null,null,null,null,17
96.0,4.0,1.5,0.0,0.6,0.0,0.1,0.3,0.9,0.6,null,null,null,null,null,null,null,null,null,null,18
97.2,2.8,1.2,0.0,0.6,0.0,0.0,0.2,0.3,0.3,null,null,null,null,null,null,null,null,null,null,19
95.9,4.1,1.3,0.0,1.0,0.1,0.0,0.3,1.1,0.2,null,null,null,null,null,null,null,null,null,null,20
95.9,4.1,2.0,0.0,0.3,0.1,0.0,0.2,1.1,0.3,null,null,null,null,null,null,null,null,null,null,21
94.8,5.2,1.7,0.0,1.3,0.0,0.1,0.3,1.1,0.6,null,null,null,null,null,null,null,null,null,null,22
92.7,7.3,2.4,0.3,2.2,0.1,0.1,0.3,1.0,1.0,null,null,null,null,null,null,null,null,null,null,23
93.4,6.6,2.1,0.0,0.7,0.1,0.1,0.3,2.1,1.2,null,null,null,null,null,null,null,null,null,null,24
94.9,5.1,1.8,0.0,0.7,0.1,0.0,0.4,1.5,0.6,null,null,null,null,null,null,null,null,null,null,25
95.7,4.3,2.3,0.0,0.2,0.1,0.0,0.3,0.9,0.5,null,null,null,null,null,null,null,null,null,null,26
96.8,3.2,1.3,0.0,0.6,0.1,0.0,0.3,0.6,0.2,null,null,null,null,null,null,null,null,null,null,27
94.3,5.7,2.9,0.0,0.8,0.1,0.0,0.4,0.7,0.8,null,null,null,null,null,null,null,null,null,null,28
94.7,5.3,2.1,0.0,1.0,0.1,0.1,0.3,1.0,0.6,null,null,null,null,null,null,null,null,null,null,29
93.0,7.0,1.9,0.4,1.7,0.2,0.0,0.4,0.6,2.0,null,null,null,null,null,null,null,null,null,null,30
96.8,3.2,1.0,0.1,0.9,0.1,0.1,0.3,0.6,0.2,null,null,null,null,null,null,null,null,null,null,31
92.6,7.4,2.9,0.0,0.3,0.1,0.1,0.4,1.8,1.8,null,null,null,null,null,null,null,null,null,null,32
94.1,5.9,2.2,0.1,1.4,0.0,0.1,0.3,1.1,0.9,null,null,null,null,null,null,null,null,null,null,33
92.3,7.7,3.2,0.0,1.2,0.1,0.1,0.4,1.9,0.7,null,null,null,null,null,null,null,null,null,null,34
94.4,5.6,2.1,0.0,0.9,0.1,0.0,0.3,0.7,1.5,null,null,null,null,null,null,null,null,null,null,35
92.5,7.5,2.3,0.0,1.8,0.1,0.1,0.4,1.9,0.9,null,null,null,null,null,null,null,null,null,null,36
95.6,4.4,1.0,0.0,1.9,0.0,0.1,0.3,0.7,0.4,null,null,null,null,null,null,null,null,null,null,37
95.2,4.8,2.0,0.0,2.1,0.0,0.0,0.3,0.2,0.2,null,null,null,null,null,null,null,null,null,null,38
95.8,4.2,2.4,0.0,0.1,0.0,0.0,0.3,1.0,0.3,null,null,null,null,null,null,null,null,null,null,39
95.4,4.6,1.5,0.0,1.2,0.1,0.1,0.3,0.7,0.7,null,null,null,null,null,null,null,null,null,null,40
95.6,4.4,2.3,0.0,0.3,0.0,0.0,0.4,0.8,0.6,null,null,null,null,null,null,null,null,null,null,41
95.2,4.8,2.1,0.0,0.4,0.1,0.0,0.3,1.3,0.6,null,null,null,null,null,null,null,null,null,null,42
91.9,8.1,2.7,0.0,2.3,0.1,0.1,0.3,2.1,0.4,null,null,null,null,null,null,null,null,null,null,44
96.8,3.2,1.2,0.0,0.7,0.1,0.0,0.3,0.6,0.3,null,null,null,null,null,null,null,null,null,null,45
96.0,4.0,1.1,0.1,1.5,0.2,0.0,0.2,0.6,0.3,null,null,null,null,null,null,null,null,null,null,46
95.8,4.2,1.5,0.0,0.4,0.1,0.0,0.3,0.7,1.1,null,null,null,null,null,null,null,null,null,null,47
93.4,6.6,2.9,0.1,1.5,0.1,0.1,0.3,0.9,0.7,null,null,null,null,null,null,null,null,null,null,48
94.9,5.1,3.1,0.0,0.5,0.2,0.0,0.4,0.7,0.1,null,null,null,null,null,null,null,null,null,null,49
93.3,6.7,2.4,0.0,2.4,0.0,0.0,0.2,0.9,0.7,null,null,null,null,null,null,null,null,null,null,50
94.2,5.8,2.2,0.0,1.0,0.1,0.1,0.4,1.2,0.9,null,null,null,null,null,null,null,null,null,null,51
95.7,4.3,2.5,0.0,0.4,0.1,0.1,0.4,0.6,0.3,null,null,null,null,null,null,null,null,null,null,53
95.2,4.8,2.5,0.2,0.6,0.1,0.0,0.2,0.8,0.5,null,null,null,null,null,null,null,null,null,null,54
96.6,3.4,1.7,0.0,0.2,0.0,0.0,0.3,0.7,0.4,null,null,null,null,null,null,null,null,null,null,55
93.3,6.7,2.2,0.2,1.9,0.0,0.0,0.3,0.3,1.8,null,null,null,null,null,null,null,null,null,null,56
93.8,6.2,0.8,2.5,1.9,0.1,0.0,0.1,0.1,0.7,null,null,null,null,null,null,null,null,null,null,72
95.6,4.4,1.5,0.0,0.9,0.1,0.0,0.3,0.8,0.8,null,null,null,null,null,null,null,null,null,null,01
93.6,6.4,3.3,0.0,0.8,0.3,0.0,0.4,0.9,0.7,null,null,null,null,null,null,null,null,null,null,02
94.1,5.9,3.6,0.1,0.6,0.2,0.1,0.3,0.7,0.3,null,null,null,null,null,null,null,null,null,null,04
95.2,4.8,1.8,0.1,0.9,0.2,0.1,0.3,0.8,0.6,null,null,null,null,null,null,null,null,null,null,05
94.4,5.6,1.9,0.1,0.8,0.1,0.1,0.4,1.2,1.0,null,null,null,null,null,null,null,null,null,null,06
95.5,4.5,1.8,0.0,0.8,0.1,0.0,0.4,0.5,0.9,null,null,null,null,null,null,null,null,null,null,08
95.7,4.3,1.2,0.0,0.2,0.0,0.0,0.4,1.6,0.8,null,null,null,null,null,null,null,null,null,null,09
95.6,4.4,1.1,0.1,0.5,0.0,0.0,0.3,2.0,0.4,null,null,null,null,null,null,null,null,null,null,10
90.2,9.8,3.5,0.0,1.3,0.3,0.2,0.4,3.2,1.0,null,null,null,null,null,null,null,null,null,null,11
