B07011_001E,B07011_001M,B07011_002E,B07011_002M,B07011_003E,B07011_003M,B07011_004E,B07011_004M,B07011_005E,B07011_005M,B07011_006E,B07011_006M,B07011_001M,B07011_001EA,B07011_001MA,B07011_002M,B07011_002EA,B07011_002MA,B07011_003M,B07011_003EA,B07011_003MA,B07011_004M,B07011_004EA,B07011_004MA,B07011_005M,B07011_005EA,B07011_005MA,B07011_006M,B07011_006EA,B07011_006MA,state
23348,429,24356,458,17061,1421,16141,2520,17654,3211,23476,6489,429,null,null,458,null,null,1421,null,null,2520,null,null,3211,null,null,6489,null,null,54
30043,178,31044,174,22249,625,21606,918,22243,1970,15788,5066,178,null,null,174,null,null,625,null,null,918,null,null,1970,null,null,5066,null,null,55
29223,1248,31581,938,22914,2971,12068,2540,21735,3373,8758,16939,1248,null,null,938,null,null,2971,null,null,2540,null,null,3373,null,null,16939,null,null,56
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
24257,305,25214,257,19749,1011,18339,1716,18933,2714,18667,5566,305,null,null,257,null,null,1011,null,null,1716,null,null,2714,null,null,5566,null,null,01
31981,672,34367,1382,27402,2900,25839,5072,23843,2658,18038,4247,672,null,null,1382,null,null,2900,null,null,5072,null,null,2658,null,null,4247,null,null,02
27153,195,28127,394,24661,768,18033,1763,25499,1225,20781,1377,195,null,null,394,null,null,768,null,null,1763,null,null,1225,null,null,1377,null,null,04
23891,395,25009,384,19538,981,17598,1443,20543,1406,20260,3601,395,null,null,384,null,null,981,null,null,1443,null,null,1406,null,null,3601,null,null,05
29926,185,30250,94,26851,384,26103,665,30657,905,19687,1772,185,null,null,94,null,null,384,null,null,665,null,null,905,null,null,1772,null,null,06
32163,155,33841,440,27300,1115,29098,1684,26839,1401,22357,2577,155,null,null,440,null,null,1115,null,null,1684,null,null,1401,null,null,2577,null,null,08
35317,339,36125,370,29497,2435,26732,3718,31505,2391,16380,2716,339,null,null,370,null,null,2435,null,null,3718,null,null,2391,null,null,2716,null,null,09
31366,462,31871,492,25443,2864,12244,6383,30407,2343,16981,19585,462,null,null,492,null,null,2864,null,null,6383,null,null,2343,null,null,19585,null,null,10
42082,919,42921,2539,48626,6220,-666666666,-222222222,29599,6018,39873,12796,919,null,null,2539,null,null,6220,null,null,-222222222,-,**,6018,null,null,12796,null,null,11
