B12002C_001E,B12002C_001M,B12002C_002E,B12002C_002M,B12002C_003E,B12002C_003M,B12002C_004E,B12002C_004M,B12002C_005E,B12002C_005M,B12002C_006E,B12002C_006M,B12002C_007E,B12002C_007M,B12002C_008E,B12002C_008M,B12002C_009E,B12002C_009M,B12002C_010E,B12002C_010M,B12002C_011E,B12002C_011M,B12002C_012E,B12002C_012M,B12002C_013E,B12002C_013M,B12002C_001M,B12002C_001EA,B12002C_001MA,B12002C_002M,B12002C_002EA,B12002C_002MA,B12002C_003M,B12002C_003EA,B12002C_003MA,B12002C_004M,B12002C_004EA,B12002C_004MA,B12002C_005M,B12002C_005EA,B12002C_005MA,B12002C_006M,B12002C_006EA,B12002C_006MA,B12002C_007M,B12002C_007EA,B12002C_007MA,B12002C_008M,B12002C_008EA,B12002C_008MA,B12002C_009M,B12002C_009EA,B12002C_009MA,B12002C_010M,B12002C_010EA,B12002C_010MA,B12002C_011M,B12002C_011EA,B12002C_011MA,B12002C_012M,B12002C_012EA,B12002C_012MA,B12002C_013M,B12002C_013EA,B12002C_013MA,state
46018,4898,24642,3155,9927,2387,10555,1357,356,311,825,576,2979,733,21376,2798,6842,1620,9063,1610,1461,766,1510,638,2500,716,4898,null,null,3155,null,null,2387,null,null,1357,null,null,311,null,null,576,null,null,733,null,null,2798,null,null,1620,null,null,1610,null,null,766,null,null,638,null,null,716,null,null,12
29790,4247,13869,2657,6914,2123,5216,1145,254,263,332,333,1153,597,15921,2601,4692,1458,7171,1505,430,375,1771,686,1857,724,4247,null,null,2657,null,null,2123,null,null,1145,null,null,263,null,null,333,null,null,597,null,null,2601,null,null,1458,null,null,1505,null,null,375,null,null,686,null,null,724,null,null,13
2072,657,1148,555,518,401,449,255,0,185,0,185,181,191,924,403,284,262,305,256,15,23,0,185,320,239,657,null,null,555,null,null,401,null,null,255,null,null,185,null,null,185,null,null,191,null,null,403,null,null,262,null,null,256,null,null,23,null,null,185,null,null,239,null,null,15
20206,2347,10091,1454,3394,965,4226,1110,288,229,183,166,2000,553,10115,1426,3820,977,3971,1081,310,197,436,282,1578,552,2347,null,null,1454,null,null,965,null,null,1110,null,null,229,null,null,166,null,null,553,null,null,1426,null,null,977,null,null,1081,null,null,197,null,null,282,null,null,552,null,null,16
25054,3063,13964,2321,5362,1370,6670,1342,204,192,207,186,1521,563,11090,1413,4227,995,4596,934,267,247,787,371,1213,507,3063,null,null,2321,null,null,1370,null,null,1342,null,null,192,null,null,186,null,null,563,null,null,1413,null,null,995,null,null,934,null,null,247,null,null,371,null,null,507,null,null,17
15478,2117,8145,1612,2416,628,3213,984,320,259,91,161,2105,803,7333,1387,1694,763,3619,863,334,276,408,373,1278,612,2117,null,null,1612,null,null,628,null,null,984,null,null,259,null,null,161,null,null,803,null,null,1387,null,null,763,null,null,863,null,null,276,null,null,373,null,null,612,null,null,18
8397,1337,4257,1043,1650,543,1715,621,0,159,153,147,739,415,4140,978,1473,552,1583,643,28,48,322,267,734,377,1337,null,null,1043,null,null,543,null,null,621,null,null,159,null,null,147,null,null,415,null,null,978,null,null,552,null,null,643,null,null,48,null,null,267,null,null,377,null,null,19
17587,2041,9010,1230,3200,735,3327,645,152,163,180,131,2151,652,8577,1354,2752,1030,3724,768,310,245,538,283,1253,522,2041,null,null,1230,null,null,735,null,null,645,null,null,163,null,null,131,null,null,652,null,null,1354,null,null,1030,null,null,768,null,null,245,null,null,283,null,null,522,null,null,20
9855,2172,4205,1020,1428,575,1469,688,143,200,568,455,597,478,5650,1737,1184,871,2856,1047,52,66,531,351,1027,608,2172,null,null,1020,null,null,575,null,null,688,null,null,200,null,null,455,null,null,478,null,null,1737,null,null,871,null,null,1047,null,null,66,null,null,351,null,null,608,null,null,21
19959,1862,9602,1160,3926,1049,4279,972,67,92,137,123,1193,485,10357,1351,2772,923,3734,898,984,554,1123,480,1744,563,1862,null,null,1160,null,null,1049,null,null,972,null,null,92,null,null,123,null,null,485,null,null,1351,null,null,923,null,null,898,null,null,554,null,null,480,null,null,563,null,null,22
