B17022_001E,B17022_001M,B17022_002E,B17022_002M,B17022_003E,B17022_003M,B17022_004E,B17022_004M,B17022_005E,B17022_005M,B17022_006E,B17022_006M,B17022_007E,B17022_007M,B17022_008E,B17022_008M,B17022_009E,B17022_009M,B17022_010E,B17022_010M,B17022_011E,B17022_011M,B17022_012E,B17022_012M,B17022_013E,B17022_013M,B17022_014E,B17022_014M,B17022_015E,B17022_015M,B17022_016E,B17022_016M,B17022_017E,B17022_017M,B17022_018E,B17022_018M,B17022_019E,B17022_019M,B17022_020E,B17022_020M,B17022_021E,B17022_021M,B17022_022E,B17022_022M,B17022_023E,B17022_023M,B17022_024E,B17022_024M,B17022_025E,B17022_025M,B17022_026E,B17022_026M,B17022_027E,B17022_027M,B17022_028E,B17022_028M,B17022_029E,B17022_029M,B17022_030E,B17022_030M,B17022_031E,B17022_031M,B17022_032E,B17022_032M,B17022_033E,B17022_033M,B17022_034E,B17022_034M,B17022_035E,B17022_035M,B17022_036E,B17022_036M,B17022_037E,B17022_037M,B17022_038E,B17022_038M,B17022_039E,B17022_039M,B17022_040E,B17022_040M,B17022_041E,B17022_041M,B17022_042E,B17022_042M,B17022_043E,B17022_043M,B17022_044E,B17022_044M,B17022_045E,B17022_045M,B17022_046E,B17022_046M,B17022_047E,B17022_047M,B17022_048E,B17022_048M,B17022_049E,B17022_049M,B17022_050E,B17022_050M,B17022_051E,B17022_051M,B17022_052E,B17022_052M,B17022_053E,B17022_053M,B17022_054E,B17022_054M,B17022_055E,B17022_055M,B17022_056E,B17022_056M,B17022_057E,B17022_057M,B17022_058E,B17022_058M,B17022_059E,B17022_059M,B17022_060E,B17022_060M,B17022_061E,B17022_061M,B17022_062E,B17022_062M,B17022_063E,B17022_063M,B17022_064E,B17022_064M,B17022_065E,B17022_065M,B17022_066E,B17022_066M,B17022_067E,B17022_067M,B17022_068E,B17022_068M,B17022_069E,B17022_069M,B17022_070E,B17022_070M,B17022_071E,B17022_071M,B17022_072E,B17022_072M,B17022_073E,B17022_073M,B17022_074E,B17022_074M,B17022_075E,B17022_075M,B17022_076E,B17022_076M,B17022_077E,B17022_077M,B17022_078E,B17022_078M,B17022_079E,B17022_079M,B17022_080E,B17022_080M,B17022_081E,B17022_081M,B17022_001M,B17022_001EA,B17022_001MA,B17022_002M,B17022_002EA,B17022_002MA,B17022_003M,B17022_003EA,B17022_003MA,B17022_004M,B17022_004EA,B17022_004MA,B17022_005M,B17022_005EA,B17022_005MA,B17022_006M,B17022_006EA,B17022_006MA,B17022_007M,B17022_007EA,B17022_007MA,B17022_008M,B17022_008EA,B17022_008MA,B17022_009M,B17022_009EA,B17022_009MA,B17022_010M,B17022_010EA,B17022_010MA,B17022_011M,B17022_011EA,B17022_011MA,B17022_012M,B17022_012EA,B17022_012MA,B17022_013M,B17022_013EA,B17022_013MA,B17022_014M,B17022_014EA,B17022_014MA,B17022_015M,B17022_015EA,B17022_015MA,B17022_016M,B17022_016EA,B17022_016MA,B17022_017M,B17022_017EA,B17022_017MA,B17022_018M,B17022_018EA,B17022_018MA,B17022_019M,B17022_019EA,B17022_019MA,B17022_020M,B17022_020EA,B17022_020MA,B17022_021M,B17022_021EA,B17022_021MA,B17022_022M,B17022_022EA,B17022_022MA,B17022_023M,B17022_023EA,B17022_023MA,B17022_024M,B17022_024EA,B17022_024MA,B17022_025M,B17022_025EA,B17022_025MA,B17022_026M,B17022_026EA,B17022_026MA,B17022_027M,B17022_027EA,B17022_027MA,B17022_028M,B17022_028EA,B17022_028MA,B17022_029M,B17022_029EA,B17022_029MA,B17022_030M,B17022_030EA,B17022_030MA,B17022_031M,B17022_031EA,B17022_031MA,B17022_032M,B17022_032EA,B17022_032MA,B17022_033M,B17022_033EA,B17022_033MA,B17022_034M,B17022_034EA,B17022_034MA,B17022_035M,B17022_035EA,B17022_035MA,B17022_036M,B17022_036EA,B17022_036MA,B17022_037M,B17022_037EA,B17022_037MA,B17022_038M,B17022_038EA,B17022_038MA,B17022_039M,B17022_039EA,B17022_039MA,B17022_040M,B17022_040EA,B17022_040MA,B17022_041M,B17022_041EA,B17022_041MA,B17022_042M,B17022_042EA,B17022_042MA,B17022_043M,B17022_043EA,B17022_043MA,B17022_044M,B17022_044EA,B17022_044MA,B17022_045M,B17022_045EA,B17022_045MA,B17022_046M,B17022_046EA,B17022_046MA,B17022_047M,B17022_047EA,B17022_047MA,B17022_048M,B17022_048EA,B17022_048MA,B17022_049M,B17022_049EA,B17022_049MA,B17022_050M,B17022_050EA,B17022_050MA,B17022_051M,B17022_051EA,B17022_051MA,B17022_052M,B17022_052EA,B17022_052MA,B17022_053M,B17022_053EA,B17022_053MA,B17022_054M,B17022_054EA,B17022_054MA,B17022_055M,B17022_055EA,B17022_055MA,B17022_056M,B17022_056EA,B17022_056MA,B17022_057M,B17022_057EA,B17022_057MA,B17022_058M,B17022_058EA,B17022_058MA,B17022_059M,B17022_059EA,B17022_059MA,B17022_060M,B17022_060EA,B17022_060MA,B17022_061M,B17022_061EA,B17022_061MA,B17022_062M,B17022_062EA,B17022_062MA,B17022_063M,B17022_063EA,B17022_063MA,B17022_064M,B17022_064EA,B17022_064MA,B17022_065M,B17022_065EA,B17022_065MA,B17022_066M,B17022_066EA,B17022_066MA,B17022_067M,B17022_067EA,B17022_067MA,B17022_068M,B17022_068EA,B17022_068MA,B17022_069M,B17022_069EA,B17022_069MA,B17022_070M,B17022_070EA,B17022_070MA,B17022_071M,B17022_071EA,B17022_071MA,B17022_072M,B17022_072EA,B17022_072MA,B17022_073M,B17022_073EA,B17022_073MA,B17022_074M,B17022_074EA,B17022_074MA,B17022_075M,B17022_075EA,B17022_075MA,B17022_076M,B17022_076EA,B17022_076MA,B17022_077M,B17022_077EA,B17022_077MA,B17022_078M,B17022_078EA,B17022_078MA,B17022_079M,B17022_079EA,B17022_079MA,B17022_080M,B17022_080EA,B17022_080MA,B17022_081M,B17022_081EA,B17022_081MA,state
4864461,24241,765932,14267,347065,10171,176973,7499,27495,2900,53567,4557,95911,5357,170092,6738,418867,10655,76865,4663,52918,3695,12594,1957,11972,1772,28352,2900,23947,2603,342002,9731,271782,9515,46024,4298,70832,4817,154926,7002,70220,5155,172242,7728,96593,5306,47768,3869,6612,1456,12702,1814,28454,3125,48825,3952,75649,5227,17285,2643,9250,1677,1652,673,2613,899,4985,1357,8035,1703,58364,4386,40895,3283,6490,1423,9183,1872,25222,2889,17469,2530,312977,9867,179430,6754,79906,4993,12630,2175,19043,2081,48233,4278,99524,4707,133547,7155,34769,3763,20139,2732,4736,1225,3292,1130,12111,2149,14630,1981,98778,6262,64670,5634,9856,1900,11173,2633,43641,4086,34108,3155,3613310,24380,2890706,23223,927455,15641,173301,8187,145651,6599,608503,12297,1963251,17507,722604,12710,235954,7658,101047,5325,19394,2916,8833,1774,72820,4538,134907,5031,486650,9936,218141,8441,29341,3208,20382,2818,168418,7426,268509,8377,24241,null,null,14267,null,null,10171,null,null,7499,null,null,2900,null,null,4557,null,null,5357,null,null,6738,null,null,10655,null,null,4663,null,null,3695,null,null,1957,null,null,1772,null,null,2900,null,null,2603,null,null,9731,null,null,9515,null,null,4298,null,null,4817,null,null,7002,null,null,5155,null,null,7728,null,null,5306,null,null,3869,null,null,1456,null,null,1814,null,null,3125,null,null,3952,null,null,5227,null,null,2643,null,null,1677,null,null,673,null,null,899,null,null,1357,null,null,1703,null,null,4386,null,null,3283,null,null,1423,null,null,1872,null,null,2889,null,null,2530,null,null,9867,null,null,6754,null,null,4993,null,null,2175,null,null,2081,null,null,4278,null,null,4707,null,null,7155,null,null,3763,null,null,2732,null,null,1225,null,null,1130,null,null,2149,null,null,1981,null,null,6262,null,null,5634,null,null,1900,null,null,2633,null,null,4086,null,null,3155,null,null,24380,null,null,23223,null,null,15641,null,null,8187,null,null,6599,null,null,12297,null,null,17507,null,null,12710,null,null,7658,null,null,5325,null,null,2916,null,null,1774,null,null,4538,null,null,5031,null,null,9936,null,null,8441,null,null,3208,null,null,2818,null,null,7426,null,null,8377,null,null,12
2479003,18252,418670,10800,156669,6806,95924,5874,14813,2522,36527,3800,44584,4105,60745,4194,262001,9594,44420,4436,29946,3576,7177,1706,7840,1814,14929,2481,14474,2480,217581,8179,179768,8008,30019,3207,50493,4336,99256,6156,37813,3251,83970,4495,43509,3712,25117,3077,4153,1178,6937,1681,14027,2250,18392,2316,40461,3264,9831,1898,7732,1750,2797,1075,1408,676,3527,1133,2099,747,30630,2701,20793,2486,3618,1112,3443,1080,13732,2032,9837,1389,148272,6575,84107,4796,46012,3952,8898,2012,11148,1816,25966,2962,38095,2799,64165,4308,15729,2192,10723,1868,2192,901,2072,1044,6459,1466,5006,1317,48436,4202,33305,3737,3835,1100,4623,1316,24847,3116,15131,2091,1828091,17770,1463811,17521,605941,10327,106236,5799,101086,6090,398619,10311,857870,13741,364280,10568,104982,5687,49349,3914,9864,1907,4621,1442,34864,3369,55633,4596,259298,8756,134363,6107,19511,2970,13498,2579,101354,4928,124935,6049,18252,null,null,10800,null,null,6806,null,null,5874,null,null,2522,null,null,3800,null,null,4105,null,null,4194,null,null,9594,null,null,4436,null,null,3576,null,null,1706,null,null,1814,null,null,2481,null,null,2480,null,null,8179,null,null,8008,null,null,3207,null,null,4336,null,null,6156,null,null,3251,null,null,4495,null,null,3712,null,null,3077,null,null,1178,null,null,1681,null,null,2250,null,null,2316,null,null,3264,null,null,1898,null,null,1750,null,null,1075,null,null,676,null,null,1133,null,null,747,null,null,2701,null,null,2486,null,null,1112,null,null,1080,null,null,2032,null,null,1389,null,null,6575,null,null,4796,null,null,3952,null,null,2012,null,null,1816,null,null,2962,null,null,2799,null,null,4308,null,null,2192,null,null,1868,null,null,901,null,null,1044,null,null,1466,null,null,1317,null,null,4202,null,null,3737,null,null,1100,null,null,1316,null,null,3116,null,null,2091,null,null,17770,null,null,17521,null,null,10327,null,null,5799,null,null,6090,null,null,10311,null,null,13741,null,null,10568,null,null,5687,null,null,3914,null,null,1907,null,null,1442,null,null,3369,null,null,4596,null,null,8756,null,null,6107,null,null,2970,null,null,2579,null,null,4928,null,null,6049,null,null,13
315505,5105,29350,2697,14649,1879,7867,1510,1595,610,2602,837,3670,972,6782,1183,14701,1951,3829,902,2492,699,449,241,500,394,1543,550,1337,676,10872,1740,8951,1526,1334,593,3003,963,4614,936,1921,664,6938,1427,3891,1053,2637,981,530,316,893,484,1214,659,1254,562,3047,806,838,568,397,411,0,185,268,354,129,215,441,388,2209,677,1697,623,99,102,160,227,1438,563,512,291,14461,1981,8558,1461,5416,1255,1034,582,1708,694,2674,905,3142,708,5903,1170,2482,792,1767,750,784,569,184,164,799,457,715,368,3421,888,2266,662,181,174,823,477,1262,516,1155,499,264756,5084,209138,4301,84999,3898,16830,1776,16371,1876,51798,2972,124139,4448,55618,3779,18868,2192,9023,1752,1811,648,1562,724,5650,1355,9845,1678,36750,3187,16147,2010,2048,666,2305,784,11794,1591,20603,2093,5105,null,null,2697,null,null,1879,null,null,1510,null,null,610,null,null,837,null,null,972,null,null,1183,null,null,1951,null,null,902,null,null,699,null,null,241,null,null,394,null,null,550,null,null,676,null,null,1740,null,null,1526,null,null,593,null,null,963,null,null,936,null,null,664,null,null,1427,null,null,1053,null,null,981,null,null,316,null,null,484,null,null,659,null,null,562,null,null,806,null,null,568,null,null,411,null,null,185,null,null,354,null,null,215,null,null,388,null,null,677,null,null,623,null,null,102,null,null,227,null,null,563,null,null,291,null,null,1981,null,null,1461,null,null,1255,null,null,582,null,null,694,null,null,905,null,null,708,null,null,1170,null,null,792,null,null,750,null,null,569,null,null,164,null,null,457,null,null,368,null,null,888,null,null,662,null,null,174,null,null,477,null,null,516,null,null,499,null,null,5084,null,null,4301,null,null,3898,null,null,1776,null,null,1876,null,null,2972,null,null,4448,null,null,3779,null,null,2192,null,null,1752,null,null,648,null,null,724,null,null,1355,null,null,1678,null,null,3187,null,null,2010,null,null,666,null,null,784,null,null,1591,null,null,2093,null,null,15
411617,7286,61123,4237,31292,3071,17838,2300,3735,950,6232,1247,7871,1505,13454,1772,29831,3095,6478,1528,5661,1432,570,349,1369,649,3722,1252,817,402,23353,2732,20658,2537,3861,908,5538,1301,11259,1748,2695,837,12018,1873,7274,1336,4935,1089,295,254,2423,825,2217,751,2339,609,4744,1375,1525,690,1324,677,284,216,515,475,525,427,201,180,3219,1114,2727,1067,283,278,111,138,2333,966,492,330,25749,2259,18927,1784,12304,1615,2452,714,4085,1023,5767,1115,6623,1104,6822,1560,3200,1285,2504,1193,344,276,709,613,1451,899,696,479,3622,812,2524,768,83,88,45,75,2396,744,1098,431,312727,7657,271413,7347,99432,5386,15497,1898,23420,2527,60515,3862,171981,6126,41314,3023,16191,2098,8176,1414,2367,966,1073,476,4736,1145,8015,1609,25123,2402,11599,1841,1506,673,1064,481,9029,1814,13524,1779,7286,null,null,4237,null,null,3071,null,null,2300,null,null,950,null,null,1247,null,null,1505,null,null,1772,null,null,3095,null,null,1528,null,null,1432,null,null,349,null,null,649,null,null,1252,null,null,402,null,null,2732,null,null,2537,null,null,908,null,null,1301,null,null,1748,null,null,837,null,null,1873,null,null,1336,null,null,1089,null,null,254,null,null,825,null,null,751,null,null,609,null,null,1375,null,null,690,null,null,677,null,null,216,null,null,475,null,null,427,null,null,180,null,null,1114,null,null,1067,null,null,278,null,null,138,null,null,966,null,null,330,null,null,2259,null,null,1784,null,null,1615,null,null,714,null,null,1023,null,null,1115,null,null,1104,null,null,1560,null,null,1285,null,null,1193,null,null,276,null,null,613,null,null,899,null,null,479,null,null,812,null,null,768,null,null,88,null,null,75,null,null,744,null,null,431,null,null,7657,null,null,7347,null,null,5386,null,null,1898,null,null,2527,null,null,3862,null,null,6126,null,null,3023,null,null,2098,null,null,1414,null,null,966,null,null,476,null,null,1145,null,null,1609,null,null,2402,null,null,1841,null,null,673,null,null,481,null,null,1814,null,null,1779,null,null,16
3100613,17145,420359,10377,161688,6233,96512,5179,12552,1844,29262,3109,54698,3821,65176,4024,258671,7926,43319,3339,32543,3388,7775,1585,8198,1573,16570,2476,10776,1506,215352,7216,174732,6472,29883,3268,44352,3393,100497,4671,40620,3030,82813,3394,45296,2627,26388,2146,3658,955,8313,1375,14417,1638,18908,1579,37517,2793,8583,1475,5126,1195,1189,600,1275,613,2662,900,3457,801,28934,2572,21451,2255,3045,907,3732,1108,14674,1998,7483,1103,160951,6283,88200,4071,50016,3092,5813,1219,13882,1906,30321,2705,38184,2545,72751,4148,17641,2382,13076,2199,3259,1025,2399,1012,7418,1584,4565,952,55110,3268,36894,2928,4300,993,5588,1392,27006,2403,18216,1704,2436490,16376,1971602,15949,795225,10887,147852,5014,134235,5735,513138,9639,1176377,13045,464888,11696,154615,7570,70998,4693,14649,2498,6745,1357,49604,4088,83617,5173,310273,8411,145532,6414,18653,2455,12040,1737,114839,6021,164741,6687,17145,null,null,10377,null,null,6233,null,null,5179,null,null,1844,null,null,3109,null,null,3821,null,null,4024,null,null,7926,null,null,3339,null,null,3388,null,null,1585,null,null,1573,null,null,2476,null,null,1506,null,null,7216,null,null,6472,null,null,3268,null,null,3393,null,null,4671,null,null,3030,null,null,3394,null,null,2627,null,null,2146,null,null,955,null,null,1375,null,null,1638,null,null,1579,null,null,2793,null,null,1475,null,null,1195,null,null,600,null,null,613,null,null,900,null,null,801,null,null,2572,null,null,2255,null,null,907,null,null,1108,null,null,1998,null,null,1103,null,null,6283,null,null,4071,null,null,3092,null,null,1219,null,null,1906,null,null,2705,null,null,2545,null,null,4148,null,null,2382,null,null,2199,null,null,1025,null,null,1012,null,null,1584,null,null,952,null,null,3268,null,null,2928,null,null,993,null,null,1392,null,null,2403,null,null,1704,null,null,16376,null,null,15949,null,null,10887,null,null,5014,null,null,5735,null,null,9639,null,null,13045,null,null,11696,null,null,7570,null,null,4693,null,null,2498,null,null,1357,null,null,4088,null,null,5173,null,null,8411,null,null,6414,null,null,2455,null,null,1737,null,null,6021,null,null,6687,null,null,17
1645758,11176,224600,6610,86713,3969,53521,2859,7989,1285,20841,2021,24691,2191,33192,2598,137887,6102,24291,2812,19665,2558,4690,1290,3527,1070,11448,1847,4626,1052,113596,5877,99227,5112,21222,2495,25348,2758,52657,3581,14369,2137,51745,4336,26410,2547,15727,1690,2793,721,5388,1265,7546,1232,10683,1452,25335,3137,5792,1343,3878,1154,1020,544,1298,686,1560,643,1914,672,19543,2672,15122,2234,2292,971,2008,887,10822,1611,4421,1224,96871,5013,55002,3333,29655,2968,4272,1160,10626,1838,14757,1756,25347,1907,41869,3618,12846,2225,9368,1909,2963,1030,1679,719,4726,1218,3478,926,29023,2893,20496,2725,3732,1273,3721,1112,13043,1874,8527,1329,1272542,11263,1057130,10935,397905,7541,76437,4049,73290,4370,248178,6185,659225,8669,215412,7136,78438,3734,38403,3070,6835,1553,4560,1148,27008,2649,40035,2760,136974,5848,66125,4066,7949,1301,6297,1410,51879,3778,70849,4092,11176,null,null,6610,null,null,3969,null,null,2859,null,null,1285,null,null,2021,null,null,2191,null,null,2598,null,null,6102,null,null,2812,null,null,2558,null,null,1290,null,null,1070,null,null,1847,null,null,1052,null,null,5877,null,null,5112,null,null,2495,null,null,2758,null,null,3581,null,null,2137,null,null,4336,null,null,2547,null,null,1690,null,null,721,null,null,1265,null,null,1232,null,null,1452,null,null,3137,null,null,1343,null,null,1154,null,null,544,null,null,686,null,null,643,null,null,672,null,null,2672,null,null,2234,null,null,971,null,null,887,null,null,1611,null,null,1224,null,null,5013,null,null,3333,null,null,2968,null,null,1160,null,null,1838,null,null,1756,null,null,1907,null,null,3618,null,null,2225,null,null,1909,null,null,1030,null,null,719,null,null,1218,null,null,926,null,null,2893,null,null,2725,null,null,1273,null,null,1112,null,null,1874,null,null,1329,null,null,11263,null,null,10935,null,null,7541,null,null,4049,null,null,4370,null,null,6185,null,null,8669,null,null,7136,null,null,3734,null,null,3070,null,null,1553,null,null,1148,null,null,2649,null,null,2760,null,null,5848,null,null,4066,null,null,1301,null,null,1410,null,null,3778,null,null,4092,null,null,18
795043,8419,87547,3646,35060,2922,20285,2340,2085,645,9020,1673,9180,1286,14775,1728,52487,3181,10050,1513,8117,1445,1803,841,1750,733,4564,1079,1933,536,42437,2757,38681,2787,9833,1548,9139,1550,19709,2382,3756,828,17741,1640,9833,1176,4805,891,925,416,1549,459,2331,680,5028,807,7908,1219,1952,644,1496,523,246,185,472,433,778,358,456,405,5956,1023,4925,950,1107,502,882,449,2936,660,1031,383,39243,2998,24543,2432,12440,1586,1673,567,4329,853,6438,1154,12103,1537,14700,1750,4109,755,3522,714,1087,451,839,410,1596,514,587,308,10591,1565,8748,1589,1880,840,1026,474,5842,1221,1843,547,650512,8249,561557,7452,216842,5662,42211,3054,41399,3337,133232,4552,344715,6276,88955,3919,34156,2727,19557,1998,5484,1085,2103,601,11970,1560,14599,1973,54799,3133,30725,2461,4343,862,2809,733,23573,2266,24074,2192,8419,null,null,3646,null,null,2922,null,null,2340,null,null,645,null,null,1673,null,null,1286,null,null,1728,null,null,3181,null,null,1513,null,null,1445,null,null,841,null,null,733,null,null,1079,null,null,536,null,null,2757,null,null,2787,null,null,1548,null,null,1550,null,null,2382,null,null,828,null,null,1640,null,null,1176,null,null,891,null,null,416,null,null,459,null,null,680,null,null,807,null,null,1219,null,null,644,null,null,523,null,null,185,null,null,433,null,null,358,null,null,405,null,null,1023,null,null,950,null,null,502,null,null,449,null,null,660,null,null,383,null,null,2998,null,null,2432,null,null,1586,null,null,567,null,null,853,null,null,1154,null,null,1537,null,null,1750,null,null,755,null,null,714,null,null,451,null,null,410,null,null,514,null,null,308,null,null,1565,null,null,1589,null,null,840,null,null,474,null,null,1221,null,null,547,null,null,8249,null,null,7452,null,null,5662,null,null,3054,null,null,3337,null,null,4552,null,null,6276,null,null,3919,null,null,2727,null,null,1998,null,null,1085,null,null,601,null,null,1560,null,null,1973,null,null,3133,null,null,2461,null,null,862,null,null,733,null,null,2266,null,null,2192,null,null,19
716005,8245,86805,4014,36306,2420,22083,2156,3995,914,7614,1406,10474,1530,14223,1657,50499,3642,10159,1811,7376,1591,1938,783,1514,589,3924,1123,2783,931,40340,2966,33917,2633,8450,1176,8412,1416,17055,2075,6423,1249,21489,2037,12551,1691,8126,1482,1959,882,3309,839,2858,694,4425,786,8938,1413,2160,671,1849,639,238,202,334,317,1277,511,311,270,6778,1394,5354,1207,542,351,580,353,4232,1108,1424,669,40552,3213,24832,2271,13780,1569,1963,574,3937,858,7880,1300,11052,1567,15720,2194,4575,1026,3478,946,1093,589,348,252,2037,745,1097,497,11145,1859,9062,1718,2614,1145,985,451,5463,1379,2083,609,567159,7304,482281,7350,186895,5221,38237,2827,34498,2969,114160,4042,295386,5946,84878,4459,32566,2813,18414,2298,3638,1068,1965,754,12811,1719,14152,1818,52312,3383,27271,2779,3375,812,2424,632,21472,2473,25041,2061,8245,null,null,4014,null,null,2420,null,null,2156,null,null,914,null,null,1406,null,null,1530,null,null,1657,null,null,3642,null,null,1811,null,null,1591,null,null,783,null,null,589,null,null,1123,null,null,931,null,null,2966,null,null,2633,null,null,1176,null,null,1416,null,null,2075,null,null,1249,null,null,2037,null,null,1691,null,null,1482,null,null,882,null,null,839,null,null,694,null,null,786,null,null,1413,null,null,671,null,null,639,null,null,202,null,null,317,null,null,511,null,null,270,null,null,1394,null,null,1207,null,null,351,null,null,353,null,null,1108,null,null,669,null,null,3213,null,null,2271,null,null,1569,null,null,574,null,null,858,null,null,1300,null,null,1567,null,null,2194,null,null,1026,null,null,946,null,null,589,null,null,252,null,null,745,null,null,497,null,null,1859,null,null,1718,null,null,1145,null,null,451,null,null,1379,null,null,609,null,null,7304,null,null,7350,null,null,5221,null,null,2827,null,null,2969,null,null,4042,null,null,5946,null,null,4459,null,null,2813,null,null,2298,null,null,1068,null,null,754,null,null,1719,null,null,1818,null,null,3383,null,null,2779,null,null,812,null,null,632,null,null,2473,null,null,2061,null,null,20
1121404,10897,213023,7633,84894,4573,45766,3493,7103,1459,15290,2009,23373,2524,39128,3171,128129,5658,24720,2389,17519,2027,2965,832,3541,831,11013,1637,7201,1354,103409,4931,84951,4976,16460,2295,19063,2421,49428,3465,18458,2288,41196,3196,25570,2528,13075,1664,2616,756,3782,1024,6677,1218,12495,1556,15626,2092,4088,1114,2585,894,1125,616,317,319,1143,590,1503,647,11538,1809,7216,1420,1279,592,2388,879,3549,1049,4322,1296,68442,4478,41311,3164,19267,2072,3595,963,4643,1250,11029,1547,22044,2372,27131,2749,6850,1597,4733,1207,754,356,309,272,3670,1175,2117,857,20281,2436,13714,1967,2207,802,1342,711,10165,1678,6567,1287,798743,11733,660294,11169,246722,7011,46568,3248,39838,3021,160316,5423,413572,8268,138449,5384,47771,3349,23693,2450,3398,1076,1963,715,18332,2168,24078,2780,90678,4799,42610,3468,6013,1293,3998,1030,32599,2944,48068,3347,10897,null,null,7633,null,null,4573,null,null,3493,null,null,1459,null,null,2009,null,null,2524,null,null,3171,null,null,5658,null,null,2389,null,null,2027,null,null,832,null,null,831,null,null,1637,null,null,1354,null,null,4931,null,null,4976,null,null,2295,null,null,2421,null,null,3465,null,null,2288,null,null,3196,null,null,2528,null,null,1664,null,null,756,null,null,1024,null,null,1218,null,null,1556,null,null,2092,null,null,1114,null,null,894,null,null,616,null,null,319,null,null,590,null,null,647,null,null,1809,null,null,1420,null,null,592,null,null,879,null,null,1049,null,null,1296,null,null,4478,null,null,3164,null,null,2072,null,null,963,null,null,1250,null,null,1547,null,null,2372,null,null,2749,null,null,1597,null,null,1207,null,null,356,null,null,272,null,null,1175,null,null,857,null,null,2436,null,null,1967,null,null,802,null,null,711,null,null,1678,null,null,1287,null,null,11733,null,null,11169,null,null,7011,null,null,3248,null,null,3021,null,null,5423,null,null,8268,null,null,5384,null,null,3349,null,null,2450,null,null,1076,null,null,715,null,null,2168,null,null,2780,null,null,4799,null,null,3468,null,null,1293,null,null,1030,null,null,2944,null,null,3347,null,null,21
1097712,12285,233788,8903,74261,4807,39532,3999,6096,1512,9710,2048,23726,3056,34729,2764,159527,7176,24765,3080,16328,2872,5602,1537,2113,811,8613,2076,8437,1268,134762,6536,110253,6419,19247,2965,29865,3618,61141,4443,24509,2426,34342,3230,17950,2109,8138,1622,850,433,2627,942,4661,1116,9812,1411,16392,2246,2627,1054,863,509,109,140,361,335,393,361,1764,863,13765,1836,8991,1448,1917,783,1378,504,5696,1295,4774,1156,68564,4266,36123,3117,15684,2598,2298,850,4836,1597,8550,1600,20439,2165,32441,3308,8072,1598,4882,1488,1428,921,327,219,3127,1147,3190,900,24369,2864,16396,2418,2280,977,2343,1001,11773,2256,7973,1421,761018,11593,607124,10125,237341,6584,46683,3939,42944,3464,147714,5758,369783,7957,153894,7478,51133,4006,27588,3036,6015,1394,3163,1104,18410,2497,23545,2240,102761,5690,46270,4114,6878,1640,4538,1285,34854,3219,56491,4055,12285,null,null,8903,null,null,4807,null,null,3999,null,null,1512,null,null,2048,null,null,3056,null,null,2764,null,null,7176,null,null,3080,null,null,2872,null,null,1537,null,null,811,null,null,2076,null,null,1268,null,null,6536,null,null,6419,null,null,2965,null,null,3618,null,null,4443,null,null,2426,null,null,3230,null,null,2109,null,null,1622,null,null,433,null,null,942,null,null,1116,null,null,1411,null,null,2246,null,null,1054,null,null,509,null,null,140,null,null,335,null,null,361,null,null,863,null,null,1836,null,null,1448,null,null,783,null,null,504,null,null,1295,null,null,1156,null,null,4266,null,null,3117,null,null,2598,null,null,850,null,null,1597,null,null,1600,null,null,2165,null,null,3308,null,null,1598,null,null,1488,null,null,921,null,null,219,null,null,1147,null,null,900,null,null,2864,null,null,2418,null,null,977,null,null,1001,null,null,2256,null,null,1421,null,null,11593,null,null,10125,null,null,6584,null,null,3939,null,null,3464,null,null,5758,null,null,7957,null,null,7478,null,null,4006,null,null,3036,null,null,1394,null,null,1104,null,null,2497,null,null,2240,null,null,5690,null,null,4114,null,null,1640,null,null,1285,null,null,3219,null,null,4055,null,null,22
