B28009F_001E,B28009F_001M,B28009F_002E,B28009F_002M,B28009F_003E,B28009F_003M,B28009F_004E,B28009F_004M,B28009F_005E,B28009F_005M,B28009F_006E,B28009F_006M,B28009F_001M,B28009F_001EA,B28009F_001MA,B28009F_002M,B28009F_002EA,B28009F_002MA,B28009F_003M,B28009F_003EA,B28009F_003MA,B28009F_004M,B28009F_004EA,B28009F_004MA,B28009F_005M,B28009F_005EA,B28009F_005MA,B28009F_006M,B28009F_006EA,B28009F_006MA,state
565298,25428,535048,24471,1434,1594,467252,23079,66362,10376,30250,5886,25428,null,null,24471,null,null,1594,null,null,23079,null,null,10376,null,null,5886,null,null,12
294061,22106,265482,20153,0,218,216548,20045,48934,8757,28579,7143,22106,null,null,20153,null,null,218,null,null,20045,null,null,8757,null,null,7143,null,null,13
11044,2472,10745,2462,0,185,10423,2478,322,273,299,243,2472,null,null,2462,null,null,185,null,null,2478,null,null,273,null,null,243,null,null,15
65948,7277,60969,6895,0,198,52969,6679,8000,2975,4979,2268,7277,null,null,6895,null,null,198,null,null,6679,null,null,2975,null,null,2268,null,null,16
819580,24686,771105,24965,468,435,675269,23909,95368,12612,48475,6624,24686,null,null,24965,null,null,435,null,null,23909,null,null,12612,null,null,6624,null,null,17
155699,11007,141120,10567,96,144,120044,10225,20980,4562,14579,4296,11007,null,null,10567,null,null,144,null,null,10225,null,null,4562,null,null,4296,null,null,18
41068,4604,36949,4869,0,159,31800,4574,5149,2193,4119,1930,4604,null,null,4869,null,null,159,null,null,4574,null,null,2193,null,null,1930,null,null,19
73653,7749,69439,7875,0,174,57252,6798,12187,4482,4214,1778,7749,null,null,7875,null,null,174,null,null,6798,null,null,4482,null,null,1778,null,null,20
36143,5223,33647,5373,0,190,29011,4807,4636,2314,2496,1284,5223,null,null,5373,null,null,190,null,null,4807,null,null,2314,null,null,1284,null,null,21
65348,6420,58237,6191,0,208,47573,6331,10664,3645,7111,3035,6420,null,null,6191,null,null,208,null,null,6331,null,null,3645,null,null,3035,null,null,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
228682,12590,220293,12960,1212,1349,191186,12714,27895,6986,8389,4011,12590,null,null,12960,null,null,1349,null,null,12714,null,null,6986,null,null,4011,null,null,24
277529,15964,259321,15744,109,186,226756,15178,32456,7254,18208,4140,15964,null,null,15744,null,null,186,null,null,15178,null,null,7254,null,null,4140,null,null,25
117490,9013,107137,8828,50,66,83051,7564,24036,4974,10353,2916,9013,null,null,8828,null,null,66,null,null,7564,null,null,4974,null,null,2916,null,null,26
111192,6965,106367,6884,192,242,93225,6910,12950,3717,4825,1968,6965,null,null,6884,null,null,242,null,null,6910,null,null,3717,null,null,1968,null,null,27
28388,4180,26260,4192,0,213,22960,4040,3300,1595,2128,1308,4180,null,null,4192,null,null,213,null,null,4040,null,null,1595,null,null,1308,null,null,28
70183,6411,65058,6383,0,187,58470,6188,6588,2821,5125,2251,6411,null,null,6383,null,null,187,null,null,6188,null,null,2821,null,null,2251,null,null,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
37506,5842,36183,5841,0,159,32042,5587,4141,1450,1323,806,5842,null,null,5841,null,null,159,null,null,5587,null,null,1450,null,null,806,null,null,31
270278,14476,253184,13794,368,433,208281,12581,44535,7039,17094,4314,14476,null,null,13794,null,null,433,null,null,12581,null,null,7039,null,null,4314,null,null,32
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
538178,20718,492621,19988,2004,1670,418900,18136,71717,9275,45557,8181,20718,null,null,19988,null,null,1670,null,null,18136,null,null,9275,null,null,8181,null,null,34
200560,10720,169842,10591,319,229,146064,10091,23459,5112,30718,4599,10720,null,null,10591,null,null,229,null,null,10091,null,null,5112,null,null,4599,null,null,35
1739976,34991,1608611,34624,3030,1718,1406378,33382,199203,17733,131365,10852,34991,null,null,34624,null,null,1718,null,null,33382,null,null,17733,null,null,10852,null,null,36
