C27001D_001E,C27001D_001M,C27001D_002E,C27001D_002M,C27001D_003E,C27001D_003M,C27001D_004E,C27001D_004M,C27001D_005E,C27001D_005M,C27001D_006E,C27001D_006M,C27001D_007E,C27001D_007M,C27001D_008E,C27001D_008M,C27001D_009E,C27001D_009M,C27001D_010E,C27001D_010M,C27001D_001M,C27001D_001EA,C27001D_001MA,C27001D_002M,C27001D_002EA,C27001D_002MA,C27001D_003M,C27001D_003EA,C27001D_003MA,C27001D_004M,C27001D_004EA,C27001D_004MA,C27001D_005M,C27001D_005EA,C27001D_005MA,C27001D_006M,C27001D_006EA,C27001D_006MA,C27001D_007M,C27001D_007EA,C27001D_007MA,C27001D_008M,C27001D_008EA,C27001D_008MA,C27001D_009M,C27001D_009EA,C27001D_009MA,C27001D_010M,C27001D_010EA,C27001D_010MA,state
556841,7608,107998,3832,100399,4239,7599,1890,376118,5455,321160,6395,54958,6289,72725,2682,68430,2670,4295,1621,7608,null,null,3832,null,null,4239,null,null,1890,null,null,5455,null,null,6395,null,null,6289,null,null,2682,null,null,2670,null,null,1621,null,null,12
396879,6554,88126,3682,81675,3886,6451,1803,275290,4545,238006,5268,37284,4254,33463,2502,31983,2438,1480,729,6554,null,null,3682,null,null,3886,null,null,1803,null,null,4545,null,null,5268,null,null,4254,null,null,2502,null,null,2438,null,null,729,null,null,13
536582,10608,78317,5472,76742,5427,1575,924,327151,6988,313296,7247,13855,2451,131114,2000,130693,2009,421,335,10608,null,null,5472,null,null,5427,null,null,924,null,null,6988,null,null,7247,null,null,2451,null,null,2000,null,null,2009,null,null,335,null,null,15
24085,2248,5677,1229,5270,1215,407,352,15579,1753,13543,1687,2036,755,2829,797,2459,739,370,421,2248,null,null,1229,null,null,1215,null,null,352,null,null,1753,null,null,1687,null,null,755,null,null,797,null,null,739,null,null,421,null,null,16
682816,5844,142506,3601,138008,3682,4498,1350,461665,4218,424289,5387,37376,3692,78645,2079,75252,2362,3393,1132,5844,null,null,3601,null,null,3682,null,null,1350,null,null,4218,null,null,5387,null,null,3692,null,null,2079,null,null,2362,null,null,1132,null,null,17
140980,4565,31624,2386,30067,2328,1557,848,100287,2992,90786,3251,9501,2142,9069,1397,8853,1369,216,250,4565,null,null,2386,null,null,2328,null,null,848,null,null,2992,null,null,3251,null,null,2142,null,null,1397,null,null,1369,null,null,250,null,null,18
74653,2569,17684,1610,17063,1677,621,683,53292,2002,49922,1845,3370,1083,3677,854,3582,832,95,126,2569,null,null,1610,null,null,1677,null,null,683,null,null,2002,null,null,1845,null,null,1083,null,null,854,null,null,832,null,null,126,null,null,19
79067,3474,16545,1752,16071,1746,474,299,57093,2774,50266,3127,6827,1753,5429,506,5034,490,395,366,3474,null,null,1752,null,null,1746,null,null,299,null,null,2774,null,null,3127,null,null,1753,null,null,506,null,null,490,null,null,366,null,null,20
60885,2897,14869,1523,14637,1523,232,245,42174,2464,37776,1975,4398,1520,3842,848,3604,797,238,221,2897,null,null,1523,null,null,1523,null,null,245,null,null,2464,null,null,1975,null,null,1520,null,null,848,null,null,797,null,null,221,null,null,21
77338,2494,15945,1394,15383,1414,562,367,53852,2049,45140,2189,8712,1860,7541,1023,7355,1035,186,171,2494,null,null,1394,null,null,1414,null,null,367,null,null,2049,null,null,2189,null,null,1860,null,null,1023,null,null,1035,null,null,171,null,null,22
17295,1497,3499,852,3364,827,135,162,12368,1191,11698,1260,670,351,1428,592,1428,592,0,172,1497,null,null,852,null,null,827,null,null,162,null,null,1191,null,null,1260,null,null,351,null,null,592,null,null,592,null,null,172,null,null,23
373810,4962,75290,3016,73630,3092,1660,666,253005,3257,236942,4008,16063,2530,45515,1271,43262,1375,2253,794,4962,null,null,3016,null,null,3092,null,null,666,null,null,3257,null,null,4008,null,null,2530,null,null,1271,null,null,1375,null,null,794,null,null,24
439988,5641,93048,2760,91582,2756,1466,625,308690,4291,298704,4428,9986,1952,38250,1232,37278,1289,972,543,5641,null,null,2760,null,null,2756,null,null,625,null,null,4291,null,null,4428,null,null,1952,null,null,1232,null,null,1289,null,null,543,null,null,25
291755,4789,62711,2433,61361,2643,1350,645,204130,3168,190027,3536,14103,2224,24914,1162,23692,1215,1222,562,4789,null,null,2433,null,null,2643,null,null,645,null,null,3168,null,null,3536,null,null,2224,null,null,1162,null,null,1215,null,null,562,null,null,26
258067,4614,73252,2710,71663,2812,1589,523,170889,2790,163849,2848,7040,1551,13926,941,13637,969,289,331,4614,null,null,2710,null,null,2812,null,null,523,null,null,2790,null,null,2848,null,null,1551,null,null,941,null,null,969,null,null,331,null,null,27
26056,2363,6324,981,6251,976,73,93,17807,2009,15164,2101,2643,1053,1925,682,1925,682,0,213,2363,null,null,981,null,null,976,null,null,93,null,null,2009,null,null,2101,null,null,1053,null,null,682,null,null,682,null,null,213,null,null,28
115748,3703,24833,2171,23766,2156,1067,471,82475,2377,73078,2730,9397,1827,8440,1123,8181,1121,259,301,3703,null,null,2171,null,null,2156,null,null,471,null,null,2377,null,null,2730,null,null,1827,null,null,1123,null,null,1121,null,null,301,null,null,29
8432,1383,1514,651,1514,651,0,168,6535,1338,5671,1149,864,472,383,305,368,308,15,22,1383,null,null,651,null,null,651,null,null,168,null,null,1338,null,null,1149,null,null,472,null,null,305,null,null,308,null,null,22,null,null,30
41434,3328,11032,1878,10699,1765,333,308,27820,2214,24486,2199,3334,1356,2582,519,2521,493,61,120,3328,null,null,1878,null,null,1765,null,null,308,null,null,2214,null,null,2199,null,null,1356,null,null,519,null,null,493,null,null,120,null,null,31
243725,5196,40651,3119,39153,3071,1498,633,163114,2930,146931,3490,16183,2925,39960,1220,38696,1117,1264,596,5196,null,null,3119,null,null,3071,null,null,633,null,null,2930,null,null,3490,null,null,2925,null,null,1220,null,null,1117,null,null,596,null,null,32
32374,2292,7606,1386,6920,1218,686,713,22532,1648,20465,2001,2067,1228,2236,805,2236,805,0,187,2292,null,null,1386,null,null,1218,null,null,713,null,null,1648,null,null,2001,null,null,1228,null,null,805,null,null,805,null,null,187,null,null,33
852180,6370,185522,3363,179959,3668,5563,1315,575498,3627,521038,5451,54460,4551,91160,1589,85933,1913,5227,1257,6370,null,null,3363,null,null,3668,null,null,1315,null,null,3627,null,null,5451,null,null,4551,null,null,1589,null,null,1913,null,null,1257,null,null,34
32176,2294,6390,1248,6335,1247,55,83,22223,1522,21039,1498,1184,592,3563,613,3374,713,189,283,2294,null,null,1248,null,null,1247,null,null,83,null,null,1522,null,null,1498,null,null,592,null,null,613,null,null,713,null,null,283,null,null,35
1662286,11904,315189,4749,305376,5207,9813,2230,1155878,8068,1038900,10221,116978,7696,191219,2239,185822,2701,5397,1435,11904,null,null,4749,null,null,5207,null,null,2230,null,null,8068,null,null,10221,null,null,7696,null,null,2239,null,null,2701,null,null,1435,null,null,36
273142,4398,66494,2354,62258,2581,4236,1488,187032,3513,166129,4008,20903,3261,19616,1306,18711,1270,905,611,4398,null,null,2354,null,null,2581,null,null,1488,null,null,3513,null,null,4008,null,null,3261,null,null,1306,null,null,1270,null,null,611,null,null,37
8926,1841,1370,838,1283,823,87,153,7182,1312,6754,1337,428,308,374,260,374,260,0,155,1841,null,null,838,null,null,823,null,null,153,null,null,1312,null,null,1337,null,null,308,null,null,260,null,null,260,null,null,155,null,null,38
238460,3773,50420,2320,48397,2344,2023,920,168572,2882,156762,3305,11810,2258,19468,1596,18806,1620,662,414,3773,null,null,2320,null,null,2344,null,null,920,null,null,2882,null,null,3305,null,null,2258,null,null,1596,null,null,1620,null,null,414,null,null,39
78620,2919,17891,1671,16476,1624,1415,658,54414,2072,45994,2627,8420,1903,6315,784,6162,788,153,163,2919,null,null,1671,null,null,1624,null,null,658,null,null,2072,null,null,2627,null,null,1903,null,null,784,null,null,788,null,null,163,null,null,40
168993,4992,30308,3080,29600,3084,708,490,120081,3580,112280,3836,7801,1689,18604,1212,17663,1154,941,655,4992,null,null,3080,null,null,3084,null,null,490,null,null,3580,null,null,3836,null,null,1689,null,null,1212,null,null,1154,null,null,655,null,null,41
422109,5217,90972,3367,88324,3294,2648,1022,293085,3198,267476,4189,25609,2957,38052,1631,36123,1657,1929,755,5217,null,null,3367,null,null,3294,null,null,1022,null,null,3198,null,null,4189,null,null,2957,null,null,1631,null,null,1657,null,null,755,null,null,42
