C23002A_001E,C23002A_001M,C23002A_002E,C23002A_002M,C23002A_003E,C23002A_003M,C23002A_004E,C23002A_004M,C23002A_005E,C23002A_005M,C23002A_006E,C23002A_006M,C23002A_007E,C23002A_007M,C23002A_008E,C23002A_008M,C23002A_009E,C23002A_009M,C23002A_010E,C23002A_010M,C23002A_011E,C23002A_011M,C23002A_012E,C23002A_012M,C23002A_013E,C23002A_013M,C23002A_014E,C23002A_014M,C23002A_015E,C23002A_015M,C23002A_016E,C23002A_016M,C23002A_017E,C23002A_017M,C23002A_018E,C23002A_018M,C23002A_019E,C23002A_019M,C23002A_020E,C23002A_020M,C23002A_021E,C23002A_021M,C23002A_022E,C23002A_022M,C23002A_023E,C23002A_023M,C23002A_024E,C23002A_024M,C23002A_025E,C23002A_025M,C23002A_026E,C23002A_026M,C23002A_027E,C23002A_027M,C23002A_001M,C23002A_001EA,C23002A_001MA,C23002A_002M,C23002A_002EA,C23002A_002MA,C23002A_003M,C23002A_003EA,C23002A_003MA,C23002A_004M,C23002A_004EA,C23002A_004MA,C23002A_005M,C23002A_005EA,C23002A_005MA,C23002A_006M,C23002A_006EA,C23002A_006MA,C23002A_007M,C23002A_007EA,C23002A_007MA,C23002A_008M,C23002A_008EA,C23002A_008MA,C23002A_009M,C23002A_009EA,C23002A_009MA,C23002A_010M,C23002A_010EA,C23002A_010MA,C23002A_011M,C23002A_011EA,C23002A_011MA,C23002A_012M,C23002A_012EA,C23002A_012MA,C23002A_013M,C23002A_013EA,C23002A_013MA,C23002A_014M,C23002A_014EA,C23002A_014MA,C23002A_015M,C23002A_015EA,C23002A_015MA,C23002A_016M,C23002A_016EA,C23002A_016MA,C23002A_017M,C23002A_017EA,C23002A_017MA,C23002A_018M,C23002A_018EA,C23002A_018MA,C23002A_019M,C23002A_019EA,C23002A_019MA,C23002A_020M,C23002A_020EA,C23002A_020MA,C23002A_021M,C23002A_021EA,C23002A_021MA,C23002A_022M,C23002A_022EA,C23002A_022MA,C23002A_023M,C23002A_023EA,C23002A_023MA,C23002A_024M,C23002A_024EA,C23002A_024MA,C23002A_025M,C23002A_025EA,C23002A_025MA,C23002A_026M,C23002A_026EA,C23002A_026MA,C23002A_027M,C23002A_027EA,C23002A_027MA,state
13122827,22923,6380887,13936,4756154,14043,3678435,20511,43566,4054,3634869,20354,3451625,19104,183244,7883,1077719,17131,1624733,3193,292493,9919,281852,10269,10641,1674,1332240,9867,6741940,14139,4788212,13060,3244887,19851,7049,1534,3237838,19868,3064204,20394,173634,8014,1543325,18547,1953728,3610,223001,6979,215218,6763,7783,1202,1730727,8145,22923,null,null,13936,null,null,14043,null,null,20511,null,null,4054,null,null,20354,null,null,19104,null,null,7883,null,null,17131,null,null,3193,null,null,9919,null,null,10269,null,null,1674,null,null,9867,null,null,14139,null,null,13060,null,null,19851,null,null,1534,null,null,19868,null,null,20394,null,null,8014,null,null,18547,null,null,3610,null,null,6979,null,null,6763,null,null,1202,null,null,8145,null,null,12
4897888,12936,2403442,7512,1960477,7320,1556288,11144,29629,2877,1526659,11601,1460181,12490,66478,4754,404189,9992,442965,1610,98093,4061,96436,3937,1657,599,344872,4446,2494446,8485,1946305,8420,1297723,11167,3417,934,1294306,11158,1228014,11316,66292,5194,648582,11719,548141,2014,73061,3748,70840,3696,2221,793,475080,4137,12936,null,null,7512,null,null,7320,null,null,11144,null,null,2877,null,null,11601,null,null,12490,null,null,4754,null,null,9992,null,null,1610,null,null,4061,null,null,3937,null,null,599,null,null,4446,null,null,8485,null,null,8420,null,null,11167,null,null,934,null,null,11158,null,null,11316,null,null,5194,null,null,11719,null,null,2014,null,null,3748,null,null,3696,null,null,793,null,null,4137,null,null,13
306100,3077,166117,1851,131867,1770,109834,2451,22160,1957,87674,2815,83788,2976,3886,1042,22033,2017,34250,395,10283,1392,10024,1420,259,177,23967,1371,139983,1849,106706,1776,76788,2687,2788,865,74000,2617,70177,2609,3823,689,29918,2161,33277,290,7114,969,6911,969,203,200,26163,1040,3077,null,null,1851,null,null,1770,null,null,2451,null,null,1957,null,null,2815,null,null,2976,null,null,1042,null,null,2017,null,null,395,null,null,1392,null,null,1420,null,null,177,null,null,1371,null,null,1849,null,null,1776,null,null,2687,null,null,865,null,null,2617,null,null,2609,null,null,689,null,null,2161,null,null,290,null,null,969,null,null,969,null,null,200,null,null,1040,null,null,15
1178515,5613,584227,3433,468834,3323,373296,6119,2194,624,371102,6085,355152,6579,15950,2474,95538,5868,115393,727,23809,1794,22479,1817,1330,641,91584,1840,594288,3530,464336,3480,314487,6304,424,300,314063,6283,300418,6049,13645,1861,149849,5431,129952,964,14312,1681,13840,1662,472,328,115640,1716,5613,null,null,3433,null,null,3323,null,null,6119,null,null,624,null,null,6085,null,null,6579,null,null,2474,null,null,5868,null,null,727,null,null,1794,null,null,1817,null,null,641,null,null,1840,null,null,3530,null,null,3480,null,null,6304,null,null,300,null,null,6283,null,null,6049,null,null,1861,null,null,5431,null,null,964,null,null,1681,null,null,1662,null,null,328,null,null,1716,null,null,16
7445157,17105,3640190,9609,2976185,9916,2435813,11234,11353,1607,2424460,11333,2299920,11517,124540,5389,540372,8738,664005,1832,147674,4015,142436,4077,5238,982,516331,4653,3804967,10528,2952271,9984,2175633,14560,1999,667,2173634,14547,2073202,13745,100432,4728,776638,15312,852696,2057,118740,4000,115304,3910,3436,872,733956,4096,17105,null,null,9609,null,null,9916,null,null,11234,null,null,1607,null,null,11333,null,null,11517,null,null,5389,null,null,8738,null,null,1832,null,null,4015,null,null,4077,null,null,982,null,null,4653,null,null,10528,null,null,9984,null,null,14560,null,null,667,null,null,14547,null,null,13745,null,null,4728,null,null,15312,null,null,2057,null,null,4000,null,null,3910,null,null,872,null,null,4096,null,null,17
4459777,8803,2176830,5646,1778082,5819,1414578,8114,2255,703,1412323,8099,1345238,8263,67085,3814,363504,8107,398748,1225,85406,3514,83964,3489,1442,463,313342,3709,2282947,4965,1775976,5027,1275035,10569,64,126,1274971,10576,1219570,11331,55401,3928,500941,10650,506971,1184,69141,3335,67553,3391,1588,604,437830,3506,8803,null,null,5646,null,null,5819,null,null,8114,null,null,703,null,null,8099,null,null,8263,null,null,3814,null,null,8107,null,null,1225,null,null,3514,null,null,3489,null,null,463,null,null,3709,null,null,4965,null,null,5027,null,null,10569,null,null,126,null,null,10576,null,null,11331,null,null,3928,null,null,10650,null,null,1184,null,null,3335,null,null,3391,null,null,604,null,null,3506,null,null,18
2281635,3458,1122955,2546,901665,2559,751324,5624,1185,433,750139,5727,720164,6484,29975,2989,150341,5089,221290,479,57639,2312,56465,2236,1174,453,163651,2350,1158680,2224,880621,2263,684322,5569,96,99,684226,5581,661408,6366,22818,2422,196299,5779,278059,709,42774,2512,41923,2497,851,354,235285,2649,3458,null,null,2546,null,null,2559,null,null,5624,null,null,433,null,null,5727,null,null,6484,null,null,2989,null,null,5089,null,null,479,null,null,2312,null,null,2236,null,null,453,null,null,2350,null,null,2224,null,null,2263,null,null,5569,null,null,99,null,null,5581,null,null,6366,null,null,2422,null,null,5779,null,null,709,null,null,2512,null,null,2497,null,null,354,null,null,2649,null,null,19
1952937,5758,961212,4083,780095,3992,638586,4843,10464,1357,628122,4954,599038,5225,29084,3061,141509,4259,181117,949,47812,2617,46874,2621,938,355,133305,2383,991725,3195,768180,2959,566898,5357,920,455,565978,5323,544131,5933,21847,2137,201282,5654,223545,873,36241,2286,35851,2287,390,228,187304,2383,5758,null,null,4083,null,null,3992,null,null,4843,null,null,1357,null,null,4954,null,null,5225,null,null,3061,null,null,4259,null,null,949,null,null,2617,null,null,2621,null,null,355,null,null,2383,null,null,3195,null,null,2959,null,null,5357,null,null,455,null,null,5323,null,null,5933,null,null,2137,null,null,5654,null,null,873,null,null,2286,null,null,2287,null,null,228,null,null,2383,null,null,20
3130200,5226,1523527,3615,1239970,3590,912630,8694,9823,1233,902807,8783,846562,9031,56245,4001,327340,7826,283557,578,52594,2787,50645,2751,1949,633,230963,2810,1606673,3356,1249609,3343,821779,9498,1099,652,820680,9512,778485,9245,42195,3480,427830,9214,357064,511,43948,3056,42884,3038,1064,524,313116,3102,5226,null,null,3615,null,null,3590,null,null,8694,null,null,1233,null,null,8783,null,null,9031,null,null,4001,null,null,7826,null,null,578,null,null,2787,null,null,2751,null,null,633,null,null,2810,null,null,3356,null,null,3343,null,null,9498,null,null,652,null,null,9512,null,null,9245,null,null,3480,null,null,9214,null,null,511,null,null,3056,null,null,3038,null,null,524,null,null,3102,null,null,21
2356169,5112,1152468,3631,933338,3684,719947,7656,9678,1482,710269,7770,666785,7853,43484,3549,213391,8153,219130,1006,49090,2645,48300,2728,790,364,170040,2706,1203701,3419,930534,3286,610350,8149,1145,591,609205,8212,577685,8324,31520,2949,320184,8682,273167,995,40003,2511,39325,2525,678,315,233164,2765,5112,null,null,3631,null,null,3684,null,null,7656,null,null,1482,null,null,7770,null,null,7853,null,null,3549,null,null,8153,null,null,1006,null,null,2645,null,null,2728,null,null,364,null,null,2706,null,null,3419,null,null,3286,null,null,8149,null,null,591,null,null,8212,null,null,8324,null,null,2949,null,null,8682,null,null,995,null,null,2511,null,null,2525,null,null,315,null,null,2765,null,null,22
