B22005I_001E,B22005I_001M,B22005I_002E,B22005I_002M,B22005I_003E,B22005I_003M,B22005I_001M,B22005I_001EA,B22005I_001MA,B22005I_002M,B22005I_002EA,B22005I_002MA,B22005I_003M,B22005I_003EA,B22005I_003MA,state
1522519,13553,381769,9125,1140750,15472,13553,null,null,9125,null,null,15472,null,null,12
241323,5744,44157,4161,197166,6529,5744,null,null,4161,null,null,6529,null,null,13
33307,2097,6733,893,26574,2034,2097,null,null,893,null,null,2034,null,null,15
51794,2373,11880,1741,39914,2588,2373,null,null,1741,null,null,2588,null,null,16
565339,6620,121536,4738,443803,7274,6620,null,null,4738,null,null,7274,null,null,17
115795,3842,19436,2157,96359,3678,3842,null,null,2157,null,null,3678,null,null,18
47480,2041,10585,1672,36895,2223,2041,null,null,1672,null,null,2223,null,null,19
88289,3062,9637,1644,78652,3301,3062,null,null,1644,null,null,3301,null,null,20
38916,2456,8177,1398,30739,2412,2456,null,null,1398,null,null,2412,null,null,21
68318,3984,9733,1804,58585,4167,3984,null,null,1804,null,null,4167,null,null,22
6690,976,1617,646,5073,934,976,null,null,646,null,null,934,null,null,23
141403,4211,21167,2696,120236,4598,4211,null,null,2696,null,null,4598,null,null,24
232473,5104,84645,3885,147828,5088,5104,null,null,3885,null,null,5088,null,null,25
133527,3153,29014,2228,104513,3709,3153,null,null,2228,null,null,3709,null,null,26
71062,2394,12952,1753,58110,2773,2394,null,null,1753,null,null,2773,null,null,27
20285,2021,3378,1071,16907,2036,2021,null,null,1071,null,null,2036,null,null,28
65892,2799,9911,1623,55981,2972,2799,null,null,1623,null,null,2972,null,null,29
9399,1190,2027,781,7372,1053,1190,null,null,781,null,null,1053,null,null,30
52428,2099,10570,1593,41858,2445,2099,null,null,1593,null,null,2445,null,null,31
219223,4630,46948,3397,172275,4775,4630,null,null,3397,null,null,4775,null,null,32
12756,1308,2228,894,10528,1310,1308,null,null,894,null,null,1310,null,null,33
506441,7107,114703,5831,391738,7691,7107,null,null,5831,null,null,7691,null,null,34
313964,5182,75840,4297,238124,5472,5182,null,null,4297,null,null,5472,null,null,35
1093543,10320,337704,7932,755839,10930,10320,null,null,7932,null,null,10930,null,null,36
238380,6357,42562,3955,195818,6025,6357,null,null,3955,null,null,6025,null,null,37
7661,1331,1366,741,6295,1327,1331,null,null,741,null,null,1327,null,null,38
120664,4223,29484,2266,91180,4652,4223,null,null,2266,null,null,4652,null,null,39
103373,2343,19684,1990,83689,2786,2343,null,null,1990,null,null,2786,null,null,40
128984,3760,38506,3490,90478,4254,3760,null,null,3490,null,null,4254,null,null,41
251237,5422,90888,4831,160349,6290,5422,null,null,4831,null,null,6290,null,null,42
43672,2248,17186,2062,26486,2285,2248,null,null,2062,null,null,2285,null,null,44
69252,3082,13080,1933,56172,3334,3082,null,null,1933,null,null,3334,null,null,45
6975,1057,1755,705,5220,998,1057,null,null,705,null,null,998,null,null,46
89455,3608,17955,2141,71500,3960,3608,null,null,2141,null,null,3960,null,null,47
2981729,15045,593286,11927,2388443,17295,15045,null,null,11927,null,null,17295,null,null,48
101344,3351,12462,1761,88882,3806,3351,null,null,1761,null,null,3806,null,null,49
3832,610,623,348,3209,586,610,null,null,348,null,null,586,null,null,50
198776,4894,21686,3279,177090,4254,4894,null,null,3279,null,null,4254,null,null,51
229406,4298,53445,4180,175961,5780,4298,null,null,4180,null,null,5780,null,null,53
5940,990,1283,495,4657,810,990,null,null,495,null,null,810,null,null,54
104342,3373,29595,2709,74747,3418,3373,null,null,2709,null,null,3418,null,null,55
16552,2002,1449,654,15103,1969,2002,null,null,654,null,null,1969,null,null,56
1192962,9922,466885,9042,726077,10629,9922,null,null,9042,null,null,10629,null,null,72
48371,2603,9344,1585,39027,2749,2603,null,null,1585,null,null,2749,null,null,01
11663,1820,1413,631,10250,1795,1820,null,null,631,null,null,1795,null,null,02
574305,6449,127826,6209,446479,8564,6449,null,null,6209,null,null,8564,null,null,04
55749,2647,9641,1801,46108,2618,2647,null,null,1801,null,null,2618,null,null,05
3754737,14756,635496,10891,3119241,16367,14756,null,null,10891,null,null,16367,null,null,06
334605,5743,55370,3691,279235,6327,5743,null,null,3691,null,null,6327,null,null,08
171360,4463,59692,4249,111668,4812,4463,null,null,4249,null,null,4812,null,null,09
23291,1575,4666,1009,18625,1535,1575,null,null,1009,null,null,1535,null,null,10
26909,1957,4393,1248,22516,2053,1957,null,null,1248,null,null,2053,null,null,11
