B21001G_001E,B21001G_001M,B21001G_002E,B21001G_002M,B21001G_003E,B21001G_003M,B21001G_004E,B21001G_004M,B21001G_005E,B21001G_005M,B21001G_006E,B21001G_006M,B21001G_007E,B21001G_007M,B21001G_008E,B21001G_008M,B21001G_009E,B21001G_009M,B21001G_010E,B21001G_010M,B21001G_011E,B21001G_011M,B21001G_012E,B21001G_012M,B21001G_013E,B21001G_013M,B21001G_014E,B21001G_014M,B21001G_015E,B21001G_015M,B21001G_016E,B21001G_016M,B21001G_017E,B21001G_017M,B21001G_018E,B21001G_018M,B21001G_019E,B21001G_019M,B21001G_020E,B21001G_020M,B21001G_021E,B21001G_021M,B21001G_022E,B21001G_022M,B21001G_023E,B21001G_023M,B21001G_024E,B21001G_024M,B21001G_025E,B21001G_025M,B21001G_026E,B21001G_026M,B21001G_027E,B21001G_027M,B21001G_028E,B21001G_028M,B21001G_029E,B21001G_029M,B21001G_030E,B21001G_030M,B21001G_031E,B21001G_031M,B21001G_032E,B21001G_032M,B21001G_033E,B21001G_033M,B21001G_001M,B21001G_001EA,B21001G_001MA,B21001G_002M,B21001G_002EA,B21001G_002MA,B21001G_003M,B21001G_003EA,B21001G_003MA,B21001G_004M,B21001G_004EA,B21001G_004MA,B21001G_005M,B21001G_005EA,B21001G_005MA,B21001G_006M,B21001G_006EA,B21001G_006MA,B21001G_007M,B21001G_007EA,B21001G_007MA,B21001G_008M,B21001G_008EA,B21001G_008MA,B21001G_009M,B21001G_009EA,B21001G_009MA,B21001G_010M,B21001G_010EA,B21001G_010MA,B21001G_011M,B21001G_011EA,B21001G_011MA,B21001G_012M,B21001G_012EA,B21001G_012MA,B21001G_013M,B21001G_013EA,B21001G_013MA,B21001G_014M,B21001G_014EA,B21001G_014MA,B21001G_015M,B21001G_015EA,B21001G_015MA,B21001G_016M,B21001G_016EA,B21001G_016MA,B21001G_017M,B21001G_017EA,B21001G_017MA,B21001G_018M,B21001G_018EA,B21001G_018MA,B21001G_019M,B21001G_019EA,B21001G_019MA,B21001G_020M,B21001G_020EA,B21001G_020MA,B21001G_021M,B21001G_021EA,B21001G_021MA,B21001G_022M,B21001G_022EA,B21001G_022MA,B21001G_023M,B21001G_023EA,B21001G_023MA,B21001G_024M,B21001G_024EA,B21001G_024MA,B21001G_025M,B21001G_025EA,B21001G_025MA,B21001G_026M,B21001G_026EA,B21001G_026MA,B21001G_027M,B21001G_027EA,B21001G_027MA,B21001G_028M,B21001G_028EA,B21001G_028MA,B21001G_029M,B21001G_029EA,B21001G_029MA,B21001G_030M,B21001G_030EA,B21001G_030MA,B21001G_031M,B21001G_031EA,B21001G_031MA,B21001G_032M,B21001G_032EA,B21001G_032MA,B21001G_033M,B21001G_033EA,B21001G_033MA,state
288307,12623,144717,7401,63890,5382,2703,1219,61187,5301,48240,3725,4507,1183,43733,3620,18467,2210,4008,1115,14459,2004,9314,1530,1983,640,7331,1437,4806,927,1815,642,2991,796,143590,8461,60026,5326,731,541,59295,5301,47483,4211,1597,820,45886,3967,17834,1980,694,434,17140,1954,10952,2390,36,49,10916,2391,7295,1452,164,168,7131,1424,12623,null,null,7401,null,null,5382,null,null,1219,null,null,5301,null,null,3725,null,null,1183,null,null,3620,null,null,2210,null,null,1115,null,null,2004,null,null,1530,null,null,640,null,null,1437,null,null,927,null,null,642,null,null,796,null,null,8461,null,null,5326,null,null,541,null,null,5301,null,null,4211,null,null,820,null,null,3967,null,null,1980,null,null,434,null,null,1954,null,null,2390,null,null,49,null,null,2391,null,null,1452,null,null,168,null,null,1424,null,null,12
125802,7771,57982,4750,27191,3268,754,436,26437,3180,19872,2136,3324,1260,16548,2106,6190,1427,1312,589,4878,1331,2340,659,861,379,1479,516,2389,890,1006,536,1383,642,67820,5087,31370,3163,539,383,30831,3212,22243,2867,740,450,21503,2903,6939,1469,259,228,6680,1400,5163,1427,313,355,4850,1331,2105,804,11,17,2094,803,7771,null,null,4750,null,null,3268,null,null,436,null,null,3180,null,null,2136,null,null,1260,null,null,2106,null,null,1427,null,null,589,null,null,1331,null,null,659,null,null,379,null,null,516,null,null,890,null,null,536,null,null,642,null,null,5087,null,null,3163,null,null,383,null,null,3212,null,null,2867,null,null,450,null,null,2903,null,null,1469,null,null,228,null,null,1400,null,null,1427,null,null,355,null,null,1331,null,null,804,null,null,17,null,null,803,null,null,13
212968,9295,107423,6203,45620,3528,1730,769,43890,3391,37396,3096,4090,999,33306,2686,12942,1460,3144,954,9798,1329,7624,1159,3487,840,4137,839,3841,739,2185,611,1656,502,105545,4593,44434,2667,540,378,43894,2619,34823,2793,613,256,34210,2765,13130,1154,57,94,13073,1142,8752,1161,45,77,8707,1167,4406,937,62,101,4344,930,9295,null,null,6203,null,null,3528,null,null,769,null,null,3391,null,null,3096,null,null,999,null,null,2686,null,null,1460,null,null,954,null,null,1329,null,null,1159,null,null,840,null,null,839,null,null,739,null,null,611,null,null,502,null,null,4593,null,null,2667,null,null,378,null,null,2619,null,null,2793,null,null,256,null,null,2765,null,null,1154,null,null,94,null,null,1142,null,null,1161,null,null,77,null,null,1167,null,null,937,null,null,101,null,null,930,null,null,15
23530,2334,11318,1779,6044,1176,357,373,5687,1130,2447,759,258,232,2189,629,1378,576,435,319,943,546,1170,673,643,499,527,460,279,224,85,124,194,186,12212,1479,5093,1162,0,198,5093,1162,3604,908,202,300,3402,898,1863,765,0,198,1863,765,994,441,0,198,994,441,658,385,0,198,658,385,2334,null,null,1779,null,null,1176,null,null,373,null,null,1130,null,null,759,null,null,232,null,null,629,null,null,576,null,null,319,null,null,546,null,null,673,null,null,499,null,null,460,null,null,224,null,null,124,null,null,186,null,null,1479,null,null,1162,null,null,198,null,null,1162,null,null,908,null,null,300,null,null,898,null,null,765,null,null,198,null,null,765,null,null,441,null,null,198,null,null,441,null,null,385,null,null,198,null,null,385,null,null,16
163537,8009,79099,5062,40324,3723,1531,626,38793,3692,24514,2551,2098,596,22416,2317,7962,1315,1467,565,6495,1161,4061,898,1693,603,2368,624,2238,629,1234,423,1004,407,84438,4665,40744,3348,390,404,40354,3331,26877,2320,742,330,26135,2309,8128,1523,375,245,7753,1483,6098,1356,338,231,5760,1331,2591,690,0,185,2591,690,8009,null,null,5062,null,null,3723,null,null,626,null,null,3692,null,null,2551,null,null,596,null,null,2317,null,null,1315,null,null,565,null,null,1161,null,null,898,null,null,603,null,null,624,null,null,629,null,null,423,null,null,407,null,null,4665,null,null,3348,null,null,404,null,null,3331,null,null,2320,null,null,330,null,null,2309,null,null,1523,null,null,245,null,null,1483,null,null,1356,null,null,231,null,null,1331,null,null,690,null,null,185,null,null,690,null,null,17
72108,5176,31755,3230,17541,2295,665,538,16876,2293,8567,1553,1340,728,7227,1353,3201,1028,1215,660,1986,777,1603,562,777,416,826,383,843,447,234,232,609,370,40353,3632,21989,2948,155,189,21834,2932,11013,2090,80,137,10933,2081,3142,885,50,69,3092,873,2619,694,0,192,2619,694,1590,583,0,192,1590,583,5176,null,null,3230,null,null,2295,null,null,538,null,null,2293,null,null,1553,null,null,728,null,null,1353,null,null,1028,null,null,660,null,null,777,null,null,562,null,null,416,null,null,383,null,null,447,null,null,232,null,null,370,null,null,3632,null,null,2948,null,null,189,null,null,2932,null,null,2090,null,null,137,null,null,2081,null,null,885,null,null,69,null,null,873,null,null,694,null,null,192,null,null,694,null,null,583,null,null,192,null,null,583,null,null,18
25122,2514,10697,1583,5237,1029,240,188,4997,983,2790,863,363,304,2427,828,1292,446,199,151,1093,429,694,456,259,255,435,372,684,400,324,296,360,291,14425,2149,7799,1770,25,46,7774,1776,4330,901,96,92,4234,913,1405,498,0,159,1405,498,550,371,44,86,506,367,341,250,0,159,341,250,2514,null,null,1583,null,null,1029,null,null,188,null,null,983,null,null,863,null,null,304,null,null,828,null,null,446,null,null,151,null,null,429,null,null,456,null,null,255,null,null,372,null,null,400,null,null,296,null,null,291,null,null,2149,null,null,1770,null,null,46,null,null,1776,null,null,901,null,null,92,null,null,913,null,null,498,null,null,159,null,null,498,null,null,371,null,null,86,null,null,367,null,null,250,null,null,159,null,null,250,null,null,19
48807,3950,22832,2720,12629,2237,569,397,12060,2130,6247,1107,1035,403,5212,1058,2016,525,424,226,1592,526,870,420,116,107,754,411,1070,443,497,263,573,361,25975,2466,14198,2311,292,268,13906,2302,7442,1218,32,52,7410,1219,1935,653,0,174,1935,653,1430,506,7,15,1423,505,970,371,0,174,970,371,3950,null,null,2720,null,null,2237,null,null,397,null,null,2130,null,null,1107,null,null,403,null,null,1058,null,null,525,null,null,226,null,null,526,null,null,420,null,null,107,null,null,411,null,null,443,null,null,263,null,null,361,null,null,2466,null,null,2311,null,null,268,null,null,2302,null,null,1218,null,null,52,null,null,1219,null,null,653,null,null,174,null,null,653,null,null,506,null,null,15,null,null,505,null,null,371,null,null,174,null,null,371,null,null,20
41136,4286,19412,2660,11190,2075,309,241,10881,2055,4542,990,762,453,3780,908,2165,641,649,363,1516,529,1045,403,643,346,402,218,470,367,383,364,87,106,21724,2678,10989,1843,773,554,10216,1751,5968,1298,233,223,5735,1275,2516,784,14,29,2502,784,1384,487,0,190,1384,487,867,415,0,190,867,415,4286,null,null,2660,null,null,2075,null,null,241,null,null,2055,null,null,990,null,null,453,null,null,908,null,null,641,null,null,363,null,null,529,null,null,403,null,null,346,null,null,218,null,null,367,null,null,364,null,null,106,null,null,2678,null,null,1843,null,null,554,null,null,1751,null,null,1298,null,null,223,null,null,1275,null,null,784,null,null,29,null,null,784,null,null,487,null,null,190,null,null,487,null,null,415,null,null,190,null,null,415,null,null,21
46510,5030,20970,2790,9908,2028,664,569,9244,1902,5426,1185,797,446,4629,1091,2794,782,674,396,2120,633,1473,565,828,385,645,442,1369,611,548,306,821,506,25540,3581,12866,2450,131,218,12735,2449,7547,1753,218,150,7329,1748,2765,751,152,166,2613,746,1674,679,0,208,1674,679,688,352,0,208,688,352,5030,null,null,2790,null,null,2028,null,null,569,null,null,1902,null,null,1185,null,null,446,null,null,1091,null,null,782,null,null,396,null,null,633,null,null,565,null,null,385,null,null,442,null,null,611,null,null,306,null,null,506,null,null,3581,null,null,2450,null,null,218,null,null,2449,null,null,1753,null,null,150,null,null,1748,null,null,751,null,null,166,null,null,746,null,null,679,null,null,208,null,null,679,null,null,352,null,null,208,null,null,352,null,null,22
